lindex,Sport,Year,Age,count
1,Alpine Skiing,1936,16.0,1
2,Alpine Skiing,1936,17.0,4
3,Alpine Skiing,1936,18.0,6
4,Alpine Skiing,1936,19.0,4
5,Alpine Skiing,1936,20.0,9
6,Alpine Skiing,1936,21.0,14
7,Alpine Skiing,1936,22.0,10
8,Alpine Skiing,1936,23.0,11
9,Alpine Skiing,1936,24.0,5
10,Alpine Skiing,1936,25.0,8
11,Alpine Skiing,1936,26.0,5
12,Alpine Skiing,1936,27.0,11
13,Alpine Skiing,1936,28.0,2
14,Alpine Skiing,1936,29.0,2
15,Alpine Skiing,1936,30.0,3
16,Alpine Skiing,1936,32.0,2
17,Alpine Skiing,1936,34.0,2
18,Alpine Skiing,1936,35.0,1
19,Alpine Skiing,1936,37.0,1
20,Alpine Skiing,1936,38.0,1
21,Alpine Skiing,1936,45.0,1
22,Alpine Skiing,1948,15.0,5
23,Alpine Skiing,1948,16.0,2
24,Alpine Skiing,1948,17.0,8
25,Alpine Skiing,1948,18.0,7
26,Alpine Skiing,1948,19.0,15
27,Alpine Skiing,1948,20.0,25
28,Alpine Skiing,1948,21.0,40
29,Alpine Skiing,1948,22.0,34
30,Alpine Skiing,1948,23.0,33
31,Alpine Skiing,1948,24.0,37
32,Alpine Skiing,1948,25.0,31
33,Alpine Skiing,1948,26.0,24
34,Alpine Skiing,1948,27.0,42
35,Alpine Skiing,1948,28.0,23
36,Alpine Skiing,1948,30.0,12
37,Alpine Skiing,1948,31.0,5
38,Alpine Skiing,1948,32.0,3
39,Alpine Skiing,1948,33.0,1
40,Alpine Skiing,1948,34.0,2
41,Alpine Skiing,1948,35.0,5
42,Alpine Skiing,1948,39.0,3
43,Alpine Skiing,1952,17.0,3
44,Alpine Skiing,1952,18.0,8
45,Alpine Skiing,1952,19.0,21
46,Alpine Skiing,1952,20.0,19
47,Alpine Skiing,1952,21.0,49
48,Alpine Skiing,1952,22.0,45
49,Alpine Skiing,1952,23.0,33
50,Alpine Skiing,1952,24.0,49
51,Alpine Skiing,1952,25.0,34
52,Alpine Skiing,1952,26.0,31
53,Alpine Skiing,1952,27.0,24
54,Alpine Skiing,1952,28.0,12
55,Alpine Skiing,1952,29.0,15
56,Alpine Skiing,1952,30.0,14
57,Alpine Skiing,1952,31.0,15
58,Alpine Skiing,1952,32.0,3
59,Alpine Skiing,1952,34.0,2
60,Alpine Skiing,1952,39.0,1
61,Alpine Skiing,1956,15.0,4
62,Alpine Skiing,1956,16.0,3
63,Alpine Skiing,1956,17.0,8
64,Alpine Skiing,1956,18.0,3
65,Alpine Skiing,1956,19.0,17
66,Alpine Skiing,1956,20.0,18
67,Alpine Skiing,1956,21.0,28
68,Alpine Skiing,1956,22.0,34
69,Alpine Skiing,1956,23.0,43
70,Alpine Skiing,1956,24.0,57
71,Alpine Skiing,1956,25.0,42
72,Alpine Skiing,1956,26.0,30
73,Alpine Skiing,1956,27.0,20
74,Alpine Skiing,1956,28.0,13
75,Alpine Skiing,1956,29.0,22
76,Alpine Skiing,1956,30.0,17
77,Alpine Skiing,1956,31.0,11
78,Alpine Skiing,1956,32.0,2
79,Alpine Skiing,1956,33.0,5
80,Alpine Skiing,1956,34.0,2
81,Alpine Skiing,1956,36.0,1
82,Alpine Skiing,1956,39.0,3
83,Alpine Skiing,1960,16.0,14
84,Alpine Skiing,1960,17.0,7
85,Alpine Skiing,1960,18.0,21
86,Alpine Skiing,1960,19.0,36
87,Alpine Skiing,1960,20.0,27
88,Alpine Skiing,1960,21.0,32
89,Alpine Skiing,1960,22.0,30
90,Alpine Skiing,1960,23.0,24
91,Alpine Skiing,1960,24.0,33
92,Alpine Skiing,1960,25.0,25
93,Alpine Skiing,1960,26.0,8
