lindex,Sport,Year,Age,count
389,Archery,1900,24.0,2
390,Archery,1900,26.0,2
391,Archery,1900,28.0,1
392,Archery,1900,32.0,1
393,Archery,1900,33.0,4
394,Archery,1900,34.0,5
395,Archery,1900,36.0,1
396,Archery,1900,38.0,2
397,Archery,1900,43.0,4
398,Archery,1900,46.0,1
399,Archery,1900,47.0,1
400,Archery,1900,48.0,1
401,Archery,1900,50.0,1
402,Archery,1904,15.0,3
403,Archery,1904,24.0,2
404,Archery,1904,26.0,3
405,Archery,1904,30.0,2
406,Archery,1904,40.0,3
407,Archery,1904,42.0,3
408,Archery,1904,43.0,3
409,Archery,1904,44.0,3
410,Archery,1904,48.0,3
411,Archery,1904,50.0,3
412,Archery,1904,52.0,3
413,Archery,1904,53.0,1
414,Archery,1904,54.0,2
415,Archery,1904,55.0,2
416,Archery,1904,56.0,3
417,Archery,1904,57.0,3
418,Archery,1904,58.0,3
419,Archery,1904,59.0,3
420,Archery,1904,63.0,8
421,Archery,1904,66.0,1
422,Archery,1904,68.0,2
423,Archery,1904,71.0,2
424,Archery,1908,18.0,2
425,Archery,1908,22.0,1
426,Archery,1908,26.0,1
427,Archery,1908,27.0,1
428,Archery,1908,30.0,3
429,Archery,1908,34.0,1
430,Archery,1908,35.0,1
431,Archery,1908,36.0,1
432,Archery,1908,37.0,3
433,Archery,1908,38.0,2
434,Archery,1908,40.0,4
435,Archery,1908,41.0,5
436,Archery,1908,42.0,1
437,Archery,1908,43.0,4
438,Archery,1908,44.0,1
439,Archery,1908,46.0,3
440,Archery,1908,47.0,2
441,Archery,1908,48.0,2
442,Archery,1908,51.0,1
443,Archery,1908,53.0,2
444,Archery,1908,54.0,3
445,Archery,1908,56.0,2
446,Archery,1908,57.0,1
447,Archery,1908,61.0,2
448,Archery,1920,25.0,1
449,Archery,1920,29.0,1
450,Archery,1920,31.0,3
451,Archery,1920,33.0,1
452,Archery,1920,34.0,1
453,Archery,1920,36.0,3
454,Archery,1920,38.0,3
455,Archery,1920,39.0,2
456,Archery,1920,40.0,4
457,Archery,1920,44.0,14
458,Archery,1920,45.0,1
459,Archery,1920,51.0,1
460,Archery,1920,53.0,3
461,Archery,1920,54.0,6
462,Archery,1920,55.0,3
463,Archery,1920,61.0,3
464,Archery,1972,18.0,1
465,Archery,1972,19.0,3
466,Archery,1972,20.0,2
467,Archery,1972,21.0,3
468,Archery,1972,22.0,3
469,Archery,1972,23.0,6
470,Archery,1972,24.0,3
471,Archery,1972,25.0,6
472,Archery,1972,26.0,5
473,Archery,1972,27.0,3
474,Archery,1972,28.0,4
475,Archery,1972,29.0,5
476,Archery,1972,30.0,5
477,Archery,1972,31.0,2
478,Archery,1972,32.0,4
479,Archery,1972,33.0,2
480,Archery,1972,34.0,5
481,Archery,1972,35.0,1
482,Archery,1972,36.0,3
483,Archery,1972,37.0,5
484,Archery,1972,38.0,2
485,Archery,1972,39.0,4
486,Archery,1972,40.0,5
487,Archery,1972,41.0,2
488,Archery,1972,42.0,2
489,Archery,1972,43.0,2
490,Archery,1972,44.0,2
491,Archery,1972,45.0,2
492,Archery,1972,46.0,1
493,Archery,1972,47.0,1
494,Archery,1972,59.0,1
495,Archery,1976,19.0,3
496,Archery,1976,20.0,2
497,Archery,1976,21.0,4
498,Archery,1976,22.0,3
499,Archery,1976,23.0,1
500,Archery,1976,24.0,2
501,Archery,1976,25.0,3
502,Archery,1976,26.0,2
503,Archery,1976,27.0,3
504,Archery,1976,28.0,6
505,Archery,1976,29.0,4
506,Archery,1976,30.0,7
507,Archery,1976,32.0,4
508,Archery,1976,33.0,3
509,Archery,1976,34.0,4
510,Archery,1976,35.0,1
511,Archery,1976,36.0,2
512,Archery,1976,38.0,1
513,Archery,1976,39.0,1
514,Archery,1976,40.0,2
515,Archery,1976,41.0,3
516,Archery,1976,42.0,1
517,Archery,1976,48.0,1
518,Archery,1980,16.0,2
519,Archery,1980,17.0,1
