lindex,Sport,Year,Age,count
1872,Badminton,1992,17.0,1
1873,Badminton,1992,18.0,9
1874,Badminton,1992,19.0,12
1875,Badminton,1992,20.0,15
1876,Badminton,1992,21.0,19
1877,Badminton,1992,22.0,15
1878,Badminton,1992,23.0,23
1879,Badminton,1992,24.0,22
1880,Badminton,1992,25.0,16
1881,Badminton,1992,26.0,26
1882,Badminton,1992,27.0,18
1883,Badminton,1992,28.0,24
1884,Badminton,1992,29.0,8
1885,Badminton,1992,30.0,8
1886,Badminton,1992,31.0,2
1887,Badminton,1992,32.0,7
1888,Badminton,1992,33.0,1
1889,Badminton,1996,16.0,1
1890,Badminton,1996,17.0,1
1891,Badminton,1996,18.0,1
1892,Badminton,1996,19.0,8
1893,Badminton,1996,20.0,8
1894,Badminton,1996,21.0,27
1895,Badminton,1996,22.0,23
1896,Badminton,1996,23.0,22
1897,Badminton,1996,24.0,29
1898,Badminton,1996,25.0,15
1899,Badminton,1996,26.0,27
1900,Badminton,1996,27.0,24
1901,Badminton,1996,28.0,13
1902,Badminton,1996,29.0,15
1903,Badminton,1996,30.0,21
1904,Badminton,1996,31.0,8
1905,Badminton,1996,32.0,7
1906,Badminton,1996,33.0,2
1907,Badminton,1996,34.0,7
1908,Badminton,1996,35.0,3
1909,Badminton,1996,36.0,1
1910,Badminton,2000,18.0,1
1911,Badminton,2000,19.0,6
1912,Badminton,2000,20.0,9
1913,Badminton,2000,21.0,14
1914,Badminton,2000,22.0,21
1915,Badminton,2000,23.0,19
1916,Badminton,2000,24.0,29
1917,Badminton,2000,25.0,24
1918,Badminton,2000,26.0,25
1919,Badminton,2000,27.0,15
1920,Badminton,2000,28.0,20
1921,Badminton,2000,29.0,6
1922,Badminton,2000,30.0,10
1923,Badminton,2000,31.0,8
1924,Badminton,2000,32.0,7
1925,Badminton,2000,33.0,2
1926,Badminton,2000,34.0,5
1927,Badminton,2000,35.0,2
1928,Badminton,2000,37.0,1
1929,Badminton,2000,40.0,1
1930,Badminton,2004,18.0,1
1931,Badminton,2004,19.0,1
1932,Badminton,2004,20.0,6
1933,Badminton,2004,21.0,16
1934,Badminton,2004,22.0,11
1935,Badminton,2004,23.0,18
1936,Badminton,2004,24.0,20
1937,Badminton,2004,25.0,22
1938,Badminton,2004,26.0,24
1939,Badminton,2004,27.0,20
1940,Badminton,2004,28.0,22
1941,Badminton,2004,29.0,15
1942,Badminton,2004,30.0,13
1943,Badminton,2004,31.0,3
1944,Badminton,2004,32.0,1
1945,Badminton,2004,33.0,1
1946,Badminton,2004,34.0,2
1947,Badminton,2004,37.0,2
1948,Badminton,2004,44.0,2
1949,Badminton,2008,17.0,1
1950,Badminton,2008,18.0,2
1951,Badminton,2008,19.0,5
1952,Badminton,2008,20.0,5
1953,Badminton,2008,21.0,8
1954,Badminton,2008,22.0,16
1955,Badminton,2008,23.0,12
1956,Badminton,2008,24.0,26
1957,Badminton,2008,25.0,23
1958,Badminton,2008,26.0,15
1959,Badminton,2008,27.0,18
1960,Badminton,2008,28.0,6
1961,Badminton,2008,29.0,11
1962,Badminton,2008,30.0,12
1963,Badminton,2008,31.0,6
1964,Badminton,2008,32.0,7
1965,Badminton,2008,33.0,3
1966,Badminton,2008,34.0,3
1967,Badminton,2008,35.0,3
1968,Badminton,2008,36.0,1
1969,Badminton,2008,38.0,1
1970,Badminton,2012,17.0,1
1971,Badminton,2012,18.0,2
1972,Badminton,2012,19.0,1
1973,Badminton,2012,20.0,8
1974,Badminton,2012,21.0,10
1975,Badminton,2012,22.0,12
1976,Badminton,2012,23.0,16
1977,Badminton,2012,24.0,15
1978,Badminton,2012,25.0,22
1979,Badminton,2012,26.0,19
1980,Badminton,2012,27.0,12
1981,Badminton,2012,28.0,19
1982,Badminton,2012,29.0,12
1983,Badminton,2012,30.0,8
1984,Badminton,2012,31.0,5
1985,Badminton,2012,32.0,5
1986,Badminton,2012,33.0,7
1987,Badminton,2012,34.0,3
1988,Badminton,2012,35.0,2
1989,Badminton,2012,36.0,1
1990,Badminton,2012,37.0,1
1991,Badminton,2012,38.0,1
1992,Badminton,2016,19.0,3
1993,Badminton,2016,20.0,4
1994,Badminton,2016,21.0,7
1995,Badminton,2016,22.0,12
1996,Badminton,2016,23.0,8
1997,Badminton,2016,24.0,14
1998,Badminton,2016,25.0,20
1999,Badminton,2016,26.0,21
2000,Badminton,2016,27.0,18
2001,Badminton,2016,28.0,11
2002,Badminton,2016,29.0,15
2003,Badminton,2016,30.0,12
2004,Badminton,2016,31.0,11
2005,Badminton,2016,32.0,7
2006,Badminton,2016,33.0,4
2007,Badminton,2016,34.0,6
2008,Badminton,2016,35.0,1
2009,Badminton,2016,36.0,1
2010,Badminton,2016,37.0,1
2011,Badminton,2016,40.0,1
