lindex,Sport,Year,Age,count
2012,Baseball,1992,16.0,1
2013,Baseball,1992,18.0,2
2014,Baseball,1992,19.0,8
2015,Baseball,1992,20.0,10
2016,Baseball,1992,21.0,21
2017,Baseball,1992,22.0,8
2018,Baseball,1992,23.0,14
2019,Baseball,1992,24.0,18
2020,Baseball,1992,25.0,15
2021,Baseball,1992,26.0,11
2022,Baseball,1992,27.0,13
2023,Baseball,1992,28.0,8
2024,Baseball,1992,29.0,10
2025,Baseball,1992,30.0,7
2026,Baseball,1992,31.0,6
2027,Baseball,1992,32.0,4
2028,Baseball,1992,35.0,1
2029,Baseball,1992,36.0,2
2030,Baseball,1996,18.0,1
2031,Baseball,1996,19.0,6
2032,Baseball,1996,20.0,9
2033,Baseball,1996,21.0,21
2034,Baseball,1996,22.0,20
2035,Baseball,1996,23.0,14
2036,Baseball,1996,24.0,13
2037,Baseball,1996,25.0,9
2038,Baseball,1996,26.0,10
2039,Baseball,1996,27.0,11
2040,Baseball,1996,28.0,11
2041,Baseball,1996,29.0,6
2042,Baseball,1996,30.0,8
2043,Baseball,1996,31.0,7
2044,Baseball,1996,32.0,4
2045,Baseball,1996,33.0,5
2046,Baseball,1996,34.0,2
2047,Baseball,1996,35.0,3
2048,Baseball,2000,18.0,1
2049,Baseball,2000,19.0,5
2050,Baseball,2000,20.0,8
2051,Baseball,2000,21.0,13
2052,Baseball,2000,22.0,13
2053,Baseball,2000,23.0,15
2054,Baseball,2000,24.0,15
2055,Baseball,2000,25.0,13
2056,Baseball,2000,26.0,15
2057,Baseball,2000,27.0,14
2058,Baseball,2000,28.0,12
2059,Baseball,2000,29.0,9
2060,Baseball,2000,30.0,13
2061,Baseball,2000,31.0,13
2062,Baseball,2000,32.0,6
2063,Baseball,2000,33.0,6
2064,Baseball,2000,34.0,4
2065,Baseball,2000,35.0,4
2066,Baseball,2000,36.0,4
2067,Baseball,2000,37.0,4
2068,Baseball,2000,38.0,1
2069,Baseball,2000,39.0,1
2070,Baseball,2000,40.0,1
2071,Baseball,2000,41.0,1
2072,Baseball,2000,44.0,1
2073,Baseball,2004,18.0,1
2074,Baseball,2004,19.0,3
2075,Baseball,2004,20.0,6
2076,Baseball,2004,21.0,6
2077,Baseball,2004,22.0,9
2078,Baseball,2004,23.0,20
2079,Baseball,2004,24.0,17
2080,Baseball,2004,25.0,17
2081,Baseball,2004,26.0,18
2082,Baseball,2004,27.0,16
2083,Baseball,2004,28.0,18
2084,Baseball,2004,29.0,12
2085,Baseball,2004,30.0,9
2086,Baseball,2004,31.0,12
2087,Baseball,2004,32.0,4
2088,Baseball,2004,33.0,9
2089,Baseball,2004,34.0,2
2090,Baseball,2004,35.0,5
2091,Baseball,2004,36.0,1
2092,Baseball,2004,37.0,2
2093,Baseball,2004,38.0,3
2094,Baseball,2004,39.0,1
2095,Baseball,2008,18.0,2
2096,Baseball,2008,19.0,3
2097,Baseball,2008,20.0,9
2098,Baseball,2008,21.0,8
2099,Baseball,2008,22.0,15
2100,Baseball,2008,23.0,9
2101,Baseball,2008,24.0,16
2102,Baseball,2008,25.0,13
2103,Baseball,2008,26.0,14
2104,Baseball,2008,27.0,13
2105,Baseball,2008,28.0,22
2106,Baseball,2008,29.0,11
2107,Baseball,2008,30.0,14
2108,Baseball,2008,31.0,11
2109,Baseball,2008,32.0,6
2110,Baseball,2008,33.0,7
2111,Baseball,2008,34.0,3
2112,Baseball,2008,35.0,6
2113,Baseball,2008,36.0,2
2114,Baseball,2008,37.0,5
2115,Baseball,2008,39.0,1
2116,Baseball,2008,41.0,1
