lindex,Sport,Year,Age,count
2117,Basketball,1936,17.0,1
2118,Basketball,1936,18.0,5
2119,Basketball,1936,19.0,7
2120,Basketball,1936,20.0,14
2121,Basketball,1936,21.0,23
2122,Basketball,1936,22.0,27
2123,Basketball,1936,23.0,21
2124,Basketball,1936,24.0,23
2125,Basketball,1936,25.0,20
2126,Basketball,1936,26.0,11
2127,Basketball,1936,27.0,18
2128,Basketball,1936,28.0,10
2129,Basketball,1936,29.0,5
2130,Basketball,1936,30.0,5
2131,Basketball,1936,31.0,2
2132,Basketball,1936,32.0,1
2133,Basketball,1936,34.0,1
2134,Basketball,1948,17.0,1
2135,Basketball,1948,18.0,2
2136,Basketball,1948,19.0,4
2137,Basketball,1948,20.0,7
2138,Basketball,1948,21.0,26
2139,Basketball,1948,22.0,21
2140,Basketball,1948,23.0,25
2141,Basketball,1948,24.0,20
2142,Basketball,1948,25.0,18
2143,Basketball,1948,26.0,14
2144,Basketball,1948,27.0,10
2145,Basketball,1948,28.0,8
2146,Basketball,1948,29.0,6
2147,Basketball,1948,30.0,6
2148,Basketball,1948,31.0,3
2149,Basketball,1948,32.0,3
2150,Basketball,1948,33.0,2
2151,Basketball,1948,34.0,1
2152,Basketball,1948,35.0,3
2153,Basketball,1948,36.0,2
2154,Basketball,1952,18.0,9
2155,Basketball,1952,19.0,12
2156,Basketball,1952,20.0,17
2157,Basketball,1952,21.0,29
2158,Basketball,1952,22.0,29
2159,Basketball,1952,23.0,27
2160,Basketball,1952,24.0,27
2161,Basketball,1952,25.0,26
2162,Basketball,1952,26.0,30
2163,Basketball,1952,27.0,21
2164,Basketball,1952,28.0,17
2165,Basketball,1952,29.0,13
2166,Basketball,1952,30.0,11
2167,Basketball,1952,31.0,6
2168,Basketball,1952,32.0,2
2169,Basketball,1952,34.0,1
2170,Basketball,1952,35.0,2
2171,Basketball,1952,37.0,1
2172,Basketball,1956,18.0,1
2173,Basketball,1956,19.0,4
2174,Basketball,1956,20.0,8
2175,Basketball,1956,21.0,7
2176,Basketball,1956,22.0,16
2177,Basketball,1956,23.0,15
2178,Basketball,1956,24.0,10
2179,Basketball,1956,25.0,12
2180,Basketball,1956,26.0,12
2181,Basketball,1956,27.0,8
2182,Basketball,1956,28.0,3
2183,Basketball,1956,29.0,5
2184,Basketball,1956,30.0,4
2185,Basketball,1956,31.0,4
2186,Basketball,1956,33.0,1
2187,Basketball,1956,34.0,1
2188,Basketball,1956,35.0,2
2189,Basketball,1960,18.0,3
2190,Basketball,1960,19.0,6
2191,Basketball,1960,20.0,16
2192,Basketball,1960,21.0,23
2193,Basketball,1960,22.0,26
2194,Basketball,1960,23.0,25
2195,Basketball,1960,24.0,21
2196,Basketball,1960,25.0,19
2197,Basketball,1960,26.0,13
2198,Basketball,1960,27.0,7
2199,Basketball,1960,28.0,16
2200,Basketball,1960,29.0,5
2201,Basketball,1960,30.0,5
2202,Basketball,1960,31.0,3
2203,Basketball,1960,33.0,1
2204,Basketball,1960,35.0,2
2205,Basketball,1960,39.0,1
2206,Basketball,1964,18.0,3
2207,Basketball,1964,19.0,4
2208,Basketball,1964,20.0,11
2209,Basketball,1964,21.0,16
2210,Basketball,1964,22.0,19
2211,Basketball,1964,23.0,27
2212,Basketball,1964,24.0,19
2213,Basketball,1964,25.0,22
2214,Basketball,1964,26.0,16
2215,Basketball,1964,27.0,19
2216,Basketball,1964,28.0,11
2217,Basketball,1964,29.0,11
2218,Basketball,1964,30.0,5
2219,Basketball,1964,32.0,2
2220,Basketball,1964,33.0,1
2221,Basketball,1964,34.0,2
2222,Basketball,1964,35.0,1
2223,Basketball,1968,17.0,2
2224,Basketball,1968,18.0,3
2225,Basketball,1968,19.0,9
2226,Basketball,1968,20.0,10
2227,Basketball,1968,21.0,19
2228,Basketball,1968,22.0,18
2229,Basketball,1968,23.0,15
2230,Basketball,1968,24.0,26
2231,Basketball,1968,25.0,18
2232,Basketball,1968,26.0,10
2233,Basketball,1968,27.0,13
2234,Basketball,1968,28.0,14
2235,Basketball,1968,29.0,9
2236,Basketball,1968,30.0,9
2237,Basketball,1968,31.0,8
2238,Basketball,1968,33.0,2
2239,Basketball,1968,35.0,1
2240,Basketball,1972,18.0,2
2241,Basketball,1972,19.0,5
2242,Basketball,1972,20.0,17
2243,Basketball,1972,21.0,27
2244,Basketball,1972,22.0,15
2245,Basketball,1972,23.0,25
2246,Basketball,1972,24.0,22
2247,Basketball,1972,25.0,20
2248,Basketball,1972,26.0,11
2249,Basketball,1972,27.0,18
2250,Basketball,1972,28.0,8
