lindex,Sport,Year,Age,count
2472,Beach Volleyball,1996,19.0,1
2473,Beach Volleyball,1996,21.0,1
2474,Beach Volleyball,1996,22.0,2
2475,Beach Volleyball,1996,23.0,2
2476,Beach Volleyball,1996,24.0,3
2477,Beach Volleyball,1996,25.0,6
2478,Beach Volleyball,1996,26.0,8
2479,Beach Volleyball,1996,27.0,12
2480,Beach Volleyball,1996,28.0,9
2481,Beach Volleyball,1996,29.0,6
2482,Beach Volleyball,1996,30.0,8
2483,Beach Volleyball,1996,31.0,7
2484,Beach Volleyball,1996,32.0,3
2485,Beach Volleyball,1996,33.0,5
2486,Beach Volleyball,1996,34.0,5
2487,Beach Volleyball,1996,35.0,2
2488,Beach Volleyball,1996,36.0,1
2489,Beach Volleyball,1996,38.0,2
2490,Beach Volleyball,1996,39.0,1
2491,Beach Volleyball,2000,19.0,1
2492,Beach Volleyball,2000,20.0,1
2493,Beach Volleyball,2000,21.0,1
2494,Beach Volleyball,2000,22.0,2
2495,Beach Volleyball,2000,23.0,3
2496,Beach Volleyball,2000,24.0,3
2497,Beach Volleyball,2000,25.0,7
2498,Beach Volleyball,2000,26.0,7
2499,Beach Volleyball,2000,27.0,7
2500,Beach Volleyball,2000,28.0,7
2501,Beach Volleyball,2000,29.0,11
2502,Beach Volleyball,2000,30.0,9
2503,Beach Volleyball,2000,31.0,12
2504,Beach Volleyball,2000,32.0,7
2505,Beach Volleyball,2000,33.0,4
2506,Beach Volleyball,2000,34.0,8
2507,Beach Volleyball,2000,35.0,2
2508,Beach Volleyball,2000,36.0,1
2509,Beach Volleyball,2000,37.0,2
2510,Beach Volleyball,2000,38.0,1
2511,Beach Volleyball,2004,19.0,1
2512,Beach Volleyball,2004,21.0,1
2513,Beach Volleyball,2004,22.0,3
2514,Beach Volleyball,2004,23.0,4
2515,Beach Volleyball,2004,24.0,1
2516,Beach Volleyball,2004,25.0,6
2517,Beach Volleyball,2004,26.0,6
2518,Beach Volleyball,2004,27.0,6
2519,Beach Volleyball,2004,28.0,7
2520,Beach Volleyball,2004,29.0,9
2521,Beach Volleyball,2004,30.0,9
2522,Beach Volleyball,2004,31.0,9
2523,Beach Volleyball,2004,32.0,13
2524,Beach Volleyball,2004,33.0,6
2525,Beach Volleyball,2004,34.0,4
2526,Beach Volleyball,2004,35.0,6
2527,Beach Volleyball,2004,36.0,2
2528,Beach Volleyball,2004,37.0,2
2529,Beach Volleyball,2004,39.0,1
2530,Beach Volleyball,2008,19.0,1
2531,Beach Volleyball,2008,21.0,1
2532,Beach Volleyball,2008,22.0,2
2533,Beach Volleyball,2008,23.0,5
2534,Beach Volleyball,2008,24.0,3
2535,Beach Volleyball,2008,25.0,8
2536,Beach Volleyball,2008,26.0,7
2537,Beach Volleyball,2008,27.0,8
2538,Beach Volleyball,2008,28.0,6
2539,Beach Volleyball,2008,29.0,11
2540,Beach Volleyball,2008,30.0,4
2541,Beach Volleyball,2008,31.0,9
2542,Beach Volleyball,2008,32.0,7
2543,Beach Volleyball,2008,33.0,5
2544,Beach Volleyball,2008,34.0,4
2545,Beach Volleyball,2008,35.0,4
2546,Beach Volleyball,2008,36.0,7
2547,Beach Volleyball,2008,38.0,1
2548,Beach Volleyball,2008,39.0,1
2549,Beach Volleyball,2008,40.0,1
2550,Beach Volleyball,2008,41.0,1
2551,Beach Volleyball,2012,21.0,3
2552,Beach Volleyball,2012,22.0,2
2553,Beach Volleyball,2012,23.0,5
2554,Beach Volleyball,2012,24.0,9
2555,Beach Volleyball,2012,25.0,8
2556,Beach Volleyball,2012,26.0,7
2557,Beach Volleyball,2012,27.0,8
2558,Beach Volleyball,2012,28.0,5
2559,Beach Volleyball,2012,29.0,6
2560,Beach Volleyball,2012,30.0,10
2561,Beach Volleyball,2012,31.0,4
2562,Beach Volleyball,2012,32.0,5
2563,Beach Volleyball,2012,33.0,5
2564,Beach Volleyball,2012,34.0,4
2565,Beach Volleyball,2012,35.0,5
2566,Beach Volleyball,2012,36.0,2
2567,Beach Volleyball,2012,37.0,3
2568,Beach Volleyball,2012,38.0,2
2569,Beach Volleyball,2012,39.0,2
2570,Beach Volleyball,2012,40.0,1
2571,Beach Volleyball,2016,18.0,1
2572,Beach Volleyball,2016,19.0,1
2573,Beach Volleyball,2016,21.0,1
2574,Beach Volleyball,2016,22.0,3
2575,Beach Volleyball,2016,23.0,1
2576,Beach Volleyball,2016,24.0,6
2577,Beach Volleyball,2016,25.0,7
2578,Beach Volleyball,2016,26.0,10
2579,Beach Volleyball,2016,27.0,9
2580,Beach Volleyball,2016,28.0,8
2581,Beach Volleyball,2016,29.0,13
2582,Beach Volleyball,2016,30.0,11
2583,Beach Volleyball,2016,31.0,4
2584,Beach Volleyball,2016,32.0,2
2585,Beach Volleyball,2016,33.0,4
2586,Beach Volleyball,2016,34.0,6
2587,Beach Volleyball,2016,35.0,2
2588,Beach Volleyball,2016,36.0,4
2589,Beach Volleyball,2016,37.0,1
2590,Beach Volleyball,2016,39.0,1
2591,Beach Volleyball,2016,40.0,1
