lindex,Sport,Year,Age,count
3339,Boxing,1904,17.0,1
3340,Boxing,1904,18.0,2
3341,Boxing,1904,19.0,2
3342,Boxing,1904,20.0,2
3343,Boxing,1904,21.0,1
3344,Boxing,1904,23.0,1
3345,Boxing,1904,26.0,5
3346,Boxing,1904,27.0,1
3347,Boxing,1904,28.0,1
3348,Boxing,1904,31.0,2
3349,Boxing,1908,19.0,2
3350,Boxing,1908,20.0,1
3351,Boxing,1908,21.0,2
3352,Boxing,1908,23.0,2
3353,Boxing,1908,24.0,4
3354,Boxing,1908,25.0,2
3355,Boxing,1908,26.0,1
3356,Boxing,1908,27.0,2
3357,Boxing,1908,28.0,1
3358,Boxing,1908,32.0,1
3359,Boxing,1908,33.0,1
3360,Boxing,1908,37.0,1
3361,Boxing,1920,16.0,4
3362,Boxing,1920,17.0,6
3363,Boxing,1920,18.0,4
3364,Boxing,1920,19.0,14
3365,Boxing,1920,20.0,8
3366,Boxing,1920,21.0,10
3367,Boxing,1920,22.0,8
3368,Boxing,1920,23.0,2
3369,Boxing,1920,24.0,8
3370,Boxing,1920,25.0,6
3371,Boxing,1920,26.0,2
3372,Boxing,1920,27.0,6
3373,Boxing,1920,30.0,1
3374,Boxing,1920,31.0,2
3375,Boxing,1920,36.0,1
3376,Boxing,1924,15.0,1
3377,Boxing,1924,16.0,7
3378,Boxing,1924,17.0,10
3379,Boxing,1924,18.0,20
3380,Boxing,1924,19.0,23
3381,Boxing,1924,20.0,29
3382,Boxing,1924,21.0,20
3383,Boxing,1924,22.0,14
3384,Boxing,1924,23.0,11
3385,Boxing,1924,24.0,8
3386,Boxing,1924,25.0,3
3387,Boxing,1924,26.0,7
3388,Boxing,1924,28.0,1
3389,Boxing,1924,29.0,2
3390,Boxing,1924,30.0,1
3391,Boxing,1924,31.0,1
3392,Boxing,1924,33.0,1
3393,Boxing,1924,35.0,1
3394,Boxing,1928,15.0,2
3395,Boxing,1928,17.0,5
3396,Boxing,1928,18.0,9
3397,Boxing,1928,19.0,10
3398,Boxing,1928,20.0,22
3399,Boxing,1928,21.0,13
3400,Boxing,1928,22.0,13
3401,Boxing,1928,23.0,10
3402,Boxing,1928,24.0,8
3403,Boxing,1928,25.0,2
3404,Boxing,1928,26.0,5
3405,Boxing,1928,27.0,5
3406,Boxing,1928,28.0,1
3407,Boxing,1928,29.0,1
3408,Boxing,1928,30.0,1
3409,Boxing,1928,32.0,1
3410,Boxing,1932,16.0,1
3411,Boxing,1932,17.0,2
3412,Boxing,1932,18.0,3
3413,Boxing,1932,19.0,7
3414,Boxing,1932,20.0,14
3415,Boxing,1932,21.0,12
3416,Boxing,1932,22.0,11
3417,Boxing,1932,23.0,5
3418,Boxing,1932,24.0,4
3419,Boxing,1932,25.0,5
3420,Boxing,1932,26.0,3
3421,Boxing,1932,27.0,3
3422,Boxing,1936,17.0,3
3423,Boxing,1936,18.0,12
3424,Boxing,1936,19.0,17
3425,Boxing,1936,20.0,22
3426,Boxing,1936,21.0,24
3427,Boxing,1936,22.0,27
3428,Boxing,1936,23.0,23
3429,Boxing,1936,24.0,15
3430,Boxing,1936,25.0,14
3431,Boxing,1936,26.0,7
3432,Boxing,1936,27.0,9
3433,Boxing,1936,28.0,4
3434,Boxing,1936,29.0,2
3435,Boxing,1948,17.0,6
3436,Boxing,1948,18.0,10
3437,Boxing,1948,19.0,17
3438,Boxing,1948,20.0,26
3439,Boxing,1948,21.0,23
3440,Boxing,1948,22.0,20
3441,Boxing,1948,23.0,10
3442,Boxing,1948,24.0,5
3443,Boxing,1948,25.0,7
3444,Boxing,1948,26.0,5
3445,Boxing,1948,27.0,4
3446,Boxing,1948,28.0,4
3447,Boxing,1948,29.0,5
3448,Boxing,1948,30.0,3
3449,Boxing,1948,32.0,1
3450,Boxing,1948,33.0,2
3451,Boxing,1948,35.0,1
3452,Boxing,1948,36.0,1
3453,Boxing,1948,38.0,2
3454,Boxing,1952,17.0,8
3455,Boxing,1952,18.0,10
3456,Boxing,1952,19.0,18
3457,Boxing,1952,20.0,24
3458,Boxing,1952,21.0,39
3459,Boxing,1952,22.0,41
3460,Boxing,1952,23.0,34
3461,Boxing,1952,24.0,26
3462,Boxing,1952,25.0,12
3463,Boxing,1952,26.0,10
3464,Boxing,1952,27.0,8
3465,Boxing,1952,28.0,5
3466,Boxing,1952,29.0,3
