lindex,Sport,Year,Age,count
4196,Cross Country Skiing,1924,18.0,2
4197,Cross Country Skiing,1924,20.0,4
4198,Cross Country Skiing,1924,21.0,3
4199,Cross Country Skiing,1924,22.0,2
4200,Cross Country Skiing,1924,23.0,7
4201,Cross Country Skiing,1924,24.0,5
4202,Cross Country Skiing,1924,25.0,4
4203,Cross Country Skiing,1924,26.0,9
4204,Cross Country Skiing,1924,27.0,4
4205,Cross Country Skiing,1924,28.0,7
4206,Cross Country Skiing,1924,29.0,6
4207,Cross Country Skiing,1924,30.0,7
4208,Cross Country Skiing,1924,32.0,2
4209,Cross Country Skiing,1924,33.0,2
4210,Cross Country Skiing,1924,35.0,1
4211,Cross Country Skiing,1928,18.0,2
4212,Cross Country Skiing,1928,19.0,1
4213,Cross Country Skiing,1928,21.0,4
4214,Cross Country Skiing,1928,22.0,3
4215,Cross Country Skiing,1928,23.0,6
4216,Cross Country Skiing,1928,24.0,9
4217,Cross Country Skiing,1928,25.0,12
4218,Cross Country Skiing,1928,26.0,5
4219,Cross Country Skiing,1928,27.0,9
4220,Cross Country Skiing,1928,28.0,5
4221,Cross Country Skiing,1928,29.0,8
4222,Cross Country Skiing,1928,30.0,4
4223,Cross Country Skiing,1928,31.0,1
4224,Cross Country Skiing,1928,32.0,4
4225,Cross Country Skiing,1928,34.0,4
4226,Cross Country Skiing,1928,39.0,1
4227,Cross Country Skiing,1932,18.0,1
4228,Cross Country Skiing,1932,20.0,1
4229,Cross Country Skiing,1932,21.0,5
4230,Cross Country Skiing,1932,22.0,5
4231,Cross Country Skiing,1932,23.0,7
4232,Cross Country Skiing,1932,24.0,11
4233,Cross Country Skiing,1932,25.0,5
4234,Cross Country Skiing,1932,26.0,5
4235,Cross Country Skiing,1932,27.0,6
4236,Cross Country Skiing,1932,28.0,6
4237,Cross Country Skiing,1932,29.0,5
4238,Cross Country Skiing,1932,30.0,4
4239,Cross Country Skiing,1932,32.0,2
4240,Cross Country Skiing,1932,33.0,4
4241,Cross Country Skiing,1936,17.0,1
4242,Cross Country Skiing,1936,18.0,1
4243,Cross Country Skiing,1936,20.0,5
4244,Cross Country Skiing,1936,21.0,7
4245,Cross Country Skiing,1936,22.0,15
4246,Cross Country Skiing,1936,23.0,20
4247,Cross Country Skiing,1936,24.0,24
4248,Cross Country Skiing,1936,25.0,24
4249,Cross Country Skiing,1936,26.0,15
4250,Cross Country Skiing,1936,27.0,24
4251,Cross Country Skiing,1936,28.0,16
4252,Cross Country Skiing,1936,29.0,6
4253,Cross Country Skiing,1936,30.0,6
4254,Cross Country Skiing,1936,31.0,3
4255,Cross Country Skiing,1936,32.0,4
4256,Cross Country Skiing,1936,34.0,4
4257,Cross Country Skiing,1948,20.0,3
