lindex,Sport,Year,Age,count
4647,Curling,1924,23.0,1
4648,Curling,1924,29.0,1
4649,Curling,1924,33.0,1
4650,Curling,1924,39.0,2
4651,Curling,1924,41.0,1
4652,Curling,1924,44.0,2
4653,Curling,1924,46.0,1
4654,Curling,1924,47.0,1
4655,Curling,1924,48.0,1
4656,Curling,1924,49.0,2
4657,Curling,1924,52.0,1
4658,Curling,1924,54.0,1
4659,Curling,1924,58.0,1
4660,Curling,1998,19.0,1
4661,Curling,1998,20.0,2
4662,Curling,1998,21.0,1
4663,Curling,1998,22.0,1
4664,Curling,1998,23.0,3
4665,Curling,1998,24.0,4
4666,Curling,1998,25.0,5
4667,Curling,1998,26.0,2
4668,Curling,1998,27.0,5
4669,Curling,1998,28.0,3
4670,Curling,1998,29.0,9
4671,Curling,1998,30.0,6
4672,Curling,1998,31.0,2
4673,Curling,1998,32.0,10
4674,Curling,1998,33.0,5
4675,Curling,1998,34.0,4
4676,Curling,1998,35.0,1
4677,Curling,1998,36.0,2
4678,Curling,1998,37.0,5
4679,Curling,1998,38.0,2
4680,Curling,1998,39.0,3
4681,Curling,1998,40.0,1
4682,Curling,1998,42.0,2
4683,Curling,1998,50.0,1
4684,Curling,2002,17.0,1
4685,Curling,2002,18.0,1
4686,Curling,2002,21.0,1
4687,Curling,2002,23.0,6
4688,Curling,2002,24.0,3
4689,Curling,2002,25.0,3
4690,Curling,2002,26.0,1
4691,Curling,2002,27.0,7
4692,Curling,2002,28.0,6
4693,Curling,2002,29.0,4
4694,Curling,2002,30.0,9
4695,Curling,2002,31.0,3
4696,Curling,2002,32.0,2
4697,Curling,2002,33.0,6
4698,Curling,2002,34.0,6
4699,Curling,2002,35.0,9
4700,Curling,2002,36.0,4
4701,Curling,2002,37.0,3
4702,Curling,2002,38.0,5
4703,Curling,2002,39.0,4
4704,Curling,2002,40.0,1
4705,Curling,2002,41.0,4
4706,Curling,2002,43.0,3
4707,Curling,2002,44.0,1
4708,Curling,2002,45.0,2
4709,Curling,2002,48.0,1
4710,Curling,2006,17.0,1
4711,Curling,2006,19.0,4
4712,Curling,2006,21.0,6
4713,Curling,2006,22.0,4
4714,Curling,2006,23.0,4
4715,Curling,2006,24.0,3
4716,Curling,2006,25.0,3
4717,Curling,2006,26.0,5
4718,Curling,2006,27.0,6
4719,Curling,2006,28.0,3
4720,Curling,2006,29.0,2
4721,Curling,2006,30.0,4
4722,Curling,2006,31.0,2
4723,Curling,2006,32.0,4
4724,Curling,2006,33.0,1
4725,Curling,2006,34.0,6
4726,Curling,2006,35.0,5
4727,Curling,2006,36.0,3
4728,Curling,2006,37.0,5
4729,Curling,2006,38.0,4
4730,Curling,2006,39.0,3
4731,Curling,2006,40.0,1
4732,Curling,2006,41.0,1
4733,Curling,2006,42.0,3
4734,Curling,2006,43.0,2
4735,Curling,2006,44.0,1
4736,Curling,2006,45.0,2
4737,Curling,2006,46.0,1
4738,Curling,2006,49.0,1
4739,Curling,2006,50.0,1
4740,Curling,2010,17.0,1
4741,Curling,2010,19.0,2
4742,Curling,2010,20.0,2
4743,Curling,2010,21.0,2
4744,Curling,2010,22.0,3
4745,Curling,2010,23.0,2
4746,Curling,2010,24.0,5
4747,Curling,2010,25.0,7
4748,Curling,2010,26.0,10
4749,Curling,2010,27.0,6
4750,Curling,2010,28.0,5
4751,Curling,2010,29.0,3
4752,Curling,2010,30.0,3
4753,Curling,2010,31.0,3
4754,Curling,2010,32.0,2
4755,Curling,2010,33.0,2
4756,Curling,2010,34.0,4
4757,Curling,2010,35.0,4
4758,Curling,2010,36.0,4
4759,Curling,2010,37.0,1
4760,Curling,2010,38.0,5
4761,Curling,2010,39.0,3
4762,Curling,2010,40.0,2
4763,Curling,2010,41.0,1
4764,Curling,2010,42.0,2
4765,Curling,2010,43.0,3
4766,Curling,2010,44.0,3
4767,Curling,2010,45.0,1
4768,Curling,2010,46.0,1
4769,Curling,2010,47.0,1
4770,Curling,2014,21.0,1
4771,Curling,2014,22.0,5
4772,Curling,2014,23.0,8
4773,Curling,2014,24.0,3
4774,Curling,2014,25.0,12
4775,Curling,2014,26.0,4
4776,Curling,2014,27.0,4
4777,Curling,2014,28.0,8
4778,Curling,2014,29.0,6
4779,Curling,2014,30.0,3
4780,Curling,2014,31.0,4
4781,Curling,2014,32.0,2
4782,Curling,2014,33.0,3
4783,Curling,2014,34.0,3
4784,Curling,2014,35.0,5
4785,Curling,2014,36.0,1
4786,Curling,2014,37.0,2
4787,Curling,2014,38.0,4
4788,Curling,2014,39.0,2
4789,Curling,2014,40.0,1
4790,Curling,2014,41.0,1
4791,Curling,2014,42.0,2
4792,Curling,2014,44.0,1
4793,Curling,2014,45.0,1
4794,Curling,2014,48.0,1
