lindex,Sport,Year,Age,count
6617,Fencing,1896,18.0,1
6618,Fencing,1896,20.0,3
6619,Fencing,1896,23.0,1
6620,Fencing,1896,29.0,1
6621,Fencing,1900,16.0,2
6622,Fencing,1900,17.0,1
6623,Fencing,1900,18.0,1
6624,Fencing,1900,19.0,3
6625,Fencing,1900,20.0,3
6626,Fencing,1900,21.0,1
6627,Fencing,1900,22.0,7
6628,Fencing,1900,23.0,4
6629,Fencing,1900,24.0,4
6630,Fencing,1900,25.0,7
6631,Fencing,1900,26.0,12
6632,Fencing,1900,27.0,3
6633,Fencing,1900,28.0,8
6634,Fencing,1900,29.0,9
6635,Fencing,1900,30.0,4
6636,Fencing,1900,31.0,6
6637,Fencing,1900,32.0,4
6638,Fencing,1900,33.0,10
6639,Fencing,1900,34.0,10
6640,Fencing,1900,35.0,12
6641,Fencing,1900,36.0,3
6642,Fencing,1900,37.0,3
6643,Fencing,1900,38.0,4
6644,Fencing,1900,41.0,2
6645,Fencing,1900,43.0,1
6646,Fencing,1900,44.0,1
6647,Fencing,1900,45.0,4
6648,Fencing,1900,46.0,3
6649,Fencing,1900,51.0,1
6650,Fencing,1900,57.0,1
6651,Fencing,1904,20.0,3
6652,Fencing,1904,25.0,5
6653,Fencing,1904,26.0,1
6654,Fencing,1904,29.0,2
6655,Fencing,1904,30.0,2
6656,Fencing,1904,35.0,3
6657,Fencing,1904,37.0,5
6658,Fencing,1904,40.0,1
6659,Fencing,1904,49.0,3
6660,Fencing,1906,17.0,2
6661,Fencing,1906,19.0,3
6662,Fencing,1906,20.0,1
6663,Fencing,1906,21.0,3
6664,Fencing,1906,22.0,7
6665,Fencing,1906,23.0,14
6666,Fencing,1906,24.0,10
6667,Fencing,1906,25.0,11
6668,Fencing,1906,26.0,6
6669,Fencing,1906,28.0,3
6670,Fencing,1906,29.0,7
6671,Fencing,1906,30.0,5
6672,Fencing,1906,31.0,5
6673,Fencing,1906,32.0,5
6674,Fencing,1906,33.0,14
6675,Fencing,1906,38.0,4
6676,Fencing,1906,39.0,5
6677,Fencing,1906,40.0,5
6678,Fencing,1906,41.0,1
6679,Fencing,1906,42.0,7
6680,Fencing,1906,43.0,1
6681,Fencing,1906,50.0,1
6682,Fencing,1906,52.0,1
6683,Fencing,1908,17.0,1
6684,Fencing,1908,19.0,3
6685,Fencing,1908,20.0,3
6686,Fencing,1908,21.0,1
6687,Fencing,1908,22.0,6
6688,Fencing,1908,23.0,15
6689,Fencing,1908,24.0,18
6690,Fencing,1908,25.0,15
6691,Fencing,1908,26.0,25
6692,Fencing,1908,27.0,13
6693,Fencing,1908,28.0,13
6694,Fencing,1908,29.0,3
6695,Fencing,1908,30.0,10
6696,Fencing,1908,31.0,8
6697,Fencing,1908,32.0,6
6698,Fencing,1908,33.0,9
6699,Fencing,1908,35.0,5
6700,Fencing,1908,36.0,4
6701,Fencing,1908,37.0,1
6702,Fencing,1908,38.0,6
6703,Fencing,1908,40.0,4
6704,Fencing,1908,41.0,6
6705,Fencing,1908,42.0,5
6706,Fencing,1908,43.0,1
6707,Fencing,1908,44.0,7
6708,Fencing,1908,45.0,1
6709,Fencing,1908,46.0,2
6710,Fencing,1912,17.0,6
6711,Fencing,1912,18.0,3
6712,Fencing,1912,19.0,4
6713,Fencing,1912,20.0,10
6714,Fencing,1912,21.0,8
6715,Fencing,1912,22.0,3
6716,Fencing,1912,23.0,15
6717,Fencing,1912,24.0,10
6718,Fencing,1912,25.0,7
6719,Fencing,1912,26.0,16
6720,Fencing,1912,27.0,11
6721,Fencing,1912,28.0,15
6722,Fencing,1912,29.0,26
6723,Fencing,1912,30.0,22
6724,Fencing,1912,31.0,22
6725,Fencing,1912,32.0,7
6726,Fencing,1912,33.0,13
6727,Fencing,1912,34.0,19
6728,Fencing,1912,35.0,20
6729,Fencing,1912,36.0,15
6730,Fencing,1912,37.0,8
6731,Fencing,1912,38.0,3
6732,Fencing,1912,39.0,12
6733,Fencing,1912,40.0,3
6734,Fencing,1912,41.0,2
6735,Fencing,1912,42.0,4
6736,Fencing,1912,44.0,4
6737,Fencing,1912,45.0,7
6738,Fencing,1912,48.0,3
6739,Fencing,1912,49.0,3
6740,Fencing,1912,54.0,2
6741,Fencing,1912,63.0,1
6742,Fencing,1920,19.0,4
6743,Fencing,1920,20.0,13
6744,Fencing,1920,21.0,4
6745,Fencing,1920,22.0,7
6746,Fencing,1920,23.0,7
6747,Fencing,1920,24.0,2
6748,Fencing,1920,25.0,9
6749,Fencing,1920,27.0,15
6750,Fencing,1920,28.0,12
6751,Fencing,1920,29.0,16
6752,Fencing,1920,30.0,16
6753,Fencing,1920,31.0,23
6754,Fencing,1920,32.0,17
6755,Fencing,1920,33.0,14
6756,Fencing,1920,34.0,18
6757,Fencing,1920,35.0,13
6758,Fencing,1920,36.0,14
6759,Fencing,1920,37.0,14
6760,Fencing,1920,38.0,15
6761,Fencing,1920,39.0,18
6762,Fencing,1920,40.0,7
6763,Fencing,1920,41.0,13
6764,Fencing,1920,42.0,7
6765,Fencing,1920,43.0,13
6766,Fencing,1920,44.0,2
6767,Fencing,1920,45.0,8
6768,Fencing,1920,49.0,3
6769,Fencing,1920,51.0,2
6770,Fencing,1920,53.0,5
6771,Fencing,1924,19.0,7
6772,Fencing,1924,20.0,1
6773,Fencing,1924,21.0,6
6774,Fencing,1924,22.0,14
6775,Fencing,1924,23.0,7
6776,Fencing,1924,24.0,12
6777,Fencing,1924,25.0,14
6778,Fencing,1924,26.0,7
6779,Fencing,1924,27.0,10
6780,Fencing,1924,28.0,14
6781,Fencing,1924,29.0,5
6782,Fencing,1924,30.0,11
6783,Fencing,1924,31.0,26
6784,Fencing,1924,32.0,20
6785,Fencing,1924,33.0,19
6786,Fencing,1924,34.0,14
6787,Fencing,1924,35.0,30
6788,Fencing,1924,36.0,12
6789,Fencing,1924,37.0,14
6790,Fencing,1924,38.0,3
6791,Fencing,1924,39.0,12
6792,Fencing,1924,40.0,7
6793,Fencing,1924,41.0,9
6794,Fencing,1924,42.0,12
6795,Fencing,1924,43.0,15
6796,Fencing,1924,44.0,10
6797,Fencing,1924,45.0,6
6798,Fencing,1924,47.0,11
6799,Fencing,1924,48.0,6
6800,Fencing,1924,49.0,3
6801,Fencing,1924,53.0,1
6802,Fencing,1924,57.0,3
6803,Fencing,1928,16.0,1
6804,Fencing,1928,17.0,2
6805,Fencing,1928,18.0,1
6806,Fencing,1928,19.0,5
6807,Fencing,1928,20.0,8
6808,Fencing,1928,21.0,11
6809,Fencing,1928,22.0,12
6810,Fencing,1928,23.0,21
6811,Fencing,1928,24.0,14
6812,Fencing,1928,25.0,7
6813,Fencing,1928,26.0,10
6814,Fencing,1928,27.0,6
6815,Fencing,1928,28.0,15
6816,Fencing,1928,29.0,11
6817,Fencing,1928,30.0,8
6818,Fencing,1928,31.0,9
6819,Fencing,1928,32.0,19
6820,Fencing,1928,33.0,11
6821,Fencing,1928,34.0,8
6822,Fencing,1928,35.0,21
6823,Fencing,1928,36.0,8
6824,Fencing,1928,37.0,18
6825,Fencing,1928,38.0,14
6826,Fencing,1928,39.0,25
6827,Fencing,1928,40.0,12
6828,Fencing,1928,41.0,8
6829,Fencing,1928,42.0,8
6830,Fencing,1928,43.0,13
6831,Fencing,1928,44.0,2
6832,Fencing,1928,45.0,6
6833,Fencing,1928,46.0,1
6834,Fencing,1928,47.0,7
6835,Fencing,1928,48.0,8
6836,Fencing,1928,49.0,3
6837,Fencing,1928,51.0,3
6838,Fencing,1928,52.0,2
6839,Fencing,1928,59.0,1
6840,Fencing,1928,61.0,1
6841,Fencing,1932,17.0,1
6842,Fencing,1932,19.0,1
6843,Fencing,1932,20.0,7
6844,Fencing,1932,21.0,13
6845,Fencing,1932,22.0,8
6846,Fencing,1932,23.0,12
6847,Fencing,1932,24.0,8
6848,Fencing,1932,25.0,11
6849,Fencing,1932,26.0,10
6850,Fencing,1932,27.0,24
6851,Fencing,1932,28.0,7
6852,Fencing,1932,29.0,6
6853,Fencing,1932,30.0,5
6854,Fencing,1932,31.0,3
6855,Fencing,1932,32.0,14
6856,Fencing,1932,33.0,8
6857,Fencing,1932,34.0,2
6858,Fencing,1932,35.0,9
6859,Fencing,1932,36.0,3
6860,Fencing,1932,37.0,4
6861,Fencing,1932,38.0,3
6862,Fencing,1932,39.0,3
6863,Fencing,1932,40.0,6
6864,Fencing,1932,41.0,2
6865,Fencing,1932,42.0,4
6866,Fencing,1932,43.0,5
6867,Fencing,1932,50.0,2
6868,Fencing,1932,51.0,1
6869,Fencing,1936,17.0,2
6870,Fencing,1936,18.0,1
6871,Fencing,1936,19.0,2
6872,Fencing,1936,20.0,10
6873,Fencing,1936,21.0,11
6874,Fencing,1936,22.0,20
6875,Fencing,1936,23.0,33
6876,Fencing,1936,24.0,32
6877,Fencing,1936,25.0,16
6878,Fencing,1936,26.0,37
6879,Fencing,1936,27.0,27
6880,Fencing,1936,28.0,30
6881,Fencing,1936,29.0,40
6882,Fencing,1936,30.0,30
6883,Fencing,1936,31.0,45
6884,Fencing,1936,32.0,34
6885,Fencing,1936,33.0,27
6886,Fencing,1936,34.0,20
6887,Fencing,1936,35.0,10
6888,Fencing,1936,36.0,20
6889,Fencing,1936,37.0,8
6890,Fencing,1936,38.0,14
6891,Fencing,1936,39.0,11
6892,Fencing,1936,40.0,13
6893,Fencing,1936,41.0,9
6894,Fencing,1936,42.0,10
6895,Fencing,1936,43.0,2
6896,Fencing,1936,44.0,8
6897,Fencing,1936,45.0,2
6898,Fencing,1936,46.0,2
6899,Fencing,1936,48.0,1
6900,Fencing,1936,49.0,3
6901,Fencing,1936,55.0,1
6902,Fencing,1948,19.0,2
6903,Fencing,1948,20.0,8
6904,Fencing,1948,21.0,2
6905,Fencing,1948,22.0,5
6906,Fencing,1948,23.0,7
