lindex,Sport,Year,Age,count
7387,Figure Skating,1908,18.0,1
7388,Figure Skating,1908,21.0,1
7389,Figure Skating,1908,22.0,2
7390,Figure Skating,1908,23.0,2
7391,Figure Skating,1908,25.0,2
7392,Figure Skating,1908,26.0,4
7393,Figure Skating,1908,30.0,1
7394,Figure Skating,1908,34.0,2
7395,Figure Skating,1908,38.0,1
7396,Figure Skating,1908,40.0,1
7397,Figure Skating,1908,44.0,1
7398,Figure Skating,1908,45.0,1
7399,Figure Skating,1920,20.0,1
7400,Figure Skating,1920,21.0,1
7401,Figure Skating,1920,24.0,1
7402,Figure Skating,1920,25.0,2
7403,Figure Skating,1920,26.0,4
7404,Figure Skating,1920,29.0,2
7405,Figure Skating,1920,31.0,1
7406,Figure Skating,1920,33.0,4
7407,Figure Skating,1920,34.0,1
7408,Figure Skating,1920,35.0,2
7409,Figure Skating,1920,36.0,3
7410,Figure Skating,1920,38.0,2
7411,Figure Skating,1920,39.0,1
7412,Figure Skating,1920,42.0,1
7413,Figure Skating,1920,44.0,1
7414,Figure Skating,1924,11.0,1
7415,Figure Skating,1924,15.0,2
7416,Figure Skating,1924,18.0,1
7417,Figure Skating,1924,19.0,1
7418,Figure Skating,1924,21.0,4
7419,Figure Skating,1924,22.0,2
7420,Figure Skating,1924,23.0,1
7421,Figure Skating,1924,25.0,4
7422,Figure Skating,1924,29.0,1
7423,Figure Skating,1924,30.0,6
7424,Figure Skating,1924,37.0,3
7425,Figure Skating,1924,38.0,2
7426,Figure Skating,1924,39.0,2
7427,Figure Skating,1924,41.0,1
7428,Figure Skating,1924,44.0,1
7429,Figure Skating,1928,15.0,1
7430,Figure Skating,1928,16.0,1
7431,Figure Skating,1928,17.0,2
7432,Figure Skating,1928,18.0,4
7433,Figure Skating,1928,19.0,4
7434,Figure Skating,1928,20.0,2
7435,Figure Skating,1928,21.0,2
7436,Figure Skating,1928,22.0,1
7437,Figure Skating,1928,24.0,3
7438,Figure Skating,1928,25.0,3
7439,Figure Skating,1928,26.0,7
7440,Figure Skating,1928,27.0,3
7441,Figure Skating,1928,29.0,3
7442,Figure Skating,1928,32.0,1
7443,Figure Skating,1928,33.0,2
7444,Figure Skating,1928,34.0,5
7445,Figure Skating,1928,35.0,3
7446,Figure Skating,1928,36.0,1
7447,Figure Skating,1928,39.0,1
7448,Figure Skating,1928,41.0,2
