lindex,Sport,Year,Age,count
9047,Handball,1936,17.0,1
9048,Handball,1936,18.0,3
9049,Handball,1936,19.0,3
9050,Handball,1936,20.0,10
9051,Handball,1936,21.0,11
9052,Handball,1936,22.0,14
9053,Handball,1936,23.0,15
9054,Handball,1936,24.0,15
9055,Handball,1936,25.0,13
9056,Handball,1936,26.0,6
9057,Handball,1936,27.0,5
9058,Handball,1936,28.0,3
9059,Handball,1936,29.0,3
9060,Handball,1936,31.0,1
9061,Handball,1936,32.0,1
9062,Handball,1936,33.0,1
9063,Handball,1972,18.0,1
9064,Handball,1972,19.0,2
9065,Handball,1972,20.0,3
9066,Handball,1972,21.0,12
9067,Handball,1972,22.0,21
9068,Handball,1972,23.0,28
9069,Handball,1972,24.0,29
9070,Handball,1972,25.0,28
9071,Handball,1972,26.0,33
9072,Handball,1972,27.0,23
9073,Handball,1972,28.0,23
9074,Handball,1972,29.0,14
9075,Handball,1972,30.0,9
9076,Handball,1972,31.0,6
9077,Handball,1972,32.0,5
9078,Handball,1972,33.0,2
9079,Handball,1972,34.0,4
9080,Handball,1976,17.0,5
9081,Handball,1976,18.0,6
9082,Handball,1976,19.0,2
9083,Handball,1976,20.0,16
9084,Handball,1976,21.0,22
9085,Handball,1976,22.0,21
9086,Handball,1976,23.0,26
9087,Handball,1976,24.0,21
9088,Handball,1976,25.0,22
9089,Handball,1976,26.0,26
9090,Handball,1976,27.0,19
9091,Handball,1976,28.0,15
9092,Handball,1976,29.0,14
9093,Handball,1976,30.0,14
9094,Handball,1976,31.0,5
9095,Handball,1976,32.0,6
9096,Handball,1976,33.0,1
9097,Handball,1976,35.0,1
9098,Handball,1976,38.0,1
9099,Handball,1980,17.0,1
9100,Handball,1980,19.0,3
9101,Handball,1980,20.0,16
9102,Handball,1980,21.0,19
9103,Handball,1980,22.0,14
9104,Handball,1980,23.0,23
9105,Handball,1980,24.0,23
9106,Handball,1980,25.0,20
9107,Handball,1980,26.0,15
9108,Handball,1980,27.0,20
9109,Handball,1980,28.0,16
9110,Handball,1980,29.0,15
9111,Handball,1980,30.0,11
9112,Handball,1980,31.0,8
9113,Handball,1980,32.0,4
9114,Handball,1980,33.0,6
9115,Handball,1980,34.0,3
9116,Handball,1984,14.0,1
9117,Handball,1984,17.0,1
9118,Handball,1984,18.0,9
9119,Handball,1984,19.0,7
9120,Handball,1984,20.0,16
9121,Handball,1984,21.0,21
9122,Handball,1984,22.0,23
9123,Handball,1984,23.0,22
9124,Handball,1984,24.0,27
9125,Handball,1984,25.0,30
9126,Handball,1984,26.0,19
9127,Handball,1984,27.0,28
9128,Handball,1984,28.0,18
9129,Handball,1984,29.0,15
9130,Handball,1984,30.0,8
9131,Handball,1984,31.0,5
9132,Handball,1984,32.0,3
9133,Handball,1984,33.0,2
9134,Handball,1984,34.0,2
9135,Handball,1984,37.0,1
9136,Handball,1988,16.0,1
9137,Handball,1988,18.0,3
9138,Handball,1988,19.0,4
9139,Handball,1988,20.0,14
9140,Handball,1988,21.0,18
9141,Handball,1988,22.0,19
9142,Handball,1988,23.0,26
9143,Handball,1988,24.0,29
9144,Handball,1988,25.0,22
9145,Handball,1988,26.0,29
9146,Handball,1988,27.0,30
9147,Handball,1988,28.0,30
9148,Handball,1988,29.0,25
9149,Handball,1988,30.0,6
9150,Handball,1988,31.0,10
9151,Handball,1988,32.0,6
9152,Handball,1988,33.0,5
9153,Handball,1988,34.0,1
9154,Handball,1988,35.0,1
9155,Handball,1988,36.0,1
9156,Handball,1988,42.0,1
9157,Handball,1992,15.0,1
9158,Handball,1992,16.0,1
9159,Handball,1992,18.0,5
9160,Handball,1992,19.0,6
9161,Handball,1992,20.0,13
9162,Handball,1992,21.0,21
9163,Handball,1992,22.0,29
9164,Handball,1992,23.0,32
9165,Handball,1992,24.0,27
9166,Handball,1992,25.0,21
9167,Handball,1992,26.0,24
9168,Handball,1992,27.0,17
9169,Handball,1992,28.0,35
9170,Handball,1992,29.0,15
9171,Handball,1992,30.0,9
9172,Handball,1992,31.0,13
9173,Handball,1992,32.0,13
9174,Handball,1992,33.0,4
9175,Handball,1992,34.0,3
9176,Handball,1992,35.0,2
9177,Handball,1992,36.0,1
9178,Handball,1996,17.0,1
9179,Handball,1996,18.0,2
9180,Handball,1996,19.0,2
9181,Handball,1996,20.0,10
9182,Handball,1996,21.0,15
9183,Handball,1996,22.0,19
9184,Handball,1996,23.0,22
9185,Handball,1996,24.0,30
9186,Handball,1996,25.0,29
9187,Handball,1996,26.0,35
9188,Handball,1996,27.0,26
9189,Handball,1996,28.0,23
9190,Handball,1996,29.0,22
9191,Handball,1996,30.0,23
9192,Handball,1996,31.0,10
9193,Handball,1996,32.0,14
9194,Handball,1996,33.0,7
9195,Handball,1996,34.0,5
9196,Handball,1996,35.0,2
9197,Handball,1996,36.0,2
9198,Handball,1996,39.0,1
9199,Handball,2000,17.0,1
9200,Handball,2000,18.0,1
9201,Handball,2000,19.0,4
9202,Handball,2000,20.0,8
9203,Handball,2000,21.0,18
9204,Handball,2000,22.0,14
9205,Handball,2000,23.0,22
9206,Handball,2000,24.0,35
9207,Handball,2000,25.0,28
9208,Handball,2000,26.0,27
9209,Handball,2000,27.0,28
9210,Handball,2000,28.0,20
9211,Handball,2000,29.0,33
9212,Handball,2000,30.0,17
9213,Handball,2000,31.0,20
9214,Handball,2000,32.0,15
9215,Handball,2000,33.0,10
9216,Handball,2000,34.0,5
9217,Handball,2000,35.0,5
9218,Handball,2000,36.0,6
9219,Handball,2000,37.0,1
9220,Handball,2000,38.0,5
9221,Handball,2004,17.0,1
9222,Handball,2004,19.0,2
9223,Handball,2004,20.0,7
9224,Handball,2004,21.0,14
9225,Handball,2004,22.0,22
9226,Handball,2004,23.0,23
9227,Handball,2004,24.0,24
9228,Handball,2004,25.0,28
9229,Handball,2004,26.0,24
9230,Handball,2004,27.0,36
9231,Handball,2004,28.0,29
9232,Handball,2004,29.0,23
9233,Handball,2004,30.0,10
9234,Handball,2004,31.0,23
9235,Handball,2004,32.0,17
9236,Handball,2004,33.0,16
9237,Handball,2004,34.0,11
9238,Handball,2004,35.0,9
9239,Handball,2004,36.0,4
9240,Handball,2004,37.0,1
9241,Handball,2004,38.0,1
9242,Handball,2004,39.0,1
9243,Handball,2004,40.0,1
9244,Handball,2004,42.0,1
9245,Handball,2008,18.0,2
9246,Handball,2008,19.0,6
9247,Handball,2008,20.0,5
9248,Handball,2008,21.0,12
9249,Handball,2008,22.0,18
