lindex,Sport,Year,Age,count
9311,Hockey,1908,18.0,1
9312,Hockey,1908,19.0,2
9313,Hockey,1908,20.0,2
9314,Hockey,1908,21.0,6
9315,Hockey,1908,22.0,3
9316,Hockey,1908,23.0,6
9317,Hockey,1908,24.0,5
9318,Hockey,1908,25.0,3
9319,Hockey,1908,26.0,3
9320,Hockey,1908,27.0,1
9321,Hockey,1908,28.0,4
9322,Hockey,1908,29.0,5
9323,Hockey,1908,30.0,1
9324,Hockey,1908,31.0,1
9325,Hockey,1908,32.0,3
9326,Hockey,1908,33.0,1
9327,Hockey,1920,18.0,1
9328,Hockey,1920,20.0,2
9329,Hockey,1920,21.0,2
9330,Hockey,1920,22.0,2
9331,Hockey,1920,24.0,2
9332,Hockey,1920,26.0,2
9333,Hockey,1920,27.0,4
9334,Hockey,1920,28.0,1
9335,Hockey,1920,30.0,1
9336,Hockey,1920,31.0,3
9337,Hockey,1920,32.0,1
9338,Hockey,1920,33.0,1
9339,Hockey,1920,34.0,2
9340,Hockey,1920,35.0,2
9341,Hockey,1920,37.0,1
9342,Hockey,1920,38.0,2
9343,Hockey,1920,39.0,1
9344,Hockey,1920,40.0,1
9345,Hockey,1928,17.0,2
9346,Hockey,1928,18.0,1
9347,Hockey,1928,19.0,4
9348,Hockey,1928,20.0,3
9349,Hockey,1928,21.0,6
9350,Hockey,1928,22.0,9
9351,Hockey,1928,23.0,11
9352,Hockey,1928,24.0,6
9353,Hockey,1928,25.0,8
9354,Hockey,1928,26.0,3
9355,Hockey,1928,27.0,6
9356,Hockey,1928,28.0,5
9357,Hockey,1928,29.0,5
9358,Hockey,1928,30.0,5
9359,Hockey,1928,31.0,1
9360,Hockey,1928,33.0,2
9361,Hockey,1928,36.0,1
9362,Hockey,1928,37.0,1
9363,Hockey,1932,21.0,5
9364,Hockey,1932,22.0,4
9365,Hockey,1932,23.0,4
9366,Hockey,1932,24.0,3
9367,Hockey,1932,26.0,3
9368,Hockey,1932,27.0,5
9369,Hockey,1932,28.0,4
9370,Hockey,1932,29.0,2
9371,Hockey,1932,30.0,1
9372,Hockey,1932,32.0,1
9373,Hockey,1932,34.0,1
9374,Hockey,1936,17.0,5
9375,Hockey,1936,19.0,9
9376,Hockey,1936,20.0,10
9377,Hockey,1936,21.0,15
9378,Hockey,1936,22.0,12
9379,Hockey,1936,23.0,13
9380,Hockey,1936,24.0,18
9381,Hockey,1936,25.0,15
9382,Hockey,1936,26.0,15
9383,Hockey,1936,27.0,8
9384,Hockey,1936,28.0,4
9385,Hockey,1936,29.0,6
9386,Hockey,1936,30.0,9
9387,Hockey,1936,31.0,9
9388,Hockey,1936,32.0,4
9389,Hockey,1936,33.0,1
9390,Hockey,1936,34.0,2
9391,Hockey,1936,35.0,2
9392,Hockey,1936,36.0,1
9393,Hockey,1936,38.0,1
9394,Hockey,1936,44.0,1
9395,Hockey,1948,18.0,1
9396,Hockey,1948,19.0,1
9397,Hockey,1948,20.0,1
9398,Hockey,1948,21.0,11
9399,Hockey,1948,22.0,5
9400,Hockey,1948,23.0,9
9401,Hockey,1948,24.0,9
9402,Hockey,1948,25.0,8
9403,Hockey,1948,26.0,8
9404,Hockey,1948,27.0,13
9405,Hockey,1948,28.0,8
9406,Hockey,1948,29.0,5
9407,Hockey,1948,30.0,11
9408,Hockey,1948,31.0,10
9409,Hockey,1948,32.0,10
9410,Hockey,1948,33.0,6
9411,Hockey,1948,34.0,4
9412,Hockey,1948,35.0,5
9413,Hockey,1948,36.0,3
9414,Hockey,1948,37.0,3
9415,Hockey,1948,38.0,2
9416,Hockey,1948,40.0,2
9417,Hockey,1948,43.0,2
9418,Hockey,1952,19.0,2
9419,Hockey,1952,20.0,7
9420,Hockey,1952,21.0,6
9421,Hockey,1952,22.0,6
9422,Hockey,1952,23.0,10
9423,Hockey,1952,24.0,15
9424,Hockey,1952,25.0,19
9425,Hockey,1952,26.0,15
9426,Hockey,1952,27.0,12
9427,Hockey,1952,28.0,8
