lindex,Sport,Year,Age,count
9769,Ice Hockey,1920,18.0,2
9770,Ice Hockey,1920,20.0,1
9771,Ice Hockey,1920,21.0,4
9772,Ice Hockey,1920,22.0,5
9773,Ice Hockey,1920,23.0,3
9774,Ice Hockey,1920,24.0,8
9775,Ice Hockey,1920,25.0,5
9776,Ice Hockey,1920,26.0,3
9777,Ice Hockey,1920,27.0,1
9778,Ice Hockey,1920,28.0,5
9779,Ice Hockey,1920,29.0,4
9780,Ice Hockey,1920,30.0,2
9781,Ice Hockey,1920,31.0,3
9782,Ice Hockey,1920,32.0,2
9783,Ice Hockey,1920,34.0,2
9784,Ice Hockey,1920,35.0,1
9785,Ice Hockey,1920,36.0,1
9786,Ice Hockey,1920,38.0,1
9787,Ice Hockey,1920,46.0,1
9788,Ice Hockey,1924,18.0,2
9789,Ice Hockey,1924,19.0,3
9790,Ice Hockey,1924,20.0,2
9791,Ice Hockey,1924,21.0,3
9792,Ice Hockey,1924,22.0,5
9793,Ice Hockey,1924,23.0,6
9794,Ice Hockey,1924,24.0,5
9795,Ice Hockey,1924,25.0,6
9796,Ice Hockey,1924,26.0,3
9797,Ice Hockey,1924,27.0,6
9798,Ice Hockey,1924,28.0,9
9799,Ice Hockey,1924,29.0,3
9800,Ice Hockey,1924,30.0,3
9801,Ice Hockey,1924,31.0,2
9802,Ice Hockey,1924,32.0,6
9803,Ice Hockey,1924,33.0,2
9804,Ice Hockey,1924,34.0,2
9805,Ice Hockey,1924,35.0,2
9806,Ice Hockey,1924,36.0,1
9807,Ice Hockey,1924,37.0,3
9808,Ice Hockey,1924,38.0,2
9809,Ice Hockey,1924,39.0,1
9810,Ice Hockey,1924,40.0,1
9811,Ice Hockey,1928,16.0,1
9812,Ice Hockey,1928,17.0,1
9813,Ice Hockey,1928,18.0,5
9814,Ice Hockey,1928,19.0,4
9815,Ice Hockey,1928,20.0,7
9816,Ice Hockey,1928,21.0,7
9817,Ice Hockey,1928,22.0,7
9818,Ice Hockey,1928,23.0,9
9819,Ice Hockey,1928,24.0,6
9820,Ice Hockey,1928,25.0,6
9821,Ice Hockey,1928,26.0,9
9822,Ice Hockey,1928,27.0,7
9823,Ice Hockey,1928,28.0,6
9824,Ice Hockey,1928,29.0,7
9825,Ice Hockey,1928,30.0,3
9826,Ice Hockey,1928,31.0,3
9827,Ice Hockey,1928,32.0,2
9828,Ice Hockey,1928,33.0,3
9829,Ice Hockey,1928,34.0,2
9830,Ice Hockey,1928,35.0,2
9831,Ice Hockey,1928,36.0,4
9832,Ice Hockey,1928,37.0,1
9833,Ice Hockey,1928,38.0,1
9834,Ice Hockey,1928,40.0,1
9835,Ice Hockey,1928,46.0,1
9836,Ice Hockey,1928,48.0,1
9837,Ice Hockey,1932,19.0,2
9838,Ice Hockey,1932,20.0,3
9839,Ice Hockey,1932,21.0,4
9840,Ice Hockey,1932,22.0,4
9841,Ice Hockey,1932,23.0,11
9842,Ice Hockey,1932,24.0,3
9843,Ice Hockey,1932,25.0,7
9844,Ice Hockey,1932,26.0,5
9845,Ice Hockey,1932,27.0,2
9846,Ice Hockey,1932,28.0,1
9847,Ice Hockey,1932,29.0,2
9848,Ice Hockey,1932,30.0,1
9849,Ice Hockey,1932,32.0,2
9850,Ice Hockey,1932,37.0,1
9851,Ice Hockey,1936,17.0,1
9852,Ice Hockey,1936,18.0,4
9853,Ice Hockey,1936,19.0,6
9854,Ice Hockey,1936,20.0,10
9855,Ice Hockey,1936,21.0,16
9856,Ice Hockey,1936,22.0,20
9857,Ice Hockey,1936,23.0,19
9858,Ice Hockey,1936,24.0,19
9859,Ice Hockey,1936,25.0,19
9860,Ice Hockey,1936,26.0,15
9861,Ice Hockey,1936,27.0,12
9862,Ice Hockey,1936,28.0,6
9863,Ice Hockey,1936,29.0,5
9864,Ice Hockey,1936,30.0,7
9865,Ice Hockey,1936,32.0,5
9866,Ice Hockey,1936,33.0,1
9867,Ice Hockey,1936,34.0,3
9868,Ice Hockey,1936,35.0,2
9869,Ice Hockey,1936,36.0,1
9870,Ice Hockey,1936,38.0,1
9871,Ice Hockey,1936,41.0,1
9872,Ice Hockey,1948,17.0,1
9873,Ice Hockey,1948,19.0,5
9874,Ice Hockey,1948,20.0,4
9875,Ice Hockey,1948,21.0,10
9876,Ice Hockey,1948,22.0,11
9877,Ice Hockey,1948,23.0,9
9878,Ice Hockey,1948,24.0,11
9879,Ice Hockey,1948,25.0,6
9880,Ice Hockey,1948,26.0,16
9881,Ice Hockey,1948,27.0,15
9882,Ice Hockey,1948,28.0,4
9883,Ice Hockey,1948,29.0,11
9884,Ice Hockey,1948,30.0,5
9885,Ice Hockey,1948,31.0,5
9886,Ice Hockey,1948,32.0,4
9887,Ice Hockey,1948,33.0,4
9888,Ice Hockey,1948,34.0,10
9889,Ice Hockey,1948,35.0,4
9890,Ice Hockey,1948,36.0,2
9891,Ice Hockey,1948,37.0,1
9892,Ice Hockey,1948,38.0,1
9893,Ice Hockey,1952,18.0,4
9894,Ice Hockey,1952,19.0,7
9895,Ice Hockey,1952,20.0,9
9896,Ice Hockey,1952,21.0,9
9897,Ice Hockey,1952,22.0,11
9898,Ice Hockey,1952,23.0,19
9899,Ice Hockey,1952,24.0,18
9900,Ice Hockey,1952,25.0,13
