lindex,Sport,Year,Age,count
10260,Judo,1964,17.0,1
10261,Judo,1964,18.0,3
10262,Judo,1964,19.0,2
10263,Judo,1964,20.0,3
10264,Judo,1964,21.0,3
10265,Judo,1964,22.0,4
10266,Judo,1964,23.0,11
10267,Judo,1964,24.0,7
10268,Judo,1964,25.0,7
10269,Judo,1964,26.0,6
10270,Judo,1964,27.0,3
10271,Judo,1964,28.0,5
10272,Judo,1964,29.0,5
10273,Judo,1964,30.0,5
10274,Judo,1964,31.0,2
10275,Judo,1964,35.0,1
10276,Judo,1964,36.0,1
10277,Judo,1964,37.0,2
10278,Judo,1964,43.0,1
10279,Judo,1972,16.0,1
10280,Judo,1972,17.0,3
10281,Judo,1972,18.0,3
10282,Judo,1972,19.0,5
10283,Judo,1972,20.0,10
10284,Judo,1972,21.0,10
10285,Judo,1972,22.0,12
10286,Judo,1972,23.0,16
10287,Judo,1972,24.0,16
10288,Judo,1972,25.0,15
10289,Judo,1972,26.0,11
10290,Judo,1972,27.0,10
10291,Judo,1972,28.0,17
10292,Judo,1972,29.0,8
10293,Judo,1972,30.0,13
10294,Judo,1972,31.0,9
10295,Judo,1972,32.0,2
10296,Judo,1972,33.0,1
10297,Judo,1972,34.0,1
10298,Judo,1972,36.0,1
10299,Judo,1972,37.0,2
10300,Judo,1976,17.0,4
10301,Judo,1976,18.0,5
10302,Judo,1976,19.0,7
10303,Judo,1976,20.0,11
10304,Judo,1976,21.0,11
10305,Judo,1976,22.0,14
10306,Judo,1976,23.0,14
10307,Judo,1976,24.0,14
10308,Judo,1976,25.0,14
10309,Judo,1976,26.0,16
10310,Judo,1976,27.0,11
10311,Judo,1976,28.0,11
10312,Judo,1976,29.0,7
10313,Judo,1976,30.0,7
10314,Judo,1976,32.0,3
10315,Judo,1976,38.0,2
10316,Judo,1980,16.0,1
10317,Judo,1980,17.0,1
10318,Judo,1980,18.0,3
10319,Judo,1980,19.0,8
10320,Judo,1980,20.0,8
10321,Judo,1980,21.0,21
10322,Judo,1980,22.0,17
10323,Judo,1980,23.0,11
10324,Judo,1980,24.0,20
10325,Judo,1980,25.0,24
10326,Judo,1980,26.0,15
10327,Judo,1980,27.0,17
10328,Judo,1980,28.0,10
10329,Judo,1980,29.0,4
10330,Judo,1980,30.0,4
