lindex,Sport,Year,Age,count
10528,Lacrosse,1904,14.0,1
10529,Lacrosse,1904,21.0,1
10530,Lacrosse,1904,22.0,1
10531,Lacrosse,1904,23.0,1
10532,Lacrosse,1904,24.0,1
10533,Lacrosse,1904,25.0,3
10534,Lacrosse,1904,26.0,1
10535,Lacrosse,1904,27.0,2
10536,Lacrosse,1904,29.0,1
10537,Lacrosse,1904,30.0,1
10538,Lacrosse,1904,32.0,1
10539,Lacrosse,1904,33.0,1
10540,Lacrosse,1904,36.0,1
10541,Lacrosse,1904,37.0,1
10542,Lacrosse,1908,20.0,1
10543,Lacrosse,1908,21.0,1
10544,Lacrosse,1908,22.0,1
10545,Lacrosse,1908,23.0,1
10546,Lacrosse,1908,24.0,2
10547,Lacrosse,1908,25.0,3
10548,Lacrosse,1908,26.0,2
10549,Lacrosse,1908,29.0,1
10550,Lacrosse,1908,30.0,3
10551,Lacrosse,1908,31.0,1
10552,Lacrosse,1908,32.0,1
10553,Lacrosse,1908,33.0,1
10554,Lacrosse,1908,35.0,1
