lindex,Sport,Year,Age,count
10555,Luge,1964,17.0,2
10556,Luge,1964,18.0,4
10557,Luge,1964,19.0,2
10558,Luge,1964,20.0,6
10559,Luge,1964,21.0,8
10560,Luge,1964,22.0,10
10561,Luge,1964,23.0,14
10562,Luge,1964,24.0,11
10563,Luge,1964,25.0,6
10564,Luge,1964,26.0,1
10565,Luge,1964,27.0,6
10566,Luge,1964,28.0,2
10567,Luge,1964,29.0,2
10568,Luge,1964,30.0,2
10569,Luge,1964,31.0,1
10570,Luge,1964,33.0,2
10571,Luge,1964,34.0,3
10572,Luge,1964,35.0,1
10573,Luge,1964,43.0,1
10574,Luge,1964,53.0,1
10575,Luge,1968,16.0,3
10576,Luge,1968,17.0,3
10577,Luge,1968,18.0,3
10578,Luge,1968,19.0,3
10579,Luge,1968,20.0,14
10580,Luge,1968,21.0,10
10581,Luge,1968,22.0,7
10582,Luge,1968,23.0,5
10583,Luge,1968,24.0,9
10584,Luge,1968,25.0,5
10585,Luge,1968,26.0,8
10586,Luge,1968,27.0,12
10587,Luge,1968,28.0,9
10588,Luge,1968,29.0,4
10589,Luge,1968,30.0,4
10590,Luge,1968,31.0,3
10591,Luge,1968,32.0,1
10592,Luge,1968,37.0,1
10593,Luge,1968,38.0,2
10594,Luge,1972,15.0,1
10595,Luge,1972,17.0,1
10596,Luge,1972,19.0,8
10597,Luge,1972,20.0,16
10598,Luge,1972,21.0,6
10599,Luge,1972,22.0,10
10600,Luge,1972,23.0,9
10601,Luge,1972,24.0,23
10602,Luge,1972,25.0,4
10603,Luge,1972,26.0,3
10604,Luge,1972,27.0,5
10605,Luge,1972,28.0,8
10606,Luge,1972,30.0,5
10607,Luge,1972,31.0,4
10608,Luge,1972,32.0,2
10609,Luge,1972,33.0,2
10610,Luge,1976,16.0,1
10611,Luge,1976,17.0,3
10612,Luge,1976,18.0,3
10613,Luge,1976,19.0,10
10614,Luge,1976,20.0,4
10615,Luge,1976,21.0,14
10616,Luge,1976,22.0,13
10617,Luge,1976,23.0,9
10618,Luge,1976,24.0,13
10619,Luge,1976,25.0,8
10620,Luge,1976,26.0,5
10621,Luge,1976,27.0,7
10622,Luge,1976,28.0,6
10623,Luge,1976,29.0,5
10624,Luge,1976,30.0,1
10625,Luge,1976,31.0,7
10626,Luge,1976,32.0,4
10627,Luge,1976,34.0,1
10628,Luge,1976,35.0,2
10629,Luge,1976,43.0,1
10630,Luge,1980,16.0,1
10631,Luge,1980,17.0,2
10632,Luge,1980,18.0,2
10633,Luge,1980,19.0,8
10634,Luge,1980,20.0,9
10635,Luge,1980,21.0,10
10636,Luge,1980,22.0,7
10637,Luge,1980,23.0,1
10638,Luge,1980,24.0,11
10639,Luge,1980,25.0,11
10640,Luge,1980,26.0,9
10641,Luge,1980,27.0,6
10642,Luge,1980,28.0,5
10643,Luge,1980,29.0,4
10644,Luge,1980,30.0,1
10645,Luge,1980,31.0,1
10646,Luge,1980,32.0,1
10647,Luge,1980,33.0,2
10648,Luge,1980,35.0,1
10649,Luge,1980,36.0,2
10650,Luge,1984,16.0,1
10651,Luge,1984,17.0,5
