lindex,Sport,Year,Age,count
10844,Modern Pentathlon,1912,21.0,1
10845,Modern Pentathlon,1912,22.0,1
10846,Modern Pentathlon,1912,23.0,1
10847,Modern Pentathlon,1912,24.0,2
10848,Modern Pentathlon,1912,25.0,2
10849,Modern Pentathlon,1912,26.0,4
10850,Modern Pentathlon,1912,27.0,4
10851,Modern Pentathlon,1912,28.0,2
10852,Modern Pentathlon,1912,29.0,2
10853,Modern Pentathlon,1912,30.0,4
10854,Modern Pentathlon,1912,31.0,1
10855,Modern Pentathlon,1912,32.0,4
10856,Modern Pentathlon,1912,35.0,2
10857,Modern Pentathlon,1912,53.0,1
10858,Modern Pentathlon,1920,21.0,1
10859,Modern Pentathlon,1920,22.0,1
10860,Modern Pentathlon,1920,23.0,1
10861,Modern Pentathlon,1920,24.0,2
10862,Modern Pentathlon,1920,25.0,3
10863,Modern Pentathlon,1920,27.0,1
10864,Modern Pentathlon,1920,28.0,2
10865,Modern Pentathlon,1920,29.0,2
10866,Modern Pentathlon,1920,30.0,1
10867,Modern Pentathlon,1920,31.0,3
10868,Modern Pentathlon,1920,35.0,1
10869,Modern Pentathlon,1920,36.0,1
10870,Modern Pentathlon,1920,37.0,1
10871,Modern Pentathlon,1920,43.0,1
10872,Modern Pentathlon,1924,20.0,1
10873,Modern Pentathlon,1924,21.0,1
10874,Modern Pentathlon,1924,22.0,2
10875,Modern Pentathlon,1924,23.0,1
10876,Modern Pentathlon,1924,25.0,6
10877,Modern Pentathlon,1924,27.0,5
10878,Modern Pentathlon,1924,28.0,4
10879,Modern Pentathlon,1924,29.0,2
10880,Modern Pentathlon,1924,30.0,3
10881,Modern Pentathlon,1924,32.0,1
10882,Modern Pentathlon,1924,33.0,1
10883,Modern Pentathlon,1924,34.0,1
10884,Modern Pentathlon,1924,36.0,1
10885,Modern Pentathlon,1928,22.0,2
10886,Modern Pentathlon,1928,23.0,3
10887,Modern Pentathlon,1928,24.0,4
10888,Modern Pentathlon,1928,25.0,5
10889,Modern Pentathlon,1928,26.0,4
10890,Modern Pentathlon,1928,27.0,3
10891,Modern Pentathlon,1928,28.0,2
10892,Modern Pentathlon,1928,29.0,2
10893,Modern Pentathlon,1928,30.0,1
10894,Modern Pentathlon,1928,31.0,1
10895,Modern Pentathlon,1928,32.0,2
10896,Modern Pentathlon,1928,33.0,1
10897,Modern Pentathlon,1932,20.0,1
10898,Modern Pentathlon,1932,21.0,1
10899,Modern Pentathlon,1932,22.0,1
10900,Modern Pentathlon,1932,24.0,1
10901,Modern Pentathlon,1932,25.0,1
10902,Modern Pentathlon,1932,26.0,2
10903,Modern Pentathlon,1932,27.0,5
10904,Modern Pentathlon,1932,28.0,1
10905,Modern Pentathlon,1932,29.0,3
10906,Modern Pentathlon,1932,30.0,1
10907,Modern Pentathlon,1932,32.0,1
10908,Modern Pentathlon,1932,33.0,2
10909,Modern Pentathlon,1932,35.0,1
10910,Modern Pentathlon,1936,22.0,2
10911,Modern Pentathlon,1936,23.0,6
10912,Modern Pentathlon,1936,24.0,5
10913,Modern Pentathlon,1936,25.0,6
10914,Modern Pentathlon,1936,26.0,3
10915,Modern Pentathlon,1936,27.0,4
10916,Modern Pentathlon,1936,28.0,2
10917,Modern Pentathlon,1936,29.0,3
10918,Modern Pentathlon,1936,30.0,2
10919,Modern Pentathlon,1936,31.0,5
10920,Modern Pentathlon,1936,32.0,2
10921,Modern Pentathlon,1936,34.0,1
