lindex,Sport,Year,Age,count
12357,Rugby,1900,18.0,1
12358,Rugby,1900,19.0,1
12359,Rugby,1900,20.0,2
12360,Rugby,1900,21.0,4
12361,Rugby,1900,22.0,2
12362,Rugby,1900,23.0,3
12363,Rugby,1900,24.0,3
12364,Rugby,1900,25.0,3
12365,Rugby,1900,26.0,2
12366,Rugby,1900,27.0,1
12367,Rugby,1900,29.0,2
12368,Rugby,1900,30.0,1
12369,Rugby,1900,36.0,1
12370,Rugby,1908,20.0,1
12371,Rugby,1908,21.0,3
12372,Rugby,1908,22.0,1
12373,Rugby,1908,23.0,2
12374,Rugby,1908,24.0,5
12375,Rugby,1908,25.0,3
12376,Rugby,1908,26.0,2
12377,Rugby,1908,27.0,2
12378,Rugby,1908,28.0,2
12379,Rugby,1908,29.0,2
12380,Rugby,1920,20.0,6
12381,Rugby,1920,21.0,6
12382,Rugby,1920,22.0,2
12383,Rugby,1920,23.0,4
12384,Rugby,1920,24.0,2
12385,Rugby,1920,25.0,2
12386,Rugby,1920,26.0,1
12387,Rugby,1920,27.0,1
12388,Rugby,1920,29.0,1
12389,Rugby,1920,33.0,1
12390,Rugby,1920,39.0,1
12391,Rugby,1924,21.0,2
12392,Rugby,1924,22.0,4
12393,Rugby,1924,23.0,8
12394,Rugby,1924,24.0,3
12395,Rugby,1924,25.0,6
12396,Rugby,1924,26.0,6
12397,Rugby,1924,27.0,1
12398,Rugby,1924,28.0,2
12399,Rugby,1924,29.0,2
12400,Rugby,1924,30.0,2
12401,Rugby,1924,31.0,1
12402,Rugby,1924,32.0,1
