lindex,Sport,Year,Age,count
13309,Shooting,1896,21.0,3
13310,Shooting,1896,25.0,1
13311,Shooting,1896,27.0,3
13312,Shooting,1896,29.0,4
13313,Shooting,1896,34.0,3
13314,Shooting,1896,39.0,4
13315,Shooting,1896,40.0,1
13316,Shooting,1900,21.0,1
13317,Shooting,1900,23.0,8
13318,Shooting,1900,25.0,5
13319,Shooting,1900,26.0,10
13320,Shooting,1900,27.0,5
13321,Shooting,1900,28.0,7
13322,Shooting,1900,29.0,5
13323,Shooting,1900,30.0,7
13324,Shooting,1900,31.0,3
13325,Shooting,1900,32.0,12
13326,Shooting,1900,33.0,20
13327,Shooting,1900,34.0,10
13328,Shooting,1900,35.0,9
13329,Shooting,1900,36.0,7
13330,Shooting,1900,37.0,15
13331,Shooting,1900,39.0,6
13332,Shooting,1900,40.0,9
13333,Shooting,1900,42.0,5
13334,Shooting,1900,43.0,2
13335,Shooting,1900,44.0,1
13336,Shooting,1900,45.0,7
13337,Shooting,1900,46.0,7
13338,Shooting,1900,47.0,2
13339,Shooting,1900,48.0,13
13340,Shooting,1900,49.0,3
13341,Shooting,1906,21.0,14
13342,Shooting,1906,24.0,9
13343,Shooting,1906,25.0,8
13344,Shooting,1906,26.0,16
13345,Shooting,1906,27.0,4
13346,Shooting,1906,28.0,8
13347,Shooting,1906,29.0,10
13348,Shooting,1906,30.0,4
13349,Shooting,1906,31.0,8
13350,Shooting,1906,32.0,8
13351,Shooting,1906,33.0,1
13352,Shooting,1906,34.0,8
13353,Shooting,1906,35.0,4
13354,Shooting,1906,36.0,9
13355,Shooting,1906,39.0,6
13356,Shooting,1906,40.0,4
13357,Shooting,1906,41.0,8
13358,Shooting,1906,43.0,12
13359,Shooting,1906,44.0,11
13360,Shooting,1906,45.0,2
13361,Shooting,1906,46.0,12
13362,Shooting,1906,49.0,11
13363,Shooting,1906,52.0,10
13364,Shooting,1906,54.0,10
13365,Shooting,1908,20.0,4
13366,Shooting,1908,21.0,5
13367,Shooting,1908,22.0,1
13368,Shooting,1908,23.0,10
13369,Shooting,1908,24.0,8
13370,Shooting,1908,25.0,4
13371,Shooting,1908,26.0,20
13372,Shooting,1908,27.0,18
13373,Shooting,1908,28.0,19
13374,Shooting,1908,29.0,8
13375,Shooting,1908,30.0,18
13376,Shooting,1908,31.0,10
13377,Shooting,1908,32.0,17
13378,Shooting,1908,33.0,29
13379,Shooting,1908,34.0,15
13380,Shooting,1908,35.0,8
13381,Shooting,1908,36.0,12
13382,Shooting,1908,37.0,8
13383,Shooting,1908,38.0,15
13384,Shooting,1908,39.0,14
13385,Shooting,1908,40.0,10
13386,Shooting,1908,41.0,8
13387,Shooting,1908,42.0,6
13388,Shooting,1908,43.0,16
13389,Shooting,1908,44.0,7
13390,Shooting,1908,45.0,4
13391,Shooting,1908,46.0,3
13392,Shooting,1908,47.0,5
13393,Shooting,1908,48.0,1
13394,Shooting,1908,49.0,5
13395,Shooting,1908,50.0,4
13396,Shooting,1908,51.0,4
13397,Shooting,1908,53.0,6
13398,Shooting,1908,54.0,2
13399,Shooting,1908,55.0,2
13400,Shooting,1908,56.0,11
13401,Shooting,1908,57.0,2
13402,Shooting,1908,58.0,1
13403,Shooting,1908,60.0,7
13404,Shooting,1912,18.0,1
13405,Shooting,1912,19.0,1
13406,Shooting,1912,20.0,12
13407,Shooting,1912,21.0,6
13408,Shooting,1912,22.0,8
13409,Shooting,1912,23.0,13
13410,Shooting,1912,24.0,43
13411,Shooting,1912,25.0,8
13412,Shooting,1912,26.0,7
13413,Shooting,1912,27.0,26
13414,Shooting,1912,28.0,31
13415,Shooting,1912,29.0,20
13416,Shooting,1912,30.0,27
13417,Shooting,1912,31.0,43
13418,Shooting,1912,32.0,45
13419,Shooting,1912,33.0,40
13420,Shooting,1912,34.0,38
13421,Shooting,1912,35.0,51
13422,Shooting,1912,36.0,29
13423,Shooting,1912,37.0,25
13424,Shooting,1912,38.0,36
13425,Shooting,1912,39.0,31
13426,Shooting,1912,40.0,22
13427,Shooting,1912,41.0,18
13428,Shooting,1912,42.0,37
13429,Shooting,1912,43.0,21
13430,Shooting,1912,44.0,7
13431,Shooting,1912,45.0,12
13432,Shooting,1912,46.0,3
13433,Shooting,1912,47.0,20
13434,Shooting,1912,48.0,25
13435,Shooting,1912,49.0,7
13436,Shooting,1912,50.0,10
13437,Shooting,1912,51.0,3
13438,Shooting,1912,52.0,11
13439,Shooting,1912,53.0,3
13440,Shooting,1912,54.0,2
13441,Shooting,1912,55.0,1
13442,Shooting,1912,56.0,2
13443,Shooting,1912,57.0,11
13444,Shooting,1912,59.0,5
13445,Shooting,1912,60.0,9
13446,Shooting,1912,61.0,2
13447,Shooting,1912,64.0,4
13448,Shooting,1920,23.0,10
13449,Shooting,1920,24.0,10
13450,Shooting,1920,25.0,8
13451,Shooting,1920,26.0,9
13452,Shooting,1920,27.0,14
13453,Shooting,1920,28.0,16
13454,Shooting,1920,29.0,9
13455,Shooting,1920,30.0,18
13456,Shooting,1920,31.0,40
13457,Shooting,1920,32.0,40
13458,Shooting,1920,33.0,9
13459,Shooting,1920,34.0,33
13460,Shooting,1920,35.0,79
13461,Shooting,1920,36.0,16
13462,Shooting,1920,37.0,29
13463,Shooting,1920,38.0,20
13464,Shooting,1920,39.0,29
13465,Shooting,1920,40.0,28
13466,Shooting,1920,41.0,35
13467,Shooting,1920,42.0,21
13468,Shooting,1920,43.0,38
13469,Shooting,1920,44.0,30
13470,Shooting,1920,45.0,24
13471,Shooting,1920,46.0,4
13472,Shooting,1920,47.0,7
13473,Shooting,1920,48.0,16
13474,Shooting,1920,49.0,8
13475,Shooting,1920,50.0,7
13476,Shooting,1920,51.0,17
13477,Shooting,1920,52.0,16
13478,Shooting,1920,54.0,1
13479,Shooting,1920,55.0,6
13480,Shooting,1920,56.0,2
13481,Shooting,1920,59.0,2
13482,Shooting,1920,65.0,1
13483,Shooting,1920,72.0,3
13484,Shooting,1924,16.0,1
13485,Shooting,1924,17.0,1
13486,Shooting,1924,18.0,2
13487,Shooting,1924,19.0,4
13488,Shooting,1924,20.0,1
13489,Shooting,1924,22.0,2
13490,Shooting,1924,23.0,4
13491,Shooting,1924,24.0,1
13492,Shooting,1924,25.0,14
13493,Shooting,1924,26.0,2
13494,Shooting,1924,27.0,6
13495,Shooting,1924,28.0,9
13496,Shooting,1924,29.0,11
13497,Shooting,1924,30.0,15
13498,Shooting,1924,31.0,16
13499,Shooting,1924,32.0,18
13500,Shooting,1924,33.0,14
13501,Shooting,1924,34.0,12
13502,Shooting,1924,35.0,15
13503,Shooting,1924,36.0,28
13504,Shooting,1924,37.0,4
13505,Shooting,1924,38.0,19
13506,Shooting,1924,39.0,31
13507,Shooting,1924,40.0,9
13508,Shooting,1924,41.0,24
13509,Shooting,1924,42.0,2
13510,Shooting,1924,43.0,16
13511,Shooting,1924,44.0,21
13512,Shooting,1924,45.0,5
13513,Shooting,1924,46.0,7
13514,Shooting,1924,47.0,1
13515,Shooting,1924,48.0,9
13516,Shooting,1924,49.0,10
13517,Shooting,1924,50.0,10
13518,Shooting,1924,51.0,6
13519,Shooting,1924,52.0,7
13520,Shooting,1924,53.0,3
13521,Shooting,1924,54.0,4
13522,Shooting,1924,55.0,1
13523,Shooting,1924,56.0,5
13524,Shooting,1924,57.0,2
13525,Shooting,1924,60.0,1
13526,Shooting,1932,19.0,1
13527,Shooting,1932,21.0,1
13528,Shooting,1932,22.0,2
13529,Shooting,1932,25.0,2
13530,Shooting,1932,26.0,3
13531,Shooting,1932,28.0,1
13532,Shooting,1932,29.0,2
13533,Shooting,1932,30.0,4
13534,Shooting,1932,32.0,2
13535,Shooting,1932,35.0,2
13536,Shooting,1932,36.0,2
13537,Shooting,1932,37.0,2
13538,Shooting,1932,42.0,2
13539,Shooting,1932,44.0,1
13540,Shooting,1932,46.0,2
13541,Shooting,1932,47.0,1
13542,Shooting,1932,52.0,1
13543,Shooting,1936,17.0,1
13544,Shooting,1936,19.0,1
13545,Shooting,1936,21.0,1
13546,Shooting,1936,22.0,7
13547,Shooting,1936,23.0,3
13548,Shooting,1936,24.0,1
13549,Shooting,1936,26.0,6
13550,Shooting,1936,27.0,8
13551,Shooting,1936,28.0,6
13552,Shooting,1936,29.0,7
13553,Shooting,1936,30.0,7
13554,Shooting,1936,31.0,4
13555,Shooting,1936,32.0,5
13556,Shooting,1936,33.0,6
13557,Shooting,1936,34.0,10
13558,Shooting,1936,35.0,12
13559,Shooting,1936,36.0,6
13560,Shooting,1936,37.0,6
13561,Shooting,1936,38.0,2
13562,Shooting,1936,39.0,9
13563,Shooting,1936,40.0,9
13564,Shooting,1936,41.0,13
13565,Shooting,1936,42.0,3
13566,Shooting,1936,43.0,1
13567,Shooting,1936,44.0,3
13568,Shooting,1936,45.0,3
13569,Shooting,1936,46.0,1
13570,Shooting,1936,47.0,3
13571,Shooting,1936,49.0,2
13572,Shooting,1936,50.0,2
13573,Shooting,1936,52.0,3
13574,Shooting,1936,56.0,1
13575,Shooting,1936,62.0,2
13576,Shooting,1948,16.0,1
13577,Shooting,1948,19.0,1
13578,Shooting,1948,20.0,1
13579,Shooting,1948,24.0,1
13580,Shooting,1948,25.0,2
13581,Shooting,1948,27.0,4
13582,Shooting,1948,28.0,5
13583,Shooting,1948,29.0,2
13584,Shooting,1948,30.0,4
13585,Shooting,1948,31.0,2
13586,Shooting,1948,32.0,9
13587,Shooting,1948,33.0,8
13588,Shooting,1948,34.0,10
13589,Shooting,1948,35.0,9
13590,Shooting,1948,36.0,11
13591,Shooting,1948,37.0,3
13592,Shooting,1948,38.0,7
13593,Shooting,1948,39.0,9
13594,Shooting,1948,40.0,10
13595,Shooting,1948,41.0,4
13596,Shooting,1948,42.0,10
13597,Shooting,1948,43.0,4
13598,Shooting,1948,44.0,6
13599,Shooting,1948,45.0,5
13600,Shooting,1948,46.0,7
13601,Shooting,1948,47.0,12
13602,Shooting,1948,48.0,6
13603,Shooting,1948,49.0,2
13604,Shooting,1948,50.0,2
13605,Shooting,1948,51.0,3
13606,Shooting,1948,52.0,2
13607,Shooting,1948,53.0,1
13608,Shooting,1948,56.0,1
13609,Shooting,1948,58.0,1
13610,Shooting,1948,60.0,1
13611,Shooting,1952,17.0,2
13612,Shooting,1952,18.0,2
13613,Shooting,1952,19.0,4
13614,Shooting,1952,20.0,1
13615,Shooting,1952,21.0,1
13616,Shooting,1952,22.0,4
13617,Shooting,1952,23.0,8
13618,Shooting,1952,24.0,3
13619,Shooting,1952,25.0,12
13620,Shooting,1952,26.0,5
13621,Shooting,1952,27.0,5
13622,Shooting,1952,28.0,10
13623,Shooting,1952,29.0,5
13624,Shooting,1952,30.0,5
13625,Shooting,1952,31.0,8
13626,Shooting,1952,32.0,9
13627,Shooting,1952,33.0,5
13628,Shooting,1952,34.0,13
13629,Shooting,1952,35.0,2
13630,Shooting,1952,36.0,14
13631,Shooting,1952,37.0,18
13632,Shooting,1952,38.0,14
13633,Shooting,1952,39.0,17
13634,Shooting,1952,40.0,10
13635,Shooting,1952,41.0,12
13636,Shooting,1952,42.0,9
13637,Shooting,1952,43.0,17
13638,Shooting,1952,44.0,7
13639,Shooting,1952,45.0,5
13640,Shooting,1952,46.0,7
13641,Shooting,1952,47.0,4
13642,Shooting,1952,48.0,6
13643,Shooting,1952,49.0,4
13644,Shooting,1952,50.0,1
13645,Shooting,1952,51.0,4
13646,Shooting,1952,52.0,3
13647,Shooting,1952,53.0,3
13648,Shooting,1952,55.0,2
13649,Shooting,1952,56.0,2
13650,Shooting,1952,57.0,2
13651,Shooting,1952,58.0,1
13652,Shooting,1952,59.0,2
13653,Shooting,1952,60.0,1
13654,Shooting,1952,63.0,1
13655,Shooting,1952,65.0,1
13656,Shooting,1956,16.0,1
13657,Shooting,1956,19.0,2
13658,Shooting,1956,20.0,2
13659,Shooting,1956,21.0,4
13660,Shooting,1956,22.0,9
13661,Shooting,1956,23.0,7
