lindex,Sport,Year,Age,count
14289,Short Track Speed Skating,1992,15.0,2
14290,Short Track Speed Skating,1992,16.0,4
14291,Short Track Speed Skating,1992,17.0,7
14292,Short Track Speed Skating,1992,18.0,4
14293,Short Track Speed Skating,1992,19.0,17
14294,Short Track Speed Skating,1992,20.0,11
14295,Short Track Speed Skating,1992,21.0,6
14296,Short Track Speed Skating,1992,22.0,9
14297,Short Track Speed Skating,1992,23.0,10
14298,Short Track Speed Skating,1992,24.0,15
14299,Short Track Speed Skating,1992,25.0,10
14300,Short Track Speed Skating,1992,26.0,7
14301,Short Track Speed Skating,1992,27.0,9
14302,Short Track Speed Skating,1992,28.0,3
14303,Short Track Speed Skating,1992,29.0,4
14304,Short Track Speed Skating,1992,30.0,5
14305,Short Track Speed Skating,1992,31.0,1
14306,Short Track Speed Skating,1994,13.0,1
14307,Short Track Speed Skating,1994,14.0,3
14308,Short Track Speed Skating,1994,16.0,11
14309,Short Track Speed Skating,1994,17.0,4
14310,Short Track Speed Skating,1994,18.0,19
14311,Short Track Speed Skating,1994,19.0,16
14312,Short Track Speed Skating,1994,20.0,15
14313,Short Track Speed Skating,1994,21.0,24
14314,Short Track Speed Skating,1994,22.0,19
14315,Short Track Speed Skating,1994,23.0,10
14316,Short Track Speed Skating,1994,24.0,7
14317,Short Track Speed Skating,1994,25.0,13
14318,Short Track Speed Skating,1994,26.0,13
14319,Short Track Speed Skating,1994,27.0,5
14320,Short Track Speed Skating,1994,28.0,3
14321,Short Track Speed Skating,1994,29.0,12
14322,Short Track Speed Skating,1994,30.0,3
14323,Short Track Speed Skating,1994,31.0,6
14324,Short Track Speed Skating,1994,32.0,1
14325,Short Track Speed Skating,1994,33.0,2
14326,Short Track Speed Skating,1994,34.0,1
14327,Short Track Speed Skating,1998,15.0,1
14328,Short Track Speed Skating,1998,17.0,12
14329,Short Track Speed Skating,1998,18.0,16
14330,Short Track Speed Skating,1998,19.0,25
14331,Short Track Speed Skating,1998,20.0,25
14332,Short Track Speed Skating,1998,21.0,25
14333,Short Track Speed Skating,1998,22.0,22
14334,Short Track Speed Skating,1998,23.0,14
14335,Short Track Speed Skating,1998,24.0,8
14336,Short Track Speed Skating,1998,25.0,14
14337,Short Track Speed Skating,1998,26.0,10
14338,Short Track Speed Skating,1998,27.0,7
14339,Short Track Speed Skating,1998,28.0,1
14340,Short Track Speed Skating,1998,29.0,3
14341,Short Track Speed Skating,1998,30.0,1
14342,Short Track Speed Skating,1998,31.0,2
14343,Short Track Speed Skating,1998,33.0,3
14344,Short Track Speed Skating,1998,35.0,1
14345,Short Track Speed Skating,2002,15.0,6
14346,Short Track Speed Skating,2002,16.0,2
14347,Short Track Speed Skating,2002,17.0,13
14348,Short Track Speed Skating,2002,18.0,18
14349,Short Track Speed Skating,2002,19.0,25
14350,Short Track Speed Skating,2002,20.0,22
14351,Short Track Speed Skating,2002,21.0,27
14352,Short Track Speed Skating,2002,22.0,26
14353,Short Track Speed Skating,2002,23.0,24
14354,Short Track Speed Skating,2002,24.0,34
14355,Short Track Speed Skating,2002,25.0,12
14356,Short Track Speed Skating,2002,26.0,18
14357,Short Track Speed Skating,2002,27.0,2
14358,Short Track Speed Skating,2002,28.0,14
14359,Short Track Speed Skating,2002,29.0,2
14360,Short Track Speed Skating,2002,30.0,4
14361,Short Track Speed Skating,2002,31.0,2
14362,Short Track Speed Skating,2006,15.0,3
14363,Short Track Speed Skating,2006,16.0,1
14364,Short Track Speed Skating,2006,17.0,11
14365,Short Track Speed Skating,2006,18.0,13
14366,Short Track Speed Skating,2006,19.0,15
14367,Short Track Speed Skating,2006,20.0,19
14368,Short Track Speed Skating,2006,21.0,24
14369,Short Track Speed Skating,2006,22.0,22
14370,Short Track Speed Skating,2006,23.0,23
14371,Short Track Speed Skating,2006,24.0,26
14372,Short Track Speed Skating,2006,25.0,27
14373,Short Track Speed Skating,2006,26.0,6
14374,Short Track Speed Skating,2006,27.0,9
14375,Short Track Speed Skating,2006,28.0,16
14376,Short Track Speed Skating,2006,29.0,11
14377,Short Track Speed Skating,2006,30.0,10
14378,Short Track Speed Skating,2006,32.0,2
14379,Short Track Speed Skating,2006,34.0,1
14380,Short Track Speed Skating,2010,16.0,2
14381,Short Track Speed Skating,2010,17.0,9
14382,Short Track Speed Skating,2010,18.0,11
14383,Short Track Speed Skating,2010,19.0,24
14384,Short Track Speed Skating,2010,20.0,24
