lindex,Sport,Year,Age,count
14947,Softball,1996,17.0,1
14948,Softball,1996,18.0,2
14949,Softball,1996,19.0,3
14950,Softball,1996,20.0,3
14951,Softball,1996,21.0,5
14952,Softball,1996,22.0,3
14953,Softball,1996,23.0,12
14954,Softball,1996,24.0,12
14955,Softball,1996,25.0,16
14956,Softball,1996,26.0,17
14957,Softball,1996,27.0,11
14958,Softball,1996,28.0,13
14959,Softball,1996,29.0,5
14960,Softball,1996,30.0,5
14961,Softball,1996,31.0,3
14962,Softball,1996,32.0,1
14963,Softball,1996,33.0,1
14964,Softball,1996,34.0,2
14965,Softball,1996,35.0,1
14966,Softball,1996,37.0,1
14967,Softball,1996,38.0,1
14968,Softball,1996,39.0,1
14969,Softball,1996,41.0,1
14970,Softball,2000,19.0,1
14971,Softball,2000,20.0,4
14972,Softball,2000,21.0,5
14973,Softball,2000,22.0,8
14974,Softball,2000,23.0,8
14975,Softball,2000,24.0,10
14976,Softball,2000,25.0,4
14977,Softball,2000,26.0,11
14978,Softball,2000,27.0,14
14979,Softball,2000,28.0,11
14980,Softball,2000,29.0,6
14981,Softball,2000,30.0,9
14982,Softball,2000,31.0,8
14983,Softball,2000,32.0,4
14984,Softball,2000,33.0,1
14985,Softball,2000,34.0,3
14986,Softball,2000,35.0,6
14987,Softball,2000,36.0,3
14988,Softball,2000,37.0,2
14989,Softball,2000,38.0,2
14990,Softball,2004,18.0,2
14991,Softball,2004,19.0,1
14992,Softball,2004,20.0,4
14993,Softball,2004,21.0,10
14994,Softball,2004,22.0,10
14995,Softball,2004,23.0,13
14996,Softball,2004,24.0,19
14997,Softball,2004,25.0,7
14998,Softball,2004,26.0,11
14999,Softball,2004,27.0,8
15000,Softball,2004,28.0,5
15001,Softball,2004,29.0,5
15002,Softball,2004,30.0,5
15003,Softball,2004,31.0,2
15004,Softball,2004,32.0,4
15005,Softball,2004,33.0,6
15006,Softball,2004,34.0,3
15007,Softball,2004,35.0,2
15008,Softball,2004,41.0,1
15009,Softball,2008,17.0,1
15010,Softball,2008,18.0,1
15011,Softball,2008,19.0,3
15012,Softball,2008,20.0,4
15013,Softball,2008,21.0,6
15014,Softball,2008,22.0,5
15015,Softball,2008,23.0,7
15016,Softball,2008,24.0,17
15017,Softball,2008,25.0,10
15018,Softball,2008,26.0,20
15019,Softball,2008,27.0,14
15020,Softball,2008,28.0,5
15021,Softball,2008,29.0,8
15022,Softball,2008,30.0,4
15023,Softball,2008,31.0,4
15024,Softball,2008,32.0,5
15025,Softball,2008,33.0,1
15026,Softball,2008,34.0,1
15027,Softball,2008,36.0,1
15028,Softball,2008,37.0,1
15029,Softball,2008,38.0,1
15030,Softball,2008,41.0,1
