lindex,Sport,Year,Age,count
16115,Table Tennis,1988,16.0,1
16116,Table Tennis,1988,17.0,3
16117,Table Tennis,1988,18.0,7
16118,Table Tennis,1988,19.0,19
16119,Table Tennis,1988,20.0,12
16120,Table Tennis,1988,21.0,21
16121,Table Tennis,1988,22.0,16
16122,Table Tennis,1988,23.0,15
16123,Table Tennis,1988,24.0,23
16124,Table Tennis,1988,25.0,18
16125,Table Tennis,1988,26.0,14
16126,Table Tennis,1988,27.0,12
16127,Table Tennis,1988,28.0,9
16128,Table Tennis,1988,29.0,9
16129,Table Tennis,1988,30.0,7
16130,Table Tennis,1988,31.0,2
16131,Table Tennis,1988,32.0,4
16132,Table Tennis,1988,33.0,2
16133,Table Tennis,1988,35.0,4
16134,Table Tennis,1988,36.0,3
16135,Table Tennis,1988,38.0,2
16136,Table Tennis,1988,39.0,1
16137,Table Tennis,1992,17.0,2
16138,Table Tennis,1992,18.0,7
16139,Table Tennis,1992,19.0,12
16140,Table Tennis,1992,20.0,14
16141,Table Tennis,1992,21.0,29
16142,Table Tennis,1992,22.0,24
16143,Table Tennis,1992,23.0,33
16144,Table Tennis,1992,24.0,30
16145,Table Tennis,1992,25.0,17
16146,Table Tennis,1992,26.0,16
16147,Table Tennis,1992,27.0,8
16148,Table Tennis,1992,28.0,15
16149,Table Tennis,1992,29.0,5
16150,Table Tennis,1992,30.0,11
16151,Table Tennis,1992,31.0,5
16152,Table Tennis,1992,32.0,8
16153,Table Tennis,1992,33.0,2
16154,Table Tennis,1992,34.0,3
16155,Table Tennis,1992,35.0,1
16156,Table Tennis,1992,40.0,1
16157,Table Tennis,1992,42.0,2
16158,Table Tennis,1992,45.0,1
16159,Table Tennis,1996,16.0,5
16160,Table Tennis,1996,17.0,3
16161,Table Tennis,1996,18.0,3
16162,Table Tennis,1996,19.0,4
16163,Table Tennis,1996,20.0,17
16164,Table Tennis,1996,21.0,10
16165,Table Tennis,1996,22.0,10
16166,Table Tennis,1996,23.0,19
16167,Table Tennis,1996,24.0,23
16168,Table Tennis,1996,25.0,23
16169,Table Tennis,1996,26.0,18
16170,Table Tennis,1996,27.0,34
16171,Table Tennis,1996,28.0,21
16172,Table Tennis,1996,29.0,13
16173,Table Tennis,1996,30.0,10
16174,Table Tennis,1996,31.0,7
16175,Table Tennis,1996,32.0,10
16176,Table Tennis,1996,33.0,7
16177,Table Tennis,1996,34.0,5
16178,Table Tennis,1996,35.0,2
16179,Table Tennis,1996,36.0,1
16180,Table Tennis,1996,37.0,2
16181,Table Tennis,1996,38.0,2
16182,Table Tennis,2000,17.0,4
16183,Table Tennis,2000,18.0,6
16184,Table Tennis,2000,19.0,19
16185,Table Tennis,2000,20.0,10
16186,Table Tennis,2000,21.0,9
16187,Table Tennis,2000,22.0,13
16188,Table Tennis,2000,23.0,12
16189,Table Tennis,2000,24.0,19
16190,Table Tennis,2000,25.0,18
16191,Table Tennis,2000,26.0,9
16192,Table Tennis,2000,27.0,26
16193,Table Tennis,2000,28.0,19
16194,Table Tennis,2000,29.0,20
16195,Table Tennis,2000,30.0,13
16196,Table Tennis,2000,31.0,24
16197,Table Tennis,2000,32.0,8
16198,Table Tennis,2000,33.0,12
16199,Table Tennis,2000,34.0,5
16200,Table Tennis,2000,35.0,2
16201,Table Tennis,2000,37.0,11
16202,Table Tennis,2000,38.0,4
16203,Table Tennis,2000,41.0,3
16204,Table Tennis,2000,43.0,1
16205,Table Tennis,2004,15.0,1
16206,Table Tennis,2004,16.0,5
16207,Table Tennis,2004,17.0,5
16208,Table Tennis,2004,18.0,6
16209,Table Tennis,2004,19.0,3
16210,Table Tennis,2004,20.0,15
16211,Table Tennis,2004,21.0,8
16212,Table Tennis,2004,22.0,13
16213,Table Tennis,2004,23.0,20
16214,Table Tennis,2004,24.0,14
16215,Table Tennis,2004,25.0,20
16216,Table Tennis,2004,26.0,20
16217,Table Tennis,2004,27.0,16
16218,Table Tennis,2004,28.0,11
16219,Table Tennis,2004,29.0,21
16220,Table Tennis,2004,30.0,10
16221,Table Tennis,2004,31.0,12
16222,Table Tennis,2004,32.0,13
16223,Table Tennis,2004,33.0,13
16224,Table Tennis,2004,34.0,4
16225,Table Tennis,2004,35.0,12
