lindex,Sport,Year,Age,count
16707,Trampolining,2000,18.0,1
16708,Trampolining,2000,19.0,2
16709,Trampolining,2000,20.0,1
16710,Trampolining,2000,21.0,3
16711,Trampolining,2000,23.0,5
16712,Trampolining,2000,24.0,1
16713,Trampolining,2000,25.0,2
16714,Trampolining,2000,26.0,2
16715,Trampolining,2000,27.0,2
16716,Trampolining,2000,28.0,2
16717,Trampolining,2000,29.0,1
16718,Trampolining,2000,30.0,2
16719,Trampolining,2004,18.0,1
16720,Trampolining,2004,20.0,3
16721,Trampolining,2004,22.0,3
16722,Trampolining,2004,23.0,7
16723,Trampolining,2004,24.0,2
16724,Trampolining,2004,25.0,1
16725,Trampolining,2004,26.0,2
16726,Trampolining,2004,27.0,3
16727,Trampolining,2004,28.0,2
16728,Trampolining,2004,29.0,1
16729,Trampolining,2004,30.0,1
16730,Trampolining,2004,31.0,3
16731,Trampolining,2004,33.0,1
16732,Trampolining,2004,34.0,1
16733,Trampolining,2004,38.0,1
16734,Trampolining,2008,18.0,2
16735,Trampolining,2008,19.0,5
16736,Trampolining,2008,20.0,2
16737,Trampolining,2008,21.0,1
16738,Trampolining,2008,22.0,1
16739,Trampolining,2008,23.0,3
16740,Trampolining,2008,24.0,2
16741,Trampolining,2008,25.0,1
16742,Trampolining,2008,26.0,3
16743,Trampolining,2008,27.0,3
16744,Trampolining,2008,28.0,1
16745,Trampolining,2008,29.0,1
16746,Trampolining,2008,30.0,3
16747,Trampolining,2008,31.0,1
16748,Trampolining,2008,32.0,1
16749,Trampolining,2008,33.0,1
16750,Trampolining,2008,35.0,1
16751,Trampolining,2012,19.0,2
16752,Trampolining,2012,20.0,3
16753,Trampolining,2012,22.0,2
16754,Trampolining,2012,23.0,6
16755,Trampolining,2012,24.0,3
16756,Trampolining,2012,25.0,3
16757,Trampolining,2012,26.0,2
16758,Trampolining,2012,27.0,1
16759,Trampolining,2012,28.0,1
16760,Trampolining,2012,30.0,3
16761,Trampolining,2012,31.0,3
16762,Trampolining,2012,32.0,1
16763,Trampolining,2012,34.0,1
16764,Trampolining,2012,39.0,1
16765,Trampolining,2016,18.0,3
16766,Trampolining,2016,19.0,1
16767,Trampolining,2016,20.0,3
16768,Trampolining,2016,22.0,2
16769,Trampolining,2016,23.0,3
16770,Trampolining,2016,24.0,3
16771,Trampolining,2016,25.0,1
16772,Trampolining,2016,26.0,1
16773,Trampolining,2016,27.0,6
16774,Trampolining,2016,28.0,3
16775,Trampolining,2016,29.0,1
16776,Trampolining,2016,30.0,2
16777,Trampolining,2016,31.0,1
16778,Trampolining,2016,34.0,2
