lindex,Sport,Year,Age,count
17740,Weightlifting,1896,21.0,4
17741,Weightlifting,1896,23.0,1
17742,Weightlifting,1896,26.0,1
17743,Weightlifting,1904,21.0,2
17744,Weightlifting,1904,25.0,2
17745,Weightlifting,1906,19.0,2
17746,Weightlifting,1906,21.0,2
17747,Weightlifting,1906,22.0,2
17748,Weightlifting,1906,26.0,3
17749,Weightlifting,1906,27.0,2
17750,Weightlifting,1906,28.0,2
17751,Weightlifting,1906,30.0,2
17752,Weightlifting,1920,18.0,1
17753,Weightlifting,1920,20.0,1
17754,Weightlifting,1920,21.0,1
17755,Weightlifting,1920,22.0,2
17756,Weightlifting,1920,23.0,3
17757,Weightlifting,1920,24.0,4
17758,Weightlifting,1920,25.0,4
17759,Weightlifting,1920,26.0,4
17760,Weightlifting,1920,27.0,3
17761,Weightlifting,1920,28.0,2
17762,Weightlifting,1920,29.0,3
17763,Weightlifting,1920,30.0,1
17764,Weightlifting,1920,31.0,2
17765,Weightlifting,1920,32.0,1
17766,Weightlifting,1920,34.0,1
17767,Weightlifting,1924,17.0,1
17768,Weightlifting,1924,18.0,1
17769,Weightlifting,1924,19.0,1
17770,Weightlifting,1924,20.0,2
17771,Weightlifting,1924,21.0,4
17772,Weightlifting,1924,22.0,5
17773,Weightlifting,1924,23.0,6
17774,Weightlifting,1924,24.0,5
17775,Weightlifting,1924,25.0,5
17776,Weightlifting,1924,26.0,6
17777,Weightlifting,1924,27.0,5
17778,Weightlifting,1924,28.0,5
17779,Weightlifting,1924,29.0,1
17780,Weightlifting,1924,30.0,3
17781,Weightlifting,1924,31.0,2
17782,Weightlifting,1924,32.0,3
17783,Weightlifting,1924,33.0,1
17784,Weightlifting,1924,34.0,1
17785,Weightlifting,1924,35.0,1
17786,Weightlifting,1924,36.0,2
17787,Weightlifting,1924,38.0,1
17788,Weightlifting,1924,39.0,1
17789,Weightlifting,1928,17.0,2
17790,Weightlifting,1928,18.0,1
17791,Weightlifting,1928,19.0,1
17792,Weightlifting,1928,20.0,3
17793,Weightlifting,1928,21.0,7
17794,Weightlifting,1928,22.0,4
17795,Weightlifting,1928,23.0,4
17796,Weightlifting,1928,24.0,2
17797,Weightlifting,1928,25.0,5
17798,Weightlifting,1928,26.0,2
17799,Weightlifting,1928,27.0,6
17800,Weightlifting,1928,28.0,5
17801,Weightlifting,1928,29.0,5
17802,Weightlifting,1928,30.0,3
17803,Weightlifting,1928,31.0,3
17804,Weightlifting,1928,32.0,2
17805,Weightlifting,1928,33.0,4
17806,Weightlifting,1928,34.0,1
17807,Weightlifting,1928,37.0,1
17808,Weightlifting,1928,38.0,1
17809,Weightlifting,1928,40.0,1
17810,Weightlifting,1932,19.0,1
17811,Weightlifting,1932,21.0,5
17812,Weightlifting,1932,22.0,1
17813,Weightlifting,1932,23.0,3
17814,Weightlifting,1932,24.0,2
17815,Weightlifting,1932,25.0,3
17816,Weightlifting,1932,26.0,2
17817,Weightlifting,1932,27.0,1
17818,Weightlifting,1932,28.0,1
17819,Weightlifting,1932,29.0,1
17820,Weightlifting,1932,31.0,1
17821,Weightlifting,1932,32.0,1
17822,Weightlifting,1932,33.0,3
17823,Weightlifting,1932,37.0,2
17824,Weightlifting,1936,19.0,3
17825,Weightlifting,1936,20.0,1
17826,Weightlifting,1936,21.0,3
17827,Weightlifting,1936,22.0,3
17828,Weightlifting,1936,23.0,8
17829,Weightlifting,1936,24.0,8
17830,Weightlifting,1936,25.0,7
17831,Weightlifting,1936,26.0,5
17832,Weightlifting,1936,27.0,11
17833,Weightlifting,1936,28.0,9
17834,Weightlifting,1936,29.0,5
17835,Weightlifting,1936,30.0,5
17836,Weightlifting,1936,31.0,5
17837,Weightlifting,1936,32.0,3
17838,Weightlifting,1936,35.0,1
17839,Weightlifting,1936,36.0,1
17840,Weightlifting,1936,41.0,1
17841,Weightlifting,1936,42.0,1
17842,Weightlifting,1948,18.0,2
17843,Weightlifting,1948,19.0,3
17844,Weightlifting,1948,20.0,1
17845,Weightlifting,1948,21.0,2
17846,Weightlifting,1948,22.0,2
17847,Weightlifting,1948,23.0,8
17848,Weightlifting,1948,24.0,6
17849,Weightlifting,1948,25.0,5
17850,Weightlifting,1948,26.0,3
17851,Weightlifting,1948,27.0,8
17852,Weightlifting,1948,28.0,7
17853,Weightlifting,1948,29.0,8
17854,Weightlifting,1948,30.0,6
17855,Weightlifting,1948,31.0,5
17856,Weightlifting,1948,32.0,3
17857,Weightlifting,1948,33.0,4
17858,Weightlifting,1948,34.0,5
17859,Weightlifting,1948,35.0,1
17860,Weightlifting,1948,36.0,5
17861,Weightlifting,1948,43.0,1
17862,Weightlifting,1952,19.0,1
17863,Weightlifting,1952,20.0,5
17864,Weightlifting,1952,21.0,5
17865,Weightlifting,1952,22.0,11
17866,Weightlifting,1952,23.0,13
17867,Weightlifting,1952,24.0,13
17868,Weightlifting,1952,25.0,6
17869,Weightlifting,1952,26.0,6
17870,Weightlifting,1952,27.0,10
17871,Weightlifting,1952,28.0,10
17872,Weightlifting,1952,29.0,6
17873,Weightlifting,1952,30.0,9
17874,Weightlifting,1952,31.0,8
17875,Weightlifting,1952,32.0,5
17876,Weightlifting,1952,33.0,8
17877,Weightlifting,1952,34.0,3
17878,Weightlifting,1952,35.0,2
17879,Weightlifting,1952,36.0,1
17880,Weightlifting,1952,37.0,2
17881,Weightlifting,1952,38.0,3
17882,Weightlifting,1952,39.0,1
17883,Weightlifting,1952,40.0,5
17884,Weightlifting,1952,44.0,1
17885,Weightlifting,1952,45.0,1
17886,Weightlifting,1956,18.0,1
17887,Weightlifting,1956,19.0,2
17888,Weightlifting,1956,20.0,4
17889,Weightlifting,1956,21.0,3
17890,Weightlifting,1956,22.0,4
