lindex,Sport,Year,Age,count
18223,Wrestling,1896,21.0,1
18224,Wrestling,1896,23.0,1
18225,Wrestling,1896,26.0,1
18226,Wrestling,1904,17.0,1
18227,Wrestling,1904,18.0,1
18228,Wrestling,1904,19.0,1
18229,Wrestling,1904,20.0,4
18230,Wrestling,1904,21.0,3
18231,Wrestling,1904,22.0,2
18232,Wrestling,1904,23.0,7
18233,Wrestling,1904,24.0,1
18234,Wrestling,1904,25.0,3
18235,Wrestling,1904,26.0,2
18236,Wrestling,1904,28.0,2
18237,Wrestling,1904,29.0,3
18238,Wrestling,1904,30.0,1
18239,Wrestling,1904,31.0,3
18240,Wrestling,1904,32.0,2
18241,Wrestling,1904,34.0,1
18242,Wrestling,1904,50.0,1
18243,Wrestling,1906,18.0,1
18244,Wrestling,1906,19.0,1
18245,Wrestling,1906,21.0,1
18246,Wrestling,1906,22.0,1
18247,Wrestling,1906,23.0,2
18248,Wrestling,1906,24.0,5
18249,Wrestling,1906,25.0,2
18250,Wrestling,1906,26.0,3
18251,Wrestling,1906,28.0,1
18252,Wrestling,1906,31.0,1
18253,Wrestling,1906,33.0,1
18254,Wrestling,1908,18.0,1
18255,Wrestling,1908,19.0,6
18256,Wrestling,1908,20.0,8
18257,Wrestling,1908,21.0,9
18258,Wrestling,1908,22.0,8
18259,Wrestling,1908,23.0,10
18260,Wrestling,1908,24.0,8
18261,Wrestling,1908,25.0,10
18262,Wrestling,1908,26.0,2
18263,Wrestling,1908,27.0,2
18264,Wrestling,1908,28.0,4
18265,Wrestling,1908,30.0,5
18266,Wrestling,1908,31.0,2
18267,Wrestling,1908,32.0,1
18268,Wrestling,1908,35.0,2
18269,Wrestling,1912,18.0,3
18270,Wrestling,1912,19.0,8
18271,Wrestling,1912,20.0,11
18272,Wrestling,1912,21.0,16
18273,Wrestling,1912,22.0,21
18274,Wrestling,1912,23.0,21
18275,Wrestling,1912,24.0,20
18276,Wrestling,1912,25.0,10
18277,Wrestling,1912,26.0,12
18278,Wrestling,1912,27.0,14
18279,Wrestling,1912,28.0,10
18280,Wrestling,1912,29.0,8
18281,Wrestling,1912,30.0,1
18282,Wrestling,1912,31.0,4
18283,Wrestling,1912,32.0,1
18284,Wrestling,1912,33.0,2
18285,Wrestling,1912,34.0,1
18286,Wrestling,1912,36.0,1
18287,Wrestling,1912,37.0,1
18288,Wrestling,1920,18.0,2
18289,Wrestling,1920,19.0,3
18290,Wrestling,1920,20.0,1
18291,Wrestling,1920,21.0,6
18292,Wrestling,1920,22.0,4
18293,Wrestling,1920,23.0,4
18294,Wrestling,1920,24.0,11
18295,Wrestling,1920,25.0,5
18296,Wrestling,1920,26.0,5
18297,Wrestling,1920,27.0,13
18298,Wrestling,1920,28.0,14
18299,Wrestling,1920,29.0,3
18300,Wrestling,1920,30.0,8
18301,Wrestling,1920,31.0,7
18302,Wrestling,1920,32.0,8
18303,Wrestling,1920,33.0,6
18304,Wrestling,1920,34.0,4
18305,Wrestling,1920,35.0,3
18306,Wrestling,1920,36.0,1
18307,Wrestling,1920,39.0,1
18308,Wrestling,1920,41.0,1
18309,Wrestling,1924,17.0,1
18310,Wrestling,1924,19.0,5
18311,Wrestling,1924,20.0,9
18312,Wrestling,1924,21.0,11
18313,Wrestling,1924,22.0,8
18314,Wrestling,1924,23.0,18
18315,Wrestling,1924,24.0,18
18316,Wrestling,1924,25.0,12
18317,Wrestling,1924,26.0,14
18318,Wrestling,1924,27.0,8
18319,Wrestling,1924,28.0,7
18320,Wrestling,1924,29.0,10
18321,Wrestling,1924,30.0,7
18322,Wrestling,1924,31.0,12
18323,Wrestling,1924,32.0,8
18324,Wrestling,1924,33.0,2
18325,Wrestling,1924,34.0,5
18326,Wrestling,1924,35.0,3
18327,Wrestling,1924,36.0,5
18328,Wrestling,1924,37.0,1
18329,Wrestling,1924,38.0,1
18330,Wrestling,1924,39.0,4
18331,Wrestling,1924,40.0,1
18332,Wrestling,1928,16.0,1
