lindex,Sport,Year,Country,count
775,Archery,1900,BEL,8
776,Archery,1900,FRA,18
777,Archery,1900,NED,6
778,Archery,1904,USA,70
779,Archery,1908,FRA,25
780,Archery,1908,GBR,50
781,Archery,1908,USA,2
782,Archery,1920,BEL,51
783,Archery,1920,FRA,27
784,Archery,1920,NED,8
785,Archery,1972,AUS,3
786,Archery,1972,BEL,3
787,Archery,1972,CAN,6
788,Archery,1972,DEN,4
789,Archery,1972,ESP,2
790,Archery,1972,FIN,3
791,Archery,1972,FRA,5
792,Archery,1972,FRG,4
793,Archery,1972,GBR,6
794,Archery,1972,HUN,2
795,Archery,1972,INA,1
796,Archery,1972,ITA,3
797,Archery,1972,JPN,4
798,Archery,1972,LUX,2
799,Archery,1972,MEX,6
800,Archery,1972,MGL,3
801,Archery,1972,NOR,4
802,Archery,1972,NZL,1
803,Archery,1972,PHI,3
804,Archery,1972,POL,4
805,Archery,1972,PRK,3
806,Archery,1972,PUR,1
807,Archery,1972,SUI,4
808,Archery,1972,SWE,5
809,Archery,1972,TPE,1
810,Archery,1972,URS,6
811,Archery,1972,USA,6
812,Archery,1976,AUS,4
813,Archery,1976,AUT,1
814,Archery,1976,BEL,2
815,Archery,1976,CAN,4
816,Archery,1976,CRC,2
817,Archery,1976,DEN,1
818,Archery,1976,FIN,2
819,Archery,1976,FRA,2
820,Archery,1976,FRG,3
821,Archery,1976,GBR,4
822,Archery,1976,INA,2
823,Archery,1976,IRL,1
824,Archery,1976,ITA,4
825,Archery,1976,JPN,4
826,Archery,1976,MGL,4
827,Archery,1976,NOR,1
828,Archery,1976,POL,4
829,Archery,1976,PRK,2
830,Archery,1976,PUR,2
831,Archery,1976,SWE,4
832,Archery,1976,THA,3
833,Archery,1976,URS,3
834,Archery,1976,USA,4
835,Archery,1976,YUG,1
836,Archery,1980,AUS,3
837,Archery,1980,AUT,1
838,Archery,1980,BEL,2
839,Archery,1980,BRA,2
840,Archery,1980,BUL,2
841,Archery,1980,CRC,2
842,Archery,1980,ESP,2
843,Archery,1980,FIN,4
844,Archery,1980,GBR,4
845,Archery,1980,HUN,4
846,Archery,1980,IRL,3
847,Archery,1980,ITA,3
848,Archery,1980,LUX,1
849,Archery,1980,MGL,4
850,Archery,1980,MLT,2
851,Archery,1980,NED,2
852,Archery,1980,POL,3
853,Archery,1980,PRK,3
854,Archery,1980,ROU,4
855,Archery,1980,SUI,4
856,Archery,1980,SWE,3
857,Archery,1980,TCH,3
858,Archery,1980,URS,4
859,Archery,1980,YUG,1
860,Archery,1980,ZIM,1
861,Archery,1984,AUS,2
862,Archery,1984,AUT,1
863,Archery,1984,BEL,5
864,Archery,1984,BHU,6
865,Archery,1984,BRA,1
866,Archery,1984,CAN,3
867,Archery,1984,CHN,6
868,Archery,1984,COL,1
869,Archery,1984,ESP,4
870,Archery,1984,FIN,5
871,Archery,1984,FRA,2
872,Archery,1984,FRG,5
873,Archery,1984,GBR,6
874,Archery,1984,HKG,6
875,Archery,1984,INA,2
876,Archery,1984,IRL,2
877,Archery,1984,ITA,3
878,Archery,1984,JPN,5
879,Archery,1984,KOR,6
880,Archery,1984,KSA,3
881,Archery,1984,LUX,3
882,Archery,1984,MEX,2
883,Archery,1984,MLT,1
884,Archery,1984,MON,1
885,Archery,1984,NED,2
886,Archery,1984,NOR,1
887,Archery,1984,NZL,3
888,Archery,1984,POR,1
889,Archery,1984,PUR,1
890,Archery,1984,SUI,3
891,Archery,1984,SWE,5
892,Archery,1984,THA,2
893,Archery,1984,TPE,2
894,Archery,1984,TUR,2
895,Archery,1984,USA,6
896,Archery,1988,ARG,2
897,Archery,1988,AUS,6
898,Archery,1988,BEL,6
899,Archery,1988,BHU,6
900,Archery,1988,BRA,2
901,Archery,1988,CAN,7
902,Archery,1988,CHN,12
903,Archery,1988,DEN,6
904,Archery,1988,ESP,7
905,Archery,1988,FIN,12
906,Archery,1988,FRA,12
907,Archery,1988,FRG,12
908,Archery,1988,GBR,12
909,Archery,1988,HKG,3
910,Archery,1988,INA,7
911,Archery,1988,IND,6
912,Archery,1988,IRL,3
913,Archery,1988,ITA,6
914,Archery,1988,JOR,1
915,Archery,1988,JPN,12
916,Archery,1988,KOR,12
917,Archery,1988,KSA,2
918,Archery,1988,LUX,1
919,Archery,1988,MEX,7
920,Archery,1988,MGL,6
921,Archery,1988,MLT,1
922,Archery,1988,MON,1
923,Archery,1988,NED,3
924,Archery,1988,NZL,1
925,Archery,1988,PHI,2
926,Archery,1988,POL,6
927,Archery,1988,POR,3
928,Archery,1988,PUR,2
929,Archery,1988,SOL,1
930,Archery,1988,SUI,2
931,Archery,1988,SWE,12
932,Archery,1988,TPE,12
933,Archery,1988,TUR,12
934,Archery,1988,URS,12
935,Archery,1988,USA,12
936,Archery,1988,ZIM,7
937,Archery,1992,AUS,6
938,Archery,1992,BEL,1
939,Archery,1992,BHU,12
940,Archery,1992,BRA,2
941,Archery,1992,BUL,1
942,Archery,1992,CAN,6
943,Archery,1992,CHN,12
944,Archery,1992,COL,1
945,Archery,1992,CRC,1
946,Archery,1992,CYP,1
947,Archery,1992,DEN,6
948,Archery,1992,ESP,7
949,Archery,1992,EST,1
950,Archery,1992,EUN,12
951,Archery,1992,FIN,6
952,Archery,1992,FRA,12
953,Archery,1992,GBR,12
954,Archery,1992,GER,12
955,Archery,1992,GUM,1
956,Archery,1992,HKG,1
957,Archery,1992,HUN,6
958,Archery,1992,INA,7
959,Archery,1992,IND,6
960,Archery,1992,IRL,1
961,Archery,1992,ITA,7
962,Archery,1992,JPN,12
963,Archery,1992,KOR,12
964,Archery,1992,LUX,1
965,Archery,1992,MEX,7
966,Archery,1992,MGL,1
967,Archery,1992,NED,12
968,Archery,1992,NOR,1
969,Archery,1992,NZL,1
970,Archery,1992,POL,12
971,Archery,1992,POR,1
972,Archery,1992,PRK,6
973,Archery,1992,RSA,2
974,Archery,1992,SLO,1
975,Archery,1992,SMR,1
976,Archery,1992,SWE,6
977,Archery,1992,TCH,1
978,Archery,1992,TPE,6
979,Archery,1992,TUR,12
980,Archery,1992,USA,12
981,Archery,1996,AUS,8
982,Archery,1996,BEL,1
983,Archery,1996,BHU,2
984,Archery,1996,BLR,2
985,Archery,1996,BUL,1
986,Archery,1996,CAN,6
987,Archery,1996,CHN,12
988,Archery,1996,ESP,1
989,Archery,1996,EST,1
990,Archery,1996,FIN,6
991,Archery,1996,FRA,7
992,Archery,1996,GBR,3
993,Archery,1996,GEO,1
994,Archery,1996,GER,6
995,Archery,1996,HUN,2
996,Archery,1996,INA,6
997,Archery,1996,IND,6
998,Archery,1996,IRL,1
999,Archery,1996,ITA,12
1000,Archery,1996,JPN,8
1001,Archery,1996,KAZ,12
1002,Archery,1996,KEN,2
1003,Archery,1996,KOR,12
1004,Archery,1996,MDA,2
1005,Archery,1996,MEX,3
1006,Archery,1996,MGL,1
1007,Archery,1996,NED,2
1008,Archery,1996,NOR,2
1009,Archery,1996,NZL,1
1010,Archery,1996,POL,7
1011,Archery,1996,POR,1
1012,Archery,1996,PUR,1
1013,Archery,1996,RSA,6
1014,Archery,1996,RUS,12
1015,Archery,1996,SLO,6
1016,Archery,1996,SMR,1
1017,Archery,1996,SWE,12
1018,Archery,1996,TPE,12
1019,Archery,1996,TUR,7
1020,Archery,1996,UKR,12
1021,Archery,1996,USA,12
1022,Archery,2000,ASA,1
1023,Archery,2000,AUS,12
1024,Archery,2000,BEL,1
1025,Archery,2000,BHU,2
1026,Archery,2000,BLR,2
1027,Archery,2000,CAF,1
1028,Archery,2000,CAN,1
1029,Archery,2000,CHI,1
1030,Archery,2000,CHN,12
1031,Archery,2000,CUB,4
1032,Archery,2000,DEN,1
1033,Archery,2000,EGY,1
1034,Archery,2000,ESA,1
1035,Archery,2000,ESP,1
1036,Archery,2000,FIN,3
1037,Archery,2000,FRA,8
1038,Archery,2000,GBR,3
1039,Archery,2000,GEO,6
1040,Archery,2000,GER,7
1041,Archery,2000,GRE,1
1042,Archery,2000,INA,1
1043,Archery,2000,ITA,12
1044,Archery,2000,JPN,8
1045,Archery,2000,KAZ,7
1046,Archery,2000,KEN,1
1047,Archery,2000,KOR,12
1048,Archery,2000,MEX,2
1049,Archery,2000,MRI,1
1050,Archery,2000,MYA,1
1051,Archery,2000,NED,6
1052,Archery,2000,NOR,7
1053,Archery,2000,NZL,2
1054,Archery,2000,PHI,1
1055,Archery,2000,POL,8
1056,Archery,2000,POR,1
1057,Archery,2000,PRK,1
1058,Archery,2000,RSA,2
1059,Archery,2000,RUS,7
1060,Archery,2000,SLO,1
1061,Archery,2000,SWE,12
1062,Archery,2000,TPE,6
1063,Archery,2000,TUR,12
1064,Archery,2000,UGA,1
1065,Archery,2000,UKR,12
1066,Archery,2000,USA,12
1067,Archery,2000,VAN,1
1068,Archery,2004,AUS,12
1069,Archery,2004,BHU,2
