lindex,Sport,Year,Country,count
4258,Baseball,1992,CUB,20
4259,Baseball,1992,DOM,20
4260,Baseball,1992,ESP,20
4261,Baseball,1992,ITA,20
4262,Baseball,1992,JPN,20
4263,Baseball,1992,PUR,20
4264,Baseball,1992,TPE,20
4265,Baseball,1992,USA,20
4266,Baseball,1996,AUS,20
4267,Baseball,1996,CUB,20
4268,Baseball,1996,ITA,20
4269,Baseball,1996,JPN,20
4270,Baseball,1996,KOR,20
4271,Baseball,1996,NCA,20
4272,Baseball,1996,NED,20
4273,Baseball,1996,USA,20
4274,Baseball,2000,AUS,24
4275,Baseball,2000,CUB,24
4276,Baseball,2000,ITA,24
4277,Baseball,2000,JPN,24
4278,Baseball,2000,KOR,24
4279,Baseball,2000,NED,24
4280,Baseball,2000,RSA,24
4281,Baseball,2000,USA,24
4282,Baseball,2004,AUS,24
4283,Baseball,2004,CAN,24
4284,Baseball,2004,CUB,24
4285,Baseball,2004,GRE,23
4286,Baseball,2004,ITA,24
4287,Baseball,2004,JPN,24
4288,Baseball,2004,NED,24
4289,Baseball,2004,TPE,24
4290,Baseball,2008,CAN,24
4291,Baseball,2008,CHN,24
4292,Baseball,2008,CUB,24
4293,Baseball,2008,JPN,24
4294,Baseball,2008,KOR,24
4295,Baseball,2008,NED,24
4296,Baseball,2008,TPE,23
4297,Baseball,2008,USA,24
