lindex,Sport,Year,Country,count
4622,Beach Volleyball,1996,ARG,2
4623,Beach Volleyball,1996,AUS,6
4624,Beach Volleyball,1996,BRA,8
4625,Beach Volleyball,1996,CAN,6
4626,Beach Volleyball,1996,CUB,2
4627,Beach Volleyball,1996,CZE,2
4628,Beach Volleyball,1996,ESP,4
4629,Beach Volleyball,1996,EST,2
4630,Beach Volleyball,1996,FRA,4
4631,Beach Volleyball,1996,GBR,2
4632,Beach Volleyball,1996,GER,4
4633,Beach Volleyball,1996,INA,4
4634,Beach Volleyball,1996,ITA,4
4635,Beach Volleyball,1996,JPN,6
4636,Beach Volleyball,1996,MEX,2
4637,Beach Volleyball,1996,NED,4
4638,Beach Volleyball,1996,NOR,4
4639,Beach Volleyball,1996,NZL,2
4640,Beach Volleyball,1996,POR,2
4641,Beach Volleyball,1996,SWE,2
4642,Beach Volleyball,1996,USA,12
4643,Beach Volleyball,2000,ARG,4
4644,Beach Volleyball,2000,AUS,10
4645,Beach Volleyball,2000,AUT,2
4646,Beach Volleyball,2000,BRA,8
4647,Beach Volleyball,2000,BUL,2
4648,Beach Volleyball,2000,CAN,4
4649,Beach Volleyball,2000,CHN,4
4650,Beach Volleyball,2000,CUB,2
4651,Beach Volleyball,2000,CZE,6
4652,Beach Volleyball,2000,ESP,2
4653,Beach Volleyball,2000,FRA,4
4654,Beach Volleyball,2000,GER,8
4655,Beach Volleyball,2000,GRE,2
4656,Beach Volleyball,2000,ITA,6
4657,Beach Volleyball,2000,JPN,4
4658,Beach Volleyball,2000,MEX,4
4659,Beach Volleyball,2000,NED,2
4660,Beach Volleyball,2000,NOR,4
4661,Beach Volleyball,2000,POR,4
4662,Beach Volleyball,2000,RUS,2
4663,Beach Volleyball,2000,SUI,2
4664,Beach Volleyball,2000,SWE,2
4665,Beach Volleyball,2000,USA,8
4666,Beach Volleyball,2004,ARG,2
4667,Beach Volleyball,2004,AUS,8
4668,Beach Volleyball,2004,AUT,4
4669,Beach Volleyball,2004,BRA,8
4670,Beach Volleyball,2004,BUL,2
4671,Beach Volleyball,2004,CAN,4
4672,Beach Volleyball,2004,CHN,4
4673,Beach Volleyball,2004,CUB,4
4674,Beach Volleyball,2004,CZE,2
4675,Beach Volleyball,2004,ESP,2
4676,Beach Volleyball,2004,FRA,2
4677,Beach Volleyball,2004,GER,8
4678,Beach Volleyball,2004,GRE,6
4679,Beach Volleyball,2004,ITA,2
4680,Beach Volleyball,2004,JPN,2
4681,Beach Volleyball,2004,MEX,2
4682,Beach Volleyball,2004,NED,2
4683,Beach Volleyball,2004,NOR,8
4684,Beach Volleyball,2004,POR,2
4685,Beach Volleyball,2004,PUR,2
4686,Beach Volleyball,2004,RSA,4
4687,Beach Volleyball,2004,SUI,6
4688,Beach Volleyball,2004,SWE,2
4689,Beach Volleyball,2004,USA,8
4690,Beach Volleyball,2008,ANG,2
4691,Beach Volleyball,2008,ARG,2
4692,Beach Volleyball,2008,AUS,4
4693,Beach Volleyball,2008,AUT,6
4694,Beach Volleyball,2008,BEL,2
4695,Beach Volleyball,2008,BRA,8
4696,Beach Volleyball,2008,CHN,6
4697,Beach Volleyball,2008,CUB,4
4698,Beach Volleyball,2008,ESP,2
4699,Beach Volleyball,2008,EST,2
4700,Beach Volleyball,2008,GEO,4
4701,Beach Volleyball,2008,GER,8
4702,Beach Volleyball,2008,GRE,4
4703,Beach Volleyball,2008,ITA,2
4704,Beach Volleyball,2008,JPN,4
4705,Beach Volleyball,2008,LAT,2
4706,Beach Volleyball,2008,MEX,2
4707,Beach Volleyball,2008,NED,6
4708,Beach Volleyball,2008,NOR,6
4709,Beach Volleyball,2008,RSA,2
4710,Beach Volleyball,2008,RUS,4
4711,Beach Volleyball,2008,SUI,6
4712,Beach Volleyball,2008,USA,8
4713,Beach Volleyball,2012,ARG,2
4714,Beach Volleyball,2012,AUS,4
4715,Beach Volleyball,2012,AUT,4
4716,Beach Volleyball,2012,BRA,8
4717,Beach Volleyball,2012,CAN,4
4718,Beach Volleyball,2012,CHN,4
4719,Beach Volleyball,2012,CZE,6
4720,Beach Volleyball,2012,ESP,4
4721,Beach Volleyball,2012,GBR,4
