lindex,Sport,Year,Country,count
4760,Biathlon,1960,FIN,4
4761,Biathlon,1960,FRA,4
4762,Biathlon,1960,GBR,2
4763,Biathlon,1960,GER,4
4764,Biathlon,1960,HUN,1
4765,Biathlon,1960,NOR,3
4766,Biathlon,1960,SWE,4
4767,Biathlon,1960,URS,4
4768,Biathlon,1960,USA,4
4769,Biathlon,1964,AUT,4
4770,Biathlon,1964,FIN,4
4771,Biathlon,1964,FRA,1
4772,Biathlon,1964,GBR,4
4773,Biathlon,1964,GER,4
4774,Biathlon,1964,JPN,2
4775,Biathlon,1964,MGL,4
4776,Biathlon,1964,NOR,4
4777,Biathlon,1964,POL,4
4778,Biathlon,1964,ROU,4
4779,Biathlon,1964,SUI,4
4780,Biathlon,1964,SWE,4
4781,Biathlon,1964,URS,4
4782,Biathlon,1964,USA,4
4783,Biathlon,1968,AUT,8
4784,Biathlon,1968,CAN,8
4785,Biathlon,1968,FIN,8
4786,Biathlon,1968,FRA,8
4787,Biathlon,1968,FRG,8
4788,Biathlon,1968,GBR,8
4789,Biathlon,1968,GDR,8
4790,Biathlon,1968,JPN,8
4791,Biathlon,1968,MGL,2
4792,Biathlon,1968,NOR,8
4793,Biathlon,1968,POL,8
4794,Biathlon,1968,ROU,8
4795,Biathlon,1968,SWE,8
4796,Biathlon,1968,TCH,2
4797,Biathlon,1968,URS,8
4798,Biathlon,1968,USA,8
4799,Biathlon,1972,FIN,8
4800,Biathlon,1972,FRA,8
4801,Biathlon,1972,FRG,2
4802,Biathlon,1972,GBR,8
4803,Biathlon,1972,GDR,8
4804,Biathlon,1972,ITA,8
4805,Biathlon,1972,JPN,8
4806,Biathlon,1972,NOR,8
4807,Biathlon,1972,POL,8
4808,Biathlon,1972,ROU,8
4809,Biathlon,1972,SWE,8
4810,Biathlon,1972,TCH,8
4811,Biathlon,1972,URS,8
4812,Biathlon,1972,USA,8
4813,Biathlon,1976,AUT,7
4814,Biathlon,1976,BUL,2
4815,Biathlon,1976,FIN,7
4816,Biathlon,1976,FRA,7
4817,Biathlon,1976,FRG,7
4818,Biathlon,1976,GBR,7
4819,Biathlon,1976,GDR,7
4820,Biathlon,1976,ITA,7
4821,Biathlon,1976,JPN,7
4822,Biathlon,1976,NOR,7
4823,Biathlon,1976,POL,7
4824,Biathlon,1976,ROU,7
4825,Biathlon,1976,SUI,3
4826,Biathlon,1976,SWE,7
4827,Biathlon,1976,TCH,7
4828,Biathlon,1976,TPE,2
4829,Biathlon,1976,URS,7
4830,Biathlon,1976,USA,7
4831,Biathlon,1980,ARG,10
4832,Biathlon,1980,AUT,10
4833,Biathlon,1980,BUL,4
4834,Biathlon,1980,CHN,9
4835,Biathlon,1980,FIN,10
4836,Biathlon,1980,FRA,10
4837,Biathlon,1980,FRG,10
4838,Biathlon,1980,GBR,10
4839,Biathlon,1980,GDR,10
4840,Biathlon,1980,ITA,10
4841,Biathlon,1980,JPN,10
4842,Biathlon,1980,NOR,10
4843,Biathlon,1980,SUI,4
4844,Biathlon,1980,SWE,10
4845,Biathlon,1980,TCH,10
4846,Biathlon,1980,URS,10
4847,Biathlon,1980,USA,10
