lindex,Sport,Year,Country,count
5131,Bobsleigh,1924,BEL,5
5132,Bobsleigh,1924,FRA,8
5133,Bobsleigh,1924,GBR,8
5134,Bobsleigh,1924,ITA,10
5135,Bobsleigh,1924,SUI,8
5136,Bobsleigh,1928,ARG,10
5137,Bobsleigh,1928,AUT,11
5138,Bobsleigh,1928,BEL,10
5139,Bobsleigh,1928,FRA,10
5140,Bobsleigh,1928,GBR,10
5141,Bobsleigh,1928,GER,10
5142,Bobsleigh,1928,ITA,5
5143,Bobsleigh,1928,LUX,5
5144,Bobsleigh,1928,MEX,5
5145,Bobsleigh,1928,NED,5
5146,Bobsleigh,1928,POL,5
5147,Bobsleigh,1928,ROU,10
5148,Bobsleigh,1928,SUI,10
5149,Bobsleigh,1928,USA,10
5150,Bobsleigh,1932,AUT,2
5151,Bobsleigh,1932,BEL,4
5152,Bobsleigh,1932,FRA,2
5153,Bobsleigh,1932,GER,12
5154,Bobsleigh,1932,ITA,8
5155,Bobsleigh,1932,ROU,6
5156,Bobsleigh,1932,SUI,6
5157,Bobsleigh,1932,USA,12
5158,Bobsleigh,1936,AUT,12
5159,Bobsleigh,1936,BEL,12
5160,Bobsleigh,1936,FRA,12
5161,Bobsleigh,1936,GBR,6
5162,Bobsleigh,1936,GER,12
5163,Bobsleigh,1936,ITA,12
5164,Bobsleigh,1936,LIE,2
5165,Bobsleigh,1936,LUX,4
5166,Bobsleigh,1936,NED,2
5167,Bobsleigh,1936,ROU,8
5168,Bobsleigh,1936,SUI,12
5169,Bobsleigh,1936,TCH,12
5170,Bobsleigh,1936,USA,12
5171,Bobsleigh,1948,ARG,6
5172,Bobsleigh,1948,BEL,8
5173,Bobsleigh,1948,FRA,12
5174,Bobsleigh,1948,GBR,12
5175,Bobsleigh,1948,ITA,12
5176,Bobsleigh,1948,NOR,12
5177,Bobsleigh,1948,SUI,12
5178,Bobsleigh,1948,TCH,6
5179,Bobsleigh,1948,USA,12
5180,Bobsleigh,1952,ARG,4
5181,Bobsleigh,1952,AUT,12
5182,Bobsleigh,1952,BEL,4
5183,Bobsleigh,1952,FRA,8
5184,Bobsleigh,1952,GER,8
5185,Bobsleigh,1952,ITA,12
5186,Bobsleigh,1952,NOR,12
5187,Bobsleigh,1952,SUI,12
5188,Bobsleigh,1952,SWE,12
5189,Bobsleigh,1952,USA,12
5190,Bobsleigh,1956,AUT,12
5191,Bobsleigh,1956,BEL,2
5192,Bobsleigh,1956,ESP,6
5193,Bobsleigh,1956,FRA,8
5194,Bobsleigh,1956,GBR,12
5195,Bobsleigh,1956,GER,12
5196,Bobsleigh,1956,ITA,12
5197,Bobsleigh,1956,LIE,2
5198,Bobsleigh,1956,NOR,8
5199,Bobsleigh,1956,POL,13
5200,Bobsleigh,1956,ROU,12
5201,Bobsleigh,1956,SUI,12
5202,Bobsleigh,1956,SWE,12
5203,Bobsleigh,1956,USA,12
5204,Bobsleigh,1964,ARG,9
5205,Bobsleigh,1964,AUT,12
5206,Bobsleigh,1964,BEL,7
5207,Bobsleigh,1964,CAN,12
5208,Bobsleigh,1964,GBR,12
5209,Bobsleigh,1964,GER,12
5210,Bobsleigh,1964,ITA,12
5211,Bobsleigh,1964,ROU,8
5212,Bobsleigh,1964,SUI,12
5213,Bobsleigh,1964,SWE,9
5214,Bobsleigh,1964,USA,12
5215,Bobsleigh,1968,AUT,12
5216,Bobsleigh,1968,CAN,8
5217,Bobsleigh,1968,ESP,12
5218,Bobsleigh,1968,FRA,12
5219,Bobsleigh,1968,FRG,12
5220,Bobsleigh,1968,GBR,12
5221,Bobsleigh,1968,ITA,12
5222,Bobsleigh,1968,ROU,8
5223,Bobsleigh,1968,SUI,12
5224,Bobsleigh,1968,SWE,8
5225,Bobsleigh,1968,USA,12
5226,Bobsleigh,1972,AUT,12
5227,Bobsleigh,1972,CAN,8
5228,Bobsleigh,1972,FRA,8
5229,Bobsleigh,1972,FRG,12
5230,Bobsleigh,1972,GBR,12
5231,Bobsleigh,1972,ITA,12
5232,Bobsleigh,1972,JPN,12
5233,Bobsleigh,1972,ROU,8
5234,Bobsleigh,1972,SUI,12
5235,Bobsleigh,1972,SWE,6
5236,Bobsleigh,1972,USA,12
5237,Bobsleigh,1976,AUT,13
5238,Bobsleigh,1976,CAN,12
5239,Bobsleigh,1976,FRA,8
5240,Bobsleigh,1976,FRG,12
5241,Bobsleigh,1976,GBR,12
5242,Bobsleigh,1976,GDR,12
5243,Bobsleigh,1976,ITA,12
5244,Bobsleigh,1976,JPN,8
5245,Bobsleigh,1976,ROU,12
5246,Bobsleigh,1976,SUI,12
5247,Bobsleigh,1976,SWE,6
5248,Bobsleigh,1976,TCH,2
5249,Bobsleigh,1976,USA,12
5250,Bobsleigh,1980,AUT,12
5251,Bobsleigh,1980,CAN,8
5252,Bobsleigh,1980,FRG,12
5253,Bobsleigh,1980,GBR,12
5254,Bobsleigh,1980,GDR,12
5255,Bobsleigh,1980,ITA,8
5256,Bobsleigh,1980,JPN,2
5257,Bobsleigh,1980,ROU,12
5258,Bobsleigh,1980,SUI,12
5259,Bobsleigh,1980,SWE,6
5260,Bobsleigh,1980,USA,12
5261,Bobsleigh,1984,AUT,12
5262,Bobsleigh,1984,CAN,6
5263,Bobsleigh,1984,FRA,6
5264,Bobsleigh,1984,FRG,12
5265,Bobsleigh,1984,GBR,12
5266,Bobsleigh,1984,GDR,12
5267,Bobsleigh,1984,ITA,12
5268,Bobsleigh,1984,JPN,8
5269,Bobsleigh,1984,NED,2
5270,Bobsleigh,1984,ROU,8
5271,Bobsleigh,1984,SUI,12
5272,Bobsleigh,1984,SWE,6
5273,Bobsleigh,1984,TPE,8
5274,Bobsleigh,1984,URS,12
5275,Bobsleigh,1984,USA,12
5276,Bobsleigh,1984,YUG,12
5277,Bobsleigh,1988,AHO,2
5278,Bobsleigh,1988,AUS,8
5279,Bobsleigh,1988,AUT,12
5280,Bobsleigh,1988,BUL,8
5281,Bobsleigh,1988,CAN,12
5282,Bobsleigh,1988,FRG,12
5283,Bobsleigh,1988,GBR,12
5284,Bobsleigh,1988,GDR,12
5285,Bobsleigh,1988,ISV,4
5286,Bobsleigh,1988,ITA,12
5287,Bobsleigh,1988,JAM,6
5288,Bobsleigh,1988,JPN,8
5289,Bobsleigh,1988,MEX,4
5290,Bobsleigh,1988,MON,2
5291,Bobsleigh,1988,NZL,8
5292,Bobsleigh,1988,POR,8
5293,Bobsleigh,1988,ROU,8
5294,Bobsleigh,1988,SUI,12
5295,Bobsleigh,1988,SWE,2
5296,Bobsleigh,1988,TPE,8
5297,Bobsleigh,1988,URS,12
5298,Bobsleigh,1988,USA,12
5299,Bobsleigh,1988,YUG,2
5300,Bobsleigh,1992,AHO,2
5301,Bobsleigh,1992,AUS,2
5302,Bobsleigh,1992,AUT,12
5303,Bobsleigh,1992,BUL,8
5304,Bobsleigh,1992,CAN,12
5305,Bobsleigh,1992,EUN,12
5306,Bobsleigh,1992,FRA,12
5307,Bobsleigh,1992,GBR,12
5308,Bobsleigh,1992,GER,12
5309,Bobsleigh,1992,IRL,4
5310,Bobsleigh,1992,ISV,12
5311,Bobsleigh,1992,ITA,12
5312,Bobsleigh,1992,JAM,8
5313,Bobsleigh,1992,JPN,8
5314,Bobsleigh,1992,LAT,12
