lindex,Sport,Year,Country,count
5485,Boxing,1904,USA,24
5486,Boxing,1908,ANZ,1
5487,Boxing,1908,DEN,2
5488,Boxing,1908,FRA,7
5489,Boxing,1908,GBR,32
5490,Boxing,1920,ARG,1
5491,Boxing,1920,BEL,13
5492,Boxing,1920,CAN,8
5493,Boxing,1920,DEN,12
5494,Boxing,1920,FRA,15
5495,Boxing,1920,GBR,16
5496,Boxing,1920,ITA,5
5497,Boxing,1920,NED,8
5498,Boxing,1920,NOR,14
5499,Boxing,1920,RSA,7
5500,Boxing,1920,SUI,1
5501,Boxing,1920,USA,16
5502,Boxing,1924,ARG,10
5503,Boxing,1924,AUS,3
5504,Boxing,1924,AUT,3
5505,Boxing,1924,BEL,10
5506,Boxing,1924,CAN,9
5507,Boxing,1924,CHI,4
5508,Boxing,1924,DEN,8
5509,Boxing,1924,EGY,1
5510,Boxing,1924,ESP,7
5511,Boxing,1924,EST,1
5512,Boxing,1924,FRA,16
5513,Boxing,1924,GBR,16
5514,Boxing,1924,GRE,1
5515,Boxing,1924,HUN,1
5516,Boxing,1924,IRL,7
5517,Boxing,1924,ITA,16
5518,Boxing,1924,LAT,1
5519,Boxing,1924,LUX,6
5520,Boxing,1924,NED,9
5521,Boxing,1924,NOR,9
5522,Boxing,1924,NZL,1
5523,Boxing,1924,POL,5
5524,Boxing,1924,RSA,4
5525,Boxing,1924,SUI,7
5526,Boxing,1924,SWE,5
5527,Boxing,1924,URU,5
5528,Boxing,1924,USA,16
5529,Boxing,1928,ARG,8
5530,Boxing,1928,AUT,1
5531,Boxing,1928,BEL,6
5532,Boxing,1928,CAN,7
5533,Boxing,1928,CHI,4
5534,Boxing,1928,DEN,6
5535,Boxing,1928,ESP,6
5536,Boxing,1928,EST,1
5537,Boxing,1928,FIN,3
5538,Boxing,1928,FRA,8
5539,Boxing,1928,GBR,8
5540,Boxing,1928,GER,8
5541,Boxing,1928,GRE,2
5542,Boxing,1928,HUN,4
5543,Boxing,1928,IRL,8
5544,Boxing,1928,ITA,7
5545,Boxing,1928,JPN,2
5546,Boxing,1928,LTU,2
5547,Boxing,1928,LUX,5
5548,Boxing,1928,MEX,4
5549,Boxing,1928,NED,6
5550,Boxing,1928,NOR,5
5551,Boxing,1928,NZL,2
5552,Boxing,1928,POL,4
5553,Boxing,1928,RSA,6
5554,Boxing,1928,SWE,8
5555,Boxing,1928,TCH,3
5556,Boxing,1928,USA,8
5557,Boxing,1928,ZIM,2
5558,Boxing,1932,ARG,8
