lindex,Sport,Year,Country,count
6822,Canoeing,1936,AUT,14
6823,Canoeing,1936,BEL,9
6824,Canoeing,1936,CAN,13
6825,Canoeing,1936,DEN,6
6826,Canoeing,1936,FIN,3
6827,Canoeing,1936,FRA,5
6828,Canoeing,1936,GBR,3
6829,Canoeing,1936,GER,14
6830,Canoeing,1936,HUN,8
6831,Canoeing,1936,ITA,2
6832,Canoeing,1936,LUX,4
6833,Canoeing,1936,NED,9
6834,Canoeing,1936,NOR,1
6835,Canoeing,1936,POL,2
6836,Canoeing,1936,SUI,9
6837,Canoeing,1936,SWE,9
6838,Canoeing,1936,TCH,14
6839,Canoeing,1936,USA,14
6840,Canoeing,1936,YUG,4
6841,Canoeing,1948,AUT,11
6842,Canoeing,1948,BEL,9
6843,Canoeing,1948,CAN,10
6844,Canoeing,1948,DEN,7
6845,Canoeing,1948,FIN,7
6846,Canoeing,1948,FRA,13
6847,Canoeing,1948,GBR,7
6848,Canoeing,1948,HUN,6
6849,Canoeing,1948,LUX,6
6850,Canoeing,1948,NED,7
6851,Canoeing,1948,NOR,6
6852,Canoeing,1948,POL,6
6853,Canoeing,1948,SUI,6
6854,Canoeing,1948,SWE,13
6855,Canoeing,1948,TCH,13
6856,Canoeing,1948,USA,12
6857,Canoeing,1952,AUT,9
6858,Canoeing,1952,BEL,4
6859,Canoeing,1952,CAN,11
6860,Canoeing,1952,DEN,9
6861,Canoeing,1952,FIN,13
6862,Canoeing,1952,FRA,13
6863,Canoeing,1952,GBR,9
6864,Canoeing,1952,GER,13
6865,Canoeing,1952,HUN,12
6866,Canoeing,1952,ITA,6
6867,Canoeing,1952,LUX,6
6868,Canoeing,1952,NED,7
6869,Canoeing,1952,NOR,6
6870,Canoeing,1952,ROU,1
6871,Canoeing,1952,SAA,5
6872,Canoeing,1952,SUI,7
6873,Canoeing,1952,SWE,13
6874,Canoeing,1952,TCH,13
6875,Canoeing,1952,URS,13
6876,Canoeing,1952,USA,12
6877,Canoeing,1952,YUG,2
6878,Canoeing,1956,AUS,13
6879,Canoeing,1956,AUT,9
6880,Canoeing,1956,BEL,2
6881,Canoeing,1956,CAN,10
6882,Canoeing,1956,DEN,7
6883,Canoeing,1956,FIN,7
6884,Canoeing,1956,FRA,10
6885,Canoeing,1956,GBR,5
6886,Canoeing,1956,GER,13
6887,Canoeing,1956,HUN,13
6888,Canoeing,1956,NOR,2
6889,Canoeing,1956,POL,6
6890,Canoeing,1956,ROU,8
6891,Canoeing,1956,SWE,8
6892,Canoeing,1956,TCH,8
6893,Canoeing,1956,URS,13
6894,Canoeing,1956,USA,12
6895,Canoeing,1960,AUS,11
6896,Canoeing,1960,AUT,11
6897,Canoeing,1960,BEL,7
6898,Canoeing,1960,BUL,5
6899,Canoeing,1960,CAN,6
6900,Canoeing,1960,DEN,11
6901,Canoeing,1960,ESP,3
6902,Canoeing,1960,FIN,9
6903,Canoeing,1960,FRA,9
6904,Canoeing,1960,GBR,8
6905,Canoeing,1960,GER,13
6906,Canoeing,1960,HUN,13
6907,Canoeing,1960,ITA,13
6908,Canoeing,1960,LUX,3
6909,Canoeing,1960,NED,7
6910,Canoeing,1960,NOR,3
6911,Canoeing,1960,POL,10
6912,Canoeing,1960,ROU,11
6913,Canoeing,1960,SUI,7
6914,Canoeing,1960,SWE,9
6915,Canoeing,1960,TCH,13
6916,Canoeing,1960,URS,13
6917,Canoeing,1960,USA,13
6918,Canoeing,1960,YUG,3
6919,Canoeing,1964,AUS,12
6920,Canoeing,1964,AUT,6
