lindex,Sport,Year,Country,count
9885,Equestrianism,1900,AUT,6
9886,Equestrianism,1900,BEL,15
9887,Equestrianism,1900,ESP,1
9888,Equestrianism,1900,FRA,47
9889,Equestrianism,1900,GBR,1
9890,Equestrianism,1900,GER,1
9891,Equestrianism,1900,ITA,5
9892,Equestrianism,1900,RUS,3
9893,Equestrianism,1912,BEL,15
9894,Equestrianism,1912,CHI,2
9895,Equestrianism,1912,DEN,8
9896,Equestrianism,1912,FRA,18
9897,Equestrianism,1912,GBR,11
9898,Equestrianism,1912,GER,22
9899,Equestrianism,1912,NOR,4
9900,Equestrianism,1912,RUS,11
9901,Equestrianism,1912,SWE,24
9902,Equestrianism,1912,USA,13
9903,Equestrianism,1920,BEL,27
9904,Equestrianism,1920,FIN,1
9905,Equestrianism,1920,FRA,30
9906,Equestrianism,1920,ITA,17
9907,Equestrianism,1920,NED,1
9908,Equestrianism,1920,NOR,9
9909,Equestrianism,1920,SWE,30
9910,Equestrianism,1920,USA,17
9911,Equestrianism,1924,AUT,2
9912,Equestrianism,1924,BEL,19
9913,Equestrianism,1924,BUL,3
9914,Equestrianism,1924,DEN,1
9915,Equestrianism,1924,ESP,8
9916,Equestrianism,1924,FIN,1
9917,Equestrianism,1924,FRA,20
9918,Equestrianism,1924,GBR,16
9919,Equestrianism,1924,ITA,16
9920,Equestrianism,1924,NED,9
9921,Equestrianism,1924,POL,16
9922,Equestrianism,1924,POR,8
9923,Equestrianism,1924,SUI,20
9924,Equestrianism,1924,SWE,20
9925,Equestrianism,1924,TCH,18
9926,Equestrianism,1924,USA,16
9927,Equestrianism,1924,YUG,1
9928,Equestrianism,1928,ARG,6
9929,Equestrianism,1928,AUT,6
9930,Equestrianism,1928,BEL,18
9931,Equestrianism,1928,BUL,7
9932,Equestrianism,1928,DEN,3
9933,Equestrianism,1928,ESP,12
9934,Equestrianism,1928,FIN,1
9935,Equestrianism,1928,FRA,18
9936,Equestrianism,1928,GER,18
9937,Equestrianism,1928,HUN,12
9938,Equestrianism,1928,ITA,12
9939,Equestrianism,1928,JPN,4
9940,Equestrianism,1928,NED,18
9941,Equestrianism,1928,NOR,13
9942,Equestrianism,1928,POL,12
9943,Equestrianism,1928,POR,6
9944,Equestrianism,1928,SUI,18
9945,Equestrianism,1928,SWE,18
9946,Equestrianism,1928,TCH,18
9947,Equestrianism,1928,USA,12
9948,Equestrianism,1932,FRA,6
9949,Equestrianism,1932,JPN,8
9950,Equestrianism,1932,MEX,9
9951,Equestrianism,1932,NED,6
9952,Equestrianism,1932,SWE,18
9953,Equestrianism,1932,USA,18
9954,Equestrianism,1936,AUT,14
9955,Equestrianism,1936,BEL,6
9956,Equestrianism,1936,BUL,6
9957,Equestrianism,1936,DEN,7
9958,Equestrianism,1936,FIN,1
9959,Equestrianism,1936,FRA,18
9960,Equestrianism,1936,GBR,12
9961,Equestrianism,1936,GER,18
9962,Equestrianism,1936,HUN,18
9963,Equestrianism,1936,ITA,12
9964,Equestrianism,1936,JPN,12
9965,Equestrianism,1936,NED,18
9966,Equestrianism,1936,NOR,13
9967,Equestrianism,1936,POL,12
9968,Equestrianism,1936,POR,6
9969,Equestrianism,1936,ROU,8
9970,Equestrianism,1936,SUI,13
9971,Equestrianism,1936,SWE,18
9972,Equestrianism,1936,TCH,18
9973,Equestrianism,1936,TUR,8
9974,Equestrianism,1936,USA,18
9975,Equestrianism,1948,ARG,18
9976,Equestrianism,1948,AUT,2
9977,Equestrianism,1948,BRA,12
9978,Equestrianism,1948,DEN,12
9979,Equestrianism,1948,ESP,13
9980,Equestrianism,1948,FIN,8
9981,Equestrianism,1948,FRA,18
9982,Equestrianism,1948,GBR,12
9983,Equestrianism,1948,IRL,6
9984,Equestrianism,1948,ITA,12
9985,Equestrianism,1948,MEX,13
9986,Equestrianism,1948,NED,8
9987,Equestrianism,1948,POR,18
9988,Equestrianism,1948,SUI,7
9989,Equestrianism,1948,SWE,18
9990,Equestrianism,1948,TUR,12
9991,Equestrianism,1948,USA,18
9992,Equestrianism,1952,ARG,12
9993,Equestrianism,1952,BRA,7
9994,Equestrianism,1952,BUL,6
9995,Equestrianism,1952,CAN,6
9996,Equestrianism,1952,CHI,18
9997,Equestrianism,1952,DEN,8
9998,Equestrianism,1952,EGY,6
9999,Equestrianism,1952,ESP,12
10000,Equestrianism,1952,FIN,12
10001,Equestrianism,1952,FRA,18
10002,Equestrianism,1952,GBR,12
10003,Equestrianism,1952,GER,18
10004,Equestrianism,1952,IRL,6
10005,Equestrianism,1952,ITA,8
10006,Equestrianism,1952,JPN,1
10007,Equestrianism,1952,KOR,1
10008,Equestrianism,1952,MEX,7
10009,Equestrianism,1952,NED,6
10010,Equestrianism,1952,NOR,2
10011,Equestrianism,1952,POR,18
10012,Equestrianism,1952,ROU,12
10013,Equestrianism,1952,SUI,13
10014,Equestrianism,1952,SWE,18
10015,Equestrianism,1952,URS,18
10016,Equestrianism,1952,USA,18
10017,Equestrianism,1956,ARG,13
10018,Equestrianism,1956,AUS,7
10019,Equestrianism,1956,AUT,8
10020,Equestrianism,1956,BEL,6
10021,Equestrianism,1956,BRA,6
10022,Equestrianism,1956,BUL,7
10023,Equestrianism,1956,CAM,2
10024,Equestrianism,1956,CAN,7
10025,Equestrianism,1956,DEN,12
10026,Equestrianism,1956,EGY,6
10027,Equestrianism,1956,ESP,12
10028,Equestrianism,1956,FIN,13
