lindex,Sport,Year,Country,count
10501,Fencing,1896,AUT,1
10502,Fencing,1896,DEN,1
10503,Fencing,1896,FRA,4
10504,Fencing,1896,GRE,9
10505,Fencing,1900,ARG,1
10506,Fencing,1900,AUT,8
10507,Fencing,1900,BEL,6
10508,Fencing,1900,CUB,2
10509,Fencing,1900,DEN,1
10510,Fencing,1900,ESP,3
10511,Fencing,1900,FRA,253
10512,Fencing,1900,GBR,3
10513,Fencing,1900,GER,1
10514,Fencing,1900,HAI,3
10515,Fencing,1900,HUN,8
10516,Fencing,1900,IRI,1
10517,Fencing,1900,ITA,14
10518,Fencing,1900,NED,1
10519,Fencing,1900,PER,2
10520,Fencing,1900,RUS,2
10521,Fencing,1900,SUI,4
10522,Fencing,1900,SWE,1
10523,Fencing,1900,USA,3
10524,Fencing,1904,CUB,5
10525,Fencing,1904,GBR,1
10526,Fencing,1904,GER,2
10527,Fencing,1904,USA,20
10528,Fencing,1906,AUT,6
10529,Fencing,1906,BEL,11
10530,Fencing,1906,BOH,1
10531,Fencing,1906,DEN,5
10532,Fencing,1906,FRA,13
10533,Fencing,1906,GBR,7
10534,Fencing,1906,GER,23
10535,Fencing,1906,GRE,26
10536,Fencing,1906,HUN,18
10537,Fencing,1906,ITA,4
10538,Fencing,1906,NED,44
10539,Fencing,1906,SWE,3
10540,Fencing,1908,AUT,1
10541,Fencing,1908,BEL,27
10542,Fencing,1908,BOH,23
10543,Fencing,1908,CAN,1
10544,Fencing,1908,DEN,14
10545,Fencing,1908,FRA,33
10546,Fencing,1908,GBR,32
10547,Fencing,1908,GER,27
10548,Fencing,1908,HUN,16
10549,Fencing,1908,ITA,25
10550,Fencing,1908,NED,27
10551,Fencing,1908,NOR,1
10552,Fencing,1908,RSA,2
10553,Fencing,1908,SWE,11
10554,Fencing,1912,AUT,21
10555,Fencing,1912,BEL,30
10556,Fencing,1912,BOH,27
10557,Fencing,1912,DEN,24
10558,Fencing,1912,GBR,41
10559,Fencing,1912,GER,33
10560,Fencing,1912,GRE,14
10561,Fencing,1912,HUN,30
10562,Fencing,1912,ITA,16
10563,Fencing,1912,NED,22
10564,Fencing,1912,NOR,14
10565,Fencing,1912,POR,1
10566,Fencing,1912,RSA,3
10567,Fencing,1912,RUS,45
10568,Fencing,1912,SWE,28
10569,Fencing,1912,USA,30
10570,Fencing,1920,BEL,43
10571,Fencing,1920,DEN,30
10572,Fencing,1920,EGY,2
10573,Fencing,1920,FRA,38
10574,Fencing,1920,GBR,40
10575,Fencing,1920,GRE,5
10576,Fencing,1920,ITA,47
10577,Fencing,1920,NED,36
10578,Fencing,1920,POR,15
10579,Fencing,1920,SUI,13
10580,Fencing,1920,SWE,16
10581,Fencing,1920,TCH,28
10582,Fencing,1920,USA,37
10583,Fencing,1924,ARG,24
10584,Fencing,1924,AUT,8
10585,Fencing,1924,BEL,29
10586,Fencing,1924,CHI,1
10587,Fencing,1924,CUB,10
10588,Fencing,1924,DEN,28
10589,Fencing,1924,EGY,3
10590,Fencing,1924,ESP,28
10591,Fencing,1924,FRA,35
10592,Fencing,1924,GBR,33
10593,Fencing,1924,GRE,14
10594,Fencing,1924,HUN,19
10595,Fencing,1924,ITA,28
10596,Fencing,1924,NED,31
10597,Fencing,1924,NOR,12
10598,Fencing,1924,POL,6
10599,Fencing,1924,POR,14
10600,Fencing,1924,SUI,23
10601,Fencing,1924,SWE,12
10602,Fencing,1924,TCH,10
10603,Fencing,1924,TUR,1
10604,Fencing,1924,URU,20
10605,Fencing,1924,USA,35
10606,Fencing,1928,ARG,9
10607,Fencing,1928,AUT,9
10608,Fencing,1928,BEL,29
10609,Fencing,1928,BUL,3
10610,Fencing,1928,CHI,11
10611,Fencing,1928,DEN,21
10612,Fencing,1928,EGY,18
10613,Fencing,1928,ESP,18
10614,Fencing,1928,FIN,3
10615,Fencing,1928,FRA,30
10616,Fencing,1928,GBR,28
10617,Fencing,1928,GER,26
10618,Fencing,1928,GRE,13
10619,Fencing,1928,HUN,29
10620,Fencing,1928,ITA,24
10621,Fencing,1928,MEX,2
10622,Fencing,1928,NED,30
10623,Fencing,1928,NOR,15
10624,Fencing,1928,POL,7
10625,Fencing,1928,POR,10
10626,Fencing,1928,ROU,17
10627,Fencing,1928,SUI,19
10628,Fencing,1928,SWE,12
10629,Fencing,1928,TCH,10
10630,Fencing,1928,TUR,7
10631,Fencing,1928,USA,28
10632,Fencing,1928,YUG,2
10633,Fencing,1932,ARG,9
10634,Fencing,1932,AUT,1
10635,Fencing,1932,BEL,12
10636,Fencing,1932,CAN,11
10637,Fencing,1932,DEN,23
10638,Fencing,1932,FRA,21
10639,Fencing,1932,GBR,3
10640,Fencing,1932,GER,3
10641,Fencing,1932,HUN,13
10642,Fencing,1932,ITA,26
10643,Fencing,1932,MEX,22
10644,Fencing,1932,NED,4
10645,Fencing,1932,POL,9
10646,Fencing,1932,SUI,2
10647,Fencing,1932,SWE,3
10648,Fencing,1932,USA,30
10649,Fencing,1936,ARG,19
10650,Fencing,1936,AUT,29
10651,Fencing,1936,BEL,29
10652,Fencing,1936,BRA,18
10653,Fencing,1936,BUL,3
10654,Fencing,1936,CAN,25
10655,Fencing,1936,CHI,18
10656,Fencing,1936,CRC,1
10657,Fencing,1936,DEN,25
10658,Fencing,1936,EGY,16
10659,Fencing,1936,FRA,29
10660,Fencing,1936,GBR,28
10661,Fencing,1936,GER,29
10662,Fencing,1936,GRE,21
10663,Fencing,1936,HUN,29
10664,Fencing,1936,ITA,27
10665,Fencing,1936,MEX,2
10666,Fencing,1936,NED,17
10667,Fencing,1936,NOR,9
10668,Fencing,1936,POL,17
10669,Fencing,1936,POR,8
10670,Fencing,1936,ROU,12
10671,Fencing,1936,SUI,27
10672,Fencing,1936,SWE,22
10673,Fencing,1936,TCH,27
10674,Fencing,1936,TUR,10
10675,Fencing,1936,URU,8
10676,Fencing,1936,USA,30
10677,Fencing,1936,YUG,21
10678,Fencing,1948,ARG,28
10679,Fencing,1948,AUT,10
10680,Fencing,1948,BEL,27
10681,Fencing,1948,BRA,11
10682,Fencing,1948,CAN,21
10683,Fencing,1948,CHI,5
10684,Fencing,1948,COL,3
10685,Fencing,1948,CUB,11
10686,Fencing,1948,DEN,23
10687,Fencing,1948,EGY,24
10688,Fencing,1948,FIN,17
10689,Fencing,1948,FRA,30
10690,Fencing,1948,GBR,29
10691,Fencing,1948,GRE,22
10692,Fencing,1948,HUN,30
10693,Fencing,1948,IRL,8
10694,Fencing,1948,ITA,30
10695,Fencing,1948,LUX,11
10696,Fencing,1948,MEX,18
10697,Fencing,1948,NED,18
10698,Fencing,1948,NOR,8
10699,Fencing,1948,PER,3
10700,Fencing,1948,POL,16
10701,Fencing,1948,POR,9
10702,Fencing,1948,SUI,27
10703,Fencing,1948,SWE,12
10704,Fencing,1948,TCH,8
10705,Fencing,1948,TUR,10
10706,Fencing,1948,URU,9
10707,Fencing,1948,USA,30
10708,Fencing,1952,ARG,20
10709,Fencing,1952,AUS,23
10710,Fencing,1952,AUT,11
10711,Fencing,1952,BEL,26
10712,Fencing,1952,BRA,8
10713,Fencing,1952,CAN,5
10714,Fencing,1952,CUB,2
10715,Fencing,1952,DEN,20
10716,Fencing,1952,EGY,21
10717,Fencing,1952,FIN,14
10718,Fencing,1952,FRA,30
10719,Fencing,1952,GBR,29
10720,Fencing,1952,GER,17
10721,Fencing,1952,GUA,6
10722,Fencing,1952,HUN,29
10723,Fencing,1952,IRL,5
10724,Fencing,1952,ITA,30
10725,Fencing,1952,JPN,3
10726,Fencing,1952,LUX,7
10727,Fencing,1952,MEX,7
10728,Fencing,1952,NOR,9
10729,Fencing,1952,POL,21
10730,Fencing,1952,POR,16
10731,Fencing,1952,ROU,17
10732,Fencing,1952,SAA,15
10733,Fencing,1952,SUI,17
10734,Fencing,1952,SWE,18
10735,Fencing,1952,URS,26
10736,Fencing,1952,URU,2
10737,Fencing,1952,USA,30
10738,Fencing,1952,VEN,24
10739,Fencing,1952,VNM,1
10740,Fencing,1956,ARG,2
10741,Fencing,1956,AUS,27
10742,Fencing,1956,AUT,1
10743,Fencing,1956,BEL,16
10744,Fencing,1956,CAN,3
10745,Fencing,1956,COL,17
10746,Fencing,1956,DEN,1
10747,Fencing,1956,FIN,2
10748,Fencing,1956,FRA,27
10749,Fencing,1956,GBR,26
10750,Fencing,1956,GER,3
10751,Fencing,1956,HUN,29
10752,Fencing,1956,INA,2
10753,Fencing,1956,ITA,29
10754,Fencing,1956,JPN,3
10755,Fencing,1956,LUX,8
10756,Fencing,1956,MEX,4
10757,Fencing,1956,POL,9
10758,Fencing,1956,ROU,2
10759,Fencing,1956,SWE,8
10760,Fencing,1956,URS,29
10761,Fencing,1956,URU,1
10762,Fencing,1956,USA,29
10763,Fencing,1960,ARG,9
10764,Fencing,1960,AUS,19
10765,Fencing,1960,AUT,15
10766,Fencing,1960,BEL,26
10767,Fencing,1960,BUL,4
10768,Fencing,1960,CAN,1
10769,Fencing,1960,COL,6
10770,Fencing,1960,CUB,1
10771,Fencing,1960,DEN,1
10772,Fencing,1960,ESP,20
10773,Fencing,1960,FIN,9
10774,Fencing,1960,FRA,33
10775,Fencing,1960,GBR,32
10776,Fencing,1960,GER,33
10777,Fencing,1960,HUN,34
10778,Fencing,1960,INA,4
10779,Fencing,1960,IRL,10
10780,Fencing,1960,ISR,2
10781,Fencing,1960,ITA,33
10782,Fencing,1960,JPN,21
10783,Fencing,1960,LIB,7
10784,Fencing,1960,LUX,18
10785,Fencing,1960,MAR,24
10786,Fencing,1960,MEX,13
10787,Fencing,1960,MON,4
10788,Fencing,1960,NED,8
10789,Fencing,1960,NOR,2
10790,Fencing,1960,NZL,3
10791,Fencing,1960,POL,33
10792,Fencing,1960,POR,19
10793,Fencing,1960,PUR,1
10794,Fencing,1960,ROU,23
10795,Fencing,1960,SUI,12
10796,Fencing,1960,SWE,13
10797,Fencing,1960,TUN,9
10798,Fencing,1960,UAR,9
10799,Fencing,1960,URS,33
10800,Fencing,1960,URU,3
10801,Fencing,1960,USA,33
10802,Fencing,1960,VEN,16
10803,Fencing,1960,VNM,3
10804,Fencing,1960,YUG,2
10805,Fencing,1964,AHO,1
10806,Fencing,1964,ARG,23
10807,Fencing,1964,AUS,32
10808,Fencing,1964,AUT,9
10809,Fencing,1964,BEL,2
10810,Fencing,1964,CAN,7
10811,Fencing,1964,CHI,3
10812,Fencing,1964,COL,18
10813,Fencing,1964,CUB,3
10814,Fencing,1964,EGY,8
10815,Fencing,1964,FRA,32
10816,Fencing,1964,GBR,31
10817,Fencing,1964,GER,31
10818,Fencing,1964,HUN,32
10819,Fencing,1964,IRI,21
10820,Fencing,1964,IRL,6
10821,Fencing,1964,ITA,32
10822,Fencing,1964,JPN,30
10823,Fencing,1964,KOR,15
10824,Fencing,1964,LIB,7
10825,Fencing,1964,LUX,2
10826,Fencing,1964,MAS,3
10827,Fencing,1964,POL,24
10828,Fencing,1964,ROU,24
10829,Fencing,1964,SUI,8
10830,Fencing,1964,SWE,10
10831,Fencing,1964,URS,32
10832,Fencing,1964,USA,31
10833,Fencing,1964,VNM,3
10834,Fencing,1964,ZAM,1
10835,Fencing,1968,AHO,3
10836,Fencing,1968,ARG,22
10837,Fencing,1968,AUS,11
10838,Fencing,1968,AUT,10
10839,Fencing,1968,BEL,5
10840,Fencing,1968,BRA,7
10841,Fencing,1968,CAN,16
10842,Fencing,1968,CUB,23
10843,Fencing,1968,EGY,8
10844,Fencing,1968,FRA,32
10845,Fencing,1968,FRG,32
10846,Fencing,1968,GBR,31
10847,Fencing,1968,GDR,7
10848,Fencing,1968,HUN,32
10849,Fencing,1968,IRL,20
10850,Fencing,1968,ITA,32
10851,Fencing,1968,JPN,8
10852,Fencing,1968,LIB,3
10853,Fencing,1968,LUX,1
10854,Fencing,1968,MEX,31
10855,Fencing,1968,NOR,2
10856,Fencing,1968,PAR,1
10857,Fencing,1968,PER,1
10858,Fencing,1968,POL,32
10859,Fencing,1968,POR,7
10860,Fencing,1968,PUR,2
10861,Fencing,1968,ROU,18
10862,Fencing,1968,SUI,8
10863,Fencing,1968,SWE,9
10864,Fencing,1968,URS,32
10865,Fencing,1968,URU,2
10866,Fencing,1968,USA,32
10867,Fencing,1968,VEN,9
10868,Fencing,1968,VNM,1
10869,Fencing,1972,ARG,13
10870,Fencing,1972,AUS,4
10871,Fencing,1972,AUT,23
10872,Fencing,1972,BEL,1
10873,Fencing,1972,BUL,8
10874,Fencing,1972,CAN,16
10875,Fencing,1972,CUB,24
10876,Fencing,1972,DEN,9
10877,Fencing,1972,FIN,1
10878,Fencing,1972,FRA,31
10879,Fencing,1972,FRG,32
10880,Fencing,1972,GBR,32
10881,Fencing,1972,GDR,8
10882,Fencing,1972,GRE,4
10883,Fencing,1972,HKG,6
10884,Fencing,1972,HUN,32
10885,Fencing,1972,IRI,3
10886,Fencing,1972,IRL,2
10887,Fencing,1972,ISR,2
10888,Fencing,1972,ITA,32
10889,Fencing,1972,JPN,8
10890,Fencing,1972,LIB,16
10891,Fencing,1972,LUX,8
10892,Fencing,1972,MEX,12
10893,Fencing,1972,MON,1
10894,Fencing,1972,NED,1
10895,Fencing,1972,NOR,7
10896,Fencing,1972,PER,1
10897,Fencing,1972,POL,32
10898,Fencing,1972,PUR,2
10899,Fencing,1972,ROU,31
10900,Fencing,1972,SUI,18
10901,Fencing,1972,SWE,10
10902,Fencing,1972,TCH,2
10903,Fencing,1972,TUR,4
10904,Fencing,1972,URS,32
10905,Fencing,1972,USA,31
10906,Fencing,1976,ARG,16
10907,Fencing,1976,AUS,4
10908,Fencing,1976,AUT,8
10909,Fencing,1976,BEL,5
10910,Fencing,1976,BRA,1
10911,Fencing,1976,BUL,7
10912,Fencing,1976,CAN,23
10913,Fencing,1976,CHI,1
10914,Fencing,1976,CUB,22
10915,Fencing,1976,DEN,1
10916,Fencing,1976,FIN,5
10917,Fencing,1976,FRA,31
10918,Fencing,1976,FRG,25
10919,Fencing,1976,GBR,31
10920,Fencing,1976,GDR,1
10921,Fencing,1976,HKG,15
10922,Fencing,1976,HUN,32
10923,Fencing,1976,IRI,28
10924,Fencing,1976,ISR,1
10925,Fencing,1976,ITA,32
10926,Fencing,1976,JPN,14
10927,Fencing,1976,KUW,7
10928,Fencing,1976,LUX,2
10929,Fencing,1976,NOR,8
10930,Fencing,1976,PAR,1
10931,Fencing,1976,POL,30
10932,Fencing,1976,PUR,4
10933,Fencing,1976,ROU,30
10934,Fencing,1976,SUI,9
10935,Fencing,1976,SWE,10
10936,Fencing,1976,TCH,4
10937,Fencing,1976,THA,15
10938,Fencing,1976,URS,31
10939,Fencing,1976,USA,31
10940,Fencing,1980,ALG,1
10941,Fencing,1980,AUS,4
10942,Fencing,1980,BEL,5
10943,Fencing,1980,BUL,8
10944,Fencing,1980,CUB,29
10945,Fencing,1980,DEN,1
10946,Fencing,1980,ESP,4
10947,Fencing,1980,FIN,8
10948,Fencing,1980,FRA,25
10949,Fencing,1980,GBR,23
10950,Fencing,1980,GDR,24
10951,Fencing,1980,HUN,32
10952,Fencing,1980,ITA,20
10953,Fencing,1980,KUW,18
10954,Fencing,1980,LIB,4
10955,Fencing,1980,POL,31
10956,Fencing,1980,ROU,32
10957,Fencing,1980,SWE,9
10958,Fencing,1980,TCH,11
10959,Fencing,1980,URS,32
10960,Fencing,1984,ARG,22
10961,Fencing,1984,AUS,3
10962,Fencing,1984,AUT,11
10963,Fencing,1984,BEL,10
10964,Fencing,1984,BOL,2
10965,Fencing,1984,CAN,24
10966,Fencing,1984,CHN,32
10967,Fencing,1984,EGY,14
10968,Fencing,1984,ESP,2
10969,Fencing,1984,FRA,32
10970,Fencing,1984,FRG,32
10971,Fencing,1984,GBR,32
10972,Fencing,1984,GRE,1
10973,Fencing,1984,HAI,2
10974,Fencing,1984,HKG,14
10975,Fencing,1984,ISR,4
10976,Fencing,1984,ISV,5
10977,Fencing,1984,ITA,32
10978,Fencing,1984,JOR,1
10979,Fencing,1984,JPN,15
10980,Fencing,1984,KOR,10
10981,Fencing,1984,KSA,10
10982,Fencing,1984,KUW,15
10983,Fencing,1984,LIB,7
10984,Fencing,1984,MEX,1
10985,Fencing,1984,MON,1
10986,Fencing,1984,NOR,9
10987,Fencing,1984,NZL,2
10988,Fencing,1984,PAN,1
10989,Fencing,1984,POR,1
10990,Fencing,1984,PUR,2
10991,Fencing,1984,ROU,17
10992,Fencing,1984,SUI,8
10993,Fencing,1984,SWE,9
10994,Fencing,1984,TPE,4
10995,Fencing,1984,TUR,2
10996,Fencing,1984,USA,32
10997,Fencing,1984,VEN,3
10998,Fencing,1988,ARG,3
10999,Fencing,1988,ARU,2
11000,Fencing,1988,AUS,3
11001,Fencing,1988,AUT,5
11002,Fencing,1988,BEL,3
11003,Fencing,1988,BOL,1
11004,Fencing,1988,BRA,11
11005,Fencing,1988,BRN,7
11006,Fencing,1988,BUL,8
11007,Fencing,1988,CAN,31
11008,Fencing,1988,CHN,24
11009,Fencing,1988,COL,8
11010,Fencing,1988,EGY,2
11011,Fencing,1988,ESP,11
11012,Fencing,1988,FIN,1
11013,Fencing,1988,FRA,31
11014,Fencing,1988,FRG,32
11015,Fencing,1988,GBR,19
11016,Fencing,1988,GDR,10
11017,Fencing,1988,HKG,15
11018,Fencing,1988,HUN,32
11019,Fencing,1988,INA,2
11020,Fencing,1988,ITA,32
11021,Fencing,1988,JOR,1
11022,Fencing,1988,JPN,16
11023,Fencing,1988,KOR,32
11024,Fencing,1988,KUW,14
11025,Fencing,1988,LIB,4
11026,Fencing,1988,MEX,1
11027,Fencing,1988,MON,1
11028,Fencing,1988,NED,8
11029,Fencing,1988,NZL,1
11030,Fencing,1988,PAR,2
11031,Fencing,1988,PHI,1
11032,Fencing,1988,POL,32
11033,Fencing,1988,POR,4
11034,Fencing,1988,ROU,2
11035,Fencing,1988,SUI,10
11036,Fencing,1988,SWE,17
11037,Fencing,1988,TPE,4
11038,Fencing,1988,URS,32
11039,Fencing,1988,USA,31
11040,Fencing,1992,ARG,5
11041,Fencing,1992,AUS,2
11042,Fencing,1992,AUT,8
11043,Fencing,1992,BRA,4
11044,Fencing,1992,CAN,24
11045,Fencing,1992,CHN,24
11046,Fencing,1992,COL,2
11047,Fencing,1992,CRC,1
11048,Fencing,1992,CUB,8
11049,Fencing,1992,EGY,1
11050,Fencing,1992,ESP,26
11051,Fencing,1992,EST,2
11052,Fencing,1992,EUN,32
11053,Fencing,1992,FRA,32
11054,Fencing,1992,GBR,24
11055,Fencing,1992,GER,32
11056,Fencing,1992,GRE,1
11057,Fencing,1992,HKG,3
11058,Fencing,1992,HON,1
11059,Fencing,1992,HUN,32
11060,Fencing,1992,INA,2
11061,Fencing,1992,IOA,1
11062,Fencing,1992,IRL,1
11063,Fencing,1992,ISR,1
11064,Fencing,1992,ITA,32
11065,Fencing,1992,JPN,6
11066,Fencing,1992,KOR,24
11067,Fencing,1992,KSA,1
11068,Fencing,1992,KUW,1
11069,Fencing,1992,LIB,4
