lindex,Sport,Year,Country,count
11346,Figure Skating,1908,ARG,1
11347,Figure Skating,1908,GBR,12
11348,Figure Skating,1908,GER,3
11349,Figure Skating,1908,RUS,2
11350,Figure Skating,1908,SWE,4
11351,Figure Skating,1908,USA,1
11352,Figure Skating,1920,BEL,2
11353,Figure Skating,1920,FIN,3
11354,Figure Skating,1920,FRA,2
11355,Figure Skating,1920,GBR,9
11356,Figure Skating,1920,NOR,6
11357,Figure Skating,1920,SUI,1
11358,Figure Skating,1920,SWE,4
11359,Figure Skating,1920,USA,4
11360,Figure Skating,1924,AUT,4
11361,Figure Skating,1924,BEL,3
11362,Figure Skating,1924,CAN,4
11363,Figure Skating,1924,FIN,2
11364,Figure Skating,1924,FRA,7
11365,Figure Skating,1924,GBR,8
11366,Figure Skating,1924,NOR,1
11367,Figure Skating,1924,SUI,1
11368,Figure Skating,1924,SWE,1
11369,Figure Skating,1924,TCH,1
11370,Figure Skating,1924,USA,5
11371,Figure Skating,1928,AUT,11
11372,Figure Skating,1928,BEL,3
11373,Figure Skating,1928,CAN,6
11374,Figure Skating,1928,FIN,3
11375,Figure Skating,1928,FRA,5
11376,Figure Skating,1928,GBR,7
11377,Figure Skating,1928,GER,8
11378,Figure Skating,1928,NOR,3
11379,Figure Skating,1928,SUI,3
11380,Figure Skating,1928,SWE,1
11381,Figure Skating,1928,TCH,3
11382,Figure Skating,1928,USA,10
11383,Figure Skating,1932,AUT,2
11384,Figure Skating,1932,BEL,1
11385,Figure Skating,1932,CAN,8
11386,Figure Skating,1932,FIN,1
11387,Figure Skating,1932,FRA,2
11388,Figure Skating,1932,GBR,4
11389,Figure Skating,1932,GER,1
11390,Figure Skating,1932,HUN,4
11391,Figure Skating,1932,JPN,2
11392,Figure Skating,1932,NOR,1
11393,Figure Skating,1932,SWE,2
11394,Figure Skating,1932,TCH,1
11395,Figure Skating,1932,USA,12
11396,Figure Skating,1936,AUT,12
11397,Figure Skating,1936,BEL,4
11398,Figure Skating,1936,CAN,6
11399,Figure Skating,1936,EST,2
11400,Figure Skating,1936,FIN,1
11401,Figure Skating,1936,GBR,12
11402,Figure Skating,1936,GER,7
11403,Figure Skating,1936,HUN,7
11404,Figure Skating,1936,ITA,2
11405,Figure Skating,1936,JPN,5
11406,Figure Skating,1936,LAT,4
11407,Figure Skating,1936,NOR,4
11408,Figure Skating,1936,ROU,3
11409,Figure Skating,1936,SUI,3
11410,Figure Skating,1936,SWE,1
11411,Figure Skating,1936,TCH,3
11412,Figure Skating,1936,USA,11
11413,Figure Skating,1948,AUT,11
11414,Figure Skating,1948,BEL,3
11415,Figure Skating,1948,CAN,6
11416,Figure Skating,1948,DEN,1
11417,Figure Skating,1948,FRA,3
11418,Figure Skating,1948,GBR,9
