lindex,Sport,Year,Country,count
11823,Football,1900,BEL,9
11824,Football,1900,FRA,13
11825,Football,1900,GBR,12
11826,Football,1900,NED,1
11827,Football,1904,CAN,13
11828,Football,1904,USA,23
11829,Football,1906,DEN,12
11830,Football,1906,FRA,3
11831,Football,1906,GBR,8
11832,Football,1906,GRE,22
11833,Football,1908,DEN,13
11834,Football,1908,FRA,22
11835,Football,1908,GBR,11
11836,Football,1908,NED,12
11837,Football,1908,SWE,14
11838,Football,1912,AUT,15
11839,Football,1912,DEN,15
11840,Football,1912,FIN,13
11841,Football,1912,GBR,14
11842,Football,1912,GER,22
11843,Football,1912,HUN,14
11844,Football,1912,ITA,14
11845,Football,1912,NED,15
11846,Football,1912,NOR,12
11847,Football,1912,RUS,15
11848,Football,1912,SWE,14
11849,Football,1920,BEL,14
11850,Football,1920,DEN,11
11851,Football,1920,EGY,11
11852,Football,1920,ESP,18
11853,Football,1920,FRA,11
11854,Football,1920,GBR,11
11855,Football,1920,GRE,11
11856,Football,1920,ITA,21
11857,Football,1920,LUX,11
11858,Football,1920,NED,14
11859,Football,1920,NOR,16
11860,Football,1920,SWE,12
11861,Football,1920,TCH,14
11862,Football,1920,YUG,15
11863,Football,1924,BEL,11
11864,Football,1924,BUL,11
11865,Football,1924,EGY,12
11866,Football,1924,ESP,11
11867,Football,1924,EST,11
11868,Football,1924,FRA,12
11869,Football,1924,HUN,11
11870,Football,1924,IRL,12
11871,Football,1924,ITA,13
11872,Football,1924,LAT,11
11873,Football,1924,LTU,11
11874,Football,1924,LUX,11
11875,Football,1924,NED,19
11876,Football,1924,POL,11
11877,Football,1924,ROU,11
11878,Football,1924,SUI,15
11879,Football,1924,SWE,18
11880,Football,1924,TCH,19
11881,Football,1924,TUR,11
11882,Football,1924,URU,14
11883,Football,1924,USA,13
11884,Football,1924,YUG,11
11885,Football,1928,ARG,16
11886,Football,1928,BEL,14
11887,Football,1928,CHI,11
11888,Football,1928,EGY,16
11889,Football,1928,ESP,17
11890,Football,1928,FRA,11
11891,Football,1928,GER,11
11892,Football,1928,ITA,17
11893,Football,1928,LUX,11
11894,Football,1928,MEX,11
11895,Football,1928,NED,11
11896,Football,1928,POR,12
11897,Football,1928,SUI,11
11898,Football,1928,TUR,11
11899,Football,1928,URU,17
11900,Football,1928,USA,11
11901,Football,1928,YUG,11
11902,Football,1936,AUT,13
11903,Football,1936,CHN,11
11904,Football,1936,EGY,11
11905,Football,1936,FIN,11
11906,Football,1936,GBR,15
11907,Football,1936,GER,16
11908,Football,1936,HUN,11
11909,Football,1936,ITA,14
11910,Football,1936,JPN,12
11911,Football,1936,LUX,11
11912,Football,1936,NOR,14
11913,Football,1936,PER,12
11914,Football,1936,POL,17
11915,Football,1936,SWE,11
11916,Football,1936,TUR,11
11917,Football,1936,USA,11
11918,Football,1948,AFG,11
