lindex,Sport,Year,Country,count
12454,Gymnastics,1896,DEN,1
12455,Gymnastics,1896,FRA,1
12456,Gymnastics,1896,GBR,1
12457,Gymnastics,1896,GER,66
12458,Gymnastics,1896,GRE,12
12459,Gymnastics,1896,HUN,8
12460,Gymnastics,1896,SUI,7
12461,Gymnastics,1896,SWE,1
12462,Gymnastics,1900,BEL,2
12463,Gymnastics,1900,BOH,1
12464,Gymnastics,1900,FRA,108
12465,Gymnastics,1900,GBR,4
12466,Gymnastics,1900,GER,14
12467,Gymnastics,1900,HUN,2
12468,Gymnastics,1900,ITA,1
12469,Gymnastics,1900,SUI,3
12470,Gymnastics,1904,AUT,4
12471,Gymnastics,1904,GER,28
12472,Gymnastics,1904,NOR,4
12473,Gymnastics,1904,SUI,6
12474,Gymnastics,1904,USA,416
12475,Gymnastics,1906,BOH,3
12476,Gymnastics,1906,DEN,18
12477,Gymnastics,1906,FRA,8
12478,Gymnastics,1906,GBR,4
12479,Gymnastics,1906,GER,33
12480,Gymnastics,1906,GRE,23
12481,Gymnastics,1906,HUN,22
12482,Gymnastics,1906,ITA,24
12483,Gymnastics,1906,NOR,21
12484,Gymnastics,1908,BEL,2
12485,Gymnastics,1908,BOH,2
12486,Gymnastics,1908,CAN,2
12487,Gymnastics,1908,DEN,24
12488,Gymnastics,1908,FIN,31
12489,Gymnastics,1908,FRA,59
12490,Gymnastics,1908,GBR,65
12491,Gymnastics,1908,GER,11
12492,Gymnastics,1908,HUN,6
12493,Gymnastics,1908,ITA,32
12494,Gymnastics,1908,NED,39
12495,Gymnastics,1908,NOR,38
12496,Gymnastics,1908,SWE,38
12497,Gymnastics,1912,BOH,1
12498,Gymnastics,1912,DEN,54
12499,Gymnastics,1912,FIN,25
12500,Gymnastics,1912,FRA,6
12501,Gymnastics,1912,GBR,29
12502,Gymnastics,1912,GER,36
12503,Gymnastics,1912,HUN,20
12504,Gymnastics,1912,ITA,24
12505,Gymnastics,1912,LUX,41
12506,Gymnastics,1912,NOR,46
12507,Gymnastics,1912,RUS,4
12508,Gymnastics,1912,SWE,24
12509,Gymnastics,1920,BEL,53
12510,Gymnastics,1920,DEN,45
12511,Gymnastics,1920,EGY,2
12512,Gymnastics,1920,FRA,32
12513,Gymnastics,1920,GBR,27
12514,Gymnastics,1920,ITA,32
12515,Gymnastics,1920,MON,2
12516,Gymnastics,1920,NOR,26
12517,Gymnastics,1920,SWE,24
12518,Gymnastics,1920,TCH,16
12519,Gymnastics,1920,USA,4
12520,Gymnastics,1924,FIN,72
12521,Gymnastics,1924,FRA,72
12522,Gymnastics,1924,GBR,72
12523,Gymnastics,1924,ITA,72
12524,Gymnastics,1924,LUX,72
12525,Gymnastics,1924,SUI,72
12526,Gymnastics,1924,TCH,62
12527,Gymnastics,1924,USA,72
12528,Gymnastics,1924,YUG,72
12529,Gymnastics,1928,FIN,56
12530,Gymnastics,1928,FRA,65
12531,Gymnastics,1928,GBR,66
12532,Gymnastics,1928,HUN,63
12533,Gymnastics,1928,ITA,68
12534,Gymnastics,1928,LUX,56
12535,Gymnastics,1928,NED,66
12536,Gymnastics,1928,SUI,56
12537,Gymnastics,1928,TCH,56
12538,Gymnastics,1928,USA,56
12539,Gymnastics,1928,YUG,56
12540,Gymnastics,1932,FIN,27
12541,Gymnastics,1932,HUN,27
12542,Gymnastics,1932,ITA,26
12543,Gymnastics,1932,JPN,20
12544,Gymnastics,1932,MEX,7
12545,Gymnastics,1932,SUI,1
12546,Gymnastics,1932,USA,39
12547,Gymnastics,1936,AUT,64
12548,Gymnastics,1936,BUL,56
12549,Gymnastics,1936,FIN,64
12550,Gymnastics,1936,FRA,64
12551,Gymnastics,1936,GBR,8
12552,Gymnastics,1936,GER,72
12553,Gymnastics,1936,HUN,72
12554,Gymnastics,1936,ITA,69
12555,Gymnastics,1936,JPN,64
12556,Gymnastics,1936,LUX,62
12557,Gymnastics,1936,POL,8
12558,Gymnastics,1936,ROU,64
12559,Gymnastics,1936,SUI,64
12560,Gymnastics,1936,TCH,72
12561,Gymnastics,1936,USA,72
12562,Gymnastics,1936,YUG,72
12563,Gymnastics,1948,ARG,55
12564,Gymnastics,1948,AUT,67
12565,Gymnastics,1948,BEL,8
