lindex,Sport,Year,Country,count
13149,Handball,1936,AUT,22
13150,Handball,1936,GER,22
13151,Handball,1936,HUN,16
13152,Handball,1936,ROU,15
13153,Handball,1936,SUI,17
13154,Handball,1936,USA,13
13155,Handball,1972,DEN,16
13156,Handball,1972,ESP,15
13157,Handball,1972,FRG,16
13158,Handball,1972,GDR,16
13159,Handball,1972,HUN,15
13160,Handball,1972,ISL,15
13161,Handball,1972,JPN,12
13162,Handball,1972,NOR,16
13163,Handball,1972,POL,15
13164,Handball,1972,ROU,15
13165,Handball,1972,SWE,16
13166,Handball,1972,TCH,16
13167,Handball,1972,TUN,16
13168,Handball,1972,URS,15
13169,Handball,1972,USA,15
13170,Handball,1972,YUG,14
13171,Handball,1976,CAN,28
13172,Handball,1976,DEN,13
13173,Handball,1976,FRG,14
13174,Handball,1976,GDR,14
13175,Handball,1976,HUN,26
13176,Handball,1976,JPN,24
13177,Handball,1976,POL,14
13178,Handball,1976,ROU,28
13179,Handball,1976,TCH,14
13180,Handball,1976,TUN,12
13181,Handball,1976,URS,28
13182,Handball,1976,USA,14
13183,Handball,1976,YUG,14
13184,Handball,1980,ALG,14
13185,Handball,1980,CGO,14
13186,Handball,1980,CUB,13
13187,Handball,1980,DEN,14
13188,Handball,1980,ESP,13
13189,Handball,1980,GDR,28
13190,Handball,1980,HUN,28
13191,Handball,1980,KUW,14
13192,Handball,1980,POL,14
13193,Handball,1980,ROU,14
13194,Handball,1980,SUI,14
13195,Handball,1980,TCH,13
13196,Handball,1980,URS,27
13197,Handball,1980,YUG,28
13198,Handball,1984,ALG,15
13199,Handball,1984,AUT,15
13200,Handball,1984,CHN,13
13201,Handball,1984,DEN,14
13202,Handball,1984,ESP,15
13203,Handball,1984,FRG,28
13204,Handball,1984,ISL,15
13205,Handball,1984,JPN,15
13206,Handball,1984,KOR,28
13207,Handball,1984,ROU,15
13208,Handball,1984,SUI,15
13209,Handball,1984,SWE,15
13210,Handball,1984,USA,27
13211,Handball,1984,YUG,29
13212,Handball,1988,ALG,14
13213,Handball,1988,CHN,12
13214,Handball,1988,CIV,14
13215,Handball,1988,ESP,15
13216,Handball,1988,GDR,13
13217,Handball,1988,HUN,14
13218,Handball,1988,ISL,15
13219,Handball,1988,JPN,15
13220,Handball,1988,KOR,25
13221,Handball,1988,NOR,14
13222,Handball,1988,SWE,14
13223,Handball,1988,TCH,29
13224,Handball,1988,URS,29
13225,Handball,1988,USA,28
13226,Handball,1988,YUG,30
13227,Handball,1992,AUT,14
13228,Handball,1992,BRA,14
13229,Handball,1992,EGY,14
