lindex,Sport,Year,Country,count
13351,Hockey,1908,FRA,12
13352,Hockey,1908,GBR,45
13353,Hockey,1908,GER,11
13354,Hockey,1920,BEL,14
13355,Hockey,1920,DEN,12
13356,Hockey,1920,FRA,11
13357,Hockey,1920,GBR,14
13358,Hockey,1928,AUT,16
13359,Hockey,1928,BEL,18
13360,Hockey,1928,DEN,13
13361,Hockey,1928,ESP,15
13362,Hockey,1928,FRA,15
13363,Hockey,1928,GER,19
13364,Hockey,1928,IND,14
13365,Hockey,1928,NED,11
13366,Hockey,1928,SUI,16
13367,Hockey,1932,IND,15
13368,Hockey,1932,JPN,11
13369,Hockey,1932,USA,14
13370,Hockey,1936,AFG,13
13371,Hockey,1936,BEL,14
13372,Hockey,1936,DEN,16
13373,Hockey,1936,FRA,18
13374,Hockey,1936,GER,22
13375,Hockey,1936,HUN,15
13376,Hockey,1936,IND,19
13377,Hockey,1936,JPN,11
13378,Hockey,1936,NED,12
13379,Hockey,1936,SUI,13
13380,Hockey,1936,USA,14
13381,Hockey,1948,AFG,14
13382,Hockey,1948,ARG,12
13383,Hockey,1948,AUT,12
13384,Hockey,1948,BEL,13
13385,Hockey,1948,DEN,16
13386,Hockey,1948,ESP,14
13387,Hockey,1948,FRA,14
13388,Hockey,1948,GBR,12
13389,Hockey,1948,IND,20
13390,Hockey,1948,NED,12
13391,Hockey,1948,PAK,19
13392,Hockey,1948,SUI,15
13393,Hockey,1948,USA,14
13394,Hockey,1952,AUT,13
13395,Hockey,1952,BEL,13
13396,Hockey,1952,FIN,11
13397,Hockey,1952,FRA,14
13398,Hockey,1952,GBR,13
13399,Hockey,1952,GER,15
13400,Hockey,1952,IND,14
13401,Hockey,1952,ITA,15
13402,Hockey,1952,NED,11
13403,Hockey,1952,PAK,12
13404,Hockey,1952,POL,14
13405,Hockey,1952,SUI,12
13406,Hockey,1956,AFG,12
13407,Hockey,1956,AUS,18
13408,Hockey,1956,BEL,12
13409,Hockey,1956,GBR,14
13410,Hockey,1956,GER,11
13411,Hockey,1956,IND,17
13412,Hockey,1956,KEN,14
13413,Hockey,1956,MAL,17
13414,Hockey,1956,NZL,14
13415,Hockey,1956,PAK,14
13416,Hockey,1956,SGP,17
13417,Hockey,1956,USA,13
13418,Hockey,1960,AUS,15
13419,Hockey,1960,BEL,17
13420,Hockey,1960,DEN,12
13421,Hockey,1960,ESP,14
13422,Hockey,1960,FRA,16
13423,Hockey,1960,GBR,15
13424,Hockey,1960,GER,14
13425,Hockey,1960,IND,13
13426,Hockey,1960,ITA,18
13427,Hockey,1960,JPN,14
13428,Hockey,1960,KEN,16
13429,Hockey,1960,NED,16
13430,Hockey,1960,NZL,14
13431,Hockey,1960,PAK,13
13432,Hockey,1960,POL,13
13433,Hockey,1960,SUI,16
13434,Hockey,1964,AUS,14
13435,Hockey,1964,BEL,16
13436,Hockey,1964,CAN,14
13437,Hockey,1964,ESP,14
13438,Hockey,1964,GBR,18
13439,Hockey,1964,GER,12
13440,Hockey,1964,HKG,17
13441,Hockey,1964,IND,15
13442,Hockey,1964,JPN,13
13443,Hockey,1964,KEN,16
13444,Hockey,1964,MAS,14
13445,Hockey,1964,NED,18
13446,Hockey,1964,NZL,14
13447,Hockey,1964,PAK,16
13448,Hockey,1964,ZIM,15
13449,Hockey,1968,ARG,18
13450,Hockey,1968,AUS,14
13451,Hockey,1968,BEL,15
13452,Hockey,1968,ESP,17
13453,Hockey,1968,FRA,18
13454,Hockey,1968,FRG,18
13455,Hockey,1968,GBR,18
13456,Hockey,1968,GDR,14
13457,Hockey,1968,IND,16
13458,Hockey,1968,JPN,14
13459,Hockey,1968,KEN,14
13460,Hockey,1968,MAS,17
13461,Hockey,1968,MEX,17
13462,Hockey,1968,NED,17
13463,Hockey,1968,NZL,13
13464,Hockey,1968,PAK,13
13465,Hockey,1972,ARG,16
13466,Hockey,1972,AUS,16
13467,Hockey,1972,BEL,17
13468,Hockey,1972,ESP,18
13469,Hockey,1972,FRA,17
13470,Hockey,1972,FRG,18
13471,Hockey,1972,GBR,17
13472,Hockey,1972,IND,14
13473,Hockey,1972,KEN,18
13474,Hockey,1972,MAS,15
13475,Hockey,1972,MEX,17
13476,Hockey,1972,NED,16
13477,Hockey,1972,NZL,15
13478,Hockey,1972,PAK,15
13479,Hockey,1972,POL,17
13480,Hockey,1972,UGA,17
13481,Hockey,1976,ARG,16
13482,Hockey,1976,AUS,15
13483,Hockey,1976,BEL,15
13484,Hockey,1976,CAN,16
13485,Hockey,1976,ESP,16
13486,Hockey,1976,FRG,16
13487,Hockey,1976,IND,16
13488,Hockey,1976,MAS,16
13489,Hockey,1976,NED,16
13490,Hockey,1976,NZL,14
13491,Hockey,1976,PAK,16
13492,Hockey,1980,AUT,14
13493,Hockey,1980,CUB,16
13494,Hockey,1980,ESP,16
13495,Hockey,1980,IND,30
13496,Hockey,1980,POL,32
13497,Hockey,1980,TAN,16
13498,Hockey,1980,TCH,16
13499,Hockey,1980,URS,32
13500,Hockey,1980,ZIM,15
13501,Hockey,1984,AUS,32
13502,Hockey,1984,CAN,32
13503,Hockey,1984,ESP,16
13504,Hockey,1984,FRG,32
13505,Hockey,1984,GBR,15
13506,Hockey,1984,IND,16
13507,Hockey,1984,KEN,16
13508,Hockey,1984,MAS,16
13509,Hockey,1984,NED,32
13510,Hockey,1984,NZL,32
13511,Hockey,1984,PAK,16
13512,Hockey,1984,USA,31
13513,Hockey,1988,ARG,31
13514,Hockey,1988,AUS,32
13515,Hockey,1988,CAN,30
13516,Hockey,1988,ESP,16
13517,Hockey,1988,FRG,31
13518,Hockey,1988,GBR,32
13519,Hockey,1988,IND,16
13520,Hockey,1988,KEN,16
13521,Hockey,1988,KOR,32
13522,Hockey,1988,NED,32
13523,Hockey,1988,PAK,15
13524,Hockey,1988,URS,15
13525,Hockey,1988,USA,16
13526,Hockey,1992,ARG,16
13527,Hockey,1992,AUS,32
13528,Hockey,1992,CAN,15
13529,Hockey,1992,EGY,16
13530,Hockey,1992,ESP,31
13531,Hockey,1992,EUN,15
13532,Hockey,1992,GBR,31
13533,Hockey,1992,GER,32
13534,Hockey,1992,IND,15
13535,Hockey,1992,KOR,16
13536,Hockey,1992,MAS,16
13537,Hockey,1992,NED,32
13538,Hockey,1992,NZL,31
13539,Hockey,1992,PAK,16
13540,Hockey,1996,ARG,32
13541,Hockey,1996,AUS,32
13542,Hockey,1996,ESP,32
13543,Hockey,1996,GBR,32
13544,Hockey,1996,GER,32
13545,Hockey,1996,IND,16
13546,Hockey,1996,KOR,32
13547,Hockey,1996,MAS,16
13548,Hockey,1996,NED,32
13549,Hockey,1996,PAK,16
13550,Hockey,1996,RSA,16
13551,Hockey,1996,USA,32
13552,Hockey,2000,ARG,32
13553,Hockey,2000,AUS,32
13554,Hockey,2000,CAN,16
13555,Hockey,2000,CHN,15
13556,Hockey,2000,ESP,32
13557,Hockey,2000,GBR,32
13558,Hockey,2000,GER,32
13559,Hockey,2000,IND,15
13560,Hockey,2000,KOR,32
13561,Hockey,2000,MAS,16
13562,Hockey,2000,NED,32
13563,Hockey,2000,NZL,16
13564,Hockey,2000,PAK,16
13565,Hockey,2000,POL,16
13566,Hockey,2000,RSA,16
13567,Hockey,2004,ARG,32
13568,Hockey,2004,AUS,32
13569,Hockey,2004,CHN,16
13570,Hockey,2004,EGY,16
13571,Hockey,2004,ESP,32
13572,Hockey,2004,GBR,16
13573,Hockey,2004,GER,32
13574,Hockey,2004,IND,16
13575,Hockey,2004,JPN,16
13576,Hockey,2004,KOR,32
13577,Hockey,2004,NED,32
13578,Hockey,2004,NZL,32
13579,Hockey,2004,PAK,16
13580,Hockey,2004,RSA,32
13581,Hockey,2008,ARG,16
13582,Hockey,2008,AUS,33
13583,Hockey,2008,BEL,16
13584,Hockey,2008,CAN,16
13585,Hockey,2008,CHN,33
13586,Hockey,2008,ESP,32
13587,Hockey,2008,GBR,33
13588,Hockey,2008,GER,33
13589,Hockey,2008,JPN,14
13590,Hockey,2008,KOR,33
13591,Hockey,2008,NED,32
13592,Hockey,2008,NZL,32
13593,Hockey,2008,PAK,16
13594,Hockey,2008,RSA,32
13595,Hockey,2008,USA,16
13596,Hockey,2012,ARG,31
13597,Hockey,2012,AUS,32
13598,Hockey,2012,BEL,32
13599,Hockey,2012,CHN,16
13600,Hockey,2012,ESP,18
13601,Hockey,2012,GBR,32
13602,Hockey,2012,GER,32
13603,Hockey,2012,IND,16
13604,Hockey,2012,JPN,16
13605,Hockey,2012,KOR,32
13606,Hockey,2012,NED,33
13607,Hockey,2012,NZL,32
13608,Hockey,2012,PAK,16
13609,Hockey,2012,RSA,33
13610,Hockey,2012,USA,16
13611,Hockey,2016,ARG,34
13612,Hockey,2016,AUS,32
13613,Hockey,2016,BEL,16
13614,Hockey,2016,BRA,16
13615,Hockey,2016,CAN,16
13616,Hockey,2016,CHN,17
13617,Hockey,2016,ESP,33
13618,Hockey,2016,GBR,33
13619,Hockey,2016,GER,33
13620,Hockey,2016,IND,32
13621,Hockey,2016,IRL,16
13622,Hockey,2016,JPN,16
13623,Hockey,2016,KOR,16
13624,Hockey,2016,NED,32
13625,Hockey,2016,NZL,32
13626,Hockey,2016,USA,16
