lindex,Sport,Year,Country,count
15962,Rhythmic Gymnastics,1984,AUS,2
15963,Rhythmic Gymnastics,1984,BEL,1
15964,Rhythmic Gymnastics,1984,BRA,1
15965,Rhythmic Gymnastics,1984,CAN,2
15966,Rhythmic Gymnastics,1984,CHN,2
15967,Rhythmic Gymnastics,1984,ESP,2
15968,Rhythmic Gymnastics,1984,FRA,1
15969,Rhythmic Gymnastics,1984,FRG,2
15970,Rhythmic Gymnastics,1984,GBR,2
15971,Rhythmic Gymnastics,1984,ISR,1
15972,Rhythmic Gymnastics,1984,ITA,2
15973,Rhythmic Gymnastics,1984,JPN,2
15974,Rhythmic Gymnastics,1984,NOR,1
15975,Rhythmic Gymnastics,1984,NZL,1
15976,Rhythmic Gymnastics,1984,POR,2
15977,Rhythmic Gymnastics,1984,ROU,2
15978,Rhythmic Gymnastics,1984,SUI,2
15979,Rhythmic Gymnastics,1984,SWE,1
15980,Rhythmic Gymnastics,1984,USA,2
15981,Rhythmic Gymnastics,1984,YUG,2
15982,Rhythmic Gymnastics,1988,AUT,1
15983,Rhythmic Gymnastics,1988,BEL,1
15984,Rhythmic Gymnastics,1988,BUL,2
15985,Rhythmic Gymnastics,1988,CAN,2
15986,Rhythmic Gymnastics,1988,CHN,2
15987,Rhythmic Gymnastics,1988,DEN,1
15988,Rhythmic Gymnastics,1988,ESP,2
15989,Rhythmic Gymnastics,1988,FRA,1
15990,Rhythmic Gymnastics,1988,FRG,2
15991,Rhythmic Gymnastics,1988,GBR,1
15992,Rhythmic Gymnastics,1988,GRE,2
15993,Rhythmic Gymnastics,1988,HUN,2
15994,Rhythmic Gymnastics,1988,ISR,2
15995,Rhythmic Gymnastics,1988,ITA,2
15996,Rhythmic Gymnastics,1988,JPN,2
15997,Rhythmic Gymnastics,1988,KOR,2
15998,Rhythmic Gymnastics,1988,NZL,1
15999,Rhythmic Gymnastics,1988,POL,2
16000,Rhythmic Gymnastics,1988,POR,1
16001,Rhythmic Gymnastics,1988,TCH,2
16002,Rhythmic Gymnastics,1988,URS,2
16003,Rhythmic Gymnastics,1988,USA,2
16004,Rhythmic Gymnastics,1988,YUG,2
16005,Rhythmic Gymnastics,1992,BEL,1
16006,Rhythmic Gymnastics,1992,BRA,1
16007,Rhythmic Gymnastics,1992,BUL,2
16008,Rhythmic Gymnastics,1992,CAN,2
16009,Rhythmic Gymnastics,1992,CHN,2
