lindex,Sport,Year,Country,count
16161,Rowing,1900,BEL,11
16162,Rowing,1900,ESP,6
16163,Rowing,1900,FRA,59
16164,Rowing,1900,GBR,1
16165,Rowing,1900,GER,30
16166,Rowing,1900,NED,17
16167,Rowing,1900,USA,9
16168,Rowing,1904,CAN,9
16169,Rowing,1904,USA,37
16170,Rowing,1906,BEL,4
16171,Rowing,1906,DEN,11
16172,Rowing,1906,FRA,24
16173,Rowing,1906,GBR,1
16174,Rowing,1906,GRE,122
16175,Rowing,1906,ITA,38
16176,Rowing,1908,BEL,10
16177,Rowing,1908,CAN,17
16178,Rowing,1908,GBR,32
16179,Rowing,1908,GER,3
16180,Rowing,1908,HUN,11
16181,Rowing,1908,ITA,1
16182,Rowing,1908,NED,4
16183,Rowing,1908,NOR,9
16184,Rowing,1912,ANZ,10
16185,Rowing,1912,AUT,6
16186,Rowing,1912,BEL,6
16187,Rowing,1912,BOH,1
16188,Rowing,1912,CAN,10
16189,Rowing,1912,DEN,16
16190,Rowing,1912,FIN,6
16191,Rowing,1912,FRA,19
16192,Rowing,1912,GBR,24
16193,Rowing,1912,GER,25
16194,Rowing,1912,HUN,11
16195,Rowing,1912,NOR,29
16196,Rowing,1912,RUS,1
16197,Rowing,1912,SWE,33
16198,Rowing,1920,BEL,20
16199,Rowing,1920,BRA,5
16200,Rowing,1920,CAN,5
16201,Rowing,1920,DEN,1
16202,Rowing,1920,FRA,14
16203,Rowing,1920,GBR,10
16204,Rowing,1920,ITA,6
16205,Rowing,1920,NED,12
16206,Rowing,1920,NOR,14
16207,Rowing,1920,NZL,1
16208,Rowing,1920,SUI,18
16209,Rowing,1920,SWE,6
16210,Rowing,1920,TCH,15
16211,Rowing,1920,USA,17
16212,Rowing,1924,ARG,9
16213,Rowing,1924,AUS,10
16214,Rowing,1924,BEL,17
16215,Rowing,1924,BRA,2
16216,Rowing,1924,CAN,14
16217,Rowing,1924,ESP,14
16218,Rowing,1924,FRA,26
16219,Rowing,1924,GBR,21
16220,Rowing,1924,HUN,7
16221,Rowing,1924,ITA,17
16222,Rowing,1924,NED,17
16223,Rowing,1924,POL,6
16224,Rowing,1924,SUI,16
16225,Rowing,1924,USA,20
16226,Rowing,1928,ARG,9
16227,Rowing,1928,AUS,1
16228,Rowing,1928,AUT,2
16229,Rowing,1928,BEL,22
16230,Rowing,1928,CAN,12
16231,Rowing,1928,DEN,10
16232,Rowing,1928,FRA,26
16233,Rowing,1928,GBR,23
16234,Rowing,1928,GER,23
16235,Rowing,1928,HUN,6
16236,Rowing,1928,ITA,26
16237,Rowing,1928,JPN,6
16238,Rowing,1928,MON,5
16239,Rowing,1928,NED,21
16240,Rowing,1928,POL,14
16241,Rowing,1928,RSA,1
16242,Rowing,1928,SUI,13
16243,Rowing,1928,TCH,1
16244,Rowing,1928,USA,26
16245,Rowing,1932,AUS,1
16246,Rowing,1932,BRA,19
16247,Rowing,1932,CAN,16
16248,Rowing,1932,FRA,5
16249,Rowing,1932,GBR,16
16250,Rowing,1932,GER,20
16251,Rowing,1932,ITA,20
16252,Rowing,1932,JPN,14
16253,Rowing,1932,NED,2
16254,Rowing,1932,NZL,16
16255,Rowing,1932,POL,10
16256,Rowing,1932,URU,1
16257,Rowing,1932,USA,26
16258,Rowing,1936,ARG,3
16259,Rowing,1936,AUS,12
16260,Rowing,1936,AUT,9
16261,Rowing,1936,BEL,7
16262,Rowing,1936,BRA,22
16263,Rowing,1936,CAN,10
16264,Rowing,1936,DEN,23
16265,Rowing,1936,EST,1
16266,Rowing,1936,FRA,20
16267,Rowing,1936,GBR,18
16268,Rowing,1936,GER,26
16269,Rowing,1936,HUN,26
16270,Rowing,1936,ITA,22
16271,Rowing,1936,JPN,17
16272,Rowing,1936,NED,15
16273,Rowing,1936,NOR,1
16274,Rowing,1936,POL,13
16275,Rowing,1936,RSA,1
16276,Rowing,1936,SUI,26
16277,Rowing,1936,SWE,5
16278,Rowing,1936,TCH,17
16279,Rowing,1936,URU,8
16280,Rowing,1936,USA,26
16281,Rowing,1936,YUG,20
16282,Rowing,1948,ARG,26
16283,Rowing,1948,AUS,8
16284,Rowing,1948,AUT,7
16285,Rowing,1948,BEL,4
16286,Rowing,1948,BRA,2
16287,Rowing,1948,CAN,11
16288,Rowing,1948,CUB,5
16289,Rowing,1948,DEN,25
16290,Rowing,1948,EGY,1
16291,Rowing,1948,ESP,1
16292,Rowing,1948,FIN,5
16293,Rowing,1948,FRA,22
16294,Rowing,1948,GBR,26
16295,Rowing,1948,GRE,9
16296,Rowing,1948,HUN,14
16297,Rowing,1948,IRL,9
16298,Rowing,1948,ITA,26
16299,Rowing,1948,NED,6
16300,Rowing,1948,NOR,14
16301,Rowing,1948,POR,14
16302,Rowing,1948,RSA,5
16303,Rowing,1948,SUI,19
16304,Rowing,1948,SWE,3
16305,Rowing,1948,TCH,4
16306,Rowing,1948,URU,3
16307,Rowing,1948,USA,26
16308,Rowing,1948,YUG,23
16309,Rowing,1952,ARG,9
16310,Rowing,1952,AUS,14
16311,Rowing,1952,AUT,4
16312,Rowing,1952,BEL,12
16313,Rowing,1952,BRA,3
16314,Rowing,1952,CAN,15
16315,Rowing,1952,CHI,1
16316,Rowing,1952,DEN,25
16317,Rowing,1952,EGY,9
16318,Rowing,1952,ESP,6
16319,Rowing,1952,FIN,26
16320,Rowing,1952,FRA,17
16321,Rowing,1952,GBR,23
16322,Rowing,1952,GER,21
16323,Rowing,1952,GRE,3
16324,Rowing,1952,HUN,16
16325,Rowing,1952,ITA,26
16326,Rowing,1952,JPN,5
16327,Rowing,1952,NED,12
16328,Rowing,1952,NOR,9
16329,Rowing,1952,NZL,5
16330,Rowing,1952,POL,10
16331,Rowing,1952,POR,9
16332,Rowing,1952,ROU,9
16333,Rowing,1952,RSA,5
16334,Rowing,1952,SAA,7
16335,Rowing,1952,SUI,13
16336,Rowing,1952,SWE,16
16337,Rowing,1952,TCH,8
16338,Rowing,1952,URS,26
16339,Rowing,1952,URU,3
16340,Rowing,1952,USA,26
16341,Rowing,1952,YUG,13
16342,Rowing,1956,AUS,26
16343,Rowing,1956,AUT,6
16344,Rowing,1956,BEL,7
16345,Rowing,1956,BRA,5
16346,Rowing,1956,CAN,13
16347,Rowing,1956,CHI,3
16348,Rowing,1956,CUB,9
16349,Rowing,1956,DEN,11
16350,Rowing,1956,FIN,9
16351,Rowing,1956,FRA,13
16352,Rowing,1956,GBR,12
16353,Rowing,1956,GER,12
16354,Rowing,1956,GRE,1
16355,Rowing,1956,HUN,4
16356,Rowing,1956,ITA,21
16357,Rowing,1956,JPN,9
16358,Rowing,1956,MEX,1
16359,Rowing,1956,NZL,8
16360,Rowing,1956,POL,8
16361,Rowing,1956,SWE,14
16362,Rowing,1956,TCH,11
