lindex,Sport,Year,Country,count
17024,Sailing,1900,FRA,227
17025,Sailing,1900,GBR,19
17026,Sailing,1900,GER,12
17027,Sailing,1900,NED,9
17028,Sailing,1900,SUI,9
17029,Sailing,1900,USA,4
17030,Sailing,1908,BEL,3
17031,Sailing,1908,FRA,3
17032,Sailing,1908,GBR,40
17033,Sailing,1908,NOR,5
17034,Sailing,1908,SWE,13
17035,Sailing,1912,DEN,3
17036,Sailing,1912,FIN,27
17037,Sailing,1912,FRA,3
17038,Sailing,1912,NOR,18
17039,Sailing,1912,RUS,17
17040,Sailing,1912,SWE,41
17041,Sailing,1920,BEL,14
17042,Sailing,1920,FRA,3
17043,Sailing,1920,GBR,6
17044,Sailing,1920,NED,8
17045,Sailing,1920,NOR,59
17046,Sailing,1920,SWE,11
17047,Sailing,1924,ARG,6
17048,Sailing,1924,BEL,9
17049,Sailing,1924,CAN,1
17050,Sailing,1924,CUB,3
17051,Sailing,1924,DEN,4
17052,Sailing,1924,ESP,4
17053,Sailing,1924,FIN,1
17054,Sailing,1924,FRA,9
17055,Sailing,1924,GBR,6
17056,Sailing,1924,ITA,3
17057,Sailing,1924,MON,1
17058,Sailing,1924,NED,4
17059,Sailing,1924,NOR,9
17060,Sailing,1924,POL,1
17061,Sailing,1924,POR,1
17062,Sailing,1924,RSA,1
17063,Sailing,1924,SUI,1
17064,Sailing,1924,SWE,4
17065,Sailing,1924,TCH,1
17066,Sailing,1928,ARG,5
17067,Sailing,1928,AUT,1
17068,Sailing,1928,BEL,6
17069,Sailing,1928,DEN,5
17070,Sailing,1928,ESP,6
17071,Sailing,1928,EST,5
17072,Sailing,1928,FIN,1
17073,Sailing,1928,FRA,13
17074,Sailing,1928,GBR,8
17075,Sailing,1928,GER,6
17076,Sailing,1928,HUN,6
17077,Sailing,1928,ITA,12
17078,Sailing,1928,LAT,1
17079,Sailing,1928,MON,1
17080,Sailing,1928,NED,12
17081,Sailing,1928,NOR,9
17082,Sailing,1928,POL,2
17083,Sailing,1928,POR,4
17084,Sailing,1928,RSA,1
17085,Sailing,1928,SUI,1
17086,Sailing,1928,SWE,11
17087,Sailing,1928,TCH,1
17088,Sailing,1928,USA,11
17089,Sailing,1932,AUT,1
17090,Sailing,1932,CAN,13
17091,Sailing,1932,ESP,1
17092,Sailing,1932,FRA,3
17093,Sailing,1932,GBR,3
17094,Sailing,1932,GER,1
17095,Sailing,1932,ITA,1
17096,Sailing,1932,NED,3
17097,Sailing,1932,RSA,3
17098,Sailing,1932,SWE,7
17099,Sailing,1932,USA,21
17100,Sailing,1936,ARG,11
17101,Sailing,1936,AUT,1
17102,Sailing,1936,BEL,3
17103,Sailing,1936,BRA,1
17104,Sailing,1936,CAN,1
17105,Sailing,1936,CHI,1
17106,Sailing,1936,DEN,7
17107,Sailing,1936,EST,1
17108,Sailing,1936,FIN,12
17109,Sailing,1936,FRA,14
17110,Sailing,1936,GBR,14
17111,Sailing,1936,GER,14
17112,Sailing,1936,HUN,1
17113,Sailing,1936,ITA,14
17114,Sailing,1936,JPN,3
17115,Sailing,1936,NED,8
17116,Sailing,1936,NOR,14
17117,Sailing,1936,POL,7
17118,Sailing,1936,POR,3
17119,Sailing,1936,SUI,6
17120,Sailing,1936,SWE,15
17121,Sailing,1936,TCH,2
17122,Sailing,1936,TUR,3
17123,Sailing,1936,URU,1
17124,Sailing,1936,USA,14
17125,Sailing,1936,YUG,1
17126,Sailing,1948,ARG,13
17127,Sailing,1948,AUS,3
17128,Sailing,1948,AUT,4
17129,Sailing,1948,BEL,12
17130,Sailing,1948,BRA,5
17131,Sailing,1948,CAN,5
17132,Sailing,1948,CUB,2
17133,Sailing,1948,DEN,11
17134,Sailing,1948,ESP,4
17135,Sailing,1948,FIN,12
17136,Sailing,1948,FRA,13
17137,Sailing,1948,GBR,13
17138,Sailing,1948,GRE,4
17139,Sailing,1948,IRL,3
17140,Sailing,1948,ITA,15
17141,Sailing,1948,NED,8
17142,Sailing,1948,NOR,11
17143,Sailing,1948,POR,9
17144,Sailing,1948,RSA,1
17145,Sailing,1948,SUI,9
17146,Sailing,1948,SWE,13
17147,Sailing,1948,URU,3
17148,Sailing,1948,USA,13
17149,Sailing,1952,ARG,14
17150,Sailing,1952,AUS,6
17151,Sailing,1952,AUT,3
17152,Sailing,1952,BAH,7
17153,Sailing,1952,BEL,4
17154,Sailing,1952,BRA,6
17155,Sailing,1952,CAN,11
17156,Sailing,1952,CUB,3
17157,Sailing,1952,DEN,7
17158,Sailing,1952,ESP,1
17159,Sailing,1952,FIN,14
17160,Sailing,1952,FRA,9
17161,Sailing,1952,GBR,14
17162,Sailing,1952,GER,14
17163,Sailing,1952,GRE,3
17164,Sailing,1952,IRL,1
17165,Sailing,1952,ITA,14
17166,Sailing,1952,JPN,1
17167,Sailing,1952,MON,2
17168,Sailing,1952,NED,9
17169,Sailing,1952,NOR,12
17170,Sailing,1952,POR,9
17171,Sailing,1952,RSA,4
17172,Sailing,1952,SUI,11
17173,Sailing,1952,SWE,14
17174,Sailing,1952,URS,14
17175,Sailing,1952,URU,1
17176,Sailing,1952,USA,16
17177,Sailing,1952,YUG,3
17178,Sailing,1956,ARG,6
17179,Sailing,1956,AUS,11
17180,Sailing,1956,AUT,1
17181,Sailing,1956,BAH,3
17182,Sailing,1956,BEL,1
17183,Sailing,1956,BER,3
17184,Sailing,1956,BRA,3
17185,Sailing,1956,CAN,8
17186,Sailing,1956,CUB,2
17187,Sailing,1956,DEN,4
17188,Sailing,1956,FIJ,2
17189,Sailing,1956,FIN,3
17190,Sailing,1956,FRA,8
17191,Sailing,1956,GBR,12
17192,Sailing,1956,GER,9
17193,Sailing,1956,GRE,2
17194,Sailing,1956,IRL,1
17195,Sailing,1956,ITA,12
17196,Sailing,1956,MYA,3
17197,Sailing,1956,NOR,6
17198,Sailing,1956,NZL,5
17199,Sailing,1956,POR,5
17200,Sailing,1956,RSA,6
17201,Sailing,1956,SGP,5
17202,Sailing,1956,SWE,7
17203,Sailing,1956,THA,2
17204,Sailing,1956,URS,11
17205,Sailing,1956,USA,13
17206,Sailing,1960,ARG,9
17207,Sailing,1960,AUS,11
17208,Sailing,1960,AUT,8
17209,Sailing,1960,BAH,11
17210,Sailing,1960,BEL,3
17211,Sailing,1960,BER,9
17212,Sailing,1960,BRA,5
17213,Sailing,1960,CAN,11
17214,Sailing,1960,CUB,2
17215,Sailing,1960,DEN,9
17216,Sailing,1960,ESP,11
17217,Sailing,1960,FIN,9
17218,Sailing,1960,FRA,11
17219,Sailing,1960,GBR,11
17220,Sailing,1960,GER,13
17221,Sailing,1960,GRE,8
17222,Sailing,1960,HUN,5
17223,Sailing,1960,INA,5
17224,Sailing,1960,IRL,6
17225,Sailing,1960,ITA,11
17226,Sailing,1960,JPN,6
17227,Sailing,1960,KEN,3
17228,Sailing,1960,LIB,3
17229,Sailing,1960,MAR,1
17230,Sailing,1960,MEX,2
17231,Sailing,1960,MLT,3
17232,Sailing,1960,MON,3
17233,Sailing,1960,MYA,3
17234,Sailing,1960,NED,7
17235,Sailing,1960,NOR,9
17236,Sailing,1960,NZL,3
17237,Sailing,1960,PHI,3
17238,Sailing,1960,POR,11
17239,Sailing,1960,RHO,2
17240,Sailing,1960,RSA,3
17241,Sailing,1960,SGP,3
17242,Sailing,1960,SUI,11
17243,Sailing,1960,SWE,11
17244,Sailing,1960,THA,2
17245,Sailing,1960,TUR,1
17246,Sailing,1960,URS,11
17247,Sailing,1960,URU,3
17248,Sailing,1960,USA,11
17249,Sailing,1960,VEN,2
17250,Sailing,1960,WIF,2
17251,Sailing,1960,YUG,3
17252,Sailing,1964,ARG,6
17253,Sailing,1964,AUS,11
17254,Sailing,1964,AUT,3
17255,Sailing,1964,BAH,8
17256,Sailing,1964,BEL,1
17257,Sailing,1964,BER,4
17258,Sailing,1964,BRA,5
17259,Sailing,1964,CAM,3
17260,Sailing,1964,CAN,11
17261,Sailing,1964,DEN,9
17262,Sailing,1964,ESP,1
17263,Sailing,1964,FIN,5
17264,Sailing,1964,FRA,3
17265,Sailing,1964,GBR,9
17266,Sailing,1964,GER,12
17267,Sailing,1964,GRE,4
17268,Sailing,1964,HKG,4
17269,Sailing,1964,HUN,1
17270,Sailing,1964,IRL,4
17271,Sailing,1964,ITA,10
17272,Sailing,1964,JAM,3
17273,Sailing,1964,JPN,11
17274,Sailing,1964,KEN,1
17275,Sailing,1964,MEX,11
17276,Sailing,1964,NED,7
17277,Sailing,1964,NOR,9
17278,Sailing,1964,NZL,3
17279,Sailing,1964,PHI,3
17280,Sailing,1964,POR,6
17281,Sailing,1964,PUR,1
17282,Sailing,1964,SUI,7
17283,Sailing,1964,SWE,11
17284,Sailing,1964,TCH,1
17285,Sailing,1964,THA,4
17286,Sailing,1964,TTO,2
17287,Sailing,1964,TUR,3
17288,Sailing,1964,URS,11
17289,Sailing,1964,USA,11
17290,Sailing,1964,VEN,3
17291,Sailing,1964,ZIM,3
17292,Sailing,1968,ARG,6
17293,Sailing,1968,AUS,11
17294,Sailing,1968,AUT,3
17295,Sailing,1968,BAH,6
17296,Sailing,1968,BEL,3
17297,Sailing,1968,BER,4
17298,Sailing,1968,BRA,5
17299,Sailing,1968,CAN,11
17300,Sailing,1968,DEN,12
17301,Sailing,1968,ESA,3
17302,Sailing,1968,ESP,8
17303,Sailing,1968,FIN,3
17304,Sailing,1968,FRA,9
17305,Sailing,1968,FRG,11
17306,Sailing,1968,GBR,11
17307,Sailing,1968,GDR,8
17308,Sailing,1968,GRE,6
17309,Sailing,1968,HKG,5
17310,Sailing,1968,HUN,4
17311,Sailing,1968,INA,3
17312,Sailing,1968,ISV,3
17313,Sailing,1968,ITA,8
17314,Sailing,1968,JAM,5
17315,Sailing,1968,MEX,11
17316,Sailing,1968,NED,6
17317,Sailing,1968,NOR,12
17318,Sailing,1968,NZL,3
17319,Sailing,1968,PHI,1
17320,Sailing,1968,POL,3
17321,Sailing,1968,POR,8
17322,Sailing,1968,PUR,6
17323,Sailing,1968,SRI,1
17324,Sailing,1968,SUI,6
17325,Sailing,1968,SWE,14
17326,Sailing,1968,THA,1
17327,Sailing,1968,TPE,3
17328,Sailing,1968,URS,11
17329,Sailing,1968,URU,1
17330,Sailing,1968,USA,11
17331,Sailing,1968,VEN,4
17332,Sailing,1968,YUG,2
17333,Sailing,1972,ARG,9
17334,Sailing,1972,AUS,13
17335,Sailing,1972,AUT,12
17336,Sailing,1972,BAH,8
17337,Sailing,1972,BEL,4
17338,Sailing,1972,BER,7
17339,Sailing,1972,BRA,10
17340,Sailing,1972,CAN,14
17341,Sailing,1972,DEN,11
17342,Sailing,1972,ESP,7
17343,Sailing,1972,FIN,7
17344,Sailing,1972,FRA,12
17345,Sailing,1972,FRG,13
17346,Sailing,1972,GBR,13
17347,Sailing,1972,GDR,11
17348,Sailing,1972,GRE,7
17349,Sailing,1972,HKG,4
17350,Sailing,1972,HUN,5
17351,Sailing,1972,IND,3
17352,Sailing,1972,IRL,9
17353,Sailing,1972,ISR,2
17354,Sailing,1972,ISV,8
17355,Sailing,1972,ITA,10
17356,Sailing,1972,JAM,3
17357,Sailing,1972,JPN,3
17358,Sailing,1972,MEX,6
17359,Sailing,1972,NED,5
17360,Sailing,1972,NOR,13
17361,Sailing,1972,NZL,9
17362,Sailing,1972,PHI,3
17363,Sailing,1972,POL,11
17364,Sailing,1972,POR,6
17365,Sailing,1972,PUR,5
17366,Sailing,1972,SUI,10
17367,Sailing,1972,SWE,14
17368,Sailing,1972,TCH,1
17369,Sailing,1972,THA,3
17370,Sailing,1972,TPE,1
17371,Sailing,1972,TTO,2
17372,Sailing,1972,URS,13
17373,Sailing,1972,USA,13
17374,Sailing,1972,YUG,3
17375,Sailing,1976,ARG,4
17376,Sailing,1976,AUS,12
17377,Sailing,1976,AUT,9
17378,Sailing,1976,BAH,1
17379,Sailing,1976,BEL,3
17380,Sailing,1976,BER,6
17381,Sailing,1976,BRA,8
17382,Sailing,1976,CAN,12
17383,Sailing,1976,CAY,2
17384,Sailing,1976,COL,2
17385,Sailing,1976,DEN,10
17386,Sailing,1976,ESP,10
17387,Sailing,1976,FIN,8
17388,Sailing,1976,FRA,10
17389,Sailing,1976,FRG,12
17390,Sailing,1976,GBR,12
17391,Sailing,1976,GDR,6
17392,Sailing,1976,GRE,6
17393,Sailing,1976,GUA,2
17394,Sailing,1976,HUN,1
17395,Sailing,1976,IRL,6
17396,Sailing,1976,ISR,2
17397,Sailing,1976,ISV,6
17398,Sailing,1976,ITA,12
17399,Sailing,1976,JPN,5
17400,Sailing,1976,MEX,3
17401,Sailing,1976,MON,3
17402,Sailing,1976,NED,9
17403,Sailing,1976,NOR,6
17404,Sailing,1976,NZL,8
17405,Sailing,1976,PHI,3
17406,Sailing,1976,POL,1
17407,Sailing,1976,POR,2
17408,Sailing,1976,PUR,9
17409,Sailing,1976,SUI,6
17410,Sailing,1976,SWE,13
17411,Sailing,1976,THA,2
17412,Sailing,1976,URS,12
17413,Sailing,1976,USA,12
17414,Sailing,1976,YUG,1
17415,Sailing,1980,AUT,5
17416,Sailing,1980,BRA,12
17417,Sailing,1980,BUL,5
17418,Sailing,1980,CUB,3
17419,Sailing,1980,CYP,5
17420,Sailing,1980,DEN,10
17421,Sailing,1980,ESP,7
17422,Sailing,1980,FIN,7
17423,Sailing,1980,GDR,13
17424,Sailing,1980,GRE,4
17425,Sailing,1980,GUA,1
17426,Sailing,1980,HUN,7
17427,Sailing,1980,IRL,2
17428,Sailing,1980,ITA,6
17429,Sailing,1980,NED,12
17430,Sailing,1980,POL,12
17431,Sailing,1980,ROU,5
17432,Sailing,1980,SUI,9
17433,Sailing,1980,SWE,10
17434,Sailing,1980,TCH,3
17435,Sailing,1980,URS,12
17436,Sailing,1980,YUG,3
17437,Sailing,1980,ZIM,3
17438,Sailing,1984,ANT,1
17439,Sailing,1984,ARG,8
17440,Sailing,1984,AUS,13
17441,Sailing,1984,AUT,10
17442,Sailing,1984,BAH,3
17443,Sailing,1984,BAR,2
17444,Sailing,1984,BEL,1
17445,Sailing,1984,BER,3
17446,Sailing,1984,BOT,1
17447,Sailing,1984,BRA,12
17448,Sailing,1984,CAN,13
17449,Sailing,1984,CAY,2
17450,Sailing,1984,CHI,7
17451,Sailing,1984,CHN,4
17452,Sailing,1984,DEN,8
17453,Sailing,1984,DOM,1
17454,Sailing,1984,EGY,1
17455,Sailing,1984,ESP,8
17456,Sailing,1984,FIJ,4
17457,Sailing,1984,FIN,5
17458,Sailing,1984,FRA,11
17459,Sailing,1984,FRG,13
17460,Sailing,1984,GBR,13
17461,Sailing,1984,GRE,7
17462,Sailing,1984,GUA,1
17463,Sailing,1984,HKG,1
17464,Sailing,1984,IND,2
17465,Sailing,1984,IRL,1
17466,Sailing,1984,ISL,2
17467,Sailing,1984,ISR,5
17468,Sailing,1984,ISV,9
17469,Sailing,1984,ITA,11
17470,Sailing,1984,IVB,5
17471,Sailing,1984,JPN,8
17472,Sailing,1984,KOR,1
17473,Sailing,1984,MEX,6
17474,Sailing,1984,MLT,1
17475,Sailing,1984,NED,8
17476,Sailing,1984,NOR,7
17477,Sailing,1984,NZL,11
17478,Sailing,1984,OMA,1
17479,Sailing,1984,PAK,6
17480,Sailing,1984,PHI,1
17481,Sailing,1984,POR,3
17482,Sailing,1984,PUR,6
17483,Sailing,1984,SEN,1
17484,Sailing,1984,SGP,1
17485,Sailing,1984,SMR,1
17486,Sailing,1984,SRI,2
17487,Sailing,1984,SUI,9
17488,Sailing,1984,SWE,13
17489,Sailing,1984,THA,1
17490,Sailing,1984,TPE,2
17491,Sailing,1984,TTO,1
17492,Sailing,1984,TUR,2
17493,Sailing,1984,URU,3
17494,Sailing,1984,USA,13
17495,Sailing,1984,VEN,2
17496,Sailing,1984,YUG,1
17497,Sailing,1984,ZIM,1
17498,Sailing,1988,AHO,1
17499,Sailing,1988,ANT,1
17500,Sailing,1988,ARG,11
17501,Sailing,1988,AUS,13
17502,Sailing,1988,AUT,8
17503,Sailing,1988,BAH,2
17504,Sailing,1988,BAR,4
17505,Sailing,1988,BER,2
17506,Sailing,1988,BRA,16
17507,Sailing,1988,CAN,15
17508,Sailing,1988,CHI,3
17509,Sailing,1988,CHN,5
17510,Sailing,1988,CYP,2
17511,Sailing,1988,DEN,14
17512,Sailing,1988,DJI,1
17513,Sailing,1988,ESP,17
17514,Sailing,1988,FIJ,5
17515,Sailing,1988,FIN,5
17516,Sailing,1988,FRA,13
17517,Sailing,1988,FRG,15
17518,Sailing,1988,GBR,15
17519,Sailing,1988,GDR,9
17520,Sailing,1988,GRE,8
17521,Sailing,1988,GUM,2
17522,Sailing,1988,HKG,4
17523,Sailing,1988,HUN,3
17524,Sailing,1988,INA,2
17525,Sailing,1988,IND,2
17526,Sailing,1988,IRL,5
17527,Sailing,1988,ISL,2
17528,Sailing,1988,ISR,4
17529,Sailing,1988,ISV,6
17530,Sailing,1988,ITA,15
17531,Sailing,1988,IVB,1
17532,Sailing,1988,JPN,13
17533,Sailing,1988,KOR,10
17534,Sailing,1988,MEX,4
17535,Sailing,1988,MLT,1
17536,Sailing,1988,MON,2
17537,Sailing,1988,NED,12
17538,Sailing,1988,NOR,7
17539,Sailing,1988,NZL,13
17540,Sailing,1988,PAK,2
17541,Sailing,1988,PHI,2
17542,Sailing,1988,PNG,1
17543,Sailing,1988,POL,2
17544,Sailing,1988,POR,3
17545,Sailing,1988,PUR,3
17546,Sailing,1988,QAT,1
17547,Sailing,1988,SGP,2
17548,Sailing,1988,SMR,1
17549,Sailing,1988,SUI,10
17550,Sailing,1988,SWE,15
17551,Sailing,1988,THA,1
17552,Sailing,1988,TUR,2
17553,Sailing,1988,URS,15
17554,Sailing,1988,URU,5
17555,Sailing,1988,USA,15
17556,Sailing,1988,YUG,1
17557,Sailing,1988,ZIM,1
17558,Sailing,1992,AHO,2
17559,Sailing,1992,AND,2
17560,Sailing,1992,ANG,3
17561,Sailing,1992,ANT,5
17562,Sailing,1992,ARG,7
17563,Sailing,1992,ARU,1
17564,Sailing,1992,AUS,13
17565,Sailing,1992,AUT,13
17566,Sailing,1992,BAH,2
17567,Sailing,1992,BAR,5
17568,Sailing,1992,BEL,5
17569,Sailing,1992,BER,7
17570,Sailing,1992,BRA,17
17571,Sailing,1992,CAN,16
17572,Sailing,1992,CAY,3
17573,Sailing,1992,CHI,1
17574,Sailing,1992,CHN,3
17575,Sailing,1992,CRO,3
17576,Sailing,1992,CYP,2
17577,Sailing,1992,DEN,16
17578,Sailing,1992,DJI,1
17579,Sailing,1992,ESP,17
17580,Sailing,1992,EST,4
17581,Sailing,1992,EUN,14
17582,Sailing,1992,FIJ,4
17583,Sailing,1992,FIN,8
17584,Sailing,1992,FRA,17
17585,Sailing,1992,GBR,17
17586,Sailing,1992,GER,15
17587,Sailing,1992,GRE,9
17588,Sailing,1992,GUM,2
17589,Sailing,1992,HKG,4
17590,Sailing,1992,HUN,8
17591,Sailing,1992,IND,2
17592,Sailing,1992,IRL,5
17593,Sailing,1992,ISR,5
17594,Sailing,1992,ISV,7
17595,Sailing,1992,ITA,14
17596,Sailing,1992,IVB,3
17597,Sailing,1992,JAM,2
17598,Sailing,1992,JPN,7
17599,Sailing,1992,KOR,3
17600,Sailing,1992,LAT,2
17601,Sailing,1992,LTU,2
17602,Sailing,1992,MEX,3
17603,Sailing,1992,MLT,1
17604,Sailing,1992,MRI,1
17605,Sailing,1992,NED,14
17606,Sailing,1992,NOR,14
17607,Sailing,1992,NZL,17
17608,Sailing,1992,PAK,2
17609,Sailing,1992,PHI,4
17610,Sailing,1992,PNG,1
17611,Sailing,1992,POL,4
17612,Sailing,1992,POR,8
17613,Sailing,1992,PUR,4
17614,Sailing,1992,RSA,11
17615,Sailing,1992,SEY,1
17616,Sailing,1992,SGP,2
17617,Sailing,1992,SLO,3
17618,Sailing,1992,SUI,10
17619,Sailing,1992,SWE,15
17620,Sailing,1992,TCH,3
17621,Sailing,1992,THA,2
17622,Sailing,1992,TUN,1
17623,Sailing,1992,TUR,2
17624,Sailing,1992,URU,3
17625,Sailing,1992,USA,17
17626,Sailing,1996,AHO,2
17627,Sailing,1996,AND,3
17628,Sailing,1996,ANT,1
17629,Sailing,1996,ARG,10
17630,Sailing,1996,ASA,2
17631,Sailing,1996,AUS,16
17632,Sailing,1996,AUT,6
17633,Sailing,1996,BAH,3
17634,Sailing,1996,BAR,2
17635,Sailing,1996,BEL,3
17636,Sailing,1996,BER,4
17637,Sailing,1996,BLR,6
17638,Sailing,1996,BRA,14
17639,Sailing,1996,BRN,4
17640,Sailing,1996,CAN,16
17641,Sailing,1996,CAY,7
17642,Sailing,1996,CHI,1
17643,Sailing,1996,CHN,5
17644,Sailing,1996,COK,1
17645,Sailing,1996,CRO,3
17646,Sailing,1996,CUB,2
17647,Sailing,1996,CYP,3
17648,Sailing,1996,CZE,2
17649,Sailing,1996,DEN,11
17650,Sailing,1996,DJI,2
17651,Sailing,1996,ECU,1
17652,Sailing,1996,ESP,16
17653,Sailing,1996,EST,4
17654,Sailing,1996,FIJ,6
17655,Sailing,1996,FIN,8
17656,Sailing,1996,FRA,13
17657,Sailing,1996,GBR,16
17658,Sailing,1996,GEO,2
17659,Sailing,1996,GER,15
17660,Sailing,1996,GRE,14
17661,Sailing,1996,GUA,1
17662,Sailing,1996,GUM,3
17663,Sailing,1996,HKG,7
17664,Sailing,1996,HUN,12
17665,Sailing,1996,INA,1
17666,Sailing,1996,IRL,10
17667,Sailing,1996,ISR,5
17668,Sailing,1996,ISV,2
17669,Sailing,1996,ITA,16
17670,Sailing,1996,IVB,1
17671,Sailing,1996,JAM,2
