lindex,Sport,Year,Country,count
20041,Snowboarding,1998,ARG,1
20042,Snowboarding,1998,AUS,1
20043,Snowboarding,1998,AUT,11
20044,Snowboarding,1998,BUL,1
20045,Snowboarding,1998,CAN,12
20046,Snowboarding,1998,DEN,1
20047,Snowboarding,1998,ESP,2
20048,Snowboarding,1998,FIN,6
20049,Snowboarding,1998,FRA,13
20050,Snowboarding,1998,GER,9
20051,Snowboarding,1998,GRE,3
20052,Snowboarding,1998,ITA,9
20053,Snowboarding,1998,JPN,7
20054,Snowboarding,1998,NED,1
20055,Snowboarding,1998,NOR,7
20056,Snowboarding,1998,NZL,1
20057,Snowboarding,1998,POL,4
20058,Snowboarding,1998,SLO,1
20059,Snowboarding,1998,SUI,12
20060,Snowboarding,1998,SVK,1
20061,Snowboarding,1998,SWE,10
20062,Snowboarding,1998,USA,14
20063,Snowboarding,2002,AUS,1
20064,Snowboarding,2002,AUT,9
20065,Snowboarding,2002,CAN,9
20066,Snowboarding,2002,ESP,1
20067,Snowboarding,2002,FIN,7
20068,Snowboarding,2002,FRA,12
20069,Snowboarding,2002,GBR,1
20070,Snowboarding,2002,GER,9
20071,Snowboarding,2002,ITA,10
20072,Snowboarding,2002,JPN,9
20073,Snowboarding,2002,NED,1
20074,Snowboarding,2002,NOR,6
20075,Snowboarding,2002,POL,2
20076,Snowboarding,2002,RUS,1
20077,Snowboarding,2002,SLO,2
20078,Snowboarding,2002,SUI,12
20079,Snowboarding,2002,SVK,1
20080,Snowboarding,2002,SWE,11
20081,Snowboarding,2002,USA,14
20082,Snowboarding,2006,AUS,9
20083,Snowboarding,2006,AUT,14
20084,Snowboarding,2006,BRA,1
20085,Snowboarding,2006,BUL,2
20086,Snowboarding,2006,CAN,19
20087,Snowboarding,2006,CHN,2
20088,Snowboarding,2006,CZE,3
20089,Snowboarding,2006,ESP,5
20090,Snowboarding,2006,FIN,5
20091,Snowboarding,2006,FRA,17
20092,Snowboarding,2006,GBR,4
20093,Snowboarding,2006,GER,11
20094,Snowboarding,2006,ITA,17
20095,Snowboarding,2006,JPN,13
20096,Snowboarding,2006,NED,2
20097,Snowboarding,2006,NOR,4
20098,Snowboarding,2006,NZL,4
20099,Snowboarding,2006,POL,7
20100,Snowboarding,2006,RUS,8
20101,Snowboarding,2006,SLO,4
20102,Snowboarding,2006,SUI,16
20103,Snowboarding,2006,SVK,2
20104,Snowboarding,2006,SWE,13
20105,Snowboarding,2006,USA,16
20106,Snowboarding,2010,AND,1
20107,Snowboarding,2010,AUS,8
20108,Snowboarding,2010,AUT,13
20109,Snowboarding,2010,BRA,1
20110,Snowboarding,2010,BUL,2
20111,Snowboarding,2010,CAN,18
20112,Snowboarding,2010,CHN,5
20113,Snowboarding,2010,CZE,5
20114,Snowboarding,2010,DEN,1
20115,Snowboarding,2010,ESP,4
20116,Snowboarding,2010,FIN,5
20117,Snowboarding,2010,FRA,17
20118,Snowboarding,2010,GBR,4
20119,Snowboarding,2010,GER,8
20120,Snowboarding,2010,ITA,11
20121,Snowboarding,2010,JPN,11
20122,Snowboarding,2010,KOR,1
20123,Snowboarding,2010,NED,2
20124,Snowboarding,2010,NOR,9
20125,Snowboarding,2010,NZL,5
20126,Snowboarding,2010,POL,4
20127,Snowboarding,2010,RUS,6
20128,Snowboarding,2010,SLO,7
20129,Snowboarding,2010,SUI,16
20130,Snowboarding,2010,SWE,1
20131,Snowboarding,2010,UKR,2
20132,Snowboarding,2010,USA,18
20133,Snowboarding,2014,AND,1
20134,Snowboarding,2014,AUS,14
20135,Snowboarding,2014,AUT,25
20136,Snowboarding,2014,BEL,1
20137,Snowboarding,2014,BRA,1
20138,Snowboarding,2014,BUL,3
20139,Snowboarding,2014,CAN,30
20140,Snowboarding,2014,CHN,6
20141,Snowboarding,2014,CRO,1
20142,Snowboarding,2014,CZE,7
20143,Snowboarding,2014,ESP,4
20144,Snowboarding,2014,FIN,12
20145,Snowboarding,2014,FRA,14
20146,Snowboarding,2014,GBR,7
20147,Snowboarding,2014,GER,17
20148,Snowboarding,2014,IRL,2
20149,Snowboarding,2014,ITA,17
20150,Snowboarding,2014,JPN,9
20151,Snowboarding,2014,KAZ,2
20152,Snowboarding,2014,KOR,6
20153,Snowboarding,2014,NED,8
20154,Snowboarding,2014,NOR,10
20155,Snowboarding,2014,NZL,5
20156,Snowboarding,2014,POL,8
20157,Snowboarding,2014,RUS,23
20158,Snowboarding,2014,SLO,12
20159,Snowboarding,2014,SRB,2
20160,Snowboarding,2014,SUI,32
20161,Snowboarding,2014,SWE,2
20162,Snowboarding,2014,UKR,4
20163,Snowboarding,2014,USA,23
