lindex,Sport,Year,Country,count
20164,Softball,1996,AUS,15
20165,Softball,1996,CAN,15
20166,Softball,1996,CHN,15
20167,Softball,1996,JPN,15
20168,Softball,1996,NED,15
20169,Softball,1996,PUR,15
20170,Softball,1996,TPE,15
20171,Softball,1996,USA,15
20172,Softball,2000,AUS,15
20173,Softball,2000,CAN,15
20174,Softball,2000,CHN,15
20175,Softball,2000,CUB,15
20176,Softball,2000,ITA,15
20177,Softball,2000,JPN,15
20178,Softball,2000,NZL,15
20179,Softball,2000,USA,15
20180,Softball,2004,AUS,15
20181,Softball,2004,CAN,15
20182,Softball,2004,CHN,15
20183,Softball,2004,GRE,14
20184,Softball,2004,ITA,15
20185,Softball,2004,JPN,14
20186,Softball,2004,TPE,15
20187,Softball,2004,USA,15
20188,Softball,2008,AUS,15
20189,Softball,2008,CAN,15
20190,Softball,2008,CHN,15
20191,Softball,2008,JPN,15
20192,Softball,2008,NED,15
20193,Softball,2008,TPE,15
20194,Softball,2008,USA,15
20195,Softball,2008,VEN,15
