lindex,Sport,Year,Country,count
20607,Swimming,1896,AUT,3
20608,Swimming,1896,GRE,11
20609,Swimming,1896,HUN,2
20610,Swimming,1896,USA,2
20611,Swimming,1900,AUS,2
20612,Swimming,1900,AUT,9
20613,Swimming,1900,BEL,1
20614,Swimming,1900,DEN,1
20615,Swimming,1900,FRA,81
20616,Swimming,1900,GBR,14
20617,Swimming,1900,GER,8
20618,Swimming,1900,HUN,3
20619,Swimming,1900,ITA,3
20620,Swimming,1900,NED,4
20621,Swimming,1900,SWE,3
20622,Swimming,1900,USA,2
20623,Swimming,1904,AUS,4
20624,Swimming,1904,AUT,3
20625,Swimming,1904,GER,9
20626,Swimming,1904,HUN,4
20627,Swimming,1904,USA,44
20628,Swimming,1906,AUS,3
20629,Swimming,1906,AUT,9
20630,Swimming,1906,DEN,3
20631,Swimming,1906,FRA,3
20632,Swimming,1906,GBR,14
20633,Swimming,1906,GER,9
20634,Swimming,1906,GRE,9
20635,Swimming,1906,HUN,8
20636,Swimming,1906,ITA,2
20637,Swimming,1906,SWE,10
20638,Swimming,1906,USA,8
20639,Swimming,1908,ANZ,13
20640,Swimming,1908,AUT,3
20641,Swimming,1908,BEL,7
20642,Swimming,1908,CAN,2
20643,Swimming,1908,DEN,11
20644,Swimming,1908,FIN,5
20645,Swimming,1908,FRA,4
20646,Swimming,1908,GBR,38
20647,Swimming,1908,GER,5
20648,Swimming,1908,HUN,16
20649,Swimming,1908,ITA,6
20650,Swimming,1908,NED,7
20651,Swimming,1908,SWE,19
20652,Swimming,1908,USA,14
20653,Swimming,1912,ANZ,20
20654,Swimming,1912,AUT,14
20655,Swimming,1912,BEL,6
20656,Swimming,1912,CAN,2
20657,Swimming,1912,DEN,2
20658,Swimming,1912,FIN,9
20659,Swimming,1912,FRA,3
20660,Swimming,1912,GBR,32
20661,Swimming,1912,GER,30
20662,Swimming,1912,GRE,1
20663,Swimming,1912,HUN,15
20664,Swimming,1912,ITA,5
20665,Swimming,1912,NOR,8
20666,Swimming,1912,RSA,1
20667,Swimming,1912,RUS,6
20668,Swimming,1912,SWE,32
20669,Swimming,1912,USA,15
20670,Swimming,1920,AUS,16
20671,Swimming,1920,BEL,17
20672,Swimming,1920,BRA,2
20673,Swimming,1920,CAN,7
20674,Swimming,1920,ESP,3
20675,Swimming,1920,FIN,2
20676,Swimming,1920,FRA,20
20677,Swimming,1920,GBR,36
20678,Swimming,1920,ITA,10
20679,Swimming,1920,JPN,5
20680,Swimming,1920,LUX,2
20681,Swimming,1920,NED,4
20682,Swimming,1920,NOR,3
20683,Swimming,1920,NZL,2
20684,Swimming,1920,RSA,2
20685,Swimming,1920,SUI,5
20686,Swimming,1920,SWE,27
20687,Swimming,1920,TCH,6
20688,Swimming,1920,USA,40
20689,Swimming,1924,ARG,6
20690,Swimming,1924,AUS,15
20691,Swimming,1924,BEL,6
20692,Swimming,1924,CAN,3
20693,Swimming,1924,DEN,9
20694,Swimming,1924,ESP,7
20695,Swimming,1924,FIN,2
20696,Swimming,1924,FRA,32
20697,Swimming,1924,GBR,36
20698,Swimming,1924,GRE,3
20699,Swimming,1924,HUN,6
20700,Swimming,1924,ITA,7
20701,Swimming,1924,JPN,14
20702,Swimming,1924,LUX,4
20703,Swimming,1924,NED,18
20704,Swimming,1924,NOR,1
20705,Swimming,1924,NZL,3
20706,Swimming,1924,POR,1
20707,Swimming,1924,SUI,2
20708,Swimming,1924,SWE,29
20709,Swimming,1924,TCH,16
20710,Swimming,1924,USA,34
20711,Swimming,1924,YUG,9
20712,Swimming,1928,ARG,8
20713,Swimming,1928,AUS,8
20714,Swimming,1928,AUT,3
20715,Swimming,1928,BEL,8
20716,Swimming,1928,CAN,14
20717,Swimming,1928,CHI,4
20718,Swimming,1928,DEN,8
20719,Swimming,1928,ESP,6
20720,Swimming,1928,FIN,1
20721,Swimming,1928,FRA,21
20722,Swimming,1928,GBR,28
20723,Swimming,1928,GER,29
20724,Swimming,1928,HUN,12
20725,Swimming,1928,IRL,2
20726,Swimming,1928,ITA,9
20727,Swimming,1928,JPN,16
20728,Swimming,1928,LUX,3
20729,Swimming,1928,NED,19
20730,Swimming,1928,NOR,1
20731,Swimming,1928,NZL,7
20732,Swimming,1928,PAN,2
20733,Swimming,1928,PHI,3
20734,Swimming,1928,POL,2
20735,Swimming,1928,RSA,10
20736,Swimming,1928,SUI,1
20737,Swimming,1928,SWE,14
20738,Swimming,1928,TCH,2
20739,Swimming,1928,USA,37
20740,Swimming,1932,ARG,7
20741,Swimming,1932,AUS,9
20742,Swimming,1932,BRA,12
20743,Swimming,1932,CAN,30
20744,Swimming,1932,DEN,3
20745,Swimming,1932,FIN,1
20746,Swimming,1932,FRA,7
20747,Swimming,1932,GBR,23
20748,Swimming,1932,GER,2
20749,Swimming,1932,HUN,8
20750,Swimming,1932,IND,2
20751,Swimming,1932,ITA,4
20752,Swimming,1932,JPN,29
20753,Swimming,1932,MEX,5
20754,Swimming,1932,NED,11
20755,Swimming,1932,NOR,1
20756,Swimming,1932,PHI,3
20757,Swimming,1932,RSA,2
20758,Swimming,1932,SWE,3
20759,Swimming,1932,USA,33
20760,Swimming,1936,ARG,1
20761,Swimming,1936,AUS,7
20762,Swimming,1936,AUT,13
20763,Swimming,1936,BER,9
20764,Swimming,1936,BOL,1
20765,Swimming,1936,BRA,24
20766,Swimming,1936,CAN,27
20767,Swimming,1936,CHI,4
20768,Swimming,1936,CHN,3
20769,Swimming,1936,DEN,30
20770,Swimming,1936,EGY,7
20771,Swimming,1936,EST,2
20772,Swimming,1936,FIN,3
20773,Swimming,1936,FRA,11
20774,Swimming,1936,GBR,29
20775,Swimming,1936,GER,32
20776,Swimming,1936,GRE,7
20777,Swimming,1936,HUN,25
20778,Swimming,1936,JPN,30
20779,Swimming,1936,LUX,5
20780,Swimming,1936,NED,21
20781,Swimming,1936,PER,3
20782,Swimming,1936,PHI,10
20783,Swimming,1936,POL,4
20784,Swimming,1936,SUI,4
20785,Swimming,1936,SWE,6
20786,Swimming,1936,TCH,4
20787,Swimming,1936,USA,36
20788,Swimming,1936,YUG,6
20789,Swimming,1948,ARG,29
20790,Swimming,1948,AUS,14
20791,Swimming,1948,AUT,2
20792,Swimming,1948,BEL,8
20793,Swimming,1948,BER,11
20794,Swimming,1948,BRA,21
20795,Swimming,1948,CAN,23
20796,Swimming,1948,CHN,1
20797,Swimming,1948,COL,4
20798,Swimming,1948,CUB,2
20799,Swimming,1948,DEN,13
20800,Swimming,1948,EGY,10
20801,Swimming,1948,ESP,15
20802,Swimming,1948,FIN,1
20803,Swimming,1948,FRA,29
20804,Swimming,1948,GBR,35
20805,Swimming,1948,GRE,2
20806,Swimming,1948,HUN,25
20807,Swimming,1948,IND,8
20808,Swimming,1948,ISL,9
20809,Swimming,1948,MEX,15
20810,Swimming,1948,NED,15
20811,Swimming,1948,NOR,1
20812,Swimming,1948,NZL,1
20813,Swimming,1948,PAK,9
20814,Swimming,1948,PHI,4
20815,Swimming,1948,POR,1
20816,Swimming,1948,RSA,4
20817,Swimming,1948,SUI,9
20818,Swimming,1948,SWE,20
20819,Swimming,1948,TCH,4
20820,Swimming,1948,URU,3
20821,Swimming,1948,USA,39
20822,Swimming,1948,YUG,11
20823,Swimming,1952,ARG,13
20824,Swimming,1952,AUS,18
20825,Swimming,1952,AUT,3
20826,Swimming,1952,BEL,13
20827,Swimming,1952,BER,6
20828,Swimming,1952,BRA,17
20829,Swimming,1952,CAN,24
20830,Swimming,1952,CHI,1
20831,Swimming,1952,CHN,1
20832,Swimming,1952,CUB,2
20833,Swimming,1952,DEN,15
20834,Swimming,1952,EGY,3
20835,Swimming,1952,ESP,4
20836,Swimming,1952,FIN,23
20837,Swimming,1952,FRA,26
20838,Swimming,1952,GBR,29
20839,Swimming,1952,GER,12
20840,Swimming,1952,GUA,1
20841,Swimming,1952,HKG,9
20842,Swimming,1952,HUN,27
20843,Swimming,1952,INA,1
20844,Swimming,1952,IND,6
20845,Swimming,1952,ISR,1
20846,Swimming,1952,ITA,15
20847,Swimming,1952,JPN,29
20848,Swimming,1952,LUX,1
20849,Swimming,1952,MEX,12
20850,Swimming,1952,NED,20
20851,Swimming,1952,NOR,5
20852,Swimming,1952,NZL,2
20853,Swimming,1952,PAK,3
20854,Swimming,1952,PHI,1
20855,Swimming,1952,POL,10
20856,Swimming,1952,POR,6
20857,Swimming,1952,ROU,1
20858,Swimming,1952,RSA,16
20859,Swimming,1952,SAA,1
20860,Swimming,1952,SGP,2
20861,Swimming,1952,SRI,3
20862,Swimming,1952,SUI,9
20863,Swimming,1952,SWE,21
20864,Swimming,1952,TCH,4
20865,Swimming,1952,URS,20
20866,Swimming,1952,URU,2
20867,Swimming,1952,USA,39
20868,Swimming,1952,VEN,1
20869,Swimming,1952,VNM,2
20870,Swimming,1952,YUG,3
20871,Swimming,1956,AUS,40
20872,Swimming,1956,BEL,6
20873,Swimming,1956,BRA,4
20874,Swimming,1956,CAN,17
20875,Swimming,1956,COL,3
20876,Swimming,1956,CUB,3
20877,Swimming,1956,DEN,2
20878,Swimming,1956,FIN,2
20879,Swimming,1956,FRA,29
20880,Swimming,1956,GBR,26
20881,Swimming,1956,GER,26
20882,Swimming,1956,HKG,4
20883,Swimming,1956,HUN,26
20884,Swimming,1956,INA,4
20885,Swimming,1956,IND,3
20886,Swimming,1956,ISR,1
20887,Swimming,1956,ITA,8
20888,Swimming,1956,JPN,29
20889,Swimming,1956,KEN,1
20890,Swimming,1956,LUX,1
20891,Swimming,1956,MAL,2
20892,Swimming,1956,MEX,4
20893,Swimming,1956,NZL,7
20894,Swimming,1956,PAK,3
20895,Swimming,1956,PHI,15
20896,Swimming,1956,POL,1
20897,Swimming,1956,ROU,2
20898,Swimming,1956,RSA,21
20899,Swimming,1956,SWE,10
20900,Swimming,1956,TCH,2
20901,Swimming,1956,URS,12
20902,Swimming,1956,USA,41
20903,Swimming,1956,YUG,1
20904,Swimming,1960,ARG,4
20905,Swimming,1960,AUS,46
20906,Swimming,1960,AUT,10
20907,Swimming,1960,BEL,3
20908,Swimming,1960,BRA,9
20909,Swimming,1960,CAN,18
20910,Swimming,1960,CUB,2
20911,Swimming,1960,DEN,4
20912,Swimming,1960,ESP,10
20913,Swimming,1960,FIN,15
20914,Swimming,1960,FRA,34
20915,Swimming,1960,GBR,38
20916,Swimming,1960,GER,38
20917,Swimming,1960,GRE,2
20918,Swimming,1960,HKG,1
20919,Swimming,1960,HUN,34
20920,Swimming,1960,INA,3
20921,Swimming,1960,ISL,2
20922,Swimming,1960,ISR,9
20923,Swimming,1960,ITA,39
20924,Swimming,1960,JPN,37
20925,Swimming,1960,LUX,4
20926,Swimming,1960,MAL,3
20927,Swimming,1960,MEX,26
20928,Swimming,1960,MLT,2
20929,Swimming,1960,MYA,1
20930,Swimming,1960,NED,29
20931,Swimming,1960,PHI,13
20932,Swimming,1960,POL,9
20933,Swimming,1960,POR,10
20934,Swimming,1960,PUR,1
20935,Swimming,1960,ROU,2
20936,Swimming,1960,RSA,6
20937,Swimming,1960,SRI,1
20938,Swimming,1960,SUI,14
20939,Swimming,1960,SWE,25
20940,Swimming,1960,TCH,3
20941,Swimming,1960,TPE,1
20942,Swimming,1960,TUR,3
20943,Swimming,1960,URS,36
20944,Swimming,1960,USA,51
20945,Swimming,1960,VEN,2
20946,Swimming,1960,VNM,2
20947,Swimming,1960,YUG,18
20948,Swimming,1960,ZIM,10
20949,Swimming,1964,ARG,14
20950,Swimming,1964,AUS,61
20951,Swimming,1964,AUT,9
20952,Swimming,1964,BEL,2
20953,Swimming,1964,BRA,8
20954,Swimming,1964,CAN,46
20955,Swimming,1964,COL,2
20956,Swimming,1964,DEN,4
20957,Swimming,1964,ESP,20
20958,Swimming,1964,FIN,13
20959,Swimming,1964,FRA,17
20960,Swimming,1964,GBR,47
20961,Swimming,1964,GER,58
20962,Swimming,1964,HKG,5
20963,Swimming,1964,HUN,40
20964,Swimming,1964,IRI,1
20965,Swimming,1964,ISL,3
20966,Swimming,1964,ISR,3
20967,Swimming,1964,ITA,29
20968,Swimming,1964,JPN,54
20969,Swimming,1964,KOR,6
20970,Swimming,1964,LUX,1
20971,Swimming,1964,MAS,15
20972,Swimming,1964,MEX,20
20973,Swimming,1964,MYA,2
20974,Swimming,1964,NED,48
20975,Swimming,1964,NZL,2
20976,Swimming,1964,PER,13
20977,Swimming,1964,PHI,2
20978,Swimming,1964,POR,3
20979,Swimming,1964,PUR,16
20980,Swimming,1964,SUI,4
20981,Swimming,1964,SWE,24
20982,Swimming,1964,TCH,5
20983,Swimming,1964,THA,3
20984,Swimming,1964,URS,42
20985,Swimming,1964,USA,76
20986,Swimming,1964,VEN,4
20987,Swimming,1964,VNM,3
20988,Swimming,1964,YUG,4
20989,Swimming,1964,ZAM,4
20990,Swimming,1964,ZIM,3
20991,Swimming,1968,ARG,20
20992,Swimming,1968,AUS,72
20993,Swimming,1968,AUT,6
20994,Swimming,1968,BAR,2
20995,Swimming,1968,BEL,11
20996,Swimming,1968,BRA,9
20997,Swimming,1968,BUL,7
20998,Swimming,1968,CAN,56
20999,Swimming,1968,COL,33
21000,Swimming,1968,CRC,1
21001,Swimming,1968,CUB,9
21002,Swimming,1968,DEN,8
21003,Swimming,1968,ECU,7
21004,Swimming,1968,ESA,48
21005,Swimming,1968,ESP,26
21006,Swimming,1968,FIN,7
21007,Swimming,1968,FRA,36
21008,Swimming,1968,FRG,63
21009,Swimming,1968,GBR,64
21010,Swimming,1968,GDR,49
21011,Swimming,1968,GUA,10
21012,Swimming,1968,HKG,16
21013,Swimming,1968,HUN,40
21014,Swimming,1968,IRL,9
21015,Swimming,1968,ISL,12
21016,Swimming,1968,ISR,14
21017,Swimming,1968,ITA,22
21018,Swimming,1968,JAM,1
21019,Swimming,1968,JPN,47
21020,Swimming,1968,KOR,2
21021,Swimming,1968,LIB,2
21022,Swimming,1968,LUX,2
21023,Swimming,1968,MEX,73
21024,Swimming,1968,NED,34
21025,Swimming,1968,NOR,3
21026,Swimming,1968,NZL,13
21027,Swimming,1968,PER,8
21028,Swimming,1968,PHI,33
21029,Swimming,1968,POL,11
21030,Swimming,1968,PUR,46
21031,Swimming,1968,ROU,4
21032,Swimming,1968,SUI,12
21033,Swimming,1968,SWE,44
21034,Swimming,1968,TCH,2
21035,Swimming,1968,TPE,15
21036,Swimming,1968,TTO,1
21037,Swimming,1968,URS,73
21038,Swimming,1968,URU,25
21039,Swimming,1968,USA,107
21040,Swimming,1968,VNM,2
21041,Swimming,1968,YUG,14
