lindex,Sport,Year,Country,count
22940,Taekwondo,2000,ARG,2
22941,Taekwondo,2000,AUS,8
22942,Taekwondo,2000,AUT,1
22943,Taekwondo,2000,BEN,1
22944,Taekwondo,2000,BRA,1
22945,Taekwondo,2000,CAN,1
22946,Taekwondo,2000,CHI,1
22947,Taekwondo,2000,CHN,3
22948,Taekwondo,2000,CIV,1
22949,Taekwondo,2000,COL,1
22950,Taekwondo,2000,CRO,1
22951,Taekwondo,2000,CUB,4
22952,Taekwondo,2000,DEN,2
22953,Taekwondo,2000,EGY,3
22954,Taekwondo,2000,ESP,4
22955,Taekwondo,2000,FIN,2
22956,Taekwondo,2000,FRA,2
22957,Taekwondo,2000,GBR,2
22958,Taekwondo,2000,GER,3
22959,Taekwondo,2000,GRE,3
22960,Taekwondo,2000,GUA,1
22961,Taekwondo,2000,HUN,1
22962,Taekwondo,2000,INA,1
22963,Taekwondo,2000,IRI,2
22964,Taekwondo,2000,ITA,3
22965,Taekwondo,2000,JOR,1
22966,Taekwondo,2000,JPN,2
22967,Taekwondo,2000,KOR,4
22968,Taekwondo,2000,KSA,1
22969,Taekwondo,2000,KUW,1
22970,Taekwondo,2000,LBA,1
22971,Taekwondo,2000,LES,2
22972,Taekwondo,2000,MAR,3
22973,Taekwondo,2000,MAS,1
22974,Taekwondo,2000,MEX,3
22975,Taekwondo,2000,MON,1
22976,Taekwondo,2000,NCA,1
22977,Taekwondo,2000,NED,2
22978,Taekwondo,2000,NOR,1
22979,Taekwondo,2000,PHI,4
22980,Taekwondo,2000,RUS,2
22981,Taekwondo,2000,SLO,1
22982,Taekwondo,2000,SWE,2
22983,Taekwondo,2000,SWZ,1
22984,Taekwondo,2000,TPE,4
22985,Taekwondo,2000,TTO,1
22986,Taekwondo,2000,TUR,2
22987,Taekwondo,2000,USA,4
22988,Taekwondo,2000,VEN,1
22989,Taekwondo,2000,VIE,2
22990,Taekwondo,2004,ARG,2
22991,Taekwondo,2004,AUS,4
22992,Taekwondo,2004,AUT,2
22993,Taekwondo,2004,AZE,2
22994,Taekwondo,2004,BEL,1
22995,Taekwondo,2004,BIH,1
22996,Taekwondo,2004,BRA,3
22997,Taekwondo,2004,CAF,1
22998,Taekwondo,2004,CAN,2
22999,Taekwondo,2004,CHN,2
23000,Taekwondo,2004,CIV,1
23001,Taekwondo,2004,COL,3
23002,Taekwondo,2004,CRC,1
23003,Taekwondo,2004,CRO,2
23004,Taekwondo,2004,CUB,2
23005,Taekwondo,2004,DEN,2
23006,Taekwondo,2004,DOM,1
23007,Taekwondo,2004,EGY,4
23008,Taekwondo,2004,ESP,4
23009,Taekwondo,2004,FIN,1
23010,Taekwondo,2004,FRA,4
23011,Taekwondo,2004,GBR,4
23012,Taekwondo,2004,GRE,4
23013,Taekwondo,2004,GUA,3
23014,Taekwondo,2004,HAI,1
23015,Taekwondo,2004,INA,2
23016,Taekwondo,2004,IRI,2
23017,Taekwondo,2004,IRQ,1
23018,Taekwondo,2004,ISR,1
23019,Taekwondo,2004,ITA,3
23020,Taekwondo,2004,JOR,2
23021,Taekwondo,2004,JPN,1
23022,Taekwondo,2004,KAZ,1
23023,Taekwondo,2004,KOR,4
23024,Taekwondo,2004,LBA,1
23025,Taekwondo,2004,LES,1
23026,Taekwondo,2004,MAR,3
23027,Taekwondo,2004,MAS,1
23028,Taekwondo,2004,MEX,3
23029,Taekwondo,2004,NED,2
23030,Taekwondo,2004,NEP,1
23031,Taekwondo,2004,NGR,3
23032,Taekwondo,2004,NOR,1
23033,Taekwondo,2004,NZL,1
23034,Taekwondo,2004,PHI,3
23035,Taekwondo,2004,POL,1
23036,Taekwondo,2004,PUR,1
23037,Taekwondo,2004,RSA,1
23038,Taekwondo,2004,RUS,2
23039,Taekwondo,2004,THA,4
23040,Taekwondo,2004,TPE,4
23041,Taekwondo,2004,TTO,1
23042,Taekwondo,2004,TUN,3
23043,Taekwondo,2004,TUR,1
23044,Taekwondo,2004,UKR,1
23045,Taekwondo,2004,USA,2
23046,Taekwondo,2004,UZB,2
23047,Taekwondo,2004,VEN,4
23048,Taekwondo,2004,VIE,2
23049,Taekwondo,2004,YEM,1
23050,Taekwondo,2008,AFG,2
23051,Taekwondo,2008,ARG,1
23052,Taekwondo,2008,AUS,4
23053,Taekwondo,2008,AZE,1
23054,Taekwondo,2008,BEN,1
23055,Taekwondo,2008,BIZ,1
23056,Taekwondo,2008,BRA,3
23057,Taekwondo,2008,CAN,3
23058,Taekwondo,2008,CHN,4
23059,Taekwondo,2008,CIV,2
23060,Taekwondo,2008,COL,2
23061,Taekwondo,2008,CRC,1
23062,Taekwondo,2008,CRO,2
23063,Taekwondo,2008,CUB,3
23064,Taekwondo,2008,DOM,1
23065,Taekwondo,2008,ECU,1
23066,Taekwondo,2008,EGY,1
23067,Taekwondo,2008,ESP,3
23068,Taekwondo,2008,FRA,2
23069,Taekwondo,2008,GAB,1
23070,Taekwondo,2008,GBR,3
23071,Taekwondo,2008,GER,4
23072,Taekwondo,2008,GRE,3
23073,Taekwondo,2008,GUI,1
23074,Taekwondo,2008,HON,1
23075,Taekwondo,2008,IRI,3
23076,Taekwondo,2008,ISR,1
23077,Taekwondo,2008,ITA,3
23078,Taekwondo,2008,JOR,1
23079,Taekwondo,2008,JPN,1
23080,Taekwondo,2008,KAZ,2
23081,Taekwondo,2008,KEN,2
23082,Taekwondo,2008,KGZ,1
23083,Taekwondo,2008,KOR,4
23084,Taekwondo,2008,MAR,3
23085,Taekwondo,2008,MAS,2
23086,Taekwondo,2008,MEX,3
23087,Taekwondo,2008,MHL,1
23088,Taekwondo,2008,MLI,1
23089,Taekwondo,2008,NED,1
23090,Taekwondo,2008,NEP,1
23091,Taekwondo,2008,NGR,2
23092,Taekwondo,2008,NOR,1
23093,Taekwondo,2008,NZL,3
23094,Taekwondo,2008,PER,1
23095,Taekwondo,2008,PHI,2
23096,Taekwondo,2008,PNG,1
23097,Taekwondo,2008,POR,1
23098,Taekwondo,2008,PUR,2
23099,Taekwondo,2008,QAT,1
23100,Taekwondo,2008,SEN,1
23101,Taekwondo,2008,SUI,1
23102,Taekwondo,2008,SWE,2
23103,Taekwondo,2008,THA,3
23104,Taekwondo,2008,TPE,4
23105,Taekwondo,2008,TUN,1
23106,Taekwondo,2008,TUR,4
23107,Taekwondo,2008,UAE,1
23108,Taekwondo,2008,USA,4
23109,Taekwondo,2008,UZB,3
23110,Taekwondo,2008,VEN,4
23111,Taekwondo,2008,VIE,3
23112,Taekwondo,2012,AFG,2
23113,Taekwondo,2012,ALG,1
23114,Taekwondo,2012,ARG,2
23115,Taekwondo,2012,ARM,1
23116,Taekwondo,2012,AUS,2
23117,Taekwondo,2012,AZE,2
23118,Taekwondo,2012,BRA,2
23119,Taekwondo,2012,CAF,2
23120,Taekwondo,2012,CAM,1
23121,Taekwondo,2012,CAN,3
23122,Taekwondo,2012,CHI,1
23123,Taekwondo,2012,CHN,3
23124,Taekwondo,2012,CIV,1
23125,Taekwondo,2012,COL,1
23126,Taekwondo,2012,CRC,1
23127,Taekwondo,2012,CRO,2
23128,Taekwondo,2012,CUB,3
23129,Taekwondo,2012,DOM,1
23130,Taekwondo,2012,EGY,4
23131,Taekwondo,2012,ESP,3
23132,Taekwondo,2012,FIN,1
23133,Taekwondo,2012,FRA,2
23134,Taekwondo,2012,GAB,1
23135,Taekwondo,2012,GBR,4
23136,Taekwondo,2012,GER,2
23137,Taekwondo,2012,GRE,1
23138,Taekwondo,2012,GRN,1
23139,Taekwondo,2012,GUA,1
23140,Taekwondo,2012,IRI,3
23141,Taekwondo,2012,ITA,2
23142,Taekwondo,2012,JAM,1
23143,Taekwondo,2012,JOR,3
23144,Taekwondo,2012,JPN,2
23145,Taekwondo,2012,KAZ,3
23146,Taekwondo,2012,KGZ,1
23147,Taekwondo,2012,KOR,4
23148,Taekwondo,2012,LIB,1
23149,Taekwondo,2012,MAR,3
23150,Taekwondo,2012,MEX,4
23151,Taekwondo,2012,MLI,1
23152,Taekwondo,2012,NED,1
23153,Taekwondo,2012,NGR,2
23154,Taekwondo,2012,NZL,3
23155,Taekwondo,2012,PAN,1
23156,Taekwondo,2012,PER,1
23157,Taekwondo,2012,PNG,1
23158,Taekwondo,2012,POL,1
23159,Taekwondo,2012,RUS,4
23160,Taekwondo,2012,SAM,2
23161,Taekwondo,2012,SEN,1
23162,Taekwondo,2012,SLO,3
23163,Taekwondo,2012,SRB,3
23164,Taekwondo,2012,SWE,2
23165,Taekwondo,2012,THA,3
23166,Taekwondo,2012,TJK,2
23167,Taekwondo,2012,TPE,3
23168,Taekwondo,2012,TUN,1
23169,Taekwondo,2012,TUR,3
23170,Taekwondo,2012,UKR,2
23171,Taekwondo,2012,USA,4
23172,Taekwondo,2012,UZB,3
23173,Taekwondo,2012,VIE,2
23174,Taekwondo,2012,YEM,1
23175,Taekwondo,2016,ARU,1
23176,Taekwondo,2016,AUS,4
23177,Taekwondo,2016,AZE,4
23178,Taekwondo,2016,BEL,3
23179,Taekwondo,2016,BRA,4
23180,Taekwondo,2016,CAF,1
23181,Taekwondo,2016,CAM,1
23182,Taekwondo,2016,CAN,1
23183,Taekwondo,2016,CHI,1
23184,Taekwondo,2016,CHN,4
23185,Taekwondo,2016,CIV,3
23186,Taekwondo,2016,COD,1
23187,Taekwondo,2016,COL,2
23188,Taekwondo,2016,CPV,1
23189,Taekwondo,2016,CRO,3
23190,Taekwondo,2016,CUB,1
23191,Taekwondo,2016,DOM,3
23192,Taekwondo,2016,EGY,3
23193,Taekwondo,2016,ESP,3
23194,Taekwondo,2016,FIN,1
23195,Taekwondo,2016,FRA,4
23196,Taekwondo,2016,GAB,1
23197,Taekwondo,2016,GBR,4
23198,Taekwondo,2016,GER,2
23199,Taekwondo,2016,HAI,1
23200,Taekwondo,2016,HON,1
23201,Taekwondo,2016,IRI,4
23202,Taekwondo,2016,ISR,1
23203,Taekwondo,2016,JOR,1
23204,Taekwondo,2016,JPN,1
23205,Taekwondo,2016,KAZ,3
23206,Taekwondo,2016,KOR,5
23207,Taekwondo,2016,LBA,1
23208,Taekwondo,2016,MAR,3
23209,Taekwondo,2016,MDA,1
23210,Taekwondo,2016,MEX,4
23211,Taekwondo,2016,MGL,1
23212,Taekwondo,2016,MLI,1
23213,Taekwondo,2016,NED,1
23214,Taekwondo,2016,NEP,1
23215,Taekwondo,2016,NIG,1
23216,Taekwondo,2016,NOR,1
23217,Taekwondo,2016,NZL,1
23218,Taekwondo,2016,PAN,1
23219,Taekwondo,2016,PER,1
23220,Taekwondo,2016,PHI,1
23221,Taekwondo,2016,PNG,2
23222,Taekwondo,2016,POL,2
23223,Taekwondo,2016,POR,1
23224,Taekwondo,2016,PUR,1
23225,Taekwondo,2016,RUS,3
23226,Taekwondo,2016,SEN,1
23227,Taekwondo,2016,SRB,2
23228,Taekwondo,2016,SWE,2
23229,Taekwondo,2016,TGA,1
23230,Taekwondo,2016,THA,3
23231,Taekwondo,2016,TPE,3
23232,Taekwondo,2016,TUN,3
23233,Taekwondo,2016,TUR,2
23234,Taekwondo,2016,USA,4
23235,Taekwondo,2016,UZB,3
23236,Taekwondo,2016,VEN,1
