lindex,Sport,Year,Country,count
23237,Tennis,1896,AUS,2
23238,Tennis,1896,FRA,1
23239,Tennis,1896,GBR,4
23240,Tennis,1896,GER,2
23241,Tennis,1896,GRE,13
23242,Tennis,1896,HUN,1
23243,Tennis,1900,BOH,2
23244,Tennis,1900,FRA,19
23245,Tennis,1900,GBR,16
23246,Tennis,1900,USA,10
23247,Tennis,1904,GER,2
23248,Tennis,1904,USA,55
23249,Tennis,1906,BOH,5
23250,Tennis,1906,FRA,8
23251,Tennis,1906,GRE,25
23252,Tennis,1906,HUN,1
23253,Tennis,1906,NED,5
23254,Tennis,1906,USA,4
23255,Tennis,1908,AUT,5
23256,Tennis,1908,BOH,6
23257,Tennis,1908,CAN,5
23258,Tennis,1908,FRA,1
23259,Tennis,1908,GBR,38
23260,Tennis,1908,GER,9
23261,Tennis,1908,HUN,5
23262,Tennis,1908,NED,4
23263,Tennis,1908,RSA,5
23264,Tennis,1908,SWE,6
23265,Tennis,1912,ANZ,1
23266,Tennis,1912,AUT,5
23267,Tennis,1912,BOH,15
23268,Tennis,1912,DEN,20
23269,Tennis,1912,FRA,12
23270,Tennis,1912,GBR,25
23271,Tennis,1912,GER,13
23272,Tennis,1912,HUN,8
23273,Tennis,1912,NED,1
23274,Tennis,1912,NOR,14
23275,Tennis,1912,RSA,5
23276,Tennis,1912,RUS,3
23277,Tennis,1912,SWE,50
23278,Tennis,1912,USA,1
23279,Tennis,1920,AUS,1
23280,Tennis,1920,BEL,32
23281,Tennis,1920,DEN,7
23282,Tennis,1920,ESP,8
23283,Tennis,1920,FRA,21
23284,Tennis,1920,GBR,24
23285,Tennis,1920,GRE,1
23286,Tennis,1920,ITA,8
23287,Tennis,1920,JPN,4
23288,Tennis,1920,NOR,5
23289,Tennis,1920,RSA,8
23290,Tennis,1920,SUI,5
23291,Tennis,1920,SWE,17
23292,Tennis,1920,TCH,12
23293,Tennis,1924,ARG,8
23294,Tennis,1924,AUS,4
23295,Tennis,1924,BEL,18
23296,Tennis,1924,CHI,4
23297,Tennis,1924,DEN,11
23298,Tennis,1924,ESP,16
23299,Tennis,1924,FIN,8
23300,Tennis,1924,FRA,17
23301,Tennis,1924,GBR,20
23302,Tennis,1924,GRE,7
