lindex,Sport,Year,Country,count
24008,Volleyball,1964,BRA,10
24009,Volleyball,1964,BUL,12
24010,Volleyball,1964,HUN,11
24011,Volleyball,1964,JPN,21
24012,Volleyball,1964,KOR,24
24013,Volleyball,1964,NED,12
24014,Volleyball,1964,POL,10
24015,Volleyball,1964,ROU,21
24016,Volleyball,1964,TCH,11
24017,Volleyball,1964,URS,23
24018,Volleyball,1964,USA,24
24019,Volleyball,1968,BEL,12
24020,Volleyball,1968,BRA,12
24021,Volleyball,1968,BUL,12
24022,Volleyball,1968,GDR,12
24023,Volleyball,1968,JPN,20
24024,Volleyball,1968,KOR,10
24025,Volleyball,1968,MEX,24
24026,Volleyball,1968,PER,9
24027,Volleyball,1968,POL,24
24028,Volleyball,1968,TCH,24
24029,Volleyball,1968,URS,23
24030,Volleyball,1968,USA,24
24031,Volleyball,1972,BRA,12
24032,Volleyball,1972,BUL,12
24033,Volleyball,1972,CUB,24
24034,Volleyball,1972,FRG,23
24035,Volleyball,1972,GDR,12
24036,Volleyball,1972,HUN,12
24037,Volleyball,1972,JPN,24
24038,Volleyball,1972,KOR,19
24039,Volleyball,1972,POL,12
24040,Volleyball,1972,PRK,11
24041,Volleyball,1972,ROU,11
24042,Volleyball,1972,TCH,24
24043,Volleyball,1972,TUN,11
24044,Volleyball,1972,URS,24
24045,Volleyball,1976,BRA,12
24046,Volleyball,1976,CAN,24
24047,Volleyball,1976,CUB,24
24048,Volleyball,1976,EGY,12
24049,Volleyball,1976,GDR,12
24050,Volleyball,1976,HUN,12
24051,Volleyball,1976,ITA,12
24052,Volleyball,1976,JPN,24
24053,Volleyball,1976,KOR,24
24054,Volleyball,1976,PER,12
24055,Volleyball,1976,POL,12
24056,Volleyball,1976,TCH,12
24057,Volleyball,1976,URS,24
24058,Volleyball,1980,BRA,24
24059,Volleyball,1980,BUL,22
24060,Volleyball,1980,CUB,23
24061,Volleyball,1980,GDR,12
24062,Volleyball,1980,HUN,12
24063,Volleyball,1980,ITA,12
24064,Volleyball,1980,LBA,9
24065,Volleyball,1980,PER,10
24066,Volleyball,1980,POL,11
24067,Volleyball,1980,ROU,22
24068,Volleyball,1980,TCH,12
24069,Volleyball,1980,URS,23
24070,Volleyball,1980,YUG,12
24071,Volleyball,1984,ARG,10
24072,Volleyball,1984,BRA,24
24073,Volleyball,1984,CAN,24
24074,Volleyball,1984,CHN,22
24075,Volleyball,1984,EGY,12
24076,Volleyball,1984,FRG,11
24077,Volleyball,1984,ITA,12
24078,Volleyball,1984,JPN,24
24079,Volleyball,1984,KOR,22
24080,Volleyball,1984,PER,11
24081,Volleyball,1984,TUN,12
24082,Volleyball,1984,USA,24
24083,Volleyball,1988,ARG,12
24084,Volleyball,1988,BRA,24
24085,Volleyball,1988,BUL,12
24086,Volleyball,1988,CHN,11
24087,Volleyball,1988,FRA,12
24088,Volleyball,1988,GDR,12
24089,Volleyball,1988,ITA,12
24090,Volleyball,1988,JPN,24
24091,Volleyball,1988,KOR,24
24092,Volleyball,1988,NED,12
24093,Volleyball,1988,PER,12
24094,Volleyball,1988,SWE,12
24095,Volleyball,1988,TUN,12
24096,Volleyball,1988,URS,24
24097,Volleyball,1988,USA,24
24098,Volleyball,1992,ALG,10
24099,Volleyball,1992,BRA,24
24100,Volleyball,1992,CAN,12
24101,Volleyball,1992,CHN,12
24102,Volleyball,1992,CUB,22
24103,Volleyball,1992,ESP,24
24104,Volleyball,1992,EUN,20
24105,Volleyball,1992,FRA,12
24106,Volleyball,1992,ITA,12
24107,Volleyball,1992,JPN,24
24108,Volleyball,1992,KOR,12
24109,Volleyball,1992,NED,23
24110,Volleyball,1992,USA,24
24111,Volleyball,1996,ARG,12
24112,Volleyball,1996,BRA,23
24113,Volleyball,1996,BUL,12
24114,Volleyball,1996,CAN,12
24115,Volleyball,1996,CHN,9
24116,Volleyball,1996,CUB,22
24117,Volleyball,1996,GER,12
24118,Volleyball,1996,ITA,12
24119,Volleyball,1996,JPN,12
24120,Volleyball,1996,KOR,21
24121,Volleyball,1996,NED,24
24122,Volleyball,1996,PER,10
24123,Volleyball,1996,POL,11
24124,Volleyball,1996,RUS,24
24125,Volleyball,1996,SCG,12
24126,Volleyball,1996,TUN,12
24127,Volleyball,1996,UKR,12
24128,Volleyball,1996,USA,23
24129,Volleyball,2000,ARG,12
24130,Volleyball,2000,AUS,24
24131,Volleyball,2000,BRA,24
24132,Volleyball,2000,CHN,12
24133,Volleyball,2000,CRO,11
24134,Volleyball,2000,CUB,20
24135,Volleyball,2000,EGY,12
24136,Volleyball,2000,ESP,12
24137,Volleyball,2000,GER,12
24138,Volleyball,2000,ITA,24
24139,Volleyball,2000,KEN,12
24140,Volleyball,2000,KOR,24
24141,Volleyball,2000,NED,10
24142,Volleyball,2000,PER,11
24143,Volleyball,2000,RUS,24
24144,Volleyball,2000,SCG,11
24145,Volleyball,2000,USA,24
24146,Volleyball,2004,ARG,12
24147,Volleyball,2004,AUS,12
24148,Volleyball,2004,BRA,24
24149,Volleyball,2004,CHN,12
24150,Volleyball,2004,CUB,12
24151,Volleyball,2004,DOM,12
24152,Volleyball,2004,FRA,12
24153,Volleyball,2004,GER,12
24154,Volleyball,2004,GRE,24
24155,Volleyball,2004,ITA,24
24156,Volleyball,2004,JPN,11
24157,Volleyball,2004,KEN,12
24158,Volleyball,2004,KOR,11
24159,Volleyball,2004,NED,12
24160,Volleyball,2004,POL,12
24161,Volleyball,2004,RUS,22
24162,Volleyball,2004,SCG,12
24163,Volleyball,2004,TUN,11
24164,Volleyball,2004,USA,24
24165,Volleyball,2008,ALG,10
24166,Volleyball,2008,BRA,24
24167,Volleyball,2008,BUL,12
24168,Volleyball,2008,CHN,24
24169,Volleyball,2008,CUB,12
24170,Volleyball,2008,EGY,12
24171,Volleyball,2008,GER,12
24172,Volleyball,2008,ITA,24
24173,Volleyball,2008,JPN,24
24174,Volleyball,2008,KAZ,12
24175,Volleyball,2008,POL,24
24176,Volleyball,2008,RUS,24
24177,Volleyball,2008,SRB,23
24178,Volleyball,2008,USA,24
24179,Volleyball,2008,VEN,22
24180,Volleyball,2012,ALG,11
24181,Volleyball,2012,ARG,12
24182,Volleyball,2012,AUS,12
24183,Volleyball,2012,BRA,24
24184,Volleyball,2012,BUL,12
24185,Volleyball,2012,CHN,12
24186,Volleyball,2012,DOM,12
24187,Volleyball,2012,GBR,24
24188,Volleyball,2012,GER,12
24189,Volleyball,2012,ITA,24
24190,Volleyball,2012,JPN,12
24191,Volleyball,2012,KOR,12
24192,Volleyball,2012,POL,12
24193,Volleyball,2012,RUS,24
24194,Volleyball,2012,SRB,24
24195,Volleyball,2012,TUN,12
24196,Volleyball,2012,TUR,12
24197,Volleyball,2012,USA,24
24198,Volleyball,2016,ARG,24
24199,Volleyball,2016,BRA,24
24200,Volleyball,2016,CAN,12
24201,Volleyball,2016,CHN,12
24202,Volleyball,2016,CMR,10
