lindex,Sport,Year,Height,count
0,Alpine Skiing,1936,155.0,1
1,Alpine Skiing,1936,162.0,1
2,Alpine Skiing,1936,165.0,1
3,Alpine Skiing,1936,168.0,1
4,Alpine Skiing,1936,173.0,2
5,Alpine Skiing,1936,175.0,1
6,Alpine Skiing,1936,183.0,1
7,Alpine Skiing,1948,157.0,2
8,Alpine Skiing,1948,162.0,3
9,Alpine Skiing,1948,163.0,5
10,Alpine Skiing,1948,165.0,2
11,Alpine Skiing,1948,168.0,5
12,Alpine Skiing,1948,169.0,3
13,Alpine Skiing,1948,171.0,3
14,Alpine Skiing,1948,172.0,3
15,Alpine Skiing,1948,173.0,4
16,Alpine Skiing,1948,174.0,3
17,Alpine Skiing,1948,175.0,2
18,Alpine Skiing,1948,176.0,1
19,Alpine Skiing,1948,178.0,4
20,Alpine Skiing,1948,180.0,1
21,Alpine Skiing,1948,181.0,2
22,Alpine Skiing,1952,163.0,3
23,Alpine Skiing,1952,165.0,1
24,Alpine Skiing,1952,166.0,3
25,Alpine Skiing,1952,168.0,4
26,Alpine Skiing,1952,169.0,5
27,Alpine Skiing,1952,171.0,3
28,Alpine Skiing,1952,172.0,8
29,Alpine Skiing,1952,173.0,3
30,Alpine Skiing,1952,174.0,5
31,Alpine Skiing,1952,175.0,2
32,Alpine Skiing,1952,177.0,1
33,Alpine Skiing,1952,180.0,2
34,Alpine Skiing,1952,183.0,3
35,Alpine Skiing,1952,185.0,3
36,Alpine Skiing,1952,186.0,3
37,Alpine Skiing,1956,159.0,3
38,Alpine Skiing,1956,160.0,3
39,Alpine Skiing,1956,162.0,2
40,Alpine Skiing,1956,164.0,6
41,Alpine Skiing,1956,165.0,6
42,Alpine Skiing,1956,166.0,3
43,Alpine Skiing,1956,167.0,6
44,Alpine Skiing,1956,168.0,3
45,Alpine Skiing,1956,169.0,5
46,Alpine Skiing,1956,170.0,14
47,Alpine Skiing,1956,171.0,3
48,Alpine Skiing,1956,172.0,3
49,Alpine Skiing,1956,173.0,3
50,Alpine Skiing,1956,174.0,1
51,Alpine Skiing,1956,178.0,5
52,Alpine Skiing,1956,185.0,3
53,Alpine Skiing,1956,186.0,2
54,Alpine Skiing,1960,156.0,3
55,Alpine Skiing,1960,158.0,3
56,Alpine Skiing,1960,159.0,3
57,Alpine Skiing,1960,160.0,6
58,Alpine Skiing,1960,162.0,6
59,Alpine Skiing,1960,164.0,5
60,Alpine Skiing,1960,165.0,5
61,Alpine Skiing,1960,166.0,3
62,Alpine Skiing,1960,167.0,8
63,Alpine Skiing,1960,168.0,9
64,Alpine Skiing,1960,169.0,6
65,Alpine Skiing,1960,170.0,16
66,Alpine Skiing,1960,171.0,6
67,Alpine Skiing,1960,172.0,1
68,Alpine Skiing,1960,173.0,5
69,Alpine Skiing,1960,174.0,3
70,Alpine Skiing,1960,175.0,6
71,Alpine Skiing,1960,178.0,1
72,Alpine Skiing,1960,182.0,3
73,Alpine Skiing,1960,184.0,3
74,Alpine Skiing,1964,155.0,5
75,Alpine Skiing,1964,156.0,5
76,Alpine Skiing,1964,157.0,1
77,Alpine Skiing,1964,158.0,8
78,Alpine Skiing,1964,159.0,13
79,Alpine Skiing,1964,160.0,10
80,Alpine Skiing,1964,161.0,1
81,Alpine Skiing,1964,162.0,10
82,Alpine Skiing,1964,163.0,8
83,Alpine Skiing,1964,164.0,13
84,Alpine Skiing,1964,165.0,12
85,Alpine Skiing,1964,166.0,4
86,Alpine Skiing,1964,167.0,19
87,Alpine Skiing,1964,168.0,17
88,Alpine Skiing,1964,169.0,16
89,Alpine Skiing,1964,170.0,22
90,Alpine Skiing,1964,171.0,17
91,Alpine Skiing,1964,172.0,18
92,Alpine Skiing,1964,173.0,7
93,Alpine Skiing,1964,174.0,11
94,Alpine Skiing,1964,175.0,13
95,Alpine Skiing,1964,176.0,10
96,Alpine Skiing,1964,177.0,4
97,Alpine Skiing,1964,178.0,15
98,Alpine Skiing,1964,179.0,5
99,Alpine Skiing,1964,180.0,5
100,Alpine Skiing,1964,181.0,3
101,Alpine Skiing,1964,182.0,10
102,Alpine Skiing,1964,183.0,5
103,Alpine Skiing,1964,184.0,6
104,Alpine Skiing,1964,187.0,3
105,Alpine Skiing,1968,142.0,2
106,Alpine Skiing,1968,153.0,1
107,Alpine Skiing,1968,155.0,6
108,Alpine Skiing,1968,156.0,2
109,Alpine Skiing,1968,158.0,8
110,Alpine Skiing,1968,159.0,6
111,Alpine Skiing,1968,160.0,9
112,Alpine Skiing,1968,161.0,5
113,Alpine Skiing,1968,162.0,9
114,Alpine Skiing,1968,163.0,15
115,Alpine Skiing,1968,164.0,9
116,Alpine Skiing,1968,165.0,10
117,Alpine Skiing,1968,166.0,6
118,Alpine Skiing,1968,167.0,21
119,Alpine Skiing,1968,168.0,21
120,Alpine Skiing,1968,169.0,13
121,Alpine Skiing,1968,170.0,30
122,Alpine Skiing,1968,171.0,24
123,Alpine Skiing,1968,172.0,28
124,Alpine Skiing,1968,173.0,24
125,Alpine Skiing,1968,174.0,23
126,Alpine Skiing,1968,175.0,20
127,Alpine Skiing,1968,176.0,16
128,Alpine Skiing,1968,177.0,2
129,Alpine Skiing,1968,178.0,30
130,Alpine Skiing,1968,179.0,8
131,Alpine Skiing,1968,180.0,14
132,Alpine Skiing,1968,181.0,1
133,Alpine Skiing,1968,182.0,15
134,Alpine Skiing,1968,183.0,11
135,Alpine Skiing,1968,184.0,3
136,Alpine Skiing,1968,185.0,1
137,Alpine Skiing,1968,190.0,3
138,Alpine Skiing,1968,193.0,1
139,Alpine Skiing,1972,153.0,1
140,Alpine Skiing,1972,154.0,2
141,Alpine Skiing,1972,155.0,6
142,Alpine Skiing,1972,156.0,4
143,Alpine Skiing,1972,157.0,5
144,Alpine Skiing,1972,158.0,1
145,Alpine Skiing,1972,159.0,6
146,Alpine Skiing,1972,160.0,10
147,Alpine Skiing,1972,161.0,5
148,Alpine Skiing,1972,162.0,6
149,Alpine Skiing,1972,163.0,5
150,Alpine Skiing,1972,164.0,3
151,Alpine Skiing,1972,165.0,12
152,Alpine Skiing,1972,166.0,4
153,Alpine Skiing,1972,167.0,11
154,Alpine Skiing,1972,168.0,23
155,Alpine Skiing,1972,169.0,11
156,Alpine Skiing,1972,170.0,32
157,Alpine Skiing,1972,171.0,14
158,Alpine Skiing,1972,172.0,16
159,Alpine Skiing,1972,173.0,21
160,Alpine Skiing,1972,174.0,11
161,Alpine Skiing,1972,175.0,31
162,Alpine Skiing,1972,176.0,10
163,Alpine Skiing,1972,177.0,10
164,Alpine Skiing,1972,178.0,24
165,Alpine Skiing,1972,179.0,2
166,Alpine Skiing,1972,180.0,12
167,Alpine Skiing,1972,182.0,1
168,Alpine Skiing,1972,183.0,6
169,Alpine Skiing,1972,185.0,5
170,Alpine Skiing,1972,186.0,6
171,Alpine Skiing,1972,193.0,1
172,Alpine Skiing,1976,142.0,3
173,Alpine Skiing,1976,156.0,3
174,Alpine Skiing,1976,159.0,3
175,Alpine Skiing,1976,160.0,6
176,Alpine Skiing,1976,162.0,7
177,Alpine Skiing,1976,163.0,5
178,Alpine Skiing,1976,164.0,3
179,Alpine Skiing,1976,165.0,15
180,Alpine Skiing,1976,167.0,6
181,Alpine Skiing,1976,168.0,15
182,Alpine Skiing,1976,169.0,3
183,Alpine Skiing,1976,170.0,10
184,Alpine Skiing,1976,171.0,8
185,Alpine Skiing,1976,172.0,8
186,Alpine Skiing,1976,173.0,20
187,Alpine Skiing,1976,175.0,29
188,Alpine Skiing,1976,176.0,9
189,Alpine Skiing,1976,177.0,4
190,Alpine Skiing,1976,178.0,15
191,Alpine Skiing,1976,180.0,12
192,Alpine Skiing,1976,181.0,2
193,Alpine Skiing,1976,182.0,1
194,Alpine Skiing,1976,183.0,5
195,Alpine Skiing,1976,185.0,2
196,Alpine Skiing,1976,188.0,1
