lindex,Sport,Year,Height,count
955,Athletics,1896,154.0,1
956,Athletics,1896,159.0,3
957,Athletics,1896,167.0,5
958,Athletics,1896,170.0,1
959,Athletics,1896,171.0,2
960,Athletics,1896,173.0,1
961,Athletics,1896,175.0,3
962,Athletics,1896,176.0,2
963,Athletics,1896,179.0,3
964,Athletics,1896,180.0,3
965,Athletics,1896,183.0,2
966,Athletics,1896,185.0,1
967,Athletics,1896,188.0,5
968,Athletics,1900,160.0,2
969,Athletics,1900,166.0,1
970,Athletics,1900,167.0,3
971,Athletics,1900,168.0,2
972,Athletics,1900,169.0,5
973,Athletics,1900,170.0,3
974,Athletics,1900,172.0,1
975,Athletics,1900,175.0,3
976,Athletics,1900,178.0,6
977,Athletics,1900,179.0,1
978,Athletics,1900,180.0,2
979,Athletics,1900,182.0,1
980,Athletics,1900,183.0,11
981,Athletics,1900,185.0,6
982,Athletics,1900,188.0,4
983,Athletics,1900,190.0,6
984,Athletics,1904,155.0,1
985,Athletics,1904,160.0,3
986,Athletics,1904,167.0,4
987,Athletics,1904,168.0,4
988,Athletics,1904,170.0,2
989,Athletics,1904,171.0,3
990,Athletics,1904,172.0,4
991,Athletics,1904,173.0,4
992,Athletics,1904,175.0,4
993,Athletics,1904,176.0,8
994,Athletics,1904,178.0,7
995,Athletics,1904,179.0,1
996,Athletics,1904,180.0,12
997,Athletics,1904,182.0,3
998,Athletics,1904,183.0,4
999,Athletics,1904,184.0,1
1000,Athletics,1904,185.0,11
1001,Athletics,1904,187.0,4
1002,Athletics,1904,189.0,2
1003,Athletics,1904,190.0,2
1004,Athletics,1904,195.0,4
1005,Athletics,1906,165.0,4
1006,Athletics,1906,166.0,2
1007,Athletics,1906,167.0,6
1008,Athletics,1906,168.0,2
1009,Athletics,1906,169.0,2
1010,Athletics,1906,170.0,6
1011,Athletics,1906,172.0,3
1012,Athletics,1906,173.0,5
1013,Athletics,1906,175.0,12
1014,Athletics,1906,176.0,1
1015,Athletics,1906,177.0,7
1016,Athletics,1906,178.0,4
1017,Athletics,1906,179.0,6
1018,Athletics,1906,180.0,12
1019,Athletics,1906,182.0,11
1020,Athletics,1906,183.0,12
1021,Athletics,1906,184.0,13
1022,Athletics,1906,185.0,15
1023,Athletics,1906,186.0,3
1024,Athletics,1906,187.0,5
1025,Athletics,1906,189.0,2
1026,Athletics,1906,190.0,15
1027,Athletics,1906,195.0,2
1028,Athletics,1906,196.0,3
1029,Athletics,1908,160.0,1
1030,Athletics,1908,162.0,4
1031,Athletics,1908,163.0,1
1032,Athletics,1908,164.0,1
1033,Athletics,1908,165.0,3
1034,Athletics,1908,166.0,3
1035,Athletics,1908,167.0,8
1036,Athletics,1908,168.0,8
1037,Athletics,1908,169.0,8
1038,Athletics,1908,170.0,15
1039,Athletics,1908,171.0,10
1040,Athletics,1908,172.0,8
1041,Athletics,1908,173.0,10
1042,Athletics,1908,174.0,7
1043,Athletics,1908,175.0,21
1044,Athletics,1908,176.0,11
1045,Athletics,1908,177.0,14
1046,Athletics,1908,178.0,19
1047,Athletics,1908,179.0,15
1048,Athletics,1908,180.0,28
1049,Athletics,1908,181.0,8
1050,Athletics,1908,182.0,20
1051,Athletics,1908,183.0,16
1052,Athletics,1908,184.0,10
1053,Athletics,1908,185.0,33
1054,Athletics,1908,186.0,3
1055,Athletics,1908,188.0,15
1056,Athletics,1908,189.0,3
1057,Athletics,1908,190.0,11
1058,Athletics,1908,195.0,1
1059,Athletics,1908,196.0,2
1060,Athletics,1912,157.0,1
1061,Athletics,1912,158.0,1
1062,Athletics,1912,160.0,5
1063,Athletics,1912,162.0,2
1064,Athletics,1912,163.0,2
1065,Athletics,1912,164.0,2
1066,Athletics,1912,165.0,6
1067,Athletics,1912,166.0,2
1068,Athletics,1912,167.0,6
1069,Athletics,1912,168.0,17
1070,Athletics,1912,169.0,6
1071,Athletics,1912,170.0,37
1072,Athletics,1912,171.0,17
1073,Athletics,1912,172.0,35
1074,Athletics,1912,173.0,20
1075,Athletics,1912,174.0,20
1076,Athletics,1912,175.0,23
1077,Athletics,1912,176.0,16
1078,Athletics,1912,177.0,14
1079,Athletics,1912,178.0,40
1080,Athletics,1912,179.0,22
1081,Athletics,1912,180.0,43
1082,Athletics,1912,181.0,17
1083,Athletics,1912,182.0,19
1084,Athletics,1912,183.0,37
1085,Athletics,1912,184.0,8
1086,Athletics,1912,185.0,20
1087,Athletics,1912,186.0,8
1088,Athletics,1912,187.0,10
1089,Athletics,1912,188.0,29
1090,Athletics,1912,189.0,7
1091,Athletics,1912,190.0,16
1092,Athletics,1912,191.0,9
1093,Athletics,1912,192.0,1
