lindex,Sport,Year,Height,count
2627,Basketball,1936,167.0,1
2628,Basketball,1936,171.0,1
2629,Basketball,1936,172.0,4
2630,Basketball,1936,173.0,3
2631,Basketball,1936,175.0,1
2632,Basketball,1936,176.0,3
2633,Basketball,1936,177.0,2
2634,Basketball,1936,178.0,2
2635,Basketball,1936,179.0,1
2636,Basketball,1936,180.0,4
2637,Basketball,1936,182.0,3
2638,Basketball,1936,183.0,9
2639,Basketball,1936,185.0,3
2640,Basketball,1936,186.0,2
2641,Basketball,1936,187.0,2
2642,Basketball,1936,188.0,5
2643,Basketball,1936,190.0,1
2644,Basketball,1936,191.0,1
2645,Basketball,1936,192.0,1
2646,Basketball,1936,193.0,1
2647,Basketball,1936,194.0,1
2648,Basketball,1936,200.0,1
2649,Basketball,1936,203.0,1
2650,Basketball,1936,205.0,1
2651,Basketball,1948,170.0,2
2652,Basketball,1948,175.0,2
2653,Basketball,1948,178.0,9
2654,Basketball,1948,180.0,7
2655,Basketball,1948,182.0,1
2656,Basketball,1948,183.0,14
2657,Basketball,1948,184.0,1
2658,Basketball,1948,185.0,6
2659,Basketball,1948,188.0,5
2660,Basketball,1948,189.0,1
2661,Basketball,1948,190.0,5
2662,Basketball,1948,191.0,2
2663,Basketball,1948,193.0,5
2664,Basketball,1948,195.0,4
2665,Basketball,1948,196.0,1
2666,Basketball,1948,198.0,1
2667,Basketball,1948,200.0,2
2668,Basketball,1948,213.0,1
2669,Basketball,1952,170.0,1
2670,Basketball,1952,172.0,2
2671,Basketball,1952,174.0,1
2672,Basketball,1952,175.0,2
2673,Basketball,1952,177.0,1
2674,Basketball,1952,178.0,6
2675,Basketball,1952,180.0,8
2676,Basketball,1952,182.0,1
2677,Basketball,1952,183.0,7
2678,Basketball,1952,184.0,1
2679,Basketball,1952,185.0,9
2680,Basketball,1952,186.0,6
2681,Basketball,1952,187.0,2
2682,Basketball,1952,188.0,9
2683,Basketball,1952,189.0,1
2684,Basketball,1952,190.0,14
2685,Basketball,1952,191.0,5
2686,Basketball,1952,192.0,3
2687,Basketball,1952,193.0,2
2688,Basketball,1952,194.0,2
2689,Basketball,1952,195.0,7
2690,Basketball,1952,196.0,2
2691,Basketball,1952,197.0,1
2692,Basketball,1952,198.0,2
2693,Basketball,1952,203.0,1
2694,Basketball,1952,205.0,1
2695,Basketball,1952,207.0,1
2696,Basketball,1952,211.0,1
2697,Basketball,1952,213.0,1
2698,Basketball,1956,168.0,1
2699,Basketball,1956,170.0,3
2700,Basketball,1956,175.0,7
2701,Basketball,1956,176.0,1
2702,Basketball,1956,178.0,5
2703,Basketball,1956,179.0,1
2704,Basketball,1956,180.0,4
2705,Basketball,1956,181.0,2
2706,Basketball,1956,182.0,2
2707,Basketball,1956,183.0,9
2708,Basketball,1956,185.0,7
2709,Basketball,1956,187.0,4
2710,Basketball,1956,188.0,5
2711,Basketball,1956,190.0,6
2712,Basketball,1956,192.0,4
2713,Basketball,1956,193.0,7
2714,Basketball,1956,195.0,5
2715,Basketball,1956,196.0,2
2716,Basketball,1956,198.0,2
2717,Basketball,1956,201.0,2
2718,Basketball,1956,202.0,1
2719,Basketball,1956,203.0,1
2720,Basketball,1956,206.0,1
2721,Basketball,1956,207.0,2
2722,Basketball,1956,218.0,1
2723,Basketball,1960,168.0,1
2724,Basketball,1960,169.0,1
2725,Basketball,1960,170.0,2
2726,Basketball,1960,175.0,6
2727,Basketball,1960,176.0,5
2728,Basketball,1960,177.0,2
2729,Basketball,1960,178.0,5
2730,Basketball,1960,179.0,4
2731,Basketball,1960,180.0,12
2732,Basketball,1960,181.0,6
2733,Basketball,1960,182.0,6
2734,Basketball,1960,183.0,12
2735,Basketball,1960,184.0,2
2736,Basketball,1960,185.0,9
2737,Basketball,1960,186.0,7
2738,Basketball,1960,187.0,8
2739,Basketball,1960,188.0,7
2740,Basketball,1960,189.0,8
2741,Basketball,1960,190.0,16
2742,Basketball,1960,191.0,11
2743,Basketball,1960,192.0,12
2744,Basketball,1960,193.0,8
2745,Basketball,1960,194.0,3
2746,Basketball,1960,195.0,5
2747,Basketball,1960,196.0,8
2748,Basketball,1960,198.0,4
2749,Basketball,1960,199.0,2
2750,Basketball,1960,200.0,4
2751,Basketball,1960,201.0,2
2752,Basketball,1960,202.0,3
2753,Basketball,1960,203.0,2
2754,Basketball,1960,204.0,2
2755,Basketball,1960,206.0,1
2756,Basketball,1960,207.0,1
2757,Basketball,1960,208.0,1
2758,Basketball,1960,210.0,1
2759,Basketball,1960,211.0,2
2760,Basketball,1960,218.0,1
2761,Basketball,1964,168.0,1
2762,Basketball,1964,170.0,3
2763,Basketball,1964,175.0,4
2764,Basketball,1964,176.0,3
2765,Basketball,1964,177.0,2
2766,Basketball,1964,178.0,7
2767,Basketball,1964,179.0,2
2768,Basketball,1964,180.0,7
2769,Basketball,1964,181.0,2
2770,Basketball,1964,182.0,7
2771,Basketball,1964,183.0,6
2772,Basketball,1964,184.0,3
