lindex,Sport,Year,Height,count
3631,Biathlon,1960,172.0,4
3632,Biathlon,1960,174.0,1
3633,Biathlon,1960,175.0,1
3634,Biathlon,1960,180.0,2
3635,Biathlon,1960,182.0,1
3636,Biathlon,1960,183.0,1
3637,Biathlon,1964,164.0,2
3638,Biathlon,1964,167.0,1
3639,Biathlon,1964,168.0,2
3640,Biathlon,1964,170.0,3
3641,Biathlon,1964,171.0,3
3642,Biathlon,1964,172.0,8
3643,Biathlon,1964,173.0,4
3644,Biathlon,1964,174.0,3
3645,Biathlon,1964,175.0,1
3646,Biathlon,1964,176.0,4
3647,Biathlon,1964,177.0,2
3648,Biathlon,1964,178.0,2
3649,Biathlon,1964,179.0,1
3650,Biathlon,1964,180.0,2
3651,Biathlon,1964,181.0,1
3652,Biathlon,1964,182.0,1
3653,Biathlon,1964,183.0,3
3654,Biathlon,1964,185.0,1
3655,Biathlon,1968,164.0,3
3656,Biathlon,1968,165.0,4
3657,Biathlon,1968,166.0,4
3658,Biathlon,1968,167.0,2
3659,Biathlon,1968,168.0,3
3660,Biathlon,1968,170.0,3
3661,Biathlon,1968,171.0,1
3662,Biathlon,1968,172.0,13
3663,Biathlon,1968,173.0,9
3664,Biathlon,1968,174.0,6
3665,Biathlon,1968,175.0,2
3666,Biathlon,1968,176.0,6
3667,Biathlon,1968,177.0,6
3668,Biathlon,1968,178.0,10
3669,Biathlon,1968,179.0,4
3670,Biathlon,1968,180.0,12
3671,Biathlon,1968,181.0,4
3672,Biathlon,1968,182.0,3
3673,Biathlon,1968,183.0,5
3674,Biathlon,1968,184.0,2
3675,Biathlon,1968,185.0,4
3676,Biathlon,1968,188.0,2
3677,Biathlon,1968,189.0,2
3678,Biathlon,1968,191.0,2
3679,Biathlon,1972,162.0,2
3680,Biathlon,1972,164.0,4
3681,Biathlon,1972,165.0,4
3682,Biathlon,1972,166.0,2
3683,Biathlon,1972,168.0,2
3684,Biathlon,1972,170.0,6
3685,Biathlon,1972,172.0,9
3686,Biathlon,1972,173.0,10
3687,Biathlon,1972,174.0,5
