lindex,Sport,Year,Height,count
4469,Boxing,1904,160.0,1
4470,Boxing,1904,188.0,1
4471,Boxing,1908,162.0,1
4472,Boxing,1908,165.0,1
4473,Boxing,1908,168.0,1
4474,Boxing,1908,178.0,1
4475,Boxing,1908,180.0,1
4476,Boxing,1920,156.0,1
4477,Boxing,1920,158.0,1
4478,Boxing,1920,165.0,1
4479,Boxing,1920,166.0,1
4480,Boxing,1920,167.0,1
4481,Boxing,1920,168.0,2
4482,Boxing,1920,170.0,2
4483,Boxing,1920,175.0,2
4484,Boxing,1920,178.0,1
4485,Boxing,1920,179.0,1
4486,Boxing,1920,180.0,1
4487,Boxing,1920,185.0,1
4488,Boxing,1924,154.0,1
4489,Boxing,1924,160.0,1
4490,Boxing,1924,168.0,1
4491,Boxing,1924,170.0,2
4492,Boxing,1924,171.0,1
4493,Boxing,1924,172.0,1
4494,Boxing,1924,174.0,1
4495,Boxing,1924,175.0,2
4496,Boxing,1924,178.0,3
4497,Boxing,1924,179.0,1
4498,Boxing,1924,180.0,2
4499,Boxing,1924,181.0,2
4500,Boxing,1924,182.0,1
4501,Boxing,1924,183.0,1
4502,Boxing,1924,185.0,2
4503,Boxing,1924,190.0,1
4504,Boxing,1924,193.0,2
4505,Boxing,1928,160.0,3
4506,Boxing,1928,163.0,1
4507,Boxing,1928,165.0,2
4508,Boxing,1928,168.0,1
4509,Boxing,1928,170.0,2
4510,Boxing,1928,172.0,1
4511,Boxing,1928,173.0,2
4512,Boxing,1928,175.0,2
4513,Boxing,1928,176.0,1
4514,Boxing,1928,178.0,1
4515,Boxing,1928,184.0,1
4516,Boxing,1928,185.0,2
4517,Boxing,1932,153.0,1
4518,Boxing,1932,155.0,2
4519,Boxing,1932,157.0,2
4520,Boxing,1932,160.0,2
4521,Boxing,1932,163.0,1
4522,Boxing,1932,164.0,1
4523,Boxing,1932,165.0,3
4524,Boxing,1932,167.0,1
4525,Boxing,1932,168.0,4
4526,Boxing,1932,169.0,1
4527,Boxing,1932,170.0,8
4528,Boxing,1932,173.0,5
4529,Boxing,1932,175.0,2
4530,Boxing,1932,178.0,1
4531,Boxing,1932,179.0,1
4532,Boxing,1932,180.0,1
4533,Boxing,1932,183.0,2
4534,Boxing,1932,185.0,1
4535,Boxing,1932,187.0,1
4536,Boxing,1932,190.0,1
4537,Boxing,1932,196.0,1
4538,Boxing,1936,155.0,1
4539,Boxing,1936,161.0,1
4540,Boxing,1936,163.0,2
4541,Boxing,1936,165.0,2
4542,Boxing,1936,168.0,3
4543,Boxing,1936,170.0,1
4544,Boxing,1936,171.0,1
4545,Boxing,1936,173.0,2
4546,Boxing,1936,175.0,1
4547,Boxing,1936,177.0,1
4548,Boxing,1936,180.0,2
4549,Boxing,1936,182.0,1
4550,Boxing,1936,185.0,1
4551,Boxing,1936,189.0,1
4552,Boxing,1936,190.0,1
4553,Boxing,1948,155.0,1
4554,Boxing,1948,165.0,1
4555,Boxing,1948,166.0,1
4556,Boxing,1948,168.0,2
4557,Boxing,1948,169.0,1
4558,Boxing,1948,170.0,1
4559,Boxing,1948,172.0,1
4560,Boxing,1948,174.0,1
4561,Boxing,1948,176.0,1
4562,Boxing,1948,178.0,1
4563,Boxing,1948,181.0,1
4564,Boxing,1948,183.0,1
4565,Boxing,1948,188.0,1
4566,Boxing,1952,150.0,1
4567,Boxing,1952,155.0,1
4568,Boxing,1952,157.0,1
4569,Boxing,1952,161.0,1
4570,Boxing,1952,163.0,1
4571,Boxing,1952,165.0,1
4572,Boxing,1952,168.0,1
4573,Boxing,1952,170.0,1
4574,Boxing,1952,171.0,1
4575,Boxing,1952,172.0,1
4576,Boxing,1952,173.0,1
4577,Boxing,1952,176.0,2
4578,Boxing,1952,177.0,1
4579,Boxing,1952,178.0,1
4580,Boxing,1952,180.0,4
4581,Boxing,1952,181.0,1
4582,Boxing,1952,183.0,2
4583,Boxing,1952,184.0,1
4584,Boxing,1952,185.0,1
4585,Boxing,1952,190.0,2
4586,Boxing,1956,150.0,1
4587,Boxing,1956,155.0,1
4588,Boxing,1956,157.0,1
4589,Boxing,1956,160.0,1
4590,Boxing,1956,162.0,1
4591,Boxing,1956,163.0,1
4592,Boxing,1956,164.0,1
4593,Boxing,1956,165.0,2
4594,Boxing,1956,167.0,2
4595,Boxing,1956,168.0,4
4596,Boxing,1956,170.0,1
4597,Boxing,1956,171.0,1
4598,Boxing,1956,172.0,1
4599,Boxing,1956,175.0,2
4600,Boxing,1956,176.0,1
4601,Boxing,1956,178.0,1
4602,Boxing,1956,179.0,1
4603,Boxing,1956,180.0,3
4604,Boxing,1956,181.0,2
4605,Boxing,1956,183.0,2
4606,Boxing,1956,185.0,3
4607,Boxing,1956,186.0,1
4608,Boxing,1956,187.0,1
4609,Boxing,1956,190.0,1
4610,Boxing,1956,208.0,1
4611,Boxing,1960,150.0,2
4612,Boxing,1960,151.0,1
4613,Boxing,1960,154.0,2
4614,Boxing,1960,155.0,3
4615,Boxing,1960,156.0,3
4616,Boxing,1960,157.0,3
4617,Boxing,1960,158.0,2
4618,Boxing,1960,159.0,3
4619,Boxing,1960,160.0,11
4620,Boxing,1960,161.0,7
4621,Boxing,1960,162.0,7
4622,Boxing,1960,163.0,8
4623,Boxing,1960,164.0,4
4624,Boxing,1960,165.0,17
4625,Boxing,1960,166.0,6
4626,Boxing,1960,167.0,9
4627,Boxing,1960,168.0,12
4628,Boxing,1960,169.0,10
4629,Boxing,1960,170.0,23
4630,Boxing,1960,171.0,12
4631,Boxing,1960,172.0,12
4632,Boxing,1960,173.0,11
4633,Boxing,1960,174.0,11
4634,Boxing,1960,175.0,13
4635,Boxing,1960,176.0,6
4636,Boxing,1960,177.0,8
4637,Boxing,1960,178.0,6
4638,Boxing,1960,179.0,5
4639,Boxing,1960,180.0,11
4640,Boxing,1960,181.0,8
4641,Boxing,1960,182.0,5
4642,Boxing,1960,183.0,4
4643,Boxing,1960,184.0,3
4644,Boxing,1960,185.0,5
4645,Boxing,1960,186.0,4
4646,Boxing,1960,187.0,2
4647,Boxing,1960,188.0,2
4648,Boxing,1960,189.0,1
4649,Boxing,1960,190.0,2
4650,Boxing,1960,191.0,1
4651,Boxing,1960,192.0,1
4652,Boxing,1960,193.0,1
4653,Boxing,1964,150.0,1
4654,Boxing,1964,152.0,1
4655,Boxing,1964,154.0,1
4656,Boxing,1964,155.0,1
4657,Boxing,1964,156.0,1
4658,Boxing,1964,157.0,3
4659,Boxing,1964,158.0,3
4660,Boxing,1964,159.0,1
