lindex,Sport,Year,Height,count
5905,Cross Country Skiing,1924,169.0,2
5906,Cross Country Skiing,1924,170.0,1
5907,Cross Country Skiing,1924,171.0,2
5908,Cross Country Skiing,1924,172.0,4
5909,Cross Country Skiing,1924,174.0,1
5910,Cross Country Skiing,1924,175.0,1
5911,Cross Country Skiing,1924,176.0,1
5912,Cross Country Skiing,1924,178.0,1
5913,Cross Country Skiing,1924,179.0,1
5914,Cross Country Skiing,1924,180.0,2
5915,Cross Country Skiing,1928,162.0,1
5916,Cross Country Skiing,1928,164.0,1
5917,Cross Country Skiing,1928,165.0,3
5918,Cross Country Skiing,1928,168.0,4
5919,Cross Country Skiing,1928,169.0,2
5920,Cross Country Skiing,1928,170.0,3
5921,Cross Country Skiing,1928,172.0,1
5922,Cross Country Skiing,1928,173.0,4
5923,Cross Country Skiing,1928,175.0,2
5924,Cross Country Skiing,1928,176.0,1
5925,Cross Country Skiing,1928,177.0,1
5926,Cross Country Skiing,1928,179.0,1
5927,Cross Country Skiing,1928,180.0,1
5928,Cross Country Skiing,1928,185.0,1
5929,Cross Country Skiing,1932,160.0,3
5930,Cross Country Skiing,1932,163.0,1
5931,Cross Country Skiing,1932,164.0,1
5932,Cross Country Skiing,1932,165.0,4
5933,Cross Country Skiing,1932,166.0,1
5934,Cross Country Skiing,1932,167.0,2
5935,Cross Country Skiing,1932,168.0,5
5936,Cross Country Skiing,1932,169.0,1
5937,Cross Country Skiing,1932,170.0,7
5938,Cross Country Skiing,1932,172.0,2
5939,Cross Country Skiing,1932,173.0,8
5940,Cross Country Skiing,1932,175.0,4
5941,Cross Country Skiing,1932,178.0,6
5942,Cross Country Skiing,1932,179.0,2
5943,Cross Country Skiing,1932,180.0,6
5944,Cross Country Skiing,1932,183.0,3
5945,Cross Country Skiing,1932,185.0,2
5946,Cross Country Skiing,1936,163.0,2
5947,Cross Country Skiing,1936,164.0,2
5948,Cross Country Skiing,1936,165.0,3
5949,Cross Country Skiing,1936,167.0,3
5950,Cross Country Skiing,1936,168.0,3
5951,Cross Country Skiing,1936,170.0,8
5952,Cross Country Skiing,1936,171.0,3
5953,Cross Country Skiing,1936,173.0,8
5954,Cross Country Skiing,1936,174.0,2
5955,Cross Country Skiing,1936,175.0,3
5956,Cross Country Skiing,1936,176.0,2
5957,Cross Country Skiing,1936,178.0,1
5958,Cross Country Skiing,1936,180.0,1
5959,Cross Country Skiing,1936,185.0,1
5960,Cross Country Skiing,1936,189.0,2
5961,Cross Country Skiing,1948,164.0,2
5962,Cross Country Skiing,1948,167.0,2
5963,Cross Country Skiing,1948,172.0,6
5964,Cross Country Skiing,1948,174.0,1
5965,Cross Country Skiing,1948,175.0,4
5966,Cross Country Skiing,1948,176.0,5
5967,Cross Country Skiing,1948,180.0,1
5968,Cross Country Skiing,1948,184.0,2
5969,Cross Country Skiing,1952,157.0,2
5970,Cross Country Skiing,1952,162.0,1
