lindex,Sport,Year,Height,count
9230,Figure Skating,1920,165.0,1
9231,Figure Skating,1920,174.0,1
9232,Figure Skating,1924,155.0,1
9233,Figure Skating,1924,165.0,3
9234,Figure Skating,1924,168.0,2
9235,Figure Skating,1924,174.0,2
9236,Figure Skating,1924,183.0,2
9237,Figure Skating,1928,155.0,1
9238,Figure Skating,1928,157.0,1
9239,Figure Skating,1928,164.0,2
9240,Figure Skating,1928,165.0,4
9241,Figure Skating,1928,168.0,2
9242,Figure Skating,1928,174.0,1
9243,Figure Skating,1928,180.0,1
9244,Figure Skating,1928,182.0,1
9245,Figure Skating,1928,183.0,2
9246,Figure Skating,1932,152.0,1
9247,Figure Skating,1932,155.0,1
9248,Figure Skating,1932,157.0,2
9249,Figure Skating,1932,160.0,1
9250,Figure Skating,1932,165.0,3
9251,Figure Skating,1932,168.0,2
9252,Figure Skating,1932,180.0,1
9253,Figure Skating,1932,182.0,2
9254,Figure Skating,1936,152.0,1
9255,Figure Skating,1936,155.0,1
9256,Figure Skating,1936,160.0,1
9257,Figure Skating,1936,165.0,1
9258,Figure Skating,1936,166.0,1
9259,Figure Skating,1936,168.0,1
9260,Figure Skating,1936,180.0,1
9261,Figure Skating,1936,182.0,1
9262,Figure Skating,1948,158.0,1
9263,Figure Skating,1948,165.0,1
9264,Figure Skating,1948,167.0,1
9265,Figure Skating,1948,168.0,1
9266,Figure Skating,1948,180.0,1
9267,Figure Skating,1952,158.0,1
9268,Figure Skating,1952,165.0,1
9269,Figure Skating,1952,168.0,1
9270,Figure Skating,1952,179.0,1
9271,Figure Skating,1956,137.0,1
9272,Figure Skating,1956,156.0,1
9273,Figure Skating,1956,157.0,1
9274,Figure Skating,1956,158.0,1
9275,Figure Skating,1956,160.0,1
9276,Figure Skating,1956,168.0,3
9277,Figure Skating,1956,169.0,1
9278,Figure Skating,1956,172.0,1
9279,Figure Skating,1956,177.0,1
9280,Figure Skating,1960,137.0,1
9281,Figure Skating,1960,156.0,3
9282,Figure Skating,1960,157.0,1
9283,Figure Skating,1960,160.0,2
9284,Figure Skating,1960,162.0,1
9285,Figure Skating,1960,164.0,1
9286,Figure Skating,1960,168.0,1
9287,Figure Skating,1960,169.0,1
9288,Figure Skating,1960,171.0,1
9289,Figure Skating,1960,175.0,1
9290,Figure Skating,1960,176.0,2
9291,Figure Skating,1960,177.0,1
9292,Figure Skating,1960,185.0,1
9293,Figure Skating,1964,153.0,1
9294,Figure Skating,1964,154.0,2
9295,Figure Skating,1964,155.0,2
9296,Figure Skating,1964,156.0,3
9297,Figure Skating,1964,157.0,2
9298,Figure Skating,1964,158.0,1
9299,Figure Skating,1964,159.0,2
9300,Figure Skating,1964,160.0,7
9301,Figure Skating,1964,161.0,1
9302,Figure Skating,1964,162.0,4
9303,Figure Skating,1964,163.0,2
9304,Figure Skating,1964,164.0,5
9305,Figure Skating,1964,167.0,2
9306,Figure Skating,1964,168.0,6
9307,Figure Skating,1964,169.0,2
9308,Figure Skating,1964,170.0,3
9309,Figure Skating,1964,173.0,2
9310,Figure Skating,1964,174.0,3
9311,Figure Skating,1964,175.0,5
9312,Figure Skating,1964,176.0,3
9313,Figure Skating,1964,177.0,1
9314,Figure Skating,1964,178.0,2
9315,Figure Skating,1964,180.0,3
9316,Figure Skating,1964,183.0,1
9317,Figure Skating,1964,184.0,1
9318,Figure Skating,1964,185.0,1
9319,Figure Skating,1964,193.0,1
9320,Figure Skating,1968,143.0,1
9321,Figure Skating,1968,148.0,1
9322,Figure Skating,1968,150.0,2
9323,Figure Skating,1968,151.0,1
9324,Figure Skating,1968,152.0,1
9325,Figure Skating,1968,155.0,2
9326,Figure Skating,1968,156.0,2
9327,Figure Skating,1968,157.0,2
9328,Figure Skating,1968,158.0,4
9329,Figure Skating,1968,159.0,2
9330,Figure Skating,1968,160.0,7
9331,Figure Skating,1968,161.0,1
9332,Figure Skating,1968,162.0,3
9333,Figure Skating,1968,163.0,2
9334,Figure Skating,1968,164.0,3
9335,Figure Skating,1968,165.0,5
9336,Figure Skating,1968,166.0,3
9337,Figure Skating,1968,167.0,6
9338,Figure Skating,1968,168.0,5
9339,Figure Skating,1968,169.0,1
9340,Figure Skating,1968,170.0,4
9341,Figure Skating,1968,171.0,2
9342,Figure Skating,1968,172.0,2
9343,Figure Skating,1968,173.0,3
9344,Figure Skating,1968,174.0,4
9345,Figure Skating,1968,175.0,4
9346,Figure Skating,1968,176.0,3
9347,Figure Skating,1968,177.0,1
9348,Figure Skating,1968,178.0,4
9349,Figure Skating,1968,180.0,3
9350,Figure Skating,1968,182.0,2
