lindex,Sport,Year,Height,count
10698,Gymnastics,1896,159.0,7
10699,Gymnastics,1896,167.0,1
10700,Gymnastics,1896,188.0,1
10701,Gymnastics,1900,153.0,1
10702,Gymnastics,1900,163.0,1
10703,Gymnastics,1900,175.0,1
10704,Gymnastics,1900,176.0,1
10705,Gymnastics,1904,160.0,4
10706,Gymnastics,1904,165.0,7
10707,Gymnastics,1904,168.0,11
10708,Gymnastics,1904,170.0,10
10709,Gymnastics,1904,175.0,14
10710,Gymnastics,1904,178.0,4
10711,Gymnastics,1904,180.0,7
10712,Gymnastics,1906,167.0,2
10713,Gymnastics,1906,170.0,1
10714,Gymnastics,1906,173.0,1
10715,Gymnastics,1906,185.0,3
10716,Gymnastics,1908,157.0,1
10717,Gymnastics,1908,167.0,1
10718,Gymnastics,1908,169.0,1
10719,Gymnastics,1908,171.0,1
10720,Gymnastics,1908,172.0,1
10721,Gymnastics,1908,175.0,1
10722,Gymnastics,1908,178.0,1
10723,Gymnastics,1908,185.0,1
10724,Gymnastics,1912,167.0,2
10725,Gymnastics,1912,176.0,1
10726,Gymnastics,1912,178.0,1
10727,Gymnastics,1920,164.0,1
10728,Gymnastics,1920,170.0,2
10729,Gymnastics,1920,175.0,2
10730,Gymnastics,1924,157.0,9
10731,Gymnastics,1924,164.0,9
10732,Gymnastics,1924,165.0,9
10733,Gymnastics,1924,178.0,18
10734,Gymnastics,1928,158.0,4
10735,Gymnastics,1928,162.0,7
10736,Gymnastics,1928,165.0,7
10737,Gymnastics,1928,167.0,7
10738,Gymnastics,1928,168.0,14
10739,Gymnastics,1928,170.0,7
10740,Gymnastics,1928,172.0,7
10741,Gymnastics,1928,178.0,7
10742,Gymnastics,1932,162.0,3
10743,Gymnastics,1932,165.0,5
10744,Gymnastics,1932,167.0,22
10745,Gymnastics,1932,168.0,6
10746,Gymnastics,1932,171.0,3
10747,Gymnastics,1932,172.0,8
10748,Gymnastics,1932,176.0,5
10749,Gymnastics,1936,150.0,2
10750,Gymnastics,1936,152.0,1
10751,Gymnastics,1936,156.0,1
10752,Gymnastics,1936,160.0,1
10753,Gymnastics,1936,162.0,8
10754,Gymnastics,1936,163.0,8
10755,Gymnastics,1936,164.0,1
10756,Gymnastics,1936,167.0,30
10757,Gymnastics,1936,168.0,8
10758,Gymnastics,1936,170.0,8
10759,Gymnastics,1936,172.0,8
10760,Gymnastics,1936,176.0,8
10761,Gymnastics,1948,160.0,1
10762,Gymnastics,1948,163.0,24
10763,Gymnastics,1948,167.0,16
10764,Gymnastics,1948,172.0,8
10765,Gymnastics,1948,174.0,8
10766,Gymnastics,1948,175.0,8
10767,Gymnastics,1948,176.0,8
10768,Gymnastics,1952,152.0,14
10769,Gymnastics,1952,155.0,7
10770,Gymnastics,1952,156.0,21
10771,Gymnastics,1952,157.0,28
10772,Gymnastics,1952,158.0,21
10773,Gymnastics,1952,159.0,15
10774,Gymnastics,1952,160.0,47
10775,Gymnastics,1952,162.0,36
10776,Gymnastics,1952,163.0,52
10777,Gymnastics,1952,164.0,12
10778,Gymnastics,1952,165.0,16
10779,Gymnastics,1952,166.0,15
10780,Gymnastics,1952,167.0,21
10781,Gymnastics,1952,168.0,24
10782,Gymnastics,1952,169.0,8
10783,Gymnastics,1952,170.0,24
10784,Gymnastics,1952,171.0,16
10785,Gymnastics,1952,172.0,16
10786,Gymnastics,1952,173.0,24
10787,Gymnastics,1952,175.0,8
10788,Gymnastics,1952,178.0,16
10789,Gymnastics,1952,179.0,7
10790,Gymnastics,1952,183.0,8
10791,Gymnastics,1956,150.0,7
10792,Gymnastics,1956,151.0,7
10793,Gymnastics,1956,152.0,7
10794,Gymnastics,1956,153.0,5
10795,Gymnastics,1956,154.0,15
10796,Gymnastics,1956,155.0,7
10797,Gymnastics,1956,156.0,21
10798,Gymnastics,1956,157.0,5
10799,Gymnastics,1956,158.0,21
10800,Gymnastics,1956,159.0,7
10801,Gymnastics,1956,160.0,59
10802,Gymnastics,1956,161.0,14
10803,Gymnastics,1956,162.0,40
10804,Gymnastics,1956,163.0,21
10805,Gymnastics,1956,164.0,22
10806,Gymnastics,1956,165.0,8
10807,Gymnastics,1956,166.0,22
10808,Gymnastics,1956,167.0,30
10809,Gymnastics,1956,168.0,7
10810,Gymnastics,1956,169.0,8
10811,Gymnastics,1956,170.0,15
10812,Gymnastics,1956,171.0,23
10813,Gymnastics,1956,172.0,8
10814,Gymnastics,1956,174.0,16
10815,Gymnastics,1956,175.0,8
10816,Gymnastics,1956,176.0,7
10817,Gymnastics,1956,177.0,8
10818,Gymnastics,1956,178.0,8
10819,Gymnastics,1956,183.0,8
10820,Gymnastics,1960,147.0,6
10821,Gymnastics,1960,148.0,6
10822,Gymnastics,1960,150.0,17
10823,Gymnastics,1960,151.0,6
10824,Gymnastics,1960,152.0,30
10825,Gymnastics,1960,153.0,21
10826,Gymnastics,1960,154.0,14
10827,Gymnastics,1960,155.0,36
10828,Gymnastics,1960,156.0,52
10829,Gymnastics,1960,157.0,38
10830,Gymnastics,1960,158.0,93
10831,Gymnastics,1960,159.0,51
10832,Gymnastics,1960,160.0,99
10833,Gymnastics,1960,161.0,62
10834,Gymnastics,1960,162.0,82
10835,Gymnastics,1960,163.0,86
10836,Gymnastics,1960,164.0,89
10837,Gymnastics,1960,165.0,60
10838,Gymnastics,1960,166.0,58
10839,Gymnastics,1960,167.0,68
10840,Gymnastics,1960,168.0,132
10841,Gymnastics,1960,169.0,55
10842,Gymnastics,1960,170.0,85
10843,Gymnastics,1960,171.0,62
10844,Gymnastics,1960,172.0,72
10845,Gymnastics,1960,173.0,48
10846,Gymnastics,1960,174.0,16
10847,Gymnastics,1960,175.0,24
10848,Gymnastics,1960,176.0,15
10849,Gymnastics,1960,177.0,15
10850,Gymnastics,1960,178.0,24
10851,Gymnastics,1960,180.0,24
10852,Gymnastics,1960,183.0,8
10853,Gymnastics,1964,147.0,11
10854,Gymnastics,1964,148.0,6
10855,Gymnastics,1964,149.0,5
10856,Gymnastics,1964,150.0,6
10857,Gymnastics,1964,151.0,17
10858,Gymnastics,1964,152.0,26
10859,Gymnastics,1964,153.0,28
10860,Gymnastics,1964,154.0,17
10861,Gymnastics,1964,155.0,18
10862,Gymnastics,1964,156.0,42
10863,Gymnastics,1964,157.0,34
10864,Gymnastics,1964,158.0,52
10865,Gymnastics,1964,159.0,46
10866,Gymnastics,1964,160.0,107
10867,Gymnastics,1964,161.0,56
10868,Gymnastics,1964,162.0,55
10869,Gymnastics,1964,163.0,56
10870,Gymnastics,1964,164.0,58
10871,Gymnastics,1964,165.0,52
10872,Gymnastics,1964,166.0,58
10873,Gymnastics,1964,167.0,80
10874,Gymnastics,1964,168.0,104
10875,Gymnastics,1964,169.0,56
10876,Gymnastics,1964,170.0,115
10877,Gymnastics,1964,171.0,21
10878,Gymnastics,1964,172.0,107
10879,Gymnastics,1964,173.0,48
10880,Gymnastics,1964,174.0,40
10881,Gymnastics,1964,175.0,30
10882,Gymnastics,1964,176.0,23
10883,Gymnastics,1964,177.0,24
10884,Gymnastics,1964,178.0,8
10885,Gymnastics,1964,180.0,8
10886,Gymnastics,1964,182.0,7
10887,Gymnastics,1964,183.0,8
10888,Gymnastics,1968,127.0,6
10889,Gymnastics,1968,144.0,5
10890,Gymnastics,1968,146.0,12
10891,Gymnastics,1968,148.0,17
10892,Gymnastics,1968,149.0,12
10893,Gymnastics,1968,150.0,14
10894,Gymnastics,1968,151.0,11
10895,Gymnastics,1968,152.0,10
10896,Gymnastics,1968,153.0,29
10897,Gymnastics,1968,154.0,37
10898,Gymnastics,1968,155.0,12
10899,Gymnastics,1968,156.0,29
10900,Gymnastics,1968,157.0,10
10901,Gymnastics,1968,158.0,57
10902,Gymnastics,1968,159.0,31
10903,Gymnastics,1968,160.0,52
10904,Gymnastics,1968,161.0,83
10905,Gymnastics,1968,162.0,49
10906,Gymnastics,1968,163.0,85
10907,Gymnastics,1968,164.0,94
10908,Gymnastics,1968,165.0,68
10909,Gymnastics,1968,166.0,126
10910,Gymnastics,1968,167.0,45
10911,Gymnastics,1968,168.0,105
10912,Gymnastics,1968,169.0,95
10913,Gymnastics,1968,170.0,147
10914,Gymnastics,1968,171.0,52
10915,Gymnastics,1968,172.0,55
10916,Gymnastics,1968,173.0,39
10917,Gymnastics,1968,174.0,24
10918,Gymnastics,1968,175.0,23
10919,Gymnastics,1968,176.0,31
10920,Gymnastics,1968,178.0,8
10921,Gymnastics,1968,180.0,8
10922,Gymnastics,1968,183.0,8
10923,Gymnastics,1968,185.0,7
10924,Gymnastics,1972,147.0,6
10925,Gymnastics,1972,149.0,6
10926,Gymnastics,1972,150.0,17
10927,Gymnastics,1972,151.0,18
10928,Gymnastics,1972,152.0,12
10929,Gymnastics,1972,153.0,6
10930,Gymnastics,1972,154.0,32
10931,Gymnastics,1972,155.0,32
10932,Gymnastics,1972,156.0,58
10933,Gymnastics,1972,157.0,74
10934,Gymnastics,1972,158.0,80
10935,Gymnastics,1972,159.0,30
10936,Gymnastics,1972,160.0,85
10937,Gymnastics,1972,161.0,43
10938,Gymnastics,1972,162.0,80
10939,Gymnastics,1972,163.0,72
10940,Gymnastics,1972,164.0,48
10941,Gymnastics,1972,165.0,72
10942,Gymnastics,1972,166.0,98
10943,Gymnastics,1972,167.0,97
10944,Gymnastics,1972,168.0,78
10945,Gymnastics,1972,169.0,85
10946,Gymnastics,1972,170.0,124
10947,Gymnastics,1972,171.0,31
10948,Gymnastics,1972,172.0,61
10949,Gymnastics,1972,173.0,70
10950,Gymnastics,1972,174.0,24
10951,Gymnastics,1972,175.0,16
10952,Gymnastics,1972,176.0,38
10953,Gymnastics,1972,178.0,15
10954,Gymnastics,1972,180.0,8
10955,Gymnastics,1972,183.0,8
10956,Gymnastics,1976,136.0,6
10957,Gymnastics,1976,142.0,6
10958,Gymnastics,1976,150.0,24
10959,Gymnastics,1976,152.0,35
10960,Gymnastics,1976,153.0,11
10961,Gymnastics,1976,154.0,35
10962,Gymnastics,1976,155.0,12
10963,Gymnastics,1976,156.0,29
10964,Gymnastics,1976,157.0,49
10965,Gymnastics,1976,158.0,36
10966,Gymnastics,1976,159.0,41
10967,Gymnastics,1976,160.0,67
10968,Gymnastics,1976,161.0,44
10969,Gymnastics,1976,162.0,69
10970,Gymnastics,1976,163.0,62
10971,Gymnastics,1976,164.0,69
10972,Gymnastics,1976,165.0,90
10973,Gymnastics,1976,166.0,55
10974,Gymnastics,1976,167.0,51
10975,Gymnastics,1976,168.0,58
10976,Gymnastics,1976,169.0,70
10977,Gymnastics,1976,170.0,84
10978,Gymnastics,1976,171.0,40
10979,Gymnastics,1976,172.0,24
10980,Gymnastics,1976,173.0,22
