lindex,Sport,Year,Height,count
11878,Hockey,1908,193.0,1
11879,Hockey,1928,169.0,1
11880,Hockey,1928,172.0,1
11881,Hockey,1928,180.0,1
11882,Hockey,1928,184.0,1
11883,Hockey,1932,169.0,1
11884,Hockey,1932,170.0,2
11885,Hockey,1932,172.0,1
11886,Hockey,1932,173.0,4
11887,Hockey,1932,178.0,2
11888,Hockey,1932,180.0,2
11889,Hockey,1932,182.0,1
11890,Hockey,1932,184.0,1
11891,Hockey,1936,169.0,1
11892,Hockey,1936,170.0,1
11893,Hockey,1936,172.0,1
11894,Hockey,1936,173.0,1
11895,Hockey,1936,177.0,1
11896,Hockey,1936,178.0,1
11897,Hockey,1936,182.0,1
11898,Hockey,1948,162.0,1
11899,Hockey,1948,170.0,2
11900,Hockey,1948,173.0,1
11901,Hockey,1948,175.0,2
11902,Hockey,1948,176.0,1
11903,Hockey,1948,178.0,1
11904,Hockey,1948,181.0,1
11905,Hockey,1948,182.0,1
11906,Hockey,1948,183.0,1
11907,Hockey,1948,184.0,1
11908,Hockey,1948,185.0,1
11909,Hockey,1952,162.0,1
11910,Hockey,1952,166.0,1
11911,Hockey,1952,168.0,2
11912,Hockey,1952,170.0,2
11913,Hockey,1952,171.0,1
11914,Hockey,1952,172.0,3
11915,Hockey,1952,173.0,3
11916,Hockey,1952,174.0,2
11917,Hockey,1952,175.0,1
11918,Hockey,1952,176.0,3
11919,Hockey,1952,177.0,1
11920,Hockey,1952,178.0,1
11921,Hockey,1952,179.0,1
11922,Hockey,1952,180.0,3
11923,Hockey,1952,181.0,1
11924,Hockey,1952,182.0,2
11925,Hockey,1952,183.0,1
11926,Hockey,1952,187.0,1
11927,Hockey,1952,191.0,1
11928,Hockey,1952,195.0,1
11929,Hockey,1956,156.0,1
11930,Hockey,1956,162.0,1
11931,Hockey,1956,165.0,1
11932,Hockey,1956,167.0,2
11933,Hockey,1956,168.0,3
11934,Hockey,1956,170.0,3
11935,Hockey,1956,171.0,1
11936,Hockey,1956,172.0,1
11937,Hockey,1956,173.0,5
11938,Hockey,1956,174.0,1
11939,Hockey,1956,175.0,10
11940,Hockey,1956,176.0,1
11941,Hockey,1956,177.0,1
11942,Hockey,1956,178.0,3
11943,Hockey,1956,179.0,3
11944,Hockey,1956,180.0,6
11945,Hockey,1956,181.0,4
11946,Hockey,1956,182.0,2
11947,Hockey,1956,183.0,6
11948,Hockey,1956,184.0,1
11949,Hockey,1956,185.0,1
11950,Hockey,1956,187.0,1
11951,Hockey,1956,189.0,1
11952,Hockey,1956,197.0,1
11953,Hockey,1960,156.0,3
