lindex,Sport,Year,Height,count
13117,Judo,1964,160.0,1
13118,Judo,1964,163.0,2
13119,Judo,1964,164.0,2
13120,Judo,1964,165.0,3
13121,Judo,1964,166.0,3
13122,Judo,1964,167.0,2
13123,Judo,1964,168.0,2
13124,Judo,1964,169.0,3
13125,Judo,1964,170.0,3
13126,Judo,1964,171.0,1
13127,Judo,1964,172.0,5
13128,Judo,1964,173.0,6
13129,Judo,1964,174.0,2
13130,Judo,1964,175.0,6
13131,Judo,1964,177.0,4
13132,Judo,1964,178.0,2
13133,Judo,1964,179.0,4
13134,Judo,1964,180.0,4
13135,Judo,1964,181.0,2
13136,Judo,1964,182.0,2
13137,Judo,1964,183.0,4
13138,Judo,1964,184.0,1
13139,Judo,1964,186.0,1
13140,Judo,1964,187.0,2
13141,Judo,1964,189.0,1
13142,Judo,1964,190.0,1
13143,Judo,1964,196.0,1
13144,Judo,1972,155.0,1
13145,Judo,1972,160.0,2
13146,Judo,1972,162.0,1
13147,Judo,1972,163.0,2
13148,Judo,1972,164.0,2
13149,Judo,1972,165.0,3
13150,Judo,1972,166.0,3
13151,Judo,1972,167.0,4
13152,Judo,1972,168.0,4
13153,Judo,1972,169.0,7
13154,Judo,1972,170.0,15
13155,Judo,1972,171.0,2
13156,Judo,1972,172.0,7
13157,Judo,1972,173.0,6
13158,Judo,1972,174.0,8
13159,Judo,1972,175.0,5
13160,Judo,1972,176.0,5
13161,Judo,1972,177.0,4
13162,Judo,1972,178.0,6
13163,Judo,1972,179.0,2
13164,Judo,1972,180.0,15
13165,Judo,1972,181.0,6
13166,Judo,1972,182.0,6
13167,Judo,1972,183.0,10
13168,Judo,1972,184.0,2
13169,Judo,1972,185.0,8
13170,Judo,1972,186.0,4
13171,Judo,1972,187.0,2
13172,Judo,1972,188.0,1
13173,Judo,1972,189.0,2
13174,Judo,1972,190.0,4
13175,Judo,1972,192.0,1
13176,Judo,1972,193.0,4
13177,Judo,1972,195.0,2
13178,Judo,1976,157.0,1
13179,Judo,1976,160.0,3
13180,Judo,1976,162.0,1
13181,Judo,1976,163.0,2
13182,Judo,1976,164.0,1
13183,Judo,1976,165.0,2
13184,Judo,1976,166.0,1
13185,Judo,1976,167.0,5
13186,Judo,1976,168.0,6
13187,Judo,1976,169.0,3
13188,Judo,1976,170.0,9
13189,Judo,1976,171.0,5
13190,Judo,1976,172.0,6
13191,Judo,1976,173.0,5
13192,Judo,1976,174.0,7
13193,Judo,1976,175.0,4
13194,Judo,1976,176.0,3
13195,Judo,1976,177.0,3
13196,Judo,1976,178.0,9
13197,Judo,1976,179.0,3
13198,Judo,1976,180.0,10
13199,Judo,1976,181.0,3
13200,Judo,1976,182.0,4
13201,Judo,1976,183.0,14
13202,Judo,1976,184.0,4
13203,Judo,1976,185.0,6
13204,Judo,1976,186.0,3
13205,Judo,1976,187.0,4
13206,Judo,1976,188.0,5
13207,Judo,1976,189.0,2
13208,Judo,1976,190.0,4
13209,Judo,1976,191.0,1
13210,Judo,1976,192.0,3
13211,Judo,1976,193.0,5
13212,Judo,1976,213.0,2
13213,Judo,1980,155.0,1
13214,Judo,1980,157.0,1
13215,Judo,1980,159.0,1
13216,Judo,1980,160.0,1
13217,Judo,1980,161.0,2
13218,Judo,1980,162.0,1
13219,Judo,1980,163.0,1
13220,Judo,1980,164.0,3
13221,Judo,1980,165.0,5
13222,Judo,1980,166.0,2
13223,Judo,1980,167.0,10
13224,Judo,1980,168.0,6
13225,Judo,1980,169.0,3
13226,Judo,1980,170.0,12
13227,Judo,1980,171.0,4
13228,Judo,1980,172.0,8
13229,Judo,1980,173.0,8
13230,Judo,1980,174.0,6
13231,Judo,1980,175.0,5
13232,Judo,1980,176.0,5
13233,Judo,1980,177.0,4
13234,Judo,1980,178.0,11
13235,Judo,1980,179.0,2
13236,Judo,1980,180.0,12
13237,Judo,1980,182.0,5
13238,Judo,1980,183.0,9
13239,Judo,1980,184.0,7
13240,Judo,1980,185.0,5
13241,Judo,1980,186.0,6
13242,Judo,1980,187.0,8
13243,Judo,1980,188.0,4
13244,Judo,1980,189.0,1
13245,Judo,1980,190.0,2
13246,Judo,1980,191.0,4
13247,Judo,1980,192.0,4
13248,Judo,1980,193.0,1
13249,Judo,1980,196.0,1
13250,Judo,1980,197.0,1
13251,Judo,1980,205.0,2
13252,Judo,1980,213.0,2
13253,Judo,1984,157.0,2
13254,Judo,1984,160.0,4
13255,Judo,1984,162.0,2
13256,Judo,1984,163.0,1
13257,Judo,1984,164.0,5
13258,Judo,1984,165.0,7
13259,Judo,1984,166.0,4
13260,Judo,1984,167.0,7
13261,Judo,1984,168.0,8
13262,Judo,1984,169.0,2
13263,Judo,1984,170.0,14
13264,Judo,1984,171.0,2
13265,Judo,1984,172.0,5
13266,Judo,1984,173.0,8
13267,Judo,1984,174.0,5
13268,Judo,1984,175.0,18
13269,Judo,1984,176.0,5
13270,Judo,1984,177.0,1
