lindex,Sport,Year,Height,count
13684,Luge,1964,157.0,1
13685,Luge,1964,159.0,1
13686,Luge,1964,160.0,2
13687,Luge,1964,162.0,2
13688,Luge,1964,163.0,1
13689,Luge,1964,164.0,2
13690,Luge,1964,166.0,1
13691,Luge,1964,168.0,3
13692,Luge,1964,169.0,2
13693,Luge,1964,170.0,3
13694,Luge,1964,171.0,5
13695,Luge,1964,172.0,3
13696,Luge,1964,174.0,9
13697,Luge,1964,175.0,8
13698,Luge,1964,176.0,6
13699,Luge,1964,177.0,1
13700,Luge,1964,178.0,4
13701,Luge,1964,180.0,5
13702,Luge,1964,181.0,2
13703,Luge,1964,182.0,2
13704,Luge,1964,183.0,4
13705,Luge,1964,184.0,1
13706,Luge,1964,185.0,3
13707,Luge,1964,186.0,1
13708,Luge,1964,187.0,1
13709,Luge,1968,160.0,2
13710,Luge,1968,161.0,1
13711,Luge,1968,162.0,1
13712,Luge,1968,163.0,3
13713,Luge,1968,164.0,3
13714,Luge,1968,165.0,5
13715,Luge,1968,166.0,1
13716,Luge,1968,167.0,2
13717,Luge,1968,168.0,6
13718,Luge,1968,169.0,2
13719,Luge,1968,170.0,3
13720,Luge,1968,171.0,3
13721,Luge,1968,172.0,5
13722,Luge,1968,173.0,6
13723,Luge,1968,174.0,7
13724,Luge,1968,175.0,9
13725,Luge,1968,176.0,9
13726,Luge,1968,177.0,2
13727,Luge,1968,178.0,3
13728,Luge,1968,179.0,3
13729,Luge,1968,180.0,8
13730,Luge,1968,181.0,2
13731,Luge,1968,182.0,3
13732,Luge,1968,183.0,3
13733,Luge,1968,184.0,3
13734,Luge,1968,186.0,4
13735,Luge,1968,187.0,1
13736,Luge,1968,193.0,1
13737,Luge,1972,155.0,1
13738,Luge,1972,158.0,1
13739,Luge,1972,160.0,2
13740,Luge,1972,163.0,1
13741,Luge,1972,164.0,2
13742,Luge,1972,165.0,3
13743,Luge,1972,166.0,1
13744,Luge,1972,167.0,5
13745,Luge,1972,168.0,9
13746,Luge,1972,169.0,1
13747,Luge,1972,170.0,7
13748,Luge,1972,171.0,3
13749,Luge,1972,172.0,2
13750,Luge,1972,173.0,6
13751,Luge,1972,174.0,3
13752,Luge,1972,175.0,6
13753,Luge,1972,176.0,4
13754,Luge,1972,177.0,2
13755,Luge,1972,178.0,15
13756,Luge,1972,180.0,8
13757,Luge,1972,181.0,4
13758,Luge,1972,182.0,4
13759,Luge,1972,183.0,11
13760,Luge,1972,184.0,2
13761,Luge,1972,190.0,1
13762,Luge,1972,198.0,2
13763,Luge,1976,157.0,1
13764,Luge,1976,158.0,1
13765,Luge,1976,163.0,1
13766,Luge,1976,164.0,4
13767,Luge,1976,165.0,3
13768,Luge,1976,166.0,1
13769,Luge,1976,167.0,1
13770,Luge,1976,168.0,5
13771,Luge,1976,169.0,1
13772,Luge,1976,170.0,5
13773,Luge,1976,171.0,2
13774,Luge,1976,172.0,3
13775,Luge,1976,173.0,9
13776,Luge,1976,174.0,3
13777,Luge,1976,175.0,8
13778,Luge,1976,176.0,5
13779,Luge,1976,177.0,1
13780,Luge,1976,178.0,13
13781,Luge,1976,179.0,3
13782,Luge,1976,180.0,6
13783,Luge,1976,181.0,5
