lindex,Sport,Year,Height,count
14456,Nordic Combined,1924,170.0,1
14457,Nordic Combined,1924,172.0,1
14458,Nordic Combined,1924,176.0,1
14459,Nordic Combined,1924,178.0,1
14460,Nordic Combined,1924,179.0,1
14461,Nordic Combined,1924,180.0,1
14462,Nordic Combined,1928,169.0,1
14463,Nordic Combined,1928,173.0,1
14464,Nordic Combined,1928,175.0,1
14465,Nordic Combined,1928,179.0,1
14466,Nordic Combined,1928,180.0,1
14467,Nordic Combined,1928,183.0,2
14468,Nordic Combined,1928,185.0,1
14469,Nordic Combined,1932,160.0,2
14470,Nordic Combined,1932,164.0,1
14471,Nordic Combined,1932,165.0,3
14472,Nordic Combined,1932,167.0,1
14473,Nordic Combined,1932,168.0,1
14474,Nordic Combined,1932,170.0,2
14475,Nordic Combined,1932,173.0,3
14476,Nordic Combined,1932,175.0,4
14477,Nordic Combined,1932,178.0,1
14478,Nordic Combined,1932,180.0,3
14479,Nordic Combined,1932,183.0,3
14480,Nordic Combined,1932,185.0,1
14481,Nordic Combined,1936,168.0,2
14482,Nordic Combined,1936,170.0,2
14483,Nordic Combined,1936,171.0,1
14484,Nordic Combined,1936,173.0,2
14485,Nordic Combined,1936,174.0,1
14486,Nordic Combined,1936,175.0,1
14487,Nordic Combined,1936,180.0,1
14488,Nordic Combined,1948,167.0,1
14489,Nordic Combined,1948,172.0,1
14490,Nordic Combined,1948,175.0,3
14491,Nordic Combined,1948,176.0,1
14492,Nordic Combined,1952,170.0,1
14493,Nordic Combined,1952,171.0,1
14494,Nordic Combined,1952,172.0,1
14495,Nordic Combined,1952,176.0,1
14496,Nordic Combined,1952,180.0,1
14497,Nordic Combined,1952,183.0,1
14498,Nordic Combined,1956,167.0,1
14499,Nordic Combined,1956,169.0,1
14500,Nordic Combined,1956,170.0,2
14501,Nordic Combined,1956,171.0,1
14502,Nordic Combined,1956,172.0,2
14503,Nordic Combined,1956,173.0,1
14504,Nordic Combined,1956,174.0,2
14505,Nordic Combined,1956,183.0,1
14506,Nordic Combined,1960,162.0,2
14507,Nordic Combined,1960,164.0,1
14508,Nordic Combined,1960,165.0,1
14509,Nordic Combined,1960,167.0,1
14510,Nordic Combined,1960,170.0,1
14511,Nordic Combined,1960,171.0,2
14512,Nordic Combined,1960,172.0,2
14513,Nordic Combined,1960,174.0,1
14514,Nordic Combined,1960,175.0,1
14515,Nordic Combined,1960,179.0,1
14516,Nordic Combined,1960,180.0,1
14517,Nordic Combined,1960,182.0,1
14518,Nordic Combined,1960,183.0,1
14519,Nordic Combined,1964,160.0,1
14520,Nordic Combined,1964,164.0,1
14521,Nordic Combined,1964,166.0,1
14522,Nordic Combined,1964,167.0,2
14523,Nordic Combined,1964,169.0,1
14524,Nordic Combined,1964,170.0,5
14525,Nordic Combined,1964,173.0,2
14526,Nordic Combined,1964,174.0,1
14527,Nordic Combined,1964,175.0,1
14528,Nordic Combined,1964,176.0,1
14529,Nordic Combined,1964,177.0,1
14530,Nordic Combined,1964,178.0,3
14531,Nordic Combined,1964,181.0,1
14532,Nordic Combined,1964,182.0,1
14533,Nordic Combined,1964,184.0,1
14534,Nordic Combined,1964,185.0,1
14535,Nordic Combined,1968,164.0,1
14536,Nordic Combined,1968,165.0,2
14537,Nordic Combined,1968,166.0,1
14538,Nordic Combined,1968,167.0,3
14539,Nordic Combined,1968,169.0,3
14540,Nordic Combined,1968,170.0,5
14541,Nordic Combined,1968,171.0,2
14542,Nordic Combined,1968,172.0,1
14543,Nordic Combined,1968,173.0,3
14544,Nordic Combined,1968,174.0,1
14545,Nordic Combined,1968,175.0,4
14546,Nordic Combined,1968,176.0,3
14547,Nordic Combined,1968,178.0,5
14548,Nordic Combined,1968,180.0,1
14549,Nordic Combined,1968,181.0,1
14550,Nordic Combined,1968,183.0,2
14551,Nordic Combined,1968,185.0,1
14552,Nordic Combined,1968,187.0,1
14553,Nordic Combined,1972,162.0,1
14554,Nordic Combined,1972,164.0,1
14555,Nordic Combined,1972,165.0,4
