lindex,Sport,Year,Height,count
15837,Rugby,1900,164.0,1
15838,Rugby,1900,180.0,2
15839,Rugby,1908,168.0,1
15840,Rugby,1908,170.0,1
15841,Rugby,1908,173.0,2
15842,Rugby,1908,175.0,1
15843,Rugby,1908,178.0,1
15844,Rugby,1908,183.0,1
15845,Rugby,1908,188.0,1
15846,Rugby,1920,167.0,3
15847,Rugby,1920,170.0,1
15848,Rugby,1920,172.0,1
15849,Rugby,1920,173.0,2
15850,Rugby,1920,174.0,1
15851,Rugby,1920,175.0,1
15852,Rugby,1920,177.0,1
15853,Rugby,1920,178.0,4
15854,Rugby,1920,179.0,1
15855,Rugby,1920,180.0,1
15856,Rugby,1920,183.0,1
15857,Rugby,1920,184.0,1
15858,Rugby,1920,187.0,1
15859,Rugby,1920,191.0,1
15860,Rugby,1924,165.0,3
15861,Rugby,1924,167.0,2
15862,Rugby,1924,170.0,1
15863,Rugby,1924,171.0,1
15864,Rugby,1924,172.0,2
15865,Rugby,1924,173.0,7
15866,Rugby,1924,175.0,1
15867,Rugby,1924,177.0,1
15868,Rugby,1924,178.0,1
15869,Rugby,1924,180.0,4
15870,Rugby,1924,181.0,1
15871,Rugby,1924,183.0,4
15872,Rugby,1924,187.0,1
15873,Rugby,1924,189.0,1
15874,Rugby,1924,191.0,1
