lindex,Sport,Year,Height,count
15920,Sailing,1908,182.0,1
15921,Sailing,1912,176.0,1
15922,Sailing,1912,182.0,1
15923,Sailing,1912,183.0,1
15924,Sailing,1920,163.0,1
15925,Sailing,1920,171.0,1
15926,Sailing,1920,178.0,1
15927,Sailing,1920,180.0,1
15928,Sailing,1920,182.0,1
15929,Sailing,1920,184.0,1
15930,Sailing,1920,185.0,1
15931,Sailing,1920,186.0,1
15932,Sailing,1924,177.0,1
15933,Sailing,1924,184.0,1
15934,Sailing,1928,172.0,2
15935,Sailing,1928,173.0,1
15936,Sailing,1928,182.0,1
15937,Sailing,1928,183.0,1
15938,Sailing,1928,184.0,1
15939,Sailing,1932,156.0,1
15940,Sailing,1932,167.0,1
15941,Sailing,1932,168.0,1
15942,Sailing,1932,170.0,2
15943,Sailing,1932,173.0,3
15944,Sailing,1932,178.0,1
15945,Sailing,1932,180.0,4
15946,Sailing,1932,185.0,1
15947,Sailing,1936,156.0,1
15948,Sailing,1936,168.0,2
15949,Sailing,1936,170.0,1
15950,Sailing,1936,173.0,1
15951,Sailing,1936,174.0,1
15952,Sailing,1936,178.0,2
15953,Sailing,1936,179.0,1
15954,Sailing,1936,180.0,2
15955,Sailing,1936,182.0,1
15956,Sailing,1936,183.0,2
15957,Sailing,1936,184.0,1
15958,Sailing,1936,187.0,1
15959,Sailing,1936,193.0,1
15960,Sailing,1948,156.0,1
15961,Sailing,1948,158.0,1
15962,Sailing,1948,162.0,1
15963,Sailing,1948,168.0,1
15964,Sailing,1948,170.0,4
15965,Sailing,1948,172.0,2
15966,Sailing,1948,173.0,1
15967,Sailing,1948,174.0,3
15968,Sailing,1948,175.0,1
15969,Sailing,1948,176.0,2
15970,Sailing,1948,178.0,1
15971,Sailing,1948,179.0,2
15972,Sailing,1948,180.0,5
15973,Sailing,1948,181.0,1
15974,Sailing,1948,182.0,5
15975,Sailing,1948,183.0,3
15976,Sailing,1948,187.0,1
15977,Sailing,1948,188.0,1
15978,Sailing,1948,189.0,1
15979,Sailing,1948,191.0,1
15980,Sailing,1952,156.0,1
15981,Sailing,1952,162.0,1
15982,Sailing,1952,167.0,2
15983,Sailing,1952,168.0,1
15984,Sailing,1952,170.0,2
15985,Sailing,1952,171.0,3
15986,Sailing,1952,172.0,5
15987,Sailing,1952,173.0,1
15988,Sailing,1952,174.0,2
15989,Sailing,1952,175.0,4
15990,Sailing,1952,176.0,4
15991,Sailing,1952,178.0,4
15992,Sailing,1952,179.0,2
15993,Sailing,1952,180.0,10
15994,Sailing,1952,181.0,1
15995,Sailing,1952,182.0,3
15996,Sailing,1952,183.0,3
15997,Sailing,1952,184.0,1
15998,Sailing,1952,185.0,1
15999,Sailing,1952,187.0,1
16000,Sailing,1952,189.0,1
16001,Sailing,1952,191.0,1
16002,Sailing,1956,156.0,1
16003,Sailing,1956,158.0,1
16004,Sailing,1956,164.0,1
16005,Sailing,1956,166.0,1
16006,Sailing,1956,169.0,1
16007,Sailing,1956,170.0,2
16008,Sailing,1956,171.0,2
16009,Sailing,1956,172.0,4
16010,Sailing,1956,173.0,1
16011,Sailing,1956,174.0,3
16012,Sailing,1956,175.0,4
16013,Sailing,1956,176.0,4
16014,Sailing,1956,178.0,4
16015,Sailing,1956,179.0,1
16016,Sailing,1956,180.0,7
16017,Sailing,1956,181.0,2
16018,Sailing,1956,182.0,1
16019,Sailing,1956,183.0,6
16020,Sailing,1956,184.0,2
16021,Sailing,1956,185.0,5
16022,Sailing,1956,186.0,1
16023,Sailing,1956,187.0,1
16024,Sailing,1956,188.0,2
16025,Sailing,1956,189.0,1
16026,Sailing,1956,190.0,2
16027,Sailing,1956,192.0,1
16028,Sailing,1960,156.0,2
16029,Sailing,1960,158.0,1
16030,Sailing,1960,160.0,1
16031,Sailing,1960,162.0,2
16032,Sailing,1960,164.0,2
16033,Sailing,1960,165.0,3
16034,Sailing,1960,166.0,3
16035,Sailing,1960,167.0,2
16036,Sailing,1960,168.0,15
16037,Sailing,1960,169.0,5
16038,Sailing,1960,170.0,18
16039,Sailing,1960,171.0,11
16040,Sailing,1960,172.0,25
16041,Sailing,1960,173.0,7
16042,Sailing,1960,174.0,11
16043,Sailing,1960,175.0,20
16044,Sailing,1960,176.0,14
16045,Sailing,1960,177.0,12
16046,Sailing,1960,178.0,21
16047,Sailing,1960,179.0,14
16048,Sailing,1960,180.0,24
16049,Sailing,1960,181.0,6
16050,Sailing,1960,182.0,16
16051,Sailing,1960,183.0,11
16052,Sailing,1960,184.0,6
16053,Sailing,1960,185.0,9
16054,Sailing,1960,186.0,4
16055,Sailing,1960,187.0,4
16056,Sailing,1960,188.0,6
16057,Sailing,1960,189.0,3
16058,Sailing,1960,190.0,5
16059,Sailing,1960,191.0,1
16060,Sailing,1960,192.0,1
16061,Sailing,1960,193.0,1
16062,Sailing,1964,156.0,2
16063,Sailing,1964,157.0,1
16064,Sailing,1964,158.0,2
16065,Sailing,1964,160.0,1
16066,Sailing,1964,162.0,1
16067,Sailing,1964,164.0,2
16068,Sailing,1964,165.0,1
16069,Sailing,1964,166.0,1
16070,Sailing,1964,167.0,2
16071,Sailing,1964,168.0,5
16072,Sailing,1964,169.0,4
16073,Sailing,1964,170.0,10
16074,Sailing,1964,171.0,8
16075,Sailing,1964,172.0,11
16076,Sailing,1964,173.0,8
16077,Sailing,1964,174.0,12
16078,Sailing,1964,175.0,16
16079,Sailing,1964,176.0,9
16080,Sailing,1964,177.0,5
16081,Sailing,1964,178.0,12
16082,Sailing,1964,179.0,2
16083,Sailing,1964,180.0,21
16084,Sailing,1964,181.0,5
16085,Sailing,1964,182.0,8
16086,Sailing,1964,183.0,21
16087,Sailing,1964,184.0,8
16088,Sailing,1964,185.0,6
16089,Sailing,1964,186.0,8
16090,Sailing,1964,187.0,6
16091,Sailing,1964,188.0,5
16092,Sailing,1964,189.0,5
16093,Sailing,1964,190.0,2
16094,Sailing,1964,191.0,1
16095,Sailing,1964,192.0,2
16096,Sailing,1968,159.0,1
16097,Sailing,1968,160.0,2
16098,Sailing,1968,164.0,1
16099,Sailing,1968,166.0,2
16100,Sailing,1968,167.0,2
16101,Sailing,1968,168.0,9
16102,Sailing,1968,169.0,7
16103,Sailing,1968,170.0,7
16104,Sailing,1968,171.0,4
16105,Sailing,1968,172.0,10
16106,Sailing,1968,173.0,6
16107,Sailing,1968,174.0,9
16108,Sailing,1968,175.0,24
16109,Sailing,1968,176.0,13
16110,Sailing,1968,177.0,8
16111,Sailing,1968,178.0,14
16112,Sailing,1968,179.0,14
16113,Sailing,1968,180.0,26
16114,Sailing,1968,181.0,9
16115,Sailing,1968,182.0,9
16116,Sailing,1968,183.0,14
16117,Sailing,1968,184.0,7
16118,Sailing,1968,185.0,12
16119,Sailing,1968,186.0,7
16120,Sailing,1968,187.0,5
16121,Sailing,1968,188.0,7
16122,Sailing,1968,189.0,3
16123,Sailing,1968,190.0,3
16124,Sailing,1968,191.0,2
16125,Sailing,1968,193.0,1
16126,Sailing,1968,195.0,2
16127,Sailing,1968,196.0,1
16128,Sailing,1972,158.0,1
16129,Sailing,1972,163.0,1
16130,Sailing,1972,164.0,1
16131,Sailing,1972,165.0,3
16132,Sailing,1972,167.0,3
16133,Sailing,1972,168.0,7
16134,Sailing,1972,169.0,2
16135,Sailing,1972,170.0,6
16136,Sailing,1972,171.0,3
16137,Sailing,1972,172.0,15
16138,Sailing,1972,173.0,10
16139,Sailing,1972,174.0,7
16140,Sailing,1972,175.0,18
16141,Sailing,1972,176.0,13
16142,Sailing,1972,177.0,9
16143,Sailing,1972,178.0,25
16144,Sailing,1972,179.0,6
16145,Sailing,1972,180.0,28
16146,Sailing,1972,181.0,11
16147,Sailing,1972,182.0,20
16148,Sailing,1972,183.0,29
16149,Sailing,1972,184.0,10
16150,Sailing,1972,185.0,19
16151,Sailing,1972,186.0,11
16152,Sailing,1972,187.0,12
16153,Sailing,1972,188.0,11
16154,Sailing,1972,189.0,5
16155,Sailing,1972,190.0,6
16156,Sailing,1972,191.0,3
16157,Sailing,1972,192.0,6
16158,Sailing,1972,193.0,3
16159,Sailing,1972,195.0,5
16160,Sailing,1972,196.0,3
16161,Sailing,1972,198.0,1
16162,Sailing,1972,200.0,2
16163,Sailing,1972,201.0,1
16164,Sailing,1976,151.0,1
16165,Sailing,1976,160.0,2
16166,Sailing,1976,163.0,2
16167,Sailing,1976,165.0,2
16168,Sailing,1976,167.0,3
16169,Sailing,1976,168.0,6
16170,Sailing,1976,169.0,2
16171,Sailing,1976,170.0,6
16172,Sailing,1976,171.0,4
16173,Sailing,1976,172.0,8
16174,Sailing,1976,173.0,11
16175,Sailing,1976,174.0,8
16176,Sailing,1976,175.0,11
16177,Sailing,1976,176.0,16
16178,Sailing,1976,177.0,7
16179,Sailing,1976,178.0,19
16180,Sailing,1976,179.0,6
16181,Sailing,1976,180.0,30
16182,Sailing,1976,181.0,7
16183,Sailing,1976,182.0,11
16184,Sailing,1976,183.0,17
16185,Sailing,1976,184.0,6
16186,Sailing,1976,185.0,16
16187,Sailing,1976,186.0,7
16188,Sailing,1976,187.0,11
16189,Sailing,1976,188.0,11
16190,Sailing,1976,189.0,5
16191,Sailing,1976,190.0,8
16192,Sailing,1976,191.0,1
16193,Sailing,1976,192.0,3
16194,Sailing,1976,193.0,2
16195,Sailing,1976,194.0,1
16196,Sailing,1976,195.0,1
16197,Sailing,1976,196.0,1
16198,Sailing,1976,198.0,1
16199,Sailing,1976,200.0,1
16200,Sailing,1980,160.0,1
16201,Sailing,1980,166.0,1
16202,Sailing,1980,167.0,2
16203,Sailing,1980,168.0,2
16204,Sailing,1980,170.0,4
16205,Sailing,1980,171.0,1
16206,Sailing,1980,172.0,4
16207,Sailing,1980,173.0,4
16208,Sailing,1980,174.0,3
16209,Sailing,1980,175.0,7
16210,Sailing,1980,176.0,5
16211,Sailing,1980,177.0,6
16212,Sailing,1980,178.0,14
16213,Sailing,1980,179.0,4
16214,Sailing,1980,180.0,19
16215,Sailing,1980,181.0,7
16216,Sailing,1980,182.0,10
16217,Sailing,1980,183.0,5
16218,Sailing,1980,184.0,8
16219,Sailing,1980,185.0,6
16220,Sailing,1980,186.0,7
16221,Sailing,1980,187.0,8
16222,Sailing,1980,188.0,6
16223,Sailing,1980,189.0,4
16224,Sailing,1980,190.0,2
16225,Sailing,1980,191.0,2
16226,Sailing,1980,192.0,2
16227,Sailing,1980,194.0,2
16228,Sailing,1980,195.0,1
16229,Sailing,1980,197.0,1
16230,Sailing,1980,198.0,2
16231,Sailing,1980,200.0,1
16232,Sailing,1984,157.0,1
16233,Sailing,1984,163.0,1
16234,Sailing,1984,165.0,4
16235,Sailing,1984,166.0,3
16236,Sailing,1984,167.0,2
16237,Sailing,1984,168.0,1
16238,Sailing,1984,169.0,2
16239,Sailing,1984,170.0,9
16240,Sailing,1984,171.0,2
16241,Sailing,1984,172.0,9
16242,Sailing,1984,173.0,8
16243,Sailing,1984,174.0,8
16244,Sailing,1984,175.0,25
16245,Sailing,1984,176.0,9
16246,Sailing,1984,177.0,7
16247,Sailing,1984,178.0,17
16248,Sailing,1984,179.0,7
16249,Sailing,1984,180.0,35
16250,Sailing,1984,181.0,6
16251,Sailing,1984,182.0,17
16252,Sailing,1984,183.0,14
16253,Sailing,1984,184.0,10
16254,Sailing,1984,185.0,22
16255,Sailing,1984,186.0,9
16256,Sailing,1984,187.0,14
16257,Sailing,1984,188.0,9
16258,Sailing,1984,189.0,5
16259,Sailing,1984,190.0,19
16260,Sailing,1984,192.0,1
16261,Sailing,1984,193.0,3
16262,Sailing,1984,194.0,1
16263,Sailing,1984,195.0,3
16264,Sailing,1984,196.0,1
16265,Sailing,1984,197.0,1
16266,Sailing,1984,198.0,1
16267,Sailing,1984,204.0,1
16268,Sailing,1988,156.0,1
16269,Sailing,1988,159.0,1
16270,Sailing,1988,160.0,2
16271,Sailing,1988,161.0,1
16272,Sailing,1988,162.0,1
16273,Sailing,1988,163.0,1
16274,Sailing,1988,164.0,1
16275,Sailing,1988,165.0,9
16276,Sailing,1988,166.0,3
16277,Sailing,1988,167.0,7
16278,Sailing,1988,168.0,4
16279,Sailing,1988,169.0,2
16280,Sailing,1988,170.0,17
16281,Sailing,1988,171.0,7
16282,Sailing,1988,172.0,27
16283,Sailing,1988,173.0,12
16284,Sailing,1988,174.0,10
16285,Sailing,1988,175.0,27
16286,Sailing,1988,176.0,9
16287,Sailing,1988,177.0,8
16288,Sailing,1988,178.0,13
16289,Sailing,1988,179.0,5
16290,Sailing,1988,180.0,33
16291,Sailing,1988,181.0,9
16292,Sailing,1988,182.0,17
16293,Sailing,1988,183.0,14
16294,Sailing,1988,184.0,12
16295,Sailing,1988,185.0,22
16296,Sailing,1988,186.0,8
16297,Sailing,1988,187.0,11
16298,Sailing,1988,188.0,6
16299,Sailing,1988,189.0,7
16300,Sailing,1988,190.0,13
16301,Sailing,1988,192.0,3
16302,Sailing,1988,193.0,3
16303,Sailing,1988,194.0,3
16304,Sailing,1988,195.0,4
16305,Sailing,1988,196.0,1
16306,Sailing,1988,198.0,3
16307,Sailing,1988,200.0,1
16308,Sailing,1992,150.0,1
16309,Sailing,1992,155.0,1
16310,Sailing,1992,157.0,1
16311,Sailing,1992,158.0,1
16312,Sailing,1992,160.0,1
16313,Sailing,1992,161.0,1
16314,Sailing,1992,162.0,1
16315,Sailing,1992,163.0,1
16316,Sailing,1992,164.0,7
16317,Sailing,1992,165.0,3
16318,Sailing,1992,166.0,2
16319,Sailing,1992,167.0,6
16320,Sailing,1992,168.0,9
16321,Sailing,1992,169.0,5
16322,Sailing,1992,170.0,22
16323,Sailing,1992,171.0,6
16324,Sailing,1992,172.0,12
16325,Sailing,1992,173.0,11
16326,Sailing,1992,174.0,12
16327,Sailing,1992,175.0,24
16328,Sailing,1992,176.0,6
16329,Sailing,1992,177.0,10
16330,Sailing,1992,178.0,10
16331,Sailing,1992,179.0,9
16332,Sailing,1992,180.0,20
