lindex,Sport,Year,Height,count
17660,Ski Jumping,1924,172.0,1
17661,Ski Jumping,1924,178.0,1
17662,Ski Jumping,1924,179.0,1
17663,Ski Jumping,1928,162.0,1
17664,Ski Jumping,1928,165.0,1
17665,Ski Jumping,1928,169.0,1
17666,Ski Jumping,1928,172.0,1
17667,Ski Jumping,1928,173.0,1
17668,Ski Jumping,1928,175.0,1
17669,Ski Jumping,1928,178.0,1
17670,Ski Jumping,1928,179.0,1
17671,Ski Jumping,1928,183.0,3
17672,Ski Jumping,1932,156.0,1
17673,Ski Jumping,1932,160.0,1
17674,Ski Jumping,1932,164.0,1
17675,Ski Jumping,1932,165.0,3
17676,Ski Jumping,1932,168.0,3
17677,Ski Jumping,1932,170.0,1
17678,Ski Jumping,1932,173.0,5
17679,Ski Jumping,1932,175.0,3
17680,Ski Jumping,1932,178.0,1
17681,Ski Jumping,1932,180.0,3
17682,Ski Jumping,1932,183.0,4
17683,Ski Jumping,1932,185.0,1
17684,Ski Jumping,1936,156.0,1
17685,Ski Jumping,1936,163.0,1
17686,Ski Jumping,1936,165.0,1
17687,Ski Jumping,1936,168.0,1
17688,Ski Jumping,1936,170.0,1
17689,Ski Jumping,1936,173.0,3
17690,Ski Jumping,1936,180.0,2
17691,Ski Jumping,1936,183.0,1
17692,Ski Jumping,1948,162.0,1
17693,Ski Jumping,1948,163.0,1
17694,Ski Jumping,1948,165.0,2
17695,Ski Jumping,1948,167.0,1
17696,Ski Jumping,1948,168.0,2
17697,Ski Jumping,1948,180.0,1
17698,Ski Jumping,1952,165.0,1
17699,Ski Jumping,1952,169.0,1
17700,Ski Jumping,1952,170.0,1
17701,Ski Jumping,1952,172.0,1
17702,Ski Jumping,1952,174.0,1
17703,Ski Jumping,1952,176.0,2
17704,Ski Jumping,1952,180.0,2
17705,Ski Jumping,1956,164.0,3
17706,Ski Jumping,1956,165.0,1
17707,Ski Jumping,1956,168.0,1
17708,Ski Jumping,1956,169.0,2
17709,Ski Jumping,1956,170.0,1
